 	SD_GA_percent	SD_GA_count
MSMEG_0214	0.5714	6
MSMEG_0216	0.3571	0
MSMEG_0217	0.3571	1
MSMEG_0219	0.5	2
MSMEG_0220	0.2857	0
MSMEG_0221	0.6429	7
MSMEG_0223	0.5714	3
MSMEG_0225	0.5	4
MSMEG_0236	0.4286	3
MSMEG_0237	0.6429	6
MSMEG_0238	0.8571	9
MSMEG_0244	0.5	3
MSMEG_0246	0.6429	7
MSMEG_0247	0.5714	5
MSMEG_0249	0.4286	1
MSMEG_0251	0.6429	5
MSMEG_0256	0.5714	2
MSMEG_0258	0.6429	5
MSMEG_0259	0.5	3
MSMEG_0260	0.5714	3
MSMEG_0262	0.5	4
MSMEG_0263	0.5714	4
MSMEG_0265	0.4286	2
MSMEG_0266	0.5	2
MSMEG_0267	0.7857	8
MSMEG_0269	0.4286	4
MSMEG_0271	0.5714	3
MSMEG_0272	0.8571	9
MSMEG_0273	0.6429	5
MSMEG_0274	0.5714	3
MSMEG_0275	0.5714	6
MSMEG_0276	0.7857	8
MSMEG_0277	0.7143	8
MSMEG_0278	0.5	2
MSMEG_0279	0.7143	7
MSMEG_0280	0.5714	5
MSMEG_0281	0.5	3
MSMEG_0283	0.5	2
MSMEG_0284	0.5714	6
MSMEG_0286	0.5714	4
MSMEG_0288	0.5	2
MSMEG_0291	0.6429	6
MSMEG_0292	0.6429	5
MSMEG_0293	0.5714	4
MSMEG_0294	0.7143	5
MSMEG_0295	0.4286	2
MSMEG_0297	0.4286	2
MSMEG_0298	0.6429	5
MSMEG_0302	0.7857	8
MSMEG_0304	0.5	3
MSMEG_0306	0.5714	4
MSMEG_0307	0.5714	3
MSMEG_0308	0.7857	9
MSMEG_0312	0.5	4
MSMEG_0313	0.7143	7
MSMEG_0315	0.4286	1
MSMEG_0316	0.5	3
MSMEG_0318	0.5714	5
MSMEG_0320	0.5	3
MSMEG_0323	0.7143	6
MSMEG_0324	0.5714	6
MSMEG_0325	0.5714	7
MSMEG_0326	0.5	2
MSMEG_0327	0.7857	9
MSMEG_0328	0.7857	7
MSMEG_0329	0.5714	3
MSMEG_0330	0.5714	5
MSMEG_0332	0.7143	8
MSMEG_0333	0.7143	6
MSMEG_0334	0.6429	6
MSMEG_0335	0.7143	7
MSMEG_0336	0.7857	7
MSMEG_0337	0.6429	6
MSMEG_0338	0.7143	8
MSMEG_0339	0.5	3
MSMEG_0340	0.5714	4
MSMEG_0342	0.7857	9
MSMEG_0344	0.4286	3
MSMEG_0345	0.5714	5
MSMEG_0346	0.6429	5
MSMEG_0347	0.6429	6
MSMEG_0349	0.7143	7
MSMEG_0350	0.6429	6
MSMEG_0351	0.6429	6
MSMEG_0352	0.7857	8
MSMEG_0353	0.6429	6
MSMEG_0354	0.6429	3
MSMEG_0355	0.5714	5
MSMEG_0357	0.7857	8
MSMEG_0362	0.5714	4
MSMEG_0365	0.5714	4
MSMEG_0369	0.5714	5
MSMEG_0370	0.5714	5
MSMEG_0371	0.6429	5
MSMEG_0374	0.7143	7
MSMEG_0375	0.6429	6
MSMEG_0377	0.5714	5
MSMEG_0378	0.7143	8
MSMEG_0379	0.5714	5
MSMEG_0385	0.5714	4
MSMEG_0389	0.6429	7
MSMEG_0390	0.5	2
MSMEG_0395	0.5714	4
MSMEG_0396	0.4286	1
MSMEG_0397	0.5	5
MSMEG_0400	0.5	4
MSMEG_0401	0.5	2
MSMEG_0403	0.5714	4
MSMEG_0405	0.7143	7
MSMEG_0414	0.5	3
MSMEG_0417	0.7857	9
MSMEG_0418	0.8571	9
MSMEG_0421	0.5	2
MSMEG_0424	0.8571	9
MSMEG_0425	0.2857	1
MSMEG_0426	0.4286	1
MSMEG_0427	0.2857	1
MSMEG_0430	0.5	4
MSMEG_0431	0.6429	4
MSMEG_0432	0.5	3
MSMEG_0435	0.8571	9
MSMEG_0439	0.6429	6
MSMEG_0440	0.3571	2
MSMEG_0442	0.7143	8
MSMEG_0444	0.7143	7
MSMEG_0445	0.5	1
MSMEG_0446	0.7857	8
MSMEG_0452	0.6429	6
MSMEG_0454	0.4286	2
MSMEG_0456	0.5714	5
MSMEG_0458	0.4286	3
MSMEG_0459	0.7143	7
MSMEG_0460	0.5714	4
MSMEG_0461	0.4286	3
MSMEG_0463	0.5	4
MSMEG_0467	0.4286	2
MSMEG_0468	0.4286	2
MSMEG_0470	0.5714	5
MSMEG_0472	0.4286	2
MSMEG_0474	0.7143	6
MSMEG_0475	0.9286	11
MSMEG_0476	0.6429	5
MSMEG_0477	0.5	4
MSMEG_0478	0.5714	4
MSMEG_0479	0.3571	1
MSMEG_0481	0.5714	3
MSMEG_0482	0.6429	5
MSMEG_0483	0.6429	6
MSMEG_0485	0.6429	6
MSMEG_0486	0.5714	5
MSMEG_0487	0.6429	8
MSMEG_0488	0.5714	3
MSMEG_0489	0.7143	9
MSMEG_0490	0.7143	6
MSMEG_0496	0.6429	6
MSMEG_0497	0.6429	5
MSMEG_0498	0.5	3
MSMEG_0501	0.5714	5
MSMEG_0502	0.7143	7
MSMEG_0503	0.4286	3
MSMEG_0505	0.5	5
MSMEG_0506	0.5	2
MSMEG_0507	0.5	5
MSMEG_0508	0.7143	6
MSMEG_0509	0.5714	5
MSMEG_0510	0.5714	6
MSMEG_0511	0.5	3
MSMEG_0512	0.5	3
MSMEG_0513	0.5	4
MSMEG_0514	0.6429	5
MSMEG_0515	0.7143	8
MSMEG_0516	0.6429	6
MSMEG_0517	0.6429	4
MSMEG_0518	0.5	5
MSMEG_0522	0.6429	4
MSMEG_0523	0.5714	5
MSMEG_0524	0.8571	10
MSMEG_0525	0.7143	8
MSMEG_0526	0.7143	7
MSMEG_0527	0.7143	7
MSMEG_0528	0.7143	6
MSMEG_0529	0.6429	6
MSMEG_0532	0.3571	2
MSMEG_0533	0.5	5
MSMEG_0534	0.3571	2
MSMEG_0535	0.4286	1
MSMEG_0536	0.7143	8
MSMEG_0542	0.6429	5
MSMEG_0543	0.5714	5
MSMEG_0550	0.8571	9
MSMEG_0552	0.4286	2
MSMEG_0553	0.4286	1
MSMEG_0554	0.5	4
MSMEG_0555	0.7143	6
MSMEG_0556	0.5714	4
MSMEG_0558	0.5714	4
MSMEG_0562	0.6429	5
MSMEG_0565	0.7143	6
MSMEG_0567	0.6429	7
MSMEG_0568	0.5714	2
MSMEG_0569	0.5	5
MSMEG_0570	0.6429	5
MSMEG_0571	0.5	4
MSMEG_0573	0.6429	5
MSMEG_0576	0.5	4
MSMEG_0577	0.5714	2
MSMEG_0579	0.5	3
MSMEG_0582	0.7857	7
MSMEG_0584	0.5	2
MSMEG_0585	0.6429	6
MSMEG_0587	0.2857	1
MSMEG_0588	0.7857	8
MSMEG_0589	0.7143	9
MSMEG_0590	0.5714	3
MSMEG_0591	0.7857	8
MSMEG_0593	0.5714	6
MSMEG_0594	0.6429	6
MSMEG_0597	0.5	1
MSMEG_0601	0.4286	2
MSMEG_0604	0.6429	5
MSMEG_0610	0.4286	1
MSMEG_0611	0.6429	5
MSMEG_0613	0.4286	3
MSMEG_0616	0.5	3
MSMEG_0617	0.5	4
MSMEG_0618	0.8571	10
MSMEG_0619	0.3571	2
MSMEG_0620	0.7143	8
MSMEG_0621	0.5714	6
MSMEG_0622	0.5714	4
MSMEG_0624	0.5714	4
MSMEG_0626	0.7857	9
MSMEG_0627	0.5714	3
MSMEG_0628	0.3571	3
MSMEG_0630	0.5	4
MSMEG_0637	0.6429	6
MSMEG_0639	0.7857	9
MSMEG_0640	0.7143	7
MSMEG_0642	0.2857	0
MSMEG_0644	0.6429	6
MSMEG_0646	0.3571	0
MSMEG_0647	0.5714	4
MSMEG_0648	0.5	2
MSMEG_0649	0.5714	5
MSMEG_0650	0.4286	1
MSMEG_0651	0.2857	1
MSMEG_0652	0.4286	2
MSMEG_0654	0.2143	1
MSMEG_0655	0.7857	8
MSMEG_0657	0.5	2
MSMEG_0658	0.7143	6
MSMEG_0659	0.5714	6
MSMEG_0664	0.6429	7
MSMEG_0665	0.4286	2
MSMEG_0666	0.5	2
MSMEG_0669	0.5	3
MSMEG_0670	0.5714	4
MSMEG_0672	0.4286	4
MSMEG_0675	0.4286	3
MSMEG_0680	0.5714	2
MSMEG_0681	0.4286	2
MSMEG_0684	0.6429	4
MSMEG_0685	0.7143	5
MSMEG_0686	0.5714	4
MSMEG_0687	0.2143	1
MSMEG_0688	0.7143	6
MSMEG_0691	0.5714	4
MSMEG_0693	0.6429	4
MSMEG_0695	0.4286	3
MSMEG_0696	0.7143	7
MSMEG_0697	0.7857	7
MSMEG_0699	0.5	2
MSMEG_0701	0.7143	7
MSMEG_0705	0.6429	5
MSMEG_0706	0.6429	6
MSMEG_0707	0.5714	6
MSMEG_0708	0.5714	3
MSMEG_0710	0.7857	8
MSMEG_0713	0.8571	9
MSMEG_0714	0.7143	9
MSMEG_0715	0.5	2
MSMEG_0718	0.7143	6
MSMEG_0720	0.6429	6
MSMEG_0723	0.5	3
MSMEG_0725	0.3571	2
MSMEG_0727	0.6429	5
MSMEG_0729	0.4286	2
MSMEG_0730	0.5714	5
MSMEG_0733	0.6429	6
MSMEG_0737	0.3571	1
MSMEG_0738	0.5714	4
MSMEG_0741	0.8571	9
MSMEG_0743	0.5	3
MSMEG_0744	0.5	3
MSMEG_0745	0.7143	8
MSMEG_0746	0.7857	9
MSMEG_0747	0.7143	7
MSMEG_0748	0.5714	3
MSMEG_0749	0.7857	8
MSMEG_0751	0.5	4
MSMEG_0755	0.5	0
MSMEG_0757	0.5	4
MSMEG_0760	0.4286	1
MSMEG_0763	0.6429	5
MSMEG_0767	0.5714	4
MSMEG_0769	0.7857	8
MSMEG_0770	0.6429	5
MSMEG_0771	0.5714	4
MSMEG_0772	0.4286	2
MSMEG_0773	0.5714	4
MSMEG_0777	0.7857	8
MSMEG_0778	0.5714	2
MSMEG_0779	0.7857	7
MSMEG_0780	0.5714	6
MSMEG_0782	0.7857	9
MSMEG_0783	0.6429	4
MSMEG_0784	0.6429	5
MSMEG_0785	0.4286	1
MSMEG_0786	0.6429	4
MSMEG_0792	0.7143	6
MSMEG_0793	0.5714	3
MSMEG_0794	0.5714	4
MSMEG_0795	0.5714	4
MSMEG_0800	0.7857	7
MSMEG_0802	0.5	5
MSMEG_0804	0.5	2
MSMEG_0805	0.6429	4
MSMEG_0808	0.5	3
MSMEG_0809	0.5	2
MSMEG_0811	0.4286	1
MSMEG_0813	0.7857	9
MSMEG_0815	0.3571	1
MSMEG_0817	0.7143	5
MSMEG_0819	0.5	5
MSMEG_0820	0.6429	6
MSMEG_0821	0.6429	5
MSMEG_0822	0.5714	4
MSMEG_0823	0.3571	1
MSMEG_0824	0.3571	2
MSMEG_0827	0.6429	5
MSMEG_0829	0.2143	0
MSMEG_0830	0.5	3
MSMEG_0831	0.7857	7
MSMEG_0834	0.4286	2
MSMEG_0836	0.6429	5
MSMEG_0837	0.6429	5
MSMEG_0843	0.7143	7
MSMEG_0845	0.7143	7
MSMEG_0846	0.5714	6
MSMEG_0847	0.7143	7
MSMEG_0848	0.4286	1
MSMEG_0850	0.4286	2
MSMEG_0851	0.2857	2
MSMEG_0852	0.7143	8
MSMEG_0853	0.7143	7
MSMEG_0856	0.6429	5
MSMEG_0858	0.7143	8
MSMEG_0860	0.5714	4
MSMEG_0863	0.4286	1
MSMEG_0864	0.5	3
MSMEG_0865	0.7143	6
MSMEG_0867	0.4286	1
MSMEG_0868	0.5	4
MSMEG_0869	0.5	3
MSMEG_0870	0.5	2
MSMEG_0871	0.7857	8
MSMEG_0872	0.7857	9
MSMEG_0873	0.3571	1
MSMEG_0874	0.7143	7
MSMEG_0875	0.6429	6
MSMEG_0878	0.7143	5
MSMEG_0879	0.3571	1
MSMEG_0881	0.5714	3
MSMEG_0882	0.4286	3
MSMEG_0883	0.5	2
MSMEG_0885	0.6429	5
MSMEG_0888	0.3571	1
MSMEG_0891	0.3571	1
MSMEG_0893	0.6429	4
MSMEG_0897	0.5714	5
MSMEG_0898	0.7857	8
MSMEG_0899	0.5714	3
MSMEG_0902	0.7143	7
MSMEG_0904	0.5714	3
MSMEG_0905	0.3571	2
MSMEG_0907	0.7143	7
MSMEG_0908	0.3571	1
MSMEG_0910	0.4286	2
MSMEG_0914	0.5	2
MSMEG_0921	0.6429	5
MSMEG_0922	0.5	5
MSMEG_0924	0.7143	7
MSMEG_0925	0.4286	3
MSMEG_0926	0.5	2
MSMEG_0927	0.5	3
MSMEG_0931	0.5714	3
MSMEG_0934	0.7143	6
MSMEG_0937	0.6429	6
MSMEG_0946	0.4286	2
MSMEG_0950	0.4286	1
MSMEG_0953	0.7143	6
MSMEG_0954	0.5714	5
MSMEG_0955	0.5	3
MSMEG_0956	0.9286	11
MSMEG_0957	0.4286	2
MSMEG_0958	0.5	2
MSMEG_0959	0.4286	4
MSMEG_0960	0.7143	6
MSMEG_0963	0.3571	1
MSMEG_0966	0.5714	5
MSMEG_0967	0.5714	2
MSMEG_0968	0.5714	5
MSMEG_0969	0.5714	4
MSMEG_0970	0.4286	4
MSMEG_0971	0.6429	7
MSMEG_0973	0.4286	3
MSMEG_0978	0.5	3
MSMEG_0979	0.5714	5
MSMEG_0980	0.2143	0
MSMEG_0981	0.5714	5
MSMEG_0983	0.6429	6
MSMEG_0984	0.6429	4
MSMEG_0989	0.5	4
MSMEG_0992	0.5	3
MSMEG_0993	0.5714	5
MSMEG_0994	0.5	4
MSMEG_0995	0.5	2
MSMEG_0996	0.5	4
MSMEG_0997	0.7143	7
MSMEG_0998	0.7143	8
MSMEG_1000	0.4286	2
MSMEG_1001	0.5714	3
MSMEG_1004	0.5	3
MSMEG_1006	0.4286	2
MSMEG_1009	0.6429	5
MSMEG_1011	0.5	4
MSMEG_1013	0.3571	2
MSMEG_1014	0.5	2
MSMEG_1015	0.6429	6
MSMEG_1016	0.7143	7
MSMEG_1021	0.5714	5
MSMEG_1022	0.5714	3
MSMEG_1024	0.6429	6
MSMEG_1026	0.5	4
MSMEG_1031	0.5	3
MSMEG_1032	0.6429	5
MSMEG_1035	0.5	3
MSMEG_1041	0.7143	7
MSMEG_1043	0.4286	3
MSMEG_1044	0.5714	5
MSMEG_1045	0.3571	2
MSMEG_1047	0.7143	6
MSMEG_1048	0.4286	2
MSMEG_1050	0.2143	2
MSMEG_1054	0.5	3
MSMEG_1055	0.4286	2
MSMEG_1057	0.5	1
MSMEG_1059	0.5	5
MSMEG_1064	0.5714	5
MSMEG_1066	0.5	6
MSMEG_1069	0.7857	9
MSMEG_1070	0.5714	4
MSMEG_1071	0.6429	6
MSMEG_1072	0.8571	10
MSMEG_1078	0.5	2
MSMEG_1079	0.6429	4
MSMEG_1080	0.8571	10
MSMEG_1081	0.5	3
MSMEG_1083	0.4286	3
MSMEG_1084	0.5714	4
MSMEG_1085	0.6429	5
MSMEG_1086	0.8571	10
MSMEG_1088	0.6429	6
MSMEG_1090	0.6429	7
MSMEG_1091	0.7857	9
MSMEG_1092	0.5714	5
MSMEG_1093	0.7143	8
MSMEG_1094	0.6429	6
MSMEG_1095	0.4286	4
MSMEG_1096	0.5	3
MSMEG_1097	0.5714	4
MSMEG_1099	0.5714	4
MSMEG_1100	0.7143	8
MSMEG_1101	0.3571	2
MSMEG_1102	0.2857	1
MSMEG_1104	0.7857	9
MSMEG_1106	0.5714	3
MSMEG_1107	0.7857	8
MSMEG_1108	0.5714	4
MSMEG_1109	0.6429	4
MSMEG_1110	0.5714	4
MSMEG_1111	0.5714	5
MSMEG_1113	0.5714	4
MSMEG_1119	0.5714	4
MSMEG_1120	0.7857	8
MSMEG_1121	0.4286	1
MSMEG_1122	0.4286	1
MSMEG_1125	0.6429	6
MSMEG_1126	0.5714	6
MSMEG_1127	0.7143	6
MSMEG_1128	0.7857	9
MSMEG_1129	0.5714	6
MSMEG_1130	0.7143	6
MSMEG_1135	0.7857	9
MSMEG_1137	0.6429	7
MSMEG_1142	0.5714	4
MSMEG_1143	0.5	3
MSMEG_1144	0.7857	9
MSMEG_1145	0.7143	5
MSMEG_1146	0.4286	3
MSMEG_1147	0.7143	5
MSMEG_1148	0.3571	3
MSMEG_1149	0.7857	7
MSMEG_1150	0.5	3
MSMEG_1151	0.8571	10
MSMEG_1152	0.4286	3
MSMEG_1154	0.6429	6
MSMEG_1155	0.7857	8
MSMEG_1156	0.6429	6
MSMEG_1157	0.5714	5
MSMEG_1158	0.6429	7
MSMEG_1159	0.7857	9
MSMEG_1160	0.6429	5
MSMEG_1161	0.5714	3
MSMEG_1162	0.7143	6
MSMEG_1163	0.4286	2
MSMEG_1170	0.5	2
MSMEG_1171	0.6429	5
MSMEG_1172	0.5	3
MSMEG_1178	0.5714	4
MSMEG_1179	0.6429	7
MSMEG_1180	0.7857	9
MSMEG_1181	0.6429	6
MSMEG_1182	0.5	4
MSMEG_1183	0.7857	8
MSMEG_1186	0.4286	3
MSMEG_1187	0.5	3
MSMEG_1190	0.6429	5
MSMEG_1192	0.4286	2
MSMEG_1196	0.6429	5
MSMEG_1197	0.5714	4
MSMEG_1198	0.6429	6
MSMEG_1202	0.4286	2
MSMEG_1203	0.5714	3
MSMEG_1208	0.7143	6
MSMEG_1209	0.4286	3
MSMEG_1214	0.5714	3
MSMEG_1215	0.7143	6
MSMEG_1216	0.6429	5
MSMEG_1217	0.5	4
MSMEG_1218	0.7143	7
MSMEG_1219	0.5	4
MSMEG_1221	0.7857	9
MSMEG_1224	0.4286	2
MSMEG_1227	0.4286	3
MSMEG_1228	0.7143	7
MSMEG_1229	0.6429	7
MSMEG_1230	0.3571	0
MSMEG_1231	0.5714	4
MSMEG_1232	0.2857	1
MSMEG_1234	0.5	4
MSMEG_1235	0.5	5
MSMEG_1237	0.7143	7
MSMEG_1239	0.5	4
MSMEG_1241	0.4286	1
MSMEG_1243	0.2857	1
MSMEG_1244	0.5	3
MSMEG_1248	0.5	5
MSMEG_1249	0.5	4
MSMEG_1252	0.5714	3
MSMEG_1254	0.4286	3
MSMEG_1256	0.5714	5
MSMEG_1259	0.4286	1
MSMEG_1266	0.5714	6
MSMEG_1269	0.9286	11
MSMEG_1271	0.7143	6
MSMEG_1273	0.6429	7
MSMEG_1276	0.7143	8
MSMEG_1278	0.2857	1
MSMEG_1280	0.6429	3
MSMEG_1281	0.5	4
MSMEG_1282	0.5714	4
MSMEG_1284	0.3571	1
MSMEG_1285	0.6429	5
MSMEG_1286	0.7143	6
MSMEG_1287	0.3571	1
MSMEG_1288	0.7143	8
MSMEG_1290	0.5714	3
MSMEG_1291	0.4286	3
MSMEG_1294	0.4286	3
MSMEG_1297	0.5714	5
MSMEG_1298	0.6429	5
MSMEG_1299	0.5714	6
MSMEG_1301	0.5714	4
MSMEG_1302	0.6429	5
MSMEG_1303	0.3571	2
MSMEG_1304	0.7857	8
MSMEG_1306	0.6429	5
MSMEG_1307	0.6429	6
MSMEG_1308	0.6429	6
MSMEG_1309	0.5714	4
MSMEG_1310	0.5714	6
MSMEG_1312	0.7857	10
MSMEG_1315	0.5714	3
MSMEG_1318	0.6429	5
MSMEG_1319	0.7143	7
MSMEG_1320	0.7857	9
MSMEG_1321	0.5	4
MSMEG_1323	0.7143	6
MSMEG_1324	0.5	3
MSMEG_1325	0.6429	6
MSMEG_1326	0.8571	9
MSMEG_1327	0.6429	6
MSMEG_1328	0.3571	0
MSMEG_1329	0.7143	5
MSMEG_1330	0.4286	0
MSMEG_1333	0.5714	6
MSMEG_1335	0.4286	2
MSMEG_1336	0.6429	7
MSMEG_1340	0.5714	3
MSMEG_1341	0.6429	8
MSMEG_1342	0.5	5
MSMEG_1345	0.7857	9
MSMEG_1347	0.5	3
MSMEG_1348	0.5714	4
MSMEG_1349	0.7857	8
MSMEG_1352	0.7857	8
MSMEG_1355	0.5714	2
MSMEG_1357	0.5714	5
MSMEG_1358	0.7143	6
MSMEG_1359	0.5	3
MSMEG_1360	0.5	2
MSMEG_1362	0.5714	4
MSMEG_1365	0.7143	7
MSMEG_1368	0.9286	12
MSMEG_1371	0.6429	5
MSMEG_1372	0.7857	7
MSMEG_1373	0.5714	5
MSMEG_1374	0.9286	12
MSMEG_1377	0.5714	4
MSMEG_1378	0.6429	4
MSMEG_1382	0.5714	4
MSMEG_1384	0.2857	0
MSMEG_1386	0.5714	5
MSMEG_1388	0.8571	9
MSMEG_1389	0.7143	6
MSMEG_1390	0.7143	7
MSMEG_1393	0.9286	11
MSMEG_1395	0.6429	4
MSMEG_1396	0.5714	4
MSMEG_1399	1.0	13
MSMEG_1406	0.2857	0
MSMEG_1409	0.6429	7
MSMEG_1411	0.7143	6
MSMEG_1412	0.6429	6
MSMEG_1413	0.5714	3
MSMEG_1417	0.7857	10
MSMEG_1420	0.8571	9
MSMEG_1421	0.2857	1
MSMEG_1422	0.5	3
MSMEG_1424	0.5714	5
MSMEG_1427	0.7143	8
MSMEG_1428	0.4286	3
MSMEG_1431	0.5	3
MSMEG_1436	0.5714	4
MSMEG_1437	0.8571	9
MSMEG_1438	0.7143	7
MSMEG_1439	0.5	2
MSMEG_1441	0.7857	8
MSMEG_1443	0.7143	6
MSMEG_1444	0.7143	8
MSMEG_1445	0.6429	6
MSMEG_1447	0.4286	1
MSMEG_1450	0.5714	5
MSMEG_1452	0.3571	2
MSMEG_1453	0.5714	6
MSMEG_1454	0.5	3
MSMEG_1458	0.7857	9
MSMEG_1459	0.7143	7
MSMEG_1460	0.8571	10
MSMEG_1461	0.7143	7
MSMEG_1462	0.6429	6
MSMEG_1463	0.7143	6
MSMEG_1464	0.7857	8
MSMEG_1467	0.7143	6
MSMEG_1469	0.6429	6
MSMEG_1474	0.7857	8
MSMEG_1475	0.5714	3
MSMEG_1477	0.8571	9
MSMEG_1478	0.4286	1
MSMEG_1480	0.6429	5
MSMEG_1481	0.5714	4
MSMEG_1484	0.5	5
MSMEG_1485	0.6429	6
MSMEG_1486	0.7143	6
MSMEG_1488	0.5714	4
MSMEG_1489	0.7143	7
MSMEG_1490	0.6429	5
MSMEG_1491	0.3571	1
MSMEG_1493	0.5714	4
MSMEG_1495	0.5714	4
MSMEG_1497	0.6429	5
MSMEG_1499	0.2857	0
MSMEG_1500	0.5714	5
MSMEG_1503	0.5714	4
MSMEG_1504	0.7143	7
MSMEG_1505	0.4286	2
MSMEG_1506	0.5714	4
MSMEG_1507	0.7143	7
MSMEG_1508	0.5	5
MSMEG_1509	0.5714	5
MSMEG_1510	0.6429	5
MSMEG_1511	0.8571	10
MSMEG_1515	0.6429	6
MSMEG_1517	0.6429	6
MSMEG_1519	0.6429	6
MSMEG_1527	0.5714	3
MSMEG_1528	0.4286	2
MSMEG_1532	0.7143	6
MSMEG_1533	0.5714	3
MSMEG_1534	0.6429	7
MSMEG_1535	0.6429	6
MSMEG_1536	0.5	2
MSMEG_1537	0.5	3
MSMEG_1538	0.8571	10
MSMEG_1539	0.7857	10
MSMEG_1541	0.4286	2
MSMEG_1545	0.3571	0
MSMEG_1547	0.7857	7
MSMEG_1548	0.5714	6
MSMEG_1550	0.6429	5
MSMEG_1551	0.2857	1
MSMEG_1552	0.7143	8
MSMEG_1554	0.5714	4
MSMEG_1560	0.5714	3
MSMEG_1563	0.5714	4
MSMEG_1564	0.8571	9
MSMEG_1566	0.5714	3
MSMEG_1568	0.4286	2
MSMEG_1569	0.5714	3
MSMEG_1570	0.5714	4
MSMEG_1571	0.6429	6
MSMEG_1572	0.4286	3
MSMEG_1576	0.4286	2
MSMEG_1578	0.5714	4
MSMEG_1579	0.5714	4
MSMEG_1581	0.6429	6
MSMEG_1584	0.5	4
MSMEG_1586	0.6429	4
MSMEG_1587	0.4286	3
MSMEG_1588	0.5714	4
MSMEG_1590	0.3571	2
MSMEG_1591	0.5714	6
MSMEG_1593	0.5714	4
MSMEG_1594	0.7857	7
MSMEG_1595	0.6429	6
MSMEG_1598	0.5714	4
MSMEG_1600	0.7143	5
MSMEG_1605	0.7143	6
MSMEG_1606	0.6429	5
MSMEG_1607	0.7857	8
MSMEG_1611	0.5	4
MSMEG_1612	0.5714	5
MSMEG_1613	0.7143	6
MSMEG_1614	0.7857	8
MSMEG_1615	0.3571	4
MSMEG_1617	0.5	3
