 	SD_GA_percent	SD_GA_count
MSMEG_0660	0.6429	6
MSMEG_0661	0.7143	7
MSMEG_0662	0.7143	6
MSMEG_0663	0.7143	7
MSMEG_0667	0.6429	5
MSMEG_0671	0.7143	8
MSMEG_0673	0.7143	7
MSMEG_0674	0.6429	5
MSMEG_0676	0.7857	7
MSMEG_0679	0.5714	5
MSMEG_0689	0.6429	5
MSMEG_0690	0.6429	5
MSMEG_0692	0.6429	5
MSMEG_0698	0.5714	4
MSMEG_0700	0.3571	1
MSMEG_0703	0.6429	6
MSMEG_0709	0.7143	7
MSMEG_0711	0.7143	7
MSMEG_0712	0.7857	7
MSMEG_0716	0.6429	7
MSMEG_0722	0.7857	8
MSMEG_0726	0.6429	6
MSMEG_0728	0.5	3
MSMEG_0732	0.7857	9
MSMEG_0739	0.5	2
MSMEG_0740	0.6429	6
MSMEG_0752	0.7857	9
MSMEG_0753	0.7857	8
MSMEG_0758	0.6429	6
MSMEG_0759	0.7857	8
MSMEG_0764	0.7143	8
MSMEG_0776	0.7143	6
MSMEG_0781	0.5714	5
MSMEG_0787	0.7857	9
MSMEG_0788	0.5	2
MSMEG_0791	0.8571	10
MSMEG_0796	0.5714	3
MSMEG_0798	0.5	3
MSMEG_0799	0.5714	3
MSMEG_0801	0.8571	10
MSMEG_0806	0.5	4
MSMEG_0807	0.4286	3
MSMEG_0814	0.7143	7
MSMEG_0818	0.5714	5
MSMEG_0826	0.4286	4
MSMEG_0828	0.5	5
MSMEG_0833	0.7143	8
MSMEG_0839	0.5	4
MSMEG_0840	0.3571	3
MSMEG_0842	0.8571	9
MSMEG_0844	0.7857	8
MSMEG_0849	0.5714	3
MSMEG_0855	0.6429	6
MSMEG_0859	0.6429	5
MSMEG_0862	0.4286	2
MSMEG_0866	0.6429	7
MSMEG_0876	0.5	5
MSMEG_0880	0.5714	6
MSMEG_0892	0.7857	10
MSMEG_0894	0.6429	7
MSMEG_0895	0.7143	7
MSMEG_0896	0.7857	9
MSMEG_0900	0.5714	6
MSMEG_0901	0.7857	9
MSMEG_0909	0.8571	9
MSMEG_0911	0.6429	6
MSMEG_0912	0.9286	11
MSMEG_0913	0.5714	5
MSMEG_0916	0.5714	4
MSMEG_0918	0.7143	6
MSMEG_0919	0.7857	9
MSMEG_0932	0.4286	1
MSMEG_0940	0.5	4
MSMEG_0941	0.5714	4
MSMEG_0942	0.6429	8
MSMEG_0944	0.6429	4
MSMEG_0945	0.7143	7
MSMEG_0947	0.8571	10
MSMEG_0948	0.8571	9
MSMEG_0951	0.5	3
MSMEG_0962	0.5714	3
MSMEG_0965	0.7143	6
MSMEG_0972	0.7143	7
MSMEG_0974	0.8571	10
MSMEG_0975	0.8571	11
MSMEG_0985	0.6429	6
MSMEG_0986	0.6429	6
MSMEG_0987	0.7143	7
MSMEG_0990	0.5714	3
MSMEG_0991	0.2857	2
MSMEG_0999	0.6429	5
MSMEG_1002	0.8571	10
MSMEG_1003	0.5	5
MSMEG_1005	0.7143	8
MSMEG_1008	0.7143	7
MSMEG_1012	0.7143	8
MSMEG_1017	0.6429	5
MSMEG_1019	0.5	3
MSMEG_1023	0.7143	6
MSMEG_1025	0.6429	7
MSMEG_1027	0.6429	6
MSMEG_1028	0.7143	7
MSMEG_1030	0.7857	9
MSMEG_1033	0.6429	6
MSMEG_1037	0.6429	6
MSMEG_1051	0.7143	7
MSMEG_1052	0.8571	9
MSMEG_1053	0.6429	7
MSMEG_1058	0.5714	3
MSMEG_1060	0.7143	7
MSMEG_1062	0.4286	2
MSMEG_1063	0.4286	4
MSMEG_1065	0.7143	7
MSMEG_1074	0.5714	3
MSMEG_1076	0.7857	9
MSMEG_1082	0.7143	6
MSMEG_1089	0.8571	10
MSMEG_1112	0.6429	7
MSMEG_1114	0.7143	7
MSMEG_1116	0.4286	4
MSMEG_1118	0.7143	8
MSMEG_1134	0.7143	8
MSMEG_1138	0.7857	8
MSMEG_1139	0.6429	4
MSMEG_1141	0.6429	4
MSMEG_1153	0.7857	7
MSMEG_1165	0.8571	10
MSMEG_1167	0.6429	5
MSMEG_1168	0.8571	9
MSMEG_1169	0.5	3
MSMEG_1174	0.6429	6
MSMEG_1177	0.7857	8
MSMEG_1185	0.3571	1
MSMEG_1188	0.8571	9
MSMEG_1189	0.7857	9
MSMEG_1191	0.7857	9
MSMEG_1193	1.0	13
MSMEG_1195	0.6429	7
MSMEG_1200	0.5714	6
MSMEG_1204	0.6429	5
MSMEG_1205	0.5714	5
MSMEG_1206	0.5	5
MSMEG_1207	0.6429	5
MSMEG_1211	0.6429	6
MSMEG_1212	0.6429	7
MSMEG_1220	0.6429	7
MSMEG_1223	0.5714	5
MSMEG_1236	0.7143	7
MSMEG_1238	0.3571	1
MSMEG_1240	0.6429	6
MSMEG_1242	0.6429	6
MSMEG_1245	0.7857	9
MSMEG_1246	0.5714	4
MSMEG_1247	0.5714	3
MSMEG_1251	0.7857	8
MSMEG_1253	0.7857	9
MSMEG_1255	0.6429	5
MSMEG_1257	0.8571	10
MSMEG_1258	0.5	5
MSMEG_1260	0.9286	11
MSMEG_1262	0.7857	7
MSMEG_1263	0.5714	4
MSMEG_1264	0.5714	4
MSMEG_1270	0.4286	2
MSMEG_1272	0.6429	7
MSMEG_1274	0.8571	10
MSMEG_1275	0.6429	5
MSMEG_1289	0.5	3
MSMEG_1292	0.4286	2
MSMEG_1295	0.6429	7
MSMEG_1296	0.6429	6
MSMEG_1300	0.6429	6
MSMEG_1311	0.6429	8
MSMEG_1313	0.7857	8
MSMEG_1314	0.6429	8
MSMEG_1322	0.5	3
MSMEG_1339	0.7857	9
MSMEG_1344	0.7857	8
MSMEG_1346	0.7857	7
MSMEG_1350	0.5714	5
MSMEG_1351	0.6429	5
MSMEG_1356	0.8571	10
MSMEG_1361	0.4286	3
MSMEG_1364	0.7143	6
MSMEG_1366	0.7143	8
MSMEG_1367	0.5	3
MSMEG_1369	0.7143	7
MSMEG_1370	0.5714	4
MSMEG_1375	0.4286	4
MSMEG_1376	0.5714	3
MSMEG_1379	0.7857	8
MSMEG_1381	0.7143	5
MSMEG_1392	0.6429	6
MSMEG_1394	0.7857	9
MSMEG_1397	0.5714	4
MSMEG_1398	0.7857	8
MSMEG_1401	0.6429	6
MSMEG_1402	0.7857	8
MSMEG_1403	0.6429	4
MSMEG_1404	0.5	5
MSMEG_1405	0.8571	10
MSMEG_1410	0.7143	8
MSMEG_1415	0.5714	4
MSMEG_1423	0.5714	6
MSMEG_1426	0.5714	5
MSMEG_1429	0.6429	5
MSMEG_1430	0.7857	8
MSMEG_1433	0.2857	0
MSMEG_1434	0.7857	9
MSMEG_1435	0.8571	9
MSMEG_1440	0.7857	8
MSMEG_1442	0.7857	9
MSMEG_1446	0.6429	5
MSMEG_1448	0.6429	5
MSMEG_1451	0.7857	8
MSMEG_1455	0.5714	3
MSMEG_1456	0.6429	5
MSMEG_1457	0.9286	11
MSMEG_1465	0.6429	7
MSMEG_1466	0.5	4
MSMEG_1468	0.7143	8
MSMEG_1470	0.7857	8
MSMEG_1471	0.6429	7
MSMEG_1473	0.7143	6
MSMEG_1479	0.7143	7
MSMEG_1482	0.7143	6
MSMEG_1483	0.7143	6
MSMEG_1487	0.7857	8
MSMEG_1494	0.3571	0
MSMEG_1496	0.7857	8
MSMEG_1498	0.4286	4
MSMEG_1501	0.5714	3
MSMEG_1502	0.7143	7
MSMEG_1513	0.5714	5
MSMEG_1514	0.4286	2
MSMEG_1516	0.4286	3
MSMEG_1518	0.7143	6
MSMEG_1520	0.8571	10
MSMEG_1522	0.6429	6
MSMEG_1523	0.8571	10
MSMEG_1524	0.9286	11
MSMEG_1525	0.6429	7
MSMEG_1530	0.6429	6
MSMEG_1531	0.8571	10
MSMEG_1540	0.4286	4
MSMEG_1542	0.7857	7
MSMEG_1544	0.6429	6
MSMEG_1546	0.5714	5
MSMEG_1553	0.7143	7
MSMEG_1556	0.7857	9
MSMEG_1557	0.6429	5
MSMEG_1558	0.7143	7
MSMEG_1559	0.5714	5
MSMEG_1573	0.8571	9
MSMEG_1574	0.6429	8
MSMEG_1577	0.5714	4
MSMEG_1580	0.5	6
MSMEG_1582	0.5714	6
MSMEG_1583	0.7143	7
MSMEG_1585	0.7143	7
MSMEG_1589	0.5	3
MSMEG_1596	0.7857	9
MSMEG_1597	0.5714	7
MSMEG_1599	0.5714	6
MSMEG_1602	0.4286	4
MSMEG_1603	0.3571	1
MSMEG_1604	0.4286	2
MSMEG_1608	0.5714	4
MSMEG_1609	0.7857	8
MSMEG_1618	0.6429	5
MSMEG_1620	0.6429	5
MSMEG_1629	0.7857	7
MSMEG_1632	0.5	4
MSMEG_1633	0.5	4
MSMEG_1634	0.7857	9
MSMEG_1637	0.5714	4
MSMEG_1638	0.7857	8
MSMEG_1640	0.7143	8
MSMEG_1646	0.6429	5
MSMEG_1652	0.6429	7
MSMEG_1654	0.7143	7
MSMEG_1659	0.6429	8
MSMEG_1661	0.4286	3
MSMEG_1662	0.6429	6
MSMEG_1672	0.7143	7
MSMEG_1673	0.5714	3
MSMEG_1675	0.5714	4
MSMEG_1680	0.7143	5
MSMEG_1682	0.7143	7
MSMEG_1683	0.6429	7
MSMEG_1685	0.3571	2
MSMEG_1689	0.7857	8
MSMEG_1698	0.8571	10
MSMEG_1719	0.3571	1
MSMEG_1722	0.7143	7
MSMEG_1723	0.5714	6
MSMEG_1726	0.5	3
MSMEG_1728	0.7143	6
MSMEG_1732	0.4286	1
MSMEG_1733	0.5	3
MSMEG_1738	0.7857	7
MSMEG_1770	0.7857	7
MSMEG_1773	0.6429	7
MSMEG_1778	0.5	3
MSMEG_1782	0.7143	7
MSMEG_1786	0.5714	4
MSMEG_1791	0.7857	8
MSMEG_1799	0.6429	6
MSMEG_1801	0.5	3
MSMEG_1802	0.7857	9
MSMEG_1803	0.6429	7
MSMEG_1804	0.5	4
MSMEG_1805	0.5714	5
MSMEG_1807	0.6429	6
MSMEG_1812	0.5714	4
MSMEG_1821	0.7143	7
MSMEG_1822	0.5	2
MSMEG_1831	0.8571	9
MSMEG_1834	0.5714	5
MSMEG_1836	0.5714	4
MSMEG_1838	0.8571	9
MSMEG_1839	0.7857	8
MSMEG_1861	0.6429	7
MSMEG_1862	0.5	3
MSMEG_1863	0.6429	5
MSMEG_1868	0.5714	6
MSMEG_1869	0.4286	4
MSMEG_1870	0.7857	7
MSMEG_1872	0.7143	8
MSMEG_1875	0.6429	5
MSMEG_1880	0.4286	3
MSMEG_1881	0.6429	7
MSMEG_1882	0.7143	7
MSMEG_1887	0.5714	5
MSMEG_1895	0.5	3
MSMEG_1902	0.5	4
MSMEG_1905	0.7143	7
MSMEG_1914	0.7143	7
MSMEG_1916	0.5714	6
MSMEG_1917	0.7143	8
MSMEG_1918	0.6429	6
MSMEG_1919	0.6429	6
MSMEG_1929	0.5714	4
MSMEG_1930	0.2857	1
MSMEG_1932	0.5714	5
MSMEG_1933	0.3571	2
MSMEG_1934	0.7143	9
MSMEG_1935	0.6429	6
MSMEG_1937	0.6429	7
MSMEG_1945	0.5	3
MSMEG_1949	0.5	2
MSMEG_1953	0.8571	10
MSMEG_1955	0.6429	5
MSMEG_1960	0.6429	5
MSMEG_1966	0.8571	10
MSMEG_1969	0.5714	6
MSMEG_1976	0.7143	7
MSMEG_1981	0.7143	7
MSMEG_1985	0.7143	7
MSMEG_1986	0.7143	7
MSMEG_1989	0.7857	9
MSMEG_1991	0.8571	9
MSMEG_1999	0.8571	9
MSMEG_2000	0.7857	9
MSMEG_2002	0.8571	10
MSMEG_2007	0.7857	9
MSMEG_2009	0.5714	5
MSMEG_2010	0.7143	5
MSMEG_2011	0.5714	5
MSMEG_2017	0.5714	5
MSMEG_2019	0.4286	3
MSMEG_2021	0.6429	6
MSMEG_2029	0.6429	6
MSMEG_2033	0.6429	7
MSMEG_2039	0.7143	7
MSMEG_2042	0.7143	8
MSMEG_2044	0.4286	2
MSMEG_2045	0.7857	8
MSMEG_2049	0.7857	8
MSMEG_2072	0.7143	7
MSMEG_2074	0.5714	4
MSMEG_2075	0.4286	3
MSMEG_2078	0.5714	4
MSMEG_2080	0.6429	6
MSMEG_2081	0.5714	5
MSMEG_2087	0.7143	5
MSMEG_2091	0.7143	7
MSMEG_2092	0.8571	10
MSMEG_2103	0.4286	2
MSMEG_2105	0.5714	4
MSMEG_2106	0.8571	9
MSMEG_2107	0.5714	5
MSMEG_2108	0.5714	4
MSMEG_2111	0.7143	6
MSMEG_2116	0.7857	8
MSMEG_2117	0.7143	7
MSMEG_2124	0.5714	6
MSMEG_2125	0.7857	9
MSMEG_2142	0.8571	10
MSMEG_2149	0.4286	3
MSMEG_2157	0.7143	7
MSMEG_2162	0.7143	8
MSMEG_2164	0.4286	2
MSMEG_2173	0.8571	9
MSMEG_2174	0.7857	8
MSMEG_2189	0.7143	7
MSMEG_2191	0.7857	7
MSMEG_2195	0.5	4
MSMEG_2196	0.7143	7
MSMEG_2197	0.6429	5
MSMEG_2198	0.5714	3
MSMEG_2199	0.5	2
MSMEG_2201	0.7143	7
MSMEG_2202	0.6429	6
MSMEG_2204	0.7857	8
MSMEG_2205	0.7857	9
MSMEG_2206	0.6429	5
MSMEG_2211	0.6429	6
MSMEG_2224	0.4286	1
MSMEG_2225	0.5714	5
MSMEG_2226	0.7143	7
MSMEG_2227	0.7857	8
MSMEG_2245	0.8571	10
MSMEG_2259	0.7857	8
MSMEG_2261	0.7143	8
MSMEG_2268	0.7143	7
MSMEG_2272	0.7143	6
MSMEG_2273	0.7143	7
MSMEG_2280	0.7143	8
MSMEG_2282	0.8571	10
MSMEG_2284	0.5714	5
MSMEG_2288	0.7143	7
MSMEG_2289	0.6429	5
MSMEG_2292	0.7143	8
MSMEG_2297	0.6429	5
MSMEG_2303	0.7143	6
MSMEG_2307	0.6429	6
MSMEG_2308	0.7143	7
MSMEG_2310	0.7857	9
MSMEG_2313	0.6429	6
MSMEG_2317	0.6429	6
MSMEG_2331	0.7143	7
MSMEG_2332	0.8571	9
MSMEG_2333	0.6429	7
MSMEG_2338	0.5714	3
MSMEG_2349	0.6429	3
MSMEG_2351	0.7857	8
MSMEG_2352	0.5714	4
MSMEG_2372	0.8571	10
MSMEG_2373	0.8571	11
MSMEG_2387	0.7143	6
MSMEG_2389	0.5	5
MSMEG_2397	0.7857	8
MSMEG_2398	0.6429	7
MSMEG_2400	0.5	5
MSMEG_2405	0.3571	0
MSMEG_2407	0.5714	5
MSMEG_2409	0.7143	7
MSMEG_2412	0.6429	5
MSMEG_2416	0.5714	5
MSMEG_2420	0.5	5
MSMEG_2425	0.6429	6
MSMEG_2427	0.8571	11
MSMEG_2435	0.7143	8
MSMEG_2439	0.7857	8
MSMEG_2440	0.7143	6
MSMEG_2442	0.4286	4
MSMEG_2443	0.8571	9
MSMEG_2449	0.5	5
MSMEG_2451	0.5	4
MSMEG_2453	0.7857	8
MSMEG_2455	0.7857	9
MSMEG_2456	0.5714	5
MSMEG_2467	0.7143	6
MSMEG_2469	0.5714	5
MSMEG_2472	0.7143	8
MSMEG_2475	0.6429	6
MSMEG_2478	0.7143	8
MSMEG_2486	0.7857	8
MSMEG_2487	0.7143	6
MSMEG_2488	0.7143	8
MSMEG_2490	0.5	4
MSMEG_2495	0.5714	4
MSMEG_2497	0.8571	10
MSMEG_2506	0.7143	7
MSMEG_2507	0.7143	7
MSMEG_2511	0.7857	8
MSMEG_2512	0.5714	5
MSMEG_2517	0.4286	2
MSMEG_2519	0.5	3
MSMEG_2520	0.6429	7
MSMEG_2526	0.7143	7
MSMEG_2527	0.6429	6
MSMEG_2528	0.6429	5
MSMEG_2529	0.6429	5
MSMEG_2531	0.6429	6
MSMEG_2532	0.4286	3
MSMEG_2540	0.7857	8
MSMEG_2541	0.7143	7
MSMEG_2542	0.5714	3
MSMEG_2543	0.5714	5
MSMEG_2545	0.5714	5
MSMEG_2553	0.5	4
MSMEG_2570	0.7143	5
MSMEG_2571	0.7143	7
MSMEG_2572	0.7857	8
MSMEG_2574	0.6429	6
MSMEG_2579	0.5714	5
MSMEG_2581	0.6429	5
MSMEG_2582	0.5	5
MSMEG_2595	0.7857	9
MSMEG_2597	0.7857	8
MSMEG_2604	0.5714	6
MSMEG_2611	0.7143	7
MSMEG_2613	0.6429	6
MSMEG_2624	0.7143	8
MSMEG_2625	0.7857	9
MSMEG_2630	0.7143	6
MSMEG_2635	0.4286	3
MSMEG_2643	0.5714	3
MSMEG_2645	0.7143	6
MSMEG_2654	0.5714	4
MSMEG_2655	0.4286	1
MSMEG_2656	0.6429	6
MSMEG_2657	0.3571	1
MSMEG_2659	0.5714	6
MSMEG_2663	0.4286	3
MSMEG_2668	0.8571	10
MSMEG_2672	0.6429	6
MSMEG_2673	0.3571	1
MSMEG_2679	0.7143	7
MSMEG_2688	0.6429	5
MSMEG_2693	0.6429	6
MSMEG_2694	0.6429	7
MSMEG_2695	0.7857	8
MSMEG_2696	0.5714	5
MSMEG_2720	0.6429	6
MSMEG_2722	0.5714	4
MSMEG_2723	0.5714	6
MSMEG_2727	0.7857	9
MSMEG_2731	0.5	1
MSMEG_2732	0.6429	6
MSMEG_2737	0.8571	9
MSMEG_2739	0.7857	8
MSMEG_2742	0.7857	8
MSMEG_2743	0.7857	7
MSMEG_2746	0.8571	9
MSMEG_2750	0.7857	8
MSMEG_2751	0.4286	2
MSMEG_2752	0.5714	6
MSMEG_2756	0.9286	11
MSMEG_2758	0.7857	8
MSMEG_2760	0.5714	6
MSMEG_2763	0.8571	9
MSMEG_2768	0.8571	10
MSMEG_2770	0.5	3
MSMEG_2771	0.7143	6
MSMEG_2773	0.5	5
MSMEG_2774	0.4286	3
MSMEG_2775	0.5	4
MSMEG_2778	0.4286	0
MSMEG_2785	0.6429	5
MSMEG_2794	0.7857	8
MSMEG_2798	0.8571	9
MSMEG_2799	0.6429	7
MSMEG_2800	0.5714	4
MSMEG_2804	0.7143	7
MSMEG_2820	0.6429	4
MSMEG_2822	0.5	5
MSMEG_2826	0.6429	7
MSMEG_2829	0.8571	10
MSMEG_2843	0.5	3
MSMEG_2881	0.7143	6
MSMEG_2890	0.5	3
MSMEG_2895	0.7857	8
MSMEG_2898	0.7857	9
MSMEG_2899	0.7143	8
MSMEG_2900	0.7857	8
MSMEG_2901	0.7857	8
MSMEG_2911	0.7143	6
MSMEG_2919	0.5714	6
MSMEG_2931	0.6429	7
MSMEG_2932	0.7857	7
MSMEG_2934	0.7143	7
MSMEG_2936	0.6429	6
MSMEG_2937	0.7143	7
MSMEG_2940	0.7143	7
MSMEG_2941	0.7857	8
MSMEG_2942	0.7143	6
MSMEG_2943	0.6429	7
MSMEG_2947	0.5714	6
MSMEG_2953	0.8571	9
MSMEG_2956	0.5	5
MSMEG_2959	0.5714	6
MSMEG_2960	0.5714	5
MSMEG_2961	0.7143	8
MSMEG_2964	0.5714	4
MSMEG_2965	0.7857	7
MSMEG_2973	0.5	4
MSMEG_2974	0.6429	7
MSMEG_2976	0.5	5
MSMEG_2982	0.7143	7
MSMEG_2989	0.6429	6
MSMEG_2994	0.5	5
MSMEG_3000	0.7143	6
MSMEG_3003	0.5714	5
MSMEG_3008	0.7143	6
MSMEG_3013	0.7143	6
MSMEG_3015	0.6429	6
MSMEG_3019	0.6429	7
MSMEG_3025	0.7143	6
MSMEG_3029	0.4286	3
MSMEG_3033	0.6429	4
MSMEG_3035	0.5714	4
MSMEG_3042	0.5714	6
MSMEG_3045	0.6429	6
MSMEG_3046	0.7857	9
MSMEG_3050	0.9286	11
MSMEG_3053	0.5	5
MSMEG_3055	0.8571	9
MSMEG_3056	0.6429	5
MSMEG_3057	0.6429	6
MSMEG_3062	0.6429	7
MSMEG_3065	0.5714	4
MSMEG_3068	0.7857	7
MSMEG_3072	0.7143	6
MSMEG_3079	0.7143	8
MSMEG_3080	0.5714	5
MSMEG_3081	0.5714	4
MSMEG_3082	0.8571	10
MSMEG_3084	0.8571	9
MSMEG_3085	0.4286	3
MSMEG_3086	0.5714	4
MSMEG_3087	0.5	3
MSMEG_3095	0.3571	3
MSMEG_3103	0.7143	7
MSMEG_3111	0.8571	10
MSMEG_3121	0.5714	4
MSMEG_3122	0.6429	6
MSMEG_3132	0.5714	2
MSMEG_3138	0.6429	6
MSMEG_3140	0.7857	8
MSMEG_3141	0.7857	9
MSMEG_3143	0.5714	6
MSMEG_3145	0.5714	5
MSMEG_3147	0.5714	3
MSMEG_3150	0.7857	7
MSMEG_3155	0.7143	7
MSMEG_3159	0.5714	6
MSMEG_3160	0.5	4
MSMEG_3161	0.5714	6
MSMEG_3163	0.5714	5
MSMEG_3165	0.8571	10
MSMEG_3169	0.7143	7
MSMEG_3180	0.6429	6
MSMEG_3183	0.6429	4
MSMEG_3186	0.5714	4
MSMEG_3189	0.6429	7
MSMEG_3191	0.8571	9
MSMEG_3194	0.5714	4
MSMEG_3196	0.5714	6
MSMEG_3204	0.5714	3
MSMEG_3215	0.5	4
MSMEG_3219	0.8571	9
MSMEG_3225	0.6429	5
MSMEG_3228	0.7143	8
MSMEG_3233	0.6429	6
MSMEG_3235	0.7143	7
MSMEG_3236	0.5714	5
MSMEG_3237	0.7857	7
MSMEG_3247	0.4286	2
MSMEG_3248	0.5714	5
MSMEG_3249	0.6429	6
MSMEG_3250	0.7143	6
MSMEG_3256	0.4286	2
MSMEG_3259	0.7143	7
MSMEG_3265	0.5714	5
MSMEG_3275	0.5714	4
MSMEG_3280	0.6429	7
MSMEG_3283	0.7143	6
MSMEG_3287	0.5714	4
MSMEG_3292	0.5714	5
MSMEG_3297	0.6429	5
MSMEG_3304	0.5	3
MSMEG_3306	0.7143	6
MSMEG_3308	0.7857	8
MSMEG_3312	0.7143	6
MSMEG_3317	0.3571	2
MSMEG_3323	0.6429	6
MSMEG_3325	0.5	4
MSMEG_3327	0.2857	0
MSMEG_3332	0.5714	4
MSMEG_3336	0.6429	6
MSMEG_3337	0.5714	2
MSMEG_3338	0.5714	2
MSMEG_3341	0.7143	7
MSMEG_3342	0.5714	3
MSMEG_3346	0.6429	7
MSMEG_3352	0.8571	9
MSMEG_3357	0.7143	7
MSMEG_3359	0.5714	4
