 	Nucl_A_5pUTR	Nucl_T_5pUTR	Nucl_G_5pUTR	Nucl_C_5pUTR
MSMEG_0094	NA	NA	NA	NA
MSMEG_0095	0.1429	0.1429	0.4286	0.2857
MSMEG_0096	0.3171	0.0976	0.2439	0.3415
MSMEG_0097	NA	NA	NA	NA
MSMEG_0098	NA	NA	NA	NA
MSMEG_0099	NA	NA	NA	NA
MSMEG_0100	NA	NA	NA	NA
MSMEG_0101	0.1304	0.2174	0.5217	0.1304
MSMEG_0102	NA	NA	NA	NA
MSMEG_0103	NA	NA	NA	NA
MSMEG_0104	NA	NA	NA	NA
MSMEG_0105	NA	NA	NA	NA
MSMEG_0106	NA	NA	NA	NA
MSMEG_0107	0.25	0.25	0.25	0.25
MSMEG_0108	NA	NA	NA	NA
MSMEG_0109	0.1623	0.2193	0.2807	0.3377
MSMEG_0110	0.2222	0.1481	0.2963	0.3333
MSMEG_0111	NA	NA	NA	NA
MSMEG_0112	NA	NA	NA	NA
MSMEG_0113	NA	NA	NA	NA
MSMEG_0114	NA	NA	NA	NA
MSMEG_0115	NA	NA	NA	NA
MSMEG_0116	NA	NA	NA	NA
MSMEG_0117	0.2414	0.3448	0.2069	0.2069
MSMEG_0118	0.2632	0.2632	0.4211	0.0526
MSMEG_0119	NA	NA	NA	NA
MSMEG_0120	0	0	0	1.0
MSMEG_0121	NA	NA	NA	NA
MSMEG_0122	NA	NA	NA	NA
MSMEG_0123	NA	NA	NA	NA
MSMEG_0124	NA	NA	NA	NA
MSMEG_0125	NA	NA	NA	NA
MSMEG_0126	NA	NA	NA	NA
MSMEG_0127	NA	NA	NA	NA
MSMEG_0128	NA	NA	NA	NA
MSMEG_0129	NA	NA	NA	NA
MSMEG_0130	0.2533	0.1067	0.24	0.4
MSMEG_0131	0.3026	0.1974	0.2237	0.2763
MSMEG_0132	0.2074	0.1556	0.3852	0.2519
MSMEG_0133	0.1613	0.2419	0.3387	0.2581
MSMEG_0134	NA	NA	NA	NA
MSMEG_0135	NA	NA	NA	NA
MSMEG_0136	NA	NA	NA	NA
MSMEG_0137	NA	NA	NA	NA
MSMEG_0138	NA	NA	NA	NA
MSMEG_0139	NA	NA	NA	NA
MSMEG_0140	0.2178	0.1188	0.3366	0.3267
MSMEG_0141	NA	NA	NA	NA
MSMEG_0142	0.2252	0.1441	0.2973	0.3333
MSMEG_0143	0.2544	0.1237	0.2898	0.3322
MSMEG_0144	NA	NA	NA	NA
MSMEG_0145	0.2016	0.1783	0.3023	0.3178
MSMEG_0146	NA	NA	NA	NA
MSMEG_0147	NA	NA	NA	NA
MSMEG_0148	NA	NA	NA	NA
MSMEG_0149	NA	NA	NA	NA
MSMEG_0150	NA	NA	NA	NA
MSMEG_0151	NA	NA	NA	NA
MSMEG_0152	0.25	0.1429	0.2857	0.3214
MSMEG_0153	0.2857	0.1905	0.3214	0.2024
MSMEG_0154	NA	NA	NA	NA
MSMEG_0155	0.3056	0.1389	0.2778	0.2778
MSMEG_0156	NA	NA	NA	NA
MSMEG_0157	NA	NA	NA	NA
MSMEG_0158	NA	NA	NA	NA
MSMEG_0159	NA	NA	NA	NA
MSMEG_0160	NA	NA	NA	NA
MSMEG_0161	NA	NA	NA	NA
MSMEG_0162	NA	NA	NA	NA
MSMEG_0163	NA	NA	NA	NA
MSMEG_0164	NA	NA	NA	NA
MSMEG_0165	NA	NA	NA	NA
MSMEG_0166	0.2857	0.0714	0.2857	0.3571
MSMEG_0167	0.1983	0.2149	0.2645	0.3223
MSMEG_0168	0.1895	0.2105	0.3684	0.2316
MSMEG_0169	NA	NA	NA	NA
MSMEG_0170	NA	NA	NA	NA
MSMEG_0171	NA	NA	NA	NA
MSMEG_0172	NA	NA	NA	NA
MSMEG_0173	0.1083	0.1833	0.325	0.3833
MSMEG_0174	0.2098	0.1689	0.2834	0.3379
MSMEG_0175	NA	NA	NA	NA
MSMEG_0176	NA	NA	NA	NA
MSMEG_0177	NA	NA	NA	NA
MSMEG_0178	NA	NA	NA	NA
MSMEG_0179	0.2414	0.069	0.3103	0.3793
MSMEG_0180	NA	NA	NA	NA
MSMEG_0181	0.3103	0.1379	0.3103	0.2414
MSMEG_0182	NA	NA	NA	NA
MSMEG_0183	NA	NA	NA	NA
MSMEG_0184	NA	NA	NA	NA
MSMEG_0185	NA	NA	NA	NA
MSMEG_0186	0.3696	0.1957	0.1957	0.2391
MSMEG_0187	NA	NA	NA	NA
MSMEG_0188	NA	NA	NA	NA
MSMEG_0189	NA	NA	NA	NA
MSMEG_0190	NA	NA	NA	NA
MSMEG_0191	0.16	0.15	0.4	0.29
MSMEG_0192	NA	NA	NA	NA
MSMEG_0193	NA	NA	NA	NA
MSMEG_0194	0.15	0.225	0.475	0.15
MSMEG_0195	0.1864	0.1557	0.2873	0.3706
MSMEG_0196	NA	NA	NA	NA
MSMEG_0197	NA	NA	NA	NA
MSMEG_0198	NA	NA	NA	NA
MSMEG_0200	NA	NA	NA	NA
MSMEG_0201	NA	NA	NA	NA
MSMEG_0202	NA	NA	NA	NA
MSMEG_0203	0.2243	0.1869	0.4206	0.1682
MSMEG_0204	NA	NA	NA	NA
MSMEG_0205	NA	NA	NA	NA
MSMEG_0206	0.4545	0.0909	0.3636	0.0909
MSMEG_0207	NA	NA	NA	NA
MSMEG_0208	0.175	0.075	0.475	0.275
MSMEG_0209	NA	NA	NA	NA
MSMEG_0210	0.162	0.2011	0.3268	0.3101
MSMEG_0211	NA	NA	NA	NA
MSMEG_0212	NA	NA	NA	NA
MSMEG_0213	NA	NA	NA	NA
MSMEG_0214	NA	NA	NA	NA
MSMEG_0215	NA	NA	NA	NA
MSMEG_0216	NA	NA	NA	NA
MSMEG_0217	NA	NA	NA	NA
MSMEG_0218	0.3667	0.0333	0.3	0.3
MSMEG_0219	NA	NA	NA	NA
MSMEG_0220	NA	NA	NA	NA
MSMEG_0221	NA	NA	NA	NA
MSMEG_0222	0.2895	0.2105	0.2632	0.2368
MSMEG_0223	NA	NA	NA	NA
MSMEG_0224	NA	NA	NA	NA
MSMEG_0225	NA	NA	NA	NA
MSMEG_0226	0.1786	0.1429	0.3071	0.3714
MSMEG_0227	0.1975	0.1605	0.4198	0.2222
MSMEG_0228	0.0909	0.2727	0.6364	0
MSMEG_0229	NA	NA	NA	NA
MSMEG_0230	NA	NA	NA	NA
MSMEG_0231	NA	NA	NA	NA
MSMEG_0232	0.3333	0	0	0.6667
MSMEG_0233	0.1818	0.2727	0.3182	0.2273
MSMEG_0234	NA	NA	NA	NA
MSMEG_0235	NA	NA	NA	NA
MSMEG_0236	NA	NA	NA	NA
MSMEG_0237	NA	NA	NA	NA
MSMEG_0238	NA	NA	NA	NA
MSMEG_0239	NA	NA	NA	NA
MSMEG_0240	0.1943	0.1371	0.3886	0.28
MSMEG_0241	0.2754	0.1159	0.3188	0.2899
MSMEG_0242	0.1729	0.2196	0.3084	0.2991
MSMEG_0243	0.1807	0.2289	0.2892	0.3012
MSMEG_0244	NA	NA	NA	NA
MSMEG_0245	0.169	0.2042	0.3169	0.3099
MSMEG_0246	NA	NA	NA	NA
MSMEG_0247	NA	NA	NA	NA
MSMEG_0248	NA	NA	NA	NA
MSMEG_0249	NA	NA	NA	NA
MSMEG_0250	0.1926	0.1838	0.3282	0.2954
MSMEG_0251	NA	NA	NA	NA
MSMEG_0252	NA	NA	NA	NA
MSMEG_0253	0.1959	0.2165	0.268	0.3196
MSMEG_0254	0	0	0.6	0.4
MSMEG_0255	0.2615	0.1846	0.3231	0.2308
MSMEG_0256	NA	NA	NA	NA
MSMEG_0257	NA	NA	NA	NA
MSMEG_0258	NA	NA	NA	NA
MSMEG_0259	NA	NA	NA	NA
MSMEG_0260	NA	NA	NA	NA
MSMEG_0261	NA	NA	NA	NA
MSMEG_0262	NA	NA	NA	NA
MSMEG_0263	NA	NA	NA	NA
MSMEG_0264	0.1344	0.1774	0.3978	0.2903
MSMEG_0265	NA	NA	NA	NA
MSMEG_0266	NA	NA	NA	NA
MSMEG_0267	NA	NA	NA	NA
MSMEG_0268	0.1481	0.1481	0.4815	0.2222
MSMEG_0269	NA	NA	NA	NA
MSMEG_0270	0.2069	0.1379	0.3621	0.2931
MSMEG_0271	NA	NA	NA	NA
MSMEG_0272	NA	NA	NA	NA
MSMEG_0273	NA	NA	NA	NA
MSMEG_0274	NA	NA	NA	NA
MSMEG_0275	NA	NA	NA	NA
MSMEG_0276	NA	NA	NA	NA
MSMEG_0277	NA	NA	NA	NA
MSMEG_0278	NA	NA	NA	NA
MSMEG_0279	NA	NA	NA	NA
MSMEG_0280	NA	NA	NA	NA
MSMEG_0281	NA	NA	NA	NA
MSMEG_0282	0.1912	0.1176	0.2647	0.4265
MSMEG_0283	NA	NA	NA	NA
MSMEG_0284	NA	NA	NA	NA
MSMEG_0285	0.2222	0.1111	0.4444	0.2222
MSMEG_0286	NA	NA	NA	NA
MSMEG_0287	NA	NA	NA	NA
MSMEG_0288	NA	NA	NA	NA
MSMEG_0289	NA	NA	NA	NA
MSMEG_0290	0.2368	0.1316	0.3289	0.3026
MSMEG_0291	NA	NA	NA	NA
MSMEG_0292	NA	NA	NA	NA
MSMEG_0293	NA	NA	NA	NA
MSMEG_0294	NA	NA	NA	NA
MSMEG_0295	NA	NA	NA	NA
MSMEG_0296	0.2381	0	0.4762	0.2857
MSMEG_0297	NA	NA	NA	NA
MSMEG_0298	NA	NA	NA	NA
MSMEG_0299	0.2154	0.0923	0.3231	0.3692
MSMEG_0300	0.1667	0.1667	0.3889	0.2778
MSMEG_0301	NA	NA	NA	NA
MSMEG_0302	NA	NA	NA	NA
MSMEG_0303	0.3125	0.1875	0.4375	0.0625
MSMEG_0304	NA	NA	NA	NA
MSMEG_0305	0.2647	0.1471	0.2353	0.3529
MSMEG_0306	NA	NA	NA	NA
MSMEG_0307	NA	NA	NA	NA
MSMEG_0308	NA	NA	NA	NA
MSMEG_0309	0.2571	0.2571	0.3429	0.1429
MSMEG_0311	0	0	1.0	0
MSMEG_0312	NA	NA	NA	NA
MSMEG_0313	NA	NA	NA	NA
MSMEG_0314	0.1786	0.25	0.1786	0.3929
MSMEG_0315	NA	NA	NA	NA
MSMEG_0316	NA	NA	NA	NA
MSMEG_0317	0.2069	0.1552	0.3793	0.2586
MSMEG_0318	NA	NA	NA	NA
MSMEG_0319	NA	NA	NA	NA
MSMEG_0320	NA	NA	NA	NA
MSMEG_0321	0.2045	0.0909	0.5	0.2045
MSMEG_0323	NA	NA	NA	NA
MSMEG_0324	NA	NA	NA	NA
MSMEG_0325	NA	NA	NA	NA
MSMEG_0326	NA	NA	NA	NA
MSMEG_0327	NA	NA	NA	NA
MSMEG_0328	NA	NA	NA	NA
MSMEG_0329	NA	NA	NA	NA
MSMEG_0330	NA	NA	NA	NA
MSMEG_0331	0.25	0.2143	0.2143	0.3214
MSMEG_0332	NA	NA	NA	NA
MSMEG_0333	NA	NA	NA	NA
MSMEG_0334	NA	NA	NA	NA
MSMEG_0335	NA	NA	NA	NA
MSMEG_0336	NA	NA	NA	NA
MSMEG_0337	NA	NA	NA	NA
MSMEG_0338	NA	NA	NA	NA
MSMEG_0339	NA	NA	NA	NA
MSMEG_0340	NA	NA	NA	NA
MSMEG_0341	0.25	0.1532	0.2661	0.3306
MSMEG_0342	NA	NA	NA	NA
MSMEG_0343	0	0	0.5	0.5
MSMEG_0344	NA	NA	NA	NA
MSMEG_0345	NA	NA	NA	NA
MSMEG_0346	NA	NA	NA	NA
MSMEG_0347	NA	NA	NA	NA
MSMEG_0348	0.2534	0.1849	0.274	0.2877
MSMEG_0349	NA	NA	NA	NA
MSMEG_0350	NA	NA	NA	NA
MSMEG_0351	NA	NA	NA	NA
MSMEG_0352	NA	NA	NA	NA
MSMEG_0353	NA	NA	NA	NA
MSMEG_0354	NA	NA	NA	NA
MSMEG_0355	NA	NA	NA	NA
MSMEG_0356	NA	NA	NA	NA
MSMEG_0357	NA	NA	NA	NA
MSMEG_0358	0.2069	0.2069	0.2759	0.3103
MSMEG_0359	0.118	0.2022	0.3539	0.3258
MSMEG_0360	NA	NA	NA	NA
MSMEG_0361	NA	NA	NA	NA
MSMEG_0362	NA	NA	NA	NA
MSMEG_0363	0.125	0.375	0.125	0.375
MSMEG_0364	NA	NA	NA	NA
MSMEG_0365	NA	NA	NA	NA
MSMEG_0366	0.1707	0.122	0.4146	0.2927
MSMEG_0367	NA	NA	NA	NA
MSMEG_0368	0.25	0.0938	0.4062	0.25
MSMEG_0369	NA	NA	NA	NA
MSMEG_0370	NA	NA	NA	NA
MSMEG_0371	NA	NA	NA	NA
MSMEG_0372	0.3529	0.0882	0.3529	0.2059
MSMEG_0373	NA	NA	NA	NA
MSMEG_0374	NA	NA	NA	NA
MSMEG_0375	NA	NA	NA	NA
MSMEG_0376	0.1622	0.2162	0.2703	0.3514
MSMEG_0377	NA	NA	NA	NA
MSMEG_0378	NA	NA	NA	NA
MSMEG_0379	NA	NA	NA	NA
MSMEG_0380	0.1429	0.2143	0.3571	0.2857
MSMEG_0381	0.2647	0.1471	0.2353	0.3529
MSMEG_0382	0.1567	0.2212	0.318	0.3041
MSMEG_0383	0.2049	0.2623	0.3115	0.2213
MSMEG_0384	0.2619	0.131	0.25	0.3571
MSMEG_0385	NA	NA	NA	NA
MSMEG_0386	0.3333	0	0	0.6667
MSMEG_0387	0.1871	0.2302	0.2734	0.3094
MSMEG_0388	0.2328	0.2328	0.2931	0.2414
MSMEG_0389	NA	NA	NA	NA
MSMEG_0390	NA	NA	NA	NA
MSMEG_0391	NA	NA	NA	NA
MSMEG_0392	0.16	0.2533	0.3133	0.2733
MSMEG_0393	NA	NA	NA	NA
MSMEG_0394	NA	NA	NA	NA
MSMEG_0395	NA	NA	NA	NA
MSMEG_0396	NA	NA	NA	NA
MSMEG_0397	NA	NA	NA	NA
MSMEG_0398	0.2	0.2148	0.4074	0.1778
MSMEG_0399	0.2469	0.2099	0.2963	0.2469
MSMEG_0400	NA	NA	NA	NA
MSMEG_0401	NA	NA	NA	NA
MSMEG_0402	0.241	0.2052	0.2834	0.2704
MSMEG_0403	NA	NA	NA	NA
MSMEG_0404	0.3571	0	0.4286	0.2143
MSMEG_0405	NA	NA	NA	NA
MSMEG_0406	0.2619	0.2262	0.2976	0.2143
MSMEG_0407	NA	NA	NA	NA
MSMEG_0408	0.2025	0.1646	0.3418	0.2911
MSMEG_0409	0.1864	0.1186	0.4068	0.2881
MSMEG_0410	0.189	0.1911	0.2967	0.3232
MSMEG_0411	0.2623	0.1639	0.2295	0.3443
MSMEG_0412	0.2143	0.1429	0.4643	0.1786
MSMEG_0413	0.3333	0	0	0.6667
MSMEG_0414	NA	NA	NA	NA
MSMEG_0415	0	0.6667	0.3333	0
MSMEG_0416	0.4062	0.0625	0.25	0.2812
MSMEG_0417	NA	NA	NA	NA
MSMEG_0418	NA	NA	NA	NA
MSMEG_0419	0.2345	0.114	0.2997	0.3518
MSMEG_0420	0.2308	0.1154	0.2692	0.3846
MSMEG_0421	NA	NA	NA	NA
MSMEG_0422	0.1316	0.1842	0.5	0.1842
MSMEG_0423	NA	NA	NA	NA
MSMEG_0424	NA	NA	NA	NA
MSMEG_0425	NA	NA	NA	NA
MSMEG_0426	NA	NA	NA	NA
MSMEG_0427	NA	NA	NA	NA
MSMEG_0428	0.176	0.1674	0.309	0.3476
MSMEG_0429	0.2198	0.1209	0.3187	0.3407
MSMEG_0430	NA	NA	NA	NA
MSMEG_0431	NA	NA	NA	NA
MSMEG_0432	NA	NA	NA	NA
MSMEG_0433	0.1383	0.1879	0.3369	0.3369
MSMEG_0434	NA	NA	NA	NA
MSMEG_0435	NA	NA	NA	NA
MSMEG_0436	NA	NA	NA	NA
MSMEG_0437	NA	NA	NA	NA
MSMEG_0438	NA	NA	NA	NA
MSMEG_0439	NA	NA	NA	NA
MSMEG_0440	NA	NA	NA	NA
MSMEG_0441	NA	NA	NA	NA
MSMEG_0442	NA	NA	NA	NA
MSMEG_0443	0.2174	0.3913	0.2174	0.1739
MSMEG_0444	NA	NA	NA	NA
MSMEG_0445	NA	NA	NA	NA
MSMEG_0446	NA	NA	NA	NA
MSMEG_0447	0.3488	0.2093	0.2558	0.186
MSMEG_0448	NA	NA	NA	NA
MSMEG_0449	0.2162	0.2162	0.2973	0.2703
MSMEG_0450	0.1767	0.1609	0.3533	0.3091
MSMEG_0451	0.2581	0.1613	0.3871	0.1935
MSMEG_0452	NA	NA	NA	NA
MSMEG_0453	0.3448	0.1034	0.2414	0.3103
MSMEG_0454	NA	NA	NA	NA
MSMEG_0455	0.1667	0.1212	0.3636	0.3485
MSMEG_0456	NA	NA	NA	NA
MSMEG_0457	0.2941	0.1471	0.2353	0.3235
MSMEG_0458	NA	NA	NA	NA
MSMEG_0459	NA	NA	NA	NA
MSMEG_0460	NA	NA	NA	NA
MSMEG_0461	NA	NA	NA	NA
MSMEG_0462	0.2	0.12	0.46	0.22
MSMEG_0463	NA	NA	NA	NA
MSMEG_0464	NA	NA	NA	NA
MSMEG_0465	0.32	0.16	0.28	0.24
MSMEG_0466	0.25	0.2188	0.2188	0.3125
MSMEG_0467	NA	NA	NA	NA
MSMEG_0468	NA	NA	NA	NA
MSMEG_0469	NA	NA	NA	NA
MSMEG_0470	NA	NA	NA	NA
MSMEG_0471	NA	NA	NA	NA
MSMEG_0472	NA	NA	NA	NA
MSMEG_0473	0.1928	0.1807	0.3735	0.253
MSMEG_0474	NA	NA	NA	NA
MSMEG_0475	NA	NA	NA	NA
MSMEG_0476	NA	NA	NA	NA
MSMEG_0477	NA	NA	NA	NA
MSMEG_0478	NA	NA	NA	NA
MSMEG_0479	NA	NA	NA	NA
MSMEG_0480	0.4	0	0.4	0.2
MSMEG_0481	NA	NA	NA	NA
MSMEG_0482	NA	NA	NA	NA
MSMEG_0483	NA	NA	NA	NA
MSMEG_0484	0.1531	0.1633	0.3333	0.3503
MSMEG_0485	NA	NA	NA	NA
MSMEG_0486	NA	NA	NA	NA
MSMEG_0487	NA	NA	NA	NA
MSMEG_0488	NA	NA	NA	NA
MSMEG_0489	NA	NA	NA	NA
MSMEG_0490	NA	NA	NA	NA
MSMEG_0491	NA	NA	NA	NA
MSMEG_0492	NA	NA	NA	NA
MSMEG_0493	0.3947	0.0789	0.2632	0.2632
MSMEG_0494	0.3784	0.0811	0.2973	0.2432
MSMEG_0496	NA	NA	NA	NA
MSMEG_0497	NA	NA	NA	NA
MSMEG_0498	NA	NA	NA	NA
MSMEG_0499	0.1923	0.0962	0.3462	0.3654
MSMEG_0500	0.1852	0.1235	0.3704	0.321
MSMEG_0501	NA	NA	NA	NA
MSMEG_0502	NA	NA	NA	NA
MSMEG_0503	NA	NA	NA	NA
MSMEG_0504	0.2742	0.129	0.2903	0.3065
MSMEG_0505	NA	NA	NA	NA
MSMEG_0506	NA	NA	NA	NA
MSMEG_0507	NA	NA	NA	NA
MSMEG_0508	NA	NA	NA	NA
MSMEG_0509	NA	NA	NA	NA
MSMEG_0510	NA	NA	NA	NA
MSMEG_0511	NA	NA	NA	NA
MSMEG_0512	NA	NA	NA	NA
MSMEG_0513	NA	NA	NA	NA
MSMEG_0514	NA	NA	NA	NA
MSMEG_0515	NA	NA	NA	NA
MSMEG_0516	NA	NA	NA	NA
MSMEG_0517	NA	NA	NA	NA
MSMEG_0518	NA	NA	NA	NA
MSMEG_0519	0.3333	0.1333	0.4	0.1333
MSMEG_0520	0.25	0.0714	0.4286	0.25
MSMEG_0522	NA	NA	NA	NA
MSMEG_0523	NA	NA	NA	NA
MSMEG_0524	NA	NA	NA	NA
MSMEG_0525	NA	NA	NA	NA
MSMEG_0526	NA	NA	NA	NA
MSMEG_0527	NA	NA	NA	NA
MSMEG_0528	NA	NA	NA	NA
MSMEG_0529	NA	NA	NA	NA
MSMEG_0530	0.2208	0.2078	0.3377	0.2338
MSMEG_0531	0.2028	0.1321	0.2689	0.3962
MSMEG_0532	NA	NA	NA	NA
MSMEG_0533	NA	NA	NA	NA
MSMEG_0534	NA	NA	NA	NA
MSMEG_0535	NA	NA	NA	NA
MSMEG_0536	NA	NA	NA	NA
MSMEG_0537	0.2216	0.1289	0.3144	0.3351
MSMEG_0538	NA	NA	NA	NA
MSMEG_0539	0.3056	0.1667	0.3611	0.1667
MSMEG_0540	0.1579	0.2105	0.4211	0.2105
MSMEG_0541	NA	NA	NA	NA
MSMEG_0542	NA	NA	NA	NA
MSMEG_0543	NA	NA	NA	NA
MSMEG_0544	NA	NA	NA	NA
MSMEG_0545	0.2157	0.1765	0.3333	0.2745
MSMEG_0546	NA	NA	NA	NA
MSMEG_0547	0.125	0.375	0.5	0
MSMEG_0548	NA	NA	NA	NA
MSMEG_0549	0.2063	0.139	0.3767	0.278
MSMEG_0550	NA	NA	NA	NA
MSMEG_0551	NA	NA	NA	NA
MSMEG_0552	NA	NA	NA	NA
MSMEG_0553	NA	NA	NA	NA
MSMEG_0554	NA	NA	NA	NA
MSMEG_0555	NA	NA	NA	NA
MSMEG_0556	NA	NA	NA	NA
MSMEG_0557	0.1752	0.2117	0.2409	0.3723
MSMEG_0558	NA	NA	NA	NA
MSMEG_0559	0.25	0.2955	0.2955	0.1591
MSMEG_0560	0.2679	0.0714	0.3393	0.3214
MSMEG_0561	NA	NA	NA	NA
MSMEG_0562	NA	NA	NA	NA
MSMEG_0563	NA	NA	NA	NA
MSMEG_0564	NA	NA	NA	NA
MSMEG_0565	NA	NA	NA	NA
MSMEG_0566	0.1692	0.1077	0.4462	0.2769
MSMEG_0567	NA	NA	NA	NA
MSMEG_0568	NA	NA	NA	NA
MSMEG_0569	NA	NA	NA	NA
MSMEG_0570	NA	NA	NA	NA
MSMEG_0571	NA	NA	NA	NA
MSMEG_0572	0.1406	0.1406	0.2344	0.4844
MSMEG_0573	NA	NA	NA	NA
MSMEG_0574	0.1846	0.2077	0.3385	0.2692
MSMEG_0575	0.2019	0.25	0.3269	0.2212
MSMEG_0576	NA	NA	NA	NA
MSMEG_0577	NA	NA	NA	NA
MSMEG_0578	NA	NA	NA	NA
MSMEG_0579	NA	NA	NA	NA
MSMEG_0580	NA	NA	NA	NA
MSMEG_0581	0.36	0.08	0.2	0.36
MSMEG_0582	NA	NA	NA	NA
MSMEG_0583	0.1081	0.1802	0.3784	0.3333
MSMEG_0584	NA	NA	NA	NA
MSMEG_0585	NA	NA	NA	NA
MSMEG_0586	0.2957	0.1565	0.2609	0.287
MSMEG_0587	NA	NA	NA	NA
MSMEG_0588	NA	NA	NA	NA
MSMEG_0589	NA	NA	NA	NA
MSMEG_0590	NA	NA	NA	NA
MSMEG_0591	NA	NA	NA	NA
MSMEG_0592	NA	NA	NA	NA
MSMEG_0593	NA	NA	NA	NA
MSMEG_0594	NA	NA	NA	NA
MSMEG_0595	0.2632	0.2105	0.3158	0.2105
MSMEG_0596	0.25	0.1618	0.2647	0.3235
MSMEG_0597	NA	NA	NA	NA
MSMEG_0598	NA	NA	NA	NA
MSMEG_0599	NA	NA	NA	NA
MSMEG_0600	0.2188	0.1667	0.3229	0.2917
MSMEG_0601	NA	NA	NA	NA
MSMEG_0602	0.2073	0.1829	0.2866	0.3232
MSMEG_0603	0.2174	0.2174	0.3043	0.2609
MSMEG_0604	NA	NA	NA	NA
MSMEG_0605	0.2066	0.1529	0.2769	0.3636
MSMEG_0606	0.2093	0.2558	0.3023	0.2326
MSMEG_0607	NA	NA	NA	NA
