 	GC_5pUTR
MSMEG_0411	0.5738
MSMEG_0412	0.6429
MSMEG_0413	0.6667
MSMEG_0415	0.3333
MSMEG_0416	0.5312
MSMEG_0419	0.6515
MSMEG_0420	0.6538
MSMEG_0422	0.6842
MSMEG_0428	0.6567
MSMEG_0429	0.6593
MSMEG_0433	0.6738
MSMEG_0443	0.3913
MSMEG_0447	0.4419
MSMEG_0449	0.5676
MSMEG_0450	0.6625
MSMEG_0451	0.5806
MSMEG_0453	0.5517
MSMEG_0455	0.7121
MSMEG_0457	0.5588
MSMEG_0462	0.68
MSMEG_0465	0.52
MSMEG_0466	0.5312
MSMEG_0473	0.6265
MSMEG_0480	0.6
MSMEG_0484	0.6837
MSMEG_0493	0.5263
MSMEG_0494	0.5405
MSMEG_0499	0.7115
MSMEG_0500	0.6914
MSMEG_0504	0.5968
MSMEG_0519	0.5333
MSMEG_0520	0.6786
MSMEG_0530	0.5714
MSMEG_0531	0.6651
MSMEG_0537	0.6495
MSMEG_0539	0.5278
MSMEG_0540	0.6316
MSMEG_0545	0.6078
MSMEG_0547	0.5
MSMEG_0549	0.6547
MSMEG_0557	0.6131
MSMEG_0559	0.4545
MSMEG_0560	0.6607
MSMEG_0566	0.7231
MSMEG_0572	0.7188
MSMEG_0574	0.6077
MSMEG_0575	0.5481
MSMEG_0581	0.56
MSMEG_0583	0.7117
MSMEG_0586	0.5478
MSMEG_0595	0.5263
MSMEG_0596	0.5882
MSMEG_0600	0.6146
MSMEG_0602	0.6098
MSMEG_0603	0.5652
MSMEG_0605	0.6405
MSMEG_0606	0.5349
MSMEG_0608	0.6596
MSMEG_0615	0.6667
MSMEG_0623	0.639
MSMEG_0638	0.3333
MSMEG_0641	0.5933
MSMEG_0643	0.4848
MSMEG_0656	0.5
MSMEG_0660	0.7097
MSMEG_0661	0.48
MSMEG_0662	0.6891
MSMEG_0663	0.575
MSMEG_0667	0.575
MSMEG_0671	0.5385
MSMEG_0673	0.5376
MSMEG_0674	0.4524
MSMEG_0676	0.5652
MSMEG_0679	0.5852
MSMEG_0689	0.5278
MSMEG_0690	0.5467
MSMEG_0692	0.6429
MSMEG_0698	0.6053
MSMEG_0700	0.6857
MSMEG_0703	0.6371
MSMEG_0704	1.0
MSMEG_0709	0.5495
MSMEG_0711	0.6667
MSMEG_0712	0.6071
MSMEG_0716	0.6174
MSMEG_0722	0.5437
MSMEG_0726	0.65
MSMEG_0728	0.5906
MSMEG_0732	0.4857
MSMEG_0734	0.4
MSMEG_0735	1.0
MSMEG_0736	1.0
MSMEG_0739	0.7182
MSMEG_0740	0.6763
MSMEG_0752	0.6146
MSMEG_0753	0.6429
MSMEG_0758	0.6241
MSMEG_0759	0.6818
MSMEG_0761	1.0
MSMEG_0764	0.6121
MSMEG_0766	1.0
MSMEG_0776	0.5882
MSMEG_0781	0.5333
MSMEG_0787	0.6722
MSMEG_0788	0.5962
MSMEG_0791	0.6633
MSMEG_0796	0.6785
MSMEG_0798	0.6585
MSMEG_0799	0.4966
MSMEG_0801	0.5888
MSMEG_0803	0.5
MSMEG_0806	0.6567
MSMEG_0807	0.6641
MSMEG_0814	0.6364
MSMEG_0818	0.6
MSMEG_0826	0.6364
MSMEG_0828	0.6316
MSMEG_0833	0.52
MSMEG_0839	0.7183
MSMEG_0840	0.5698
MSMEG_0842	0.5
MSMEG_0844	0.6538
MSMEG_0849	0.6957
MSMEG_0855	0.6429
MSMEG_0859	0.4103
MSMEG_0861	1.0
MSMEG_0862	0.6222
MSMEG_0866	0.5789
MSMEG_0876	0.6977
MSMEG_0880	0.6835
MSMEG_0892	0.6446
MSMEG_0894	0.5263
MSMEG_0895	0.7547
MSMEG_0896	0.6132
MSMEG_0900	0.5588
MSMEG_0901	0.614
MSMEG_0909	0.6735
MSMEG_0911	0.5455
MSMEG_0912	0.6308
MSMEG_0913	0.5729
MSMEG_0916	0.5
MSMEG_0918	0.6286
MSMEG_0919	0.5849
MSMEG_0932	0.7003
MSMEG_0940	0.6382
MSMEG_0941	0.6787
MSMEG_0942	0.5962
MSMEG_0944	0.6667
MSMEG_0945	0.5128
MSMEG_0947	0.6211
MSMEG_0948	0.6047
MSMEG_0951	0.6991
MSMEG_0952	0.5714
MSMEG_0962	0.6216
MSMEG_0965	0.5481
MSMEG_0972	0.6722
MSMEG_0974	0.6723
MSMEG_0975	0.5556
MSMEG_0976	0.5
MSMEG_0985	0.6667
MSMEG_0986	0.6364
MSMEG_0987	0.5429
MSMEG_0990	0.7143
MSMEG_0991	0.6544
MSMEG_0999	0.6364
MSMEG_1002	0.5888
MSMEG_1003	0.6023
MSMEG_1005	0.5833
MSMEG_1007	0.7273
MSMEG_1008	0.6034
MSMEG_1012	0.5
MSMEG_1017	0.6456
MSMEG_1019	0.6379
MSMEG_1023	0.6705
MSMEG_1025	0.5846
MSMEG_1027	0.6765
MSMEG_1028	0.5385
MSMEG_1030	0.619
MSMEG_1033	0.6182
MSMEG_1034	1.0
MSMEG_1037	0.5906
MSMEG_1051	0.6731
MSMEG_1052	0.4783
MSMEG_1053	0.5556
MSMEG_1058	0.6154
MSMEG_1060	0.4839
MSMEG_1062	0.6708
MSMEG_1063	0.6944
MSMEG_1065	0.6739
MSMEG_1074	0.5
MSMEG_1076	0.5714
MSMEG_1082	0.6486
MSMEG_1089	0.7282
MSMEG_1112	0.7174
MSMEG_1114	0.5
MSMEG_1116	0.4444
MSMEG_1118	0.5294
MSMEG_1134	0.5102
MSMEG_1138	0.5645
MSMEG_1139	0.5049
MSMEG_1141	0.6429
MSMEG_1153	0.6458
MSMEG_1165	0.6038
MSMEG_1167	0.5854
MSMEG_1168	0.5686
MSMEG_1169	0.6154
MSMEG_1174	0.5
MSMEG_1176	0.8
MSMEG_1177	0.6515
MSMEG_1184	0.8571
MSMEG_1185	0.4615
MSMEG_1188	0.6
MSMEG_1189	0.618
MSMEG_1191	0.625
MSMEG_1193	0.6189
MSMEG_1195	0.5769
MSMEG_1199	0.625
MSMEG_1200	0.5909
MSMEG_1201	0.6154
MSMEG_1204	0.5529
MSMEG_1205	0.6071
MSMEG_1206	0.6667
MSMEG_1207	0.6346
MSMEG_1211	0.7167
MSMEG_1212	0.5424
MSMEG_1220	0.6093
MSMEG_1223	0.6041
MSMEG_1236	0.6222
MSMEG_1238	0.5586
MSMEG_1240	0.5769
MSMEG_1242	0.5789
MSMEG_1245	0.5385
MSMEG_1246	0.5806
MSMEG_1247	0.5689
MSMEG_1251	0.625
MSMEG_1253	0.5804
MSMEG_1255	0.56
MSMEG_1257	0.5888
MSMEG_1258	0.5927
MSMEG_1260	0.619
MSMEG_1262	0.5714
MSMEG_1263	0.6214
MSMEG_1264	0.6508
MSMEG_1268	0.6667
MSMEG_1270	0.6761
MSMEG_1272	0.7075
MSMEG_1274	0.6585
MSMEG_1275	0.6757
MSMEG_1289	0.6351
MSMEG_1292	0.641
MSMEG_1295	0.6506
MSMEG_1296	0.6526
MSMEG_1300	0.5957
MSMEG_1311	0.7222
MSMEG_1313	0.6495
MSMEG_1314	0.6897
MSMEG_1316	0.6667
MSMEG_1317	0.6667
MSMEG_1322	0.5517
MSMEG_1339	0.625
MSMEG_1344	0.5645
MSMEG_1346	0.4706
MSMEG_1350	0.5676
MSMEG_1351	0.6849
MSMEG_1356	0.6038
MSMEG_1361	0.6865
MSMEG_1364	0.6167
MSMEG_1366	0.5804
MSMEG_1367	0.6099
MSMEG_1369	0.7143
MSMEG_1370	0.6
MSMEG_1375	0.5882
MSMEG_1376	0.5455
MSMEG_1379	0.7727
MSMEG_1381	0.6509
MSMEG_1392	0.6875
MSMEG_1394	0.5676
MSMEG_1397	0.6964
MSMEG_1398	0.6231
MSMEG_1401	0.519
MSMEG_1402	0.4333
MSMEG_1403	0.5814
MSMEG_1404	0.6025
MSMEG_1405	0.5888
MSMEG_1410	0.6
MSMEG_1415	0.5
MSMEG_1419	1.0
MSMEG_1423	0.6611
MSMEG_1426	0.6667
MSMEG_1429	0.6111
MSMEG_1430	0.5727
MSMEG_1433	0.6233
MSMEG_1434	0.6444
MSMEG_1435	0.6606
MSMEG_1440	0.7043
MSMEG_1442	0.6855
MSMEG_1446	0.6414
MSMEG_1448	0.5543
MSMEG_1451	0.6279
MSMEG_1455	0.6344
MSMEG_1456	0.5893
MSMEG_1457	0.6471
MSMEG_1465	0.5704
MSMEG_1466	0.5439
MSMEG_1468	0.6769
MSMEG_1470	0.6467
MSMEG_1471	0.567
MSMEG_1472	0.6
MSMEG_1473	0.7414
MSMEG_1479	0.6
MSMEG_1482	0.5802
MSMEG_1483	0.6349
MSMEG_1487	0.6382
MSMEG_1494	0.6659
MSMEG_1496	0.6966
MSMEG_1498	0.5636
MSMEG_1501	0.6471
MSMEG_1502	0.6335
MSMEG_1513	0.6968
MSMEG_1514	0.619
MSMEG_1516	0.7353
MSMEG_1518	0.6842
MSMEG_1520	0.5435
MSMEG_1521	0.8
MSMEG_1522	0.6736
MSMEG_1523	0.6575
MSMEG_1524	0.6404
MSMEG_1525	0.6304
MSMEG_1530	0.4651
MSMEG_1531	0.5368
MSMEG_1540	0.6296
MSMEG_1542	0.6962
MSMEG_1543	0.5333
MSMEG_1544	0.5709
MSMEG_1546	0.6296
MSMEG_1553	0.6154
MSMEG_1556	0.6529
MSMEG_1557	0.6335
MSMEG_1558	0.5721
MSMEG_1559	0.6512
MSMEG_1573	0.7
MSMEG_1574	0.6596
MSMEG_1575	0.4615
MSMEG_1577	0.6743
MSMEG_1580	0.6567
MSMEG_1582	0.6538
MSMEG_1583	0.6216
MSMEG_1585	0.6368
MSMEG_1589	0.6196
MSMEG_1596	0.5077
MSMEG_1597	0.5895
MSMEG_1599	0.6207
MSMEG_1602	0.7
MSMEG_1603	0.6066
MSMEG_1604	0.5294
MSMEG_1608	0.718
MSMEG_1609	0.5
MSMEG_1618	0.6136
MSMEG_1620	0.4906
MSMEG_1629	0.6667
MSMEG_1632	0.6058
MSMEG_1633	0.6947
MSMEG_1634	0.6667
MSMEG_1636	1.0
MSMEG_1637	0.6696
MSMEG_1638	0.6642
MSMEG_1640	0.6205
MSMEG_1642	1.0
MSMEG_1646	0.7049
MSMEG_1652	0.6719
MSMEG_1654	0.5526
MSMEG_1657	0.6667
MSMEG_1659	0.6712
MSMEG_1661	0.6316
MSMEG_1662	0.6061
MSMEG_1672	0.6349
MSMEG_1673	0.5259
MSMEG_1675	0.619
MSMEG_1680	0.6431
MSMEG_1682	0.4667
MSMEG_1683	0.6038
MSMEG_1685	0.7124
MSMEG_1689	0.6797
MSMEG_1698	0.5366
MSMEG_1717	0.6
MSMEG_1719	0.6516
MSMEG_1722	0.6296
MSMEG_1723	0.6909
MSMEG_1726	0.6519
MSMEG_1728	0.5711
MSMEG_1729	0.5
MSMEG_1732	0.6912
MSMEG_1733	0.6192
MSMEG_1738	0.5967
MSMEG_1741	0.0
MSMEG_1744	0.6667
MSMEG_1751	0.0
MSMEG_1770	0.5536
MSMEG_1773	0.6089
MSMEG_1778	0.6642
MSMEG_1782	0.6698
MSMEG_1786	0.5821
MSMEG_1791	0.6905
MSMEG_1799	0.5094
MSMEG_1801	0.6539
MSMEG_1802	0.5741
MSMEG_1803	0.5
MSMEG_1804	0.6269
MSMEG_1805	0.6468
MSMEG_1807	0.4565
MSMEG_1812	0.655
MSMEG_1821	0.6316
MSMEG_1822	0.64
MSMEG_1831	0.5448
MSMEG_1834	0.4615
MSMEG_1836	0.6058
MSMEG_1838	0.5938
MSMEG_1839	0.5143
MSMEG_1854	0.6364
MSMEG_1861	0.5959
MSMEG_1862	0.6519
MSMEG_1863	0.5921
MSMEG_1868	0.5
MSMEG_1869	0.5789
MSMEG_1870	0.4688
MSMEG_1872	0.6364
MSMEG_1875	0.6545
MSMEG_1880	0.6
MSMEG_1881	0.5667
MSMEG_1882	0.6765
MSMEG_1883	0.6667
MSMEG_1886	0.5625
MSMEG_1887	0.5385
MSMEG_1895	0.2963
MSMEG_1902	0.5882
MSMEG_1905	0.6364
MSMEG_1914	0.6111
MSMEG_1916	0.4828
MSMEG_1917	0.6154
MSMEG_1918	0.6631
MSMEG_1919	0.5056
MSMEG_1929	0.7221
MSMEG_1930	0.6233
MSMEG_1932	0.5806
MSMEG_1933	0.7079
MSMEG_1934	0.5778
MSMEG_1935	0.5517
MSMEG_1937	0.5758
MSMEG_1945	0.6364
MSMEG_1947	0.3333
MSMEG_1949	0.6747
MSMEG_1953	0.6374
MSMEG_1955	0.6348
MSMEG_1960	0.6146
MSMEG_1966	0.4762
MSMEG_1969	0.6333
MSMEG_1976	0.65
MSMEG_1981	0.5556
MSMEG_1985	0.5806
MSMEG_1986	0.6829
MSMEG_1989	0.6832
MSMEG_1991	0.55
MSMEG_1996	1.0
MSMEG_1999	0.6364
MSMEG_2000	0.5
MSMEG_2002	0.5888
MSMEG_2007	0.6716
MSMEG_2009	0.5938
MSMEG_2010	0.5844
MSMEG_2011	0.6154
MSMEG_2017	0.56
MSMEG_2019	0.5301
MSMEG_2021	0.6512
MSMEG_2029	0.4762
MSMEG_2033	0.5455
MSMEG_2039	0.6316
MSMEG_2042	0.5405
MSMEG_2043	0.3333
MSMEG_2044	0.5985
MSMEG_2045	0.6982
MSMEG_2049	0.4737
MSMEG_2072	0.6911
MSMEG_2074	0.6802
MSMEG_2075	0.6
MSMEG_2078	0.6054
MSMEG_2080	0.6844
MSMEG_2081	0.6286
MSMEG_2087	0.5495
MSMEG_2091	0.5385
MSMEG_2092	0.6
MSMEG_2103	0.6216
MSMEG_2105	0.6031
MSMEG_2106	0.6
MSMEG_2107	0.6522
MSMEG_2108	0.4286
MSMEG_2111	0.5647
MSMEG_2116	0.625
MSMEG_2117	0.55
MSMEG_2124	0.5696
MSMEG_2125	0.6222
MSMEG_2128	0.3333
MSMEG_2142	0.5833
MSMEG_2149	0.7353
MSMEG_2157	0.623
MSMEG_2162	0.6341
MSMEG_2164	0.6282
MSMEG_2173	0.5294
MSMEG_2174	0.6196
MSMEG_2179	0.3333
MSMEG_2189	0.6849
MSMEG_2191	0.68
MSMEG_2195	0.5968
MSMEG_2196	0.6483
MSMEG_2197	0.662
MSMEG_2198	0.6602
MSMEG_2199	0.6389
MSMEG_2201	0.6102
MSMEG_2202	0.6111
MSMEG_2204	0.6489
MSMEG_2205	0.5263
MSMEG_2206	0.6383
MSMEG_2211	0.5882
MSMEG_2224	0.3684
MSMEG_2225	0.6613
MSMEG_2226	0.6347
MSMEG_2227	0.6341
MSMEG_2245	0.5882
MSMEG_2259	0.5833
MSMEG_2261	0.6552
MSMEG_2268	0.6309
MSMEG_2272	0.6552
MSMEG_2273	0.7407
MSMEG_2280	0.7547
MSMEG_2282	0.5888
MSMEG_2284	0.625
MSMEG_2287	0.7273
MSMEG_2288	0.6034
MSMEG_2289	0.5556
MSMEG_2292	0.5
MSMEG_2297	0.6456
MSMEG_2303	0.6705
MSMEG_2307	0.6765
MSMEG_2308	0.5385
MSMEG_2310	0.619
MSMEG_2313	0.6182
MSMEG_2314	1.0
MSMEG_2317	0.5906
MSMEG_2331	0.6731
MSMEG_2332	0.4783
MSMEG_2333	0.5556
MSMEG_2338	0.6154
MSMEG_2349	0.6828
MSMEG_2351	0.6078
MSMEG_2352	0.5417
MSMEG_2357	0.3333
MSMEG_2372	0.6143
MSMEG_2373	0.5667
MSMEG_2387	0.5315
MSMEG_2389	0.5385
MSMEG_2397	0.6585
MSMEG_2398	0.7391
MSMEG_2400	0.5714
MSMEG_2403	0.6667
MSMEG_2405	0.5686
MSMEG_2407	0.5658
MSMEG_2409	0.6198
MSMEG_2412	0.4889
MSMEG_2416	0.5
MSMEG_2420	0.6522
MSMEG_2425	0.6047
MSMEG_2426	0.5
MSMEG_2427	0.6815
MSMEG_2435	0.6195
MSMEG_2439	0.6154
MSMEG_2440	0.6148
MSMEG_2442	0.6322
MSMEG_2443	0.561
MSMEG_2449	0.4828
MSMEG_2451	0.6659
MSMEG_2453	0.55
MSMEG_2455	0.4828
MSMEG_2456	0.5556
MSMEG_2467	0.7432
MSMEG_2469	0.6562
MSMEG_2472	0.5758
MSMEG_2475	0.3929
MSMEG_2478	0.4655
MSMEG_2486	0.5876
MSMEG_2487	0.4773
MSMEG_2488	0.6341
MSMEG_2490	0.6093
MSMEG_2495	0.6607
MSMEG_2497	0.6364
MSMEG_2506	0.6452
MSMEG_2507	0.5606
MSMEG_2511	0.6984
MSMEG_2512	0.6854
MSMEG_2517	0.7255
MSMEG_2519	0.7021
MSMEG_2520	0.6979
MSMEG_2526	0.6375
MSMEG_2527	0.6
MSMEG_2528	0.6885
MSMEG_2529	0.625
MSMEG_2531	0.7
MSMEG_2532	0.6478
MSMEG_2540	0.6491
MSMEG_2541	0.629
MSMEG_2542	0.5849
MSMEG_2543	0.5634
MSMEG_2545	0.5
MSMEG_2553	0.6827
MSMEG_2570	0.6505
MSMEG_2571	0.7895
MSMEG_2572	0.6793
MSMEG_2574	0.6992
MSMEG_2579	0.6506
MSMEG_2581	0.6559
MSMEG_2582	0.64
MSMEG_2584	0.0
MSMEG_2585	1.0
MSMEG_2594	1.0
MSMEG_2595	0.5978
MSMEG_2597	0.6879
MSMEG_2604	0.7139
MSMEG_2611	0.561
MSMEG_2613	0.6081
MSMEG_2624	0.5763
MSMEG_2625	0.6333
MSMEG_2630	0.7021
MSMEG_2635	0.5692
MSMEG_2639	0.5333
MSMEG_2643	0.6958
MSMEG_2645	0.6667
MSMEG_2654	0.589
MSMEG_2655	0.6911
MSMEG_2656	0.5853
MSMEG_2657	0.6651
MSMEG_2659	0.5185
MSMEG_2663	0.6101
MSMEG_2668	0.7143
MSMEG_2672	0.7407
MSMEG_2673	0.6516
MSMEG_2675	0.6
MSMEG_2679	0.6126
MSMEG_2688	0.575
MSMEG_2693	0.6452
MSMEG_2694	0.6944
MSMEG_2695	0.5714
MSMEG_2696	0.5532
MSMEG_2720	0.6974
MSMEG_2722	0.6957
MSMEG_2723	0.6044
MSMEG_2727	0.4333
MSMEG_2731	0.7297
MSMEG_2732	0.6471
MSMEG_2736	0.25
MSMEG_2737	0.6552
MSMEG_2739	0.6136
MSMEG_2742	0.4941
MSMEG_2743	0.65
MSMEG_2746	0.7119
MSMEG_2750	0.6957
MSMEG_2751	0.7107
MSMEG_2752	0.6429
MSMEG_2755	0.6667
MSMEG_2756	0.64
MSMEG_2758	0.5772
MSMEG_2760	0.7143
MSMEG_2763	0.6154
MSMEG_2768	0.6304
MSMEG_2770	0.5797
MSMEG_2771	0.6458
MSMEG_2773	0.6667
MSMEG_2774	0.56
MSMEG_2775	0.75
MSMEG_2778	0.6837
MSMEG_2780	1.0
MSMEG_2785	0.6915
MSMEG_2794	0.4286
MSMEG_2798	0.6667
MSMEG_2799	0.6188
MSMEG_2800	0.6731
MSMEG_2804	0.6129
MSMEG_2813	1.0
MSMEG_2820	0.602
MSMEG_2822	0.5532
MSMEG_2826	0.6786
MSMEG_2829	0.5888
MSMEG_2840	0.6667
MSMEG_2843	0.6966
MSMEG_2881	0.5294
MSMEG_2890	0.622
MSMEG_2895	0.6765
MSMEG_2898	0.7222
MSMEG_2899	0.4583
MSMEG_2900	0.5862
MSMEG_2901	0.7143
MSMEG_2911	0.6818
MSMEG_2919	0.5968
MSMEG_2931	0.6571
MSMEG_2932	0.6919
MSMEG_2934	0.7024
MSMEG_2936	0.6994
MSMEG_2937	0.4348
MSMEG_2940	0.625
MSMEG_2941	0.5957
MSMEG_2942	0.6286
MSMEG_2943	0.5417
MSMEG_2947	0.4906
MSMEG_2953	0.5263
MSMEG_2956	0.5137
MSMEG_2959	0.6667
MSMEG_2960	0.6418
MSMEG_2961	0.5
MSMEG_2964	0.6216
MSMEG_2965	0.6538
MSMEG_2973	0.7257
MSMEG_2974	0.6818
MSMEG_2976	0.6552
MSMEG_2982	0.5814
MSMEG_2989	0.6027
MSMEG_2994	0.6
MSMEG_3000	0.6667
MSMEG_3003	0.5517
MSMEG_3008	0.6543
MSMEG_3013	0.4386
MSMEG_3015	0.7241
MSMEG_3017	1.0
MSMEG_3019	0.6
MSMEG_3025	0.6441
MSMEG_3029	0.7388
MSMEG_3033	0.5294
MSMEG_3035	0.6493
MSMEG_3042	0.6424
MSMEG_3045	0.7732
MSMEG_3046	0.6892
MSMEG_3050	0.5676
MSMEG_3053	0.584
MSMEG_3055	0.5747
MSMEG_3056	0.52
MSMEG_3057	0.6975
MSMEG_3062	0.6545
MSMEG_3065	0.7222
MSMEG_3068	0.6111
MSMEG_3072	0.6104
MSMEG_3079	0.6242
MSMEG_3080	0.7193
MSMEG_3081	0.6759
MSMEG_3082	0.65
MSMEG_3084	0.4545
MSMEG_3085	0.6346
MSMEG_3086	0.6885
MSMEG_3087	0.6905
MSMEG_3095	0.5978
MSMEG_3103	0.4583
MSMEG_3111	0.6472
MSMEG_3121	0.6216
MSMEG_3122	0.6429
MSMEG_3132	0.6115
MSMEG_3138	0.5455
MSMEG_3140	0.6486
MSMEG_3141	0.6333
MSMEG_3143	0.7111
MSMEG_3145	0.567
MSMEG_3147	0.7154
MSMEG_3150	0.6296
MSMEG_3153	0.3333
MSMEG_3155	0.669
MSMEG_3159	0.6446
MSMEG_3160	0.7014
MSMEG_3161	0.6848
MSMEG_3163	0.6407
MSMEG_3165	0.5888
MSMEG_3169	0.6623
MSMEG_3178	0.5
MSMEG_3180	0.4815
MSMEG_3183	0.5319
MSMEG_3186	0.6203
MSMEG_3187	0.4286
MSMEG_3189	0.6504
MSMEG_3191	0.7027
MSMEG_3194	0.619
MSMEG_3196	0.7283
MSMEG_3204	0.619
MSMEG_3215	0.6709
MSMEG_3219	0.6531
MSMEG_3225	0.6786
MSMEG_3228	0.6316
MSMEG_3233	0.5625
MSMEG_3235	0.6311
MSMEG_3236	0.6583
MSMEG_3237	0.6667
MSMEG_3247	0.6612
MSMEG_3248	0.6674
MSMEG_3249	0.7
MSMEG_3250	0.7188
MSMEG_3256	0.679
MSMEG_3259	0.6747
MSMEG_3265	0.48
MSMEG_3275	0.6143
MSMEG_3280	0.6951
MSMEG_3281	0.5625
MSMEG_3283	0.6047
MSMEG_3287	0.7556
MSMEG_3292	0.6461
MSMEG_3297	0.6867
MSMEG_3304	0.693
MSMEG_3306	0.625
MSMEG_3308	0.8148
MSMEG_3312	0.5859
MSMEG_3314	0.5333
MSMEG_3317	0.6471
MSMEG_3323	0.5682
MSMEG_3325	0.542
MSMEG_3327	0.594
MSMEG_3332	0.6591
MSMEG_3335	1.0
MSMEG_3336	0.5909
MSMEG_3337	0.6204
MSMEG_3338	0.5958
MSMEG_3341	0.6131
MSMEG_3342	0.6533
MSMEG_3344	1.0
MSMEG_3346	0.56
MSMEG_3352	0.627
MSMEG_3357	0.6
MSMEG_3359	0.5956
MSMEG_3361	0.5714
MSMEG_3363	0.5926
MSMEG_3365	0.6409
MSMEG_3375	0.6512
MSMEG_3377	0.6229
MSMEG_3378	0.7
MSMEG_3380	0.6296
MSMEG_3382	0.5
MSMEG_3383	0.6597
MSMEG_3389	0.625
MSMEG_3395	0.5967
MSMEG_3407	0.5625
MSMEG_3412	0.6333
MSMEG_3418	0.6614
MSMEG_3419	0.6098
MSMEG_3421	0.6706
MSMEG_3422	0.5833
MSMEG_3425	0.7143
MSMEG_3426	0.4412
MSMEG_3432	0.595
MSMEG_3435	0.5652
MSMEG_3437	0.5714
MSMEG_3438	0.6683
MSMEG_3439	0.4286
MSMEG_3440	0.625
MSMEG_3441	0.6939
MSMEG_3443	0.6471
MSMEG_3447	0.5472
MSMEG_3449	0.5814
MSMEG_3451	0.5294
MSMEG_3452	0.5075
MSMEG_3454	0.5
MSMEG_3457	0.5789
MSMEG_3459	0.7049
MSMEG_3466	0.685
MSMEG_3471	0.6486
MSMEG_3472	0.625
MSMEG_3476	0.6923
MSMEG_3477	0.5882
MSMEG_3480	1.0
MSMEG_3487	0.5817
MSMEG_3489	0.5935
MSMEG_3490	0.6531
MSMEG_3494	0.4643
MSMEG_3495	0.6129
MSMEG_3497	0.6471
MSMEG_3501	0.6349
MSMEG_3503	0.6343
MSMEG_3504	0.6765
