 	adja_AA_5pUTR	adja_AC_5pUTR	adja_AG_5pUTR	adja_AU_5pUTR	adja_CA_5pUTR	adja_CC_5pUTR	adja_CG_5pUTR	adja_CU_5pUTR	adja_GA_5pUTR	adja_GC_5pUTR	adja_GG_5pUTR	adja_GU_5pUTR	adja_UA_5pUTR	adja_UC_5pUTR	adja_UG_5pUTR	adja_UU_5pUTR
MSMEG_0182	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0183	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0184	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0185	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0186	0.0667	0.0444	0.1111	0.1556	0.1778	0.0222	0.0222	0.0222	0.0667	0.0889	0.0222	0.0222	0.0667	0.0889	0.0222	0.0
MSMEG_0187	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0188	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0189	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0190	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0191	0.0202	0.0505	0.0707	0.0202	0.0505	0.0606	0.1313	0.0404	0.0909	0.1212	0.1212	0.0707	0.0	0.0606	0.0707	0.0202
MSMEG_0192	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0193	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0194	0.0513	0.0513	0.0513	0.0	0.0	0.0256	0.1026	0.0	0.0769	0.0256	0.2308	0.1538	0.0256	0.0513	0.0769	0.0769
MSMEG_0195	0.0308	0.0901	0.0396	0.0264	0.0725	0.1187	0.1407	0.0374	0.0637	0.0901	0.0725	0.0615	0.0176	0.0725	0.0352	0.0308
MSMEG_0196	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0197	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0198	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0200	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0201	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0202	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0203	0.0472	0.0283	0.1226	0.0189	0.0283	0.0094	0.0755	0.0566	0.1415	0.0943	0.1226	0.066	0.0094	0.0377	0.0943	0.0472
MSMEG_0204	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0205	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0206	0.1	0.1	0.2	0.0	0.1	0.0	0.0	0.0	0.3	0.0	0.0	0.1	0.0	0.0	0.1	0.0
MSMEG_0207	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0208	0.0513	0.0513	0.0256	0.0513	0.0256	0.0513	0.2051	0.0	0.1026	0.1795	0.1538	0.0256	0.0	0.0	0.0769	0.0
MSMEG_0209	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
