 	Nucl_A_5pUTR	Nucl_T_5pUTR	Nucl_G_5pUTR	Nucl_C_5pUTR
MSMEG_0195	0.1864	0.1557	0.2873	0.3706
MSMEG_0203	0.2243	0.1869	0.4206	0.1682
MSMEG_0206	0.4545	0.0909	0.3636	0.0909
MSMEG_0208	0.175	0.075	0.475	0.275
MSMEG_0210	0.162	0.2011	0.3268	0.3101
MSMEG_0218	0.3667	0.0333	0.3	0.3
MSMEG_0222	0.2895	0.2105	0.2632	0.2368
MSMEG_0226	0.1786	0.1429	0.3071	0.3714
MSMEG_0227	0.1975	0.1605	0.4198	0.2222
MSMEG_0228	0.0909	0.2727	0.6364	0
MSMEG_0232	0.3333	0	0	0.6667
MSMEG_0233	0.1818	0.2727	0.3182	0.2273
MSMEG_0240	0.1943	0.1371	0.3886	0.28
MSMEG_0241	0.2754	0.1159	0.3188	0.2899
MSMEG_0242	0.1729	0.2196	0.3084	0.2991
MSMEG_0243	0.1807	0.2289	0.2892	0.3012
MSMEG_0245	0.169	0.2042	0.3169	0.3099
MSMEG_0250	0.1926	0.1838	0.3282	0.2954
MSMEG_0253	0.1959	0.2165	0.268	0.3196
MSMEG_0254	0	0	0.6	0.4
MSMEG_0255	0.2615	0.1846	0.3231	0.2308
MSMEG_0264	0.1344	0.1774	0.3978	0.2903
MSMEG_0268	0.1481	0.1481	0.4815	0.2222
MSMEG_0270	0.2069	0.1379	0.3621	0.2931
MSMEG_0282	0.1912	0.1176	0.2647	0.4265
MSMEG_0285	0.2222	0.1111	0.4444	0.2222
MSMEG_0290	0.2368	0.1316	0.3289	0.3026
MSMEG_0296	0.2381	0	0.4762	0.2857
MSMEG_0299	0.2154	0.0923	0.3231	0.3692
MSMEG_0300	0.1667	0.1667	0.3889	0.2778
MSMEG_0303	0.3125	0.1875	0.4375	0.0625
MSMEG_0305	0.2647	0.1471	0.2353	0.3529
MSMEG_0309	0.2571	0.2571	0.3429	0.1429
MSMEG_0311	0	0	1.0	0
MSMEG_0314	0.1786	0.25	0.1786	0.3929
MSMEG_0317	0.2069	0.1552	0.3793	0.2586
MSMEG_0321	0.2045	0.0909	0.5	0.2045
MSMEG_0331	0.25	0.2143	0.2143	0.3214
MSMEG_0341	0.25	0.1532	0.2661	0.3306
MSMEG_0343	0	0	0.5	0.5
MSMEG_0348	0.2534	0.1849	0.274	0.2877
MSMEG_0358	0.2069	0.2069	0.2759	0.3103
MSMEG_0359	0.118	0.2022	0.3539	0.3258
MSMEG_0363	0.125	0.375	0.125	0.375
MSMEG_0366	0.1707	0.122	0.4146	0.2927
MSMEG_0368	0.25	0.0938	0.4062	0.25
MSMEG_0372	0.3529	0.0882	0.3529	0.2059
MSMEG_0376	0.1622	0.2162	0.2703	0.3514
MSMEG_0380	0.1429	0.2143	0.3571	0.2857
MSMEG_0381	0.2647	0.1471	0.2353	0.3529
MSMEG_0382	0.1567	0.2212	0.318	0.3041
MSMEG_0383	0.2049	0.2623	0.3115	0.2213
MSMEG_0384	0.2619	0.131	0.25	0.3571
MSMEG_0386	0.3333	0	0	0.6667
MSMEG_0387	0.1871	0.2302	0.2734	0.3094
MSMEG_0388	0.2328	0.2328	0.2931	0.2414
MSMEG_0392	0.16	0.2533	0.3133	0.2733
MSMEG_0398	0.2	0.2148	0.4074	0.1778
MSMEG_0399	0.2469	0.2099	0.2963	0.2469
MSMEG_0402	0.241	0.2052	0.2834	0.2704
MSMEG_0404	0.3571	0	0.4286	0.2143
MSMEG_0406	0.2619	0.2262	0.2976	0.2143
MSMEG_0408	0.2025	0.1646	0.3418	0.2911
MSMEG_0409	0.1864	0.1186	0.4068	0.2881
MSMEG_0410	0.189	0.1911	0.2967	0.3232
MSMEG_0411	0.2623	0.1639	0.2295	0.3443
MSMEG_0412	0.2143	0.1429	0.4643	0.1786
MSMEG_0413	0.3333	0	0	0.6667
MSMEG_0415	0	0.6667	0.3333	0
MSMEG_0416	0.4062	0.0625	0.25	0.2812
MSMEG_0419	0.2345	0.114	0.2997	0.3518
MSMEG_0420	0.2308	0.1154	0.2692	0.3846
MSMEG_0422	0.1316	0.1842	0.5	0.1842
MSMEG_0428	0.176	0.1674	0.309	0.3476
MSMEG_0429	0.2198	0.1209	0.3187	0.3407
MSMEG_0433	0.1383	0.1879	0.3369	0.3369
MSMEG_0443	0.2174	0.3913	0.2174	0.1739
MSMEG_0447	0.3488	0.2093	0.2558	0.186
MSMEG_0449	0.2162	0.2162	0.2973	0.2703
MSMEG_0450	0.1767	0.1609	0.3533	0.3091
MSMEG_0451	0.2581	0.1613	0.3871	0.1935
MSMEG_0453	0.3448	0.1034	0.2414	0.3103
MSMEG_0455	0.1667	0.1212	0.3636	0.3485
MSMEG_0457	0.2941	0.1471	0.2353	0.3235
MSMEG_0462	0.2	0.12	0.46	0.22
MSMEG_0465	0.32	0.16	0.28	0.24
MSMEG_0466	0.25	0.2188	0.2188	0.3125
MSMEG_0473	0.1928	0.1807	0.3735	0.253
MSMEG_0480	0.4	0	0.4	0.2
MSMEG_0484	0.1531	0.1633	0.3333	0.3503
MSMEG_0493	0.3947	0.0789	0.2632	0.2632
MSMEG_0494	0.3784	0.0811	0.2973	0.2432
MSMEG_0499	0.1923	0.0962	0.3462	0.3654
MSMEG_0500	0.1852	0.1235	0.3704	0.321
MSMEG_0504	0.2742	0.129	0.2903	0.3065
MSMEG_0519	0.3333	0.1333	0.4	0.1333
MSMEG_0520	0.25	0.0714	0.4286	0.25
MSMEG_0530	0.2208	0.2078	0.3377	0.2338
MSMEG_0531	0.2028	0.1321	0.2689	0.3962
MSMEG_0537	0.2216	0.1289	0.3144	0.3351
MSMEG_0539	0.3056	0.1667	0.3611	0.1667
MSMEG_0540	0.1579	0.2105	0.4211	0.2105
MSMEG_0545	0.2157	0.1765	0.3333	0.2745
MSMEG_0547	0.125	0.375	0.5	0
MSMEG_0549	0.2063	0.139	0.3767	0.278
MSMEG_0557	0.1752	0.2117	0.2409	0.3723
MSMEG_0559	0.25	0.2955	0.2955	0.1591
MSMEG_0560	0.2679	0.0714	0.3393	0.3214
MSMEG_0566	0.1692	0.1077	0.4462	0.2769
MSMEG_0572	0.1406	0.1406	0.2344	0.4844
MSMEG_0574	0.1846	0.2077	0.3385	0.2692
MSMEG_0575	0.2019	0.25	0.3269	0.2212
MSMEG_0581	0.36	0.08	0.2	0.36
MSMEG_0583	0.1081	0.1802	0.3784	0.3333
MSMEG_0586	0.2957	0.1565	0.2609	0.287
MSMEG_0595	0.2632	0.2105	0.3158	0.2105
MSMEG_0596	0.25	0.1618	0.2647	0.3235
MSMEG_0600	0.2188	0.1667	0.3229	0.2917
MSMEG_0602	0.2073	0.1829	0.2866	0.3232
MSMEG_0603	0.2174	0.2174	0.3043	0.2609
MSMEG_0605	0.2066	0.1529	0.2769	0.3636
MSMEG_0606	0.2093	0.2558	0.3023	0.2326
MSMEG_0608	0.1277	0.2128	0.4043	0.2553
MSMEG_0615	0.1842	0.1491	0.3684	0.2982
MSMEG_0623	0.239	0.122	0.2732	0.3659
MSMEG_0638	0	0.6667	0.3333	0
MSMEG_0641	0.2067	0.2	0.2667	0.3267
MSMEG_0643	0.3333	0.1818	0.3333	0.1515
MSMEG_0656	0.5	0	0	0.5
MSMEG_0660	0.2581	0.0323	0.4194	0.2903
MSMEG_0661	0.2667	0.2533	0.24	0.24
MSMEG_0662	0.1503	0.1606	0.3368	0.3523
MSMEG_0663	0.25	0.175	0.375	0.2
MSMEG_0667	0.275	0.15	0.3125	0.2625
MSMEG_0671	0.2308	0.2308	0.2821	0.2564
MSMEG_0673	0.2258	0.2366	0.2796	0.2581
MSMEG_0674	0.3571	0.1905	0.2619	0.1905
MSMEG_0676	0.1739	0.2609	0.4783	0.087
MSMEG_0679	0.2102	0.2045	0.3523	0.233
MSMEG_0689	0.3472	0.125	0.2917	0.2361
MSMEG_0690	0.28	0.1733	0.28	0.2667
MSMEG_0692	0.2857	0.0714	0.3571	0.2857
MSMEG_0698	0.1842	0.2105	0.3684	0.2368
MSMEG_0700	0.1939	0.1204	0.3122	0.3735
MSMEG_0703	0.2137	0.1492	0.3669	0.2702
MSMEG_0704	0	0	1.0	0
MSMEG_0709	0.2793	0.1712	0.3063	0.2432
MSMEG_0711	0.2222	0.1111	0.5	0.1667
MSMEG_0712	0.3214	0.0714	0.3571	0.25
MSMEG_0716	0.1902	0.1924	0.2975	0.3199
MSMEG_0722	0.2437	0.2125	0.3063	0.2375
MSMEG_0726	0.15	0.2	0.55	0.1
MSMEG_0728	0.2339	0.1754	0.3275	0.2632
MSMEG_0732	0.2857	0.2286	0.2857	0.2
MSMEG_0734	0.6	0	0.4	0
MSMEG_0735	0	0	1.0	0
MSMEG_0736	0	0	1.0	0
MSMEG_0739	0.1382	0.1436	0.355	0.3631
MSMEG_0740	0.1594	0.1643	0.3382	0.3382
MSMEG_0752	0.2292	0.1562	0.3229	0.2917
MSMEG_0753	0.3214	0.0357	0.4286	0.2143
MSMEG_0758	0.1579	0.218	0.3083	0.3158
MSMEG_0759	0.2045	0.1136	0.3864	0.2955
MSMEG_0761	0	0	0.3333	0.6667
MSMEG_0764	0.1818	0.2061	0.3576	0.2545
MSMEG_0766	0	0	0.6667	0.3333
MSMEG_0776	0.4118	0	0.2353	0.3529
MSMEG_0781	0.2667	0.2	0.2444	0.2889
MSMEG_0787	0.1983	0.1294	0.3361	0.3361
MSMEG_0788	0.2692	0.1346	0.3654	0.2308
MSMEG_0791	0.2041	0.1327	0.3673	0.2959
MSMEG_0796	0.1678	0.1537	0.357	0.3215
MSMEG_0798	0.122	0.2195	0.3902	0.2683
MSMEG_0799	0.2585	0.2449	0.2721	0.2245
MSMEG_0801	0.2243	0.1869	0.4206	0.1682
MSMEG_0803	0.5	0	0	0.5
MSMEG_0806	0.1915	0.1517	0.3109	0.3458
MSMEG_0807	0.2137	0.1221	0.3053	0.3588
MSMEG_0814	0.2091	0.1545	0.3091	0.3273
MSMEG_0818	0.2333	0.1667	0.2	0.4
MSMEG_0826	0.2061	0.1576	0.3394	0.297
MSMEG_0828	0.1974	0.1711	0.3289	0.3026
MSMEG_0833	0.28	0.2	0.32	0.2
MSMEG_0839	0.1408	0.1408	0.3239	0.3944
MSMEG_0840	0.2011	0.2291	0.3128	0.257
MSMEG_0842	0.4583	0.0417	0.3333	0.1667
MSMEG_0844	0.1667	0.1795	0.3333	0.3205
MSMEG_0849	0.1957	0.1087	0.4348	0.2609
MSMEG_0855	0.2143	0.1429	0.3214	0.3214
MSMEG_0859	0.359	0.2308	0.2308	0.1795
MSMEG_0861	0	0	1.0	0
MSMEG_0862	0.1778	0.2	0.3111	0.3111
MSMEG_0866	0.3158	0.1053	0.3684	0.2105
MSMEG_0876	0.1628	0.1395	0.3023	0.3953
MSMEG_0880	0.1799	0.1367	0.3237	0.3597
MSMEG_0892	0.2066	0.1488	0.3719	0.2727
MSMEG_0894	0.2982	0.1754	0.2456	0.2807
MSMEG_0895	0.2075	0.0377	0.3208	0.434
MSMEG_0896	0.2188	0.1679	0.2799	0.3333
MSMEG_0900	0.2647	0.1765	0.3529	0.2059
MSMEG_0901	0.2512	0.1349	0.3163	0.2977
MSMEG_0909	0.2449	0.0816	0.3878	0.2857
MSMEG_0911	0.303	0.1515	0.2576	0.2879
MSMEG_0912	0.2462	0.1231	0.3846	0.2462
MSMEG_0913	0.2708	0.1562	0.2812	0.2917
MSMEG_0916	0.3929	0.1071	0.2857	0.2143
MSMEG_0918	0.2571	0.1143	0.3714	0.2571
MSMEG_0919	0.3396	0.0755	0.2358	0.3491
MSMEG_0932	0.122	0.1777	0.2857	0.4146
MSMEG_0940	0.2033	0.1585	0.3618	0.2764
MSMEG_0941	0.1517	0.1697	0.383	0.2956
MSMEG_0942	0.2115	0.1923	0.3077	0.2885
MSMEG_0944	0.1026	0.2308	0.4359	0.2308
MSMEG_0945	0.2564	0.2308	0.3077	0.2051
MSMEG_0947	0.1677	0.2112	0.4099	0.2112
MSMEG_0948	0.3023	0.093	0.3953	0.2093
MSMEG_0951	0.1641	0.1368	0.3374	0.3617
MSMEG_0952	0.2143	0.2143	0.4286	0.1429
MSMEG_0962	0.2432	0.1351	0.2973	0.3243
MSMEG_0965	0.2667	0.1852	0.3259	0.2222
MSMEG_0972	0.1763	0.1515	0.3257	0.3465
MSMEG_0974	0.2101	0.1176	0.4202	0.2521
MSMEG_0975	0.2222	0.2222	0.4444	0.1111
MSMEG_0976	0.25	0.25	0.4167	0.0833
MSMEG_0985	0.1818	0.1515	0.3939	0.2727
MSMEG_0986	0.3333	0.0303	0.303	0.3333
MSMEG_0987	0.2571	0.2	0.4	0.1429
MSMEG_0990	0.1905	0.0952	0.381	0.3333
MSMEG_0991	0.1468	0.1988	0.3486	0.3058
MSMEG_0999	0.2	0.1636	0.2909	0.3455
MSMEG_1002	0.2243	0.1869	0.4206	0.1682
MSMEG_1003	0.1737	0.2239	0.332	0.2703
MSMEG_1005	0.3333	0.0833	0.25	0.3333
MSMEG_1007	0.1818	0.0909	0.4545	0.2727
MSMEG_1008	0.1897	0.2069	0.2931	0.3103
MSMEG_1012	0.325	0.175	0.225	0.275
MSMEG_1017	0.2039	0.1505	0.3204	0.3252
MSMEG_1019	0.2759	0.0862	0.2414	0.3966
MSMEG_1023	0.1705	0.1591	0.3295	0.3409
MSMEG_1025	0.2308	0.1846	0.2923	0.2923
MSMEG_1027	0.1176	0.2059	0.3382	0.3382
MSMEG_1028	0.3462	0.1154	0.2308	0.3077
MSMEG_1030	0.2698	0.1111	0.2698	0.3492
MSMEG_1033	0.2545	0.1273	0.3636	0.2545
MSMEG_1034	0	0	1.0	0
MSMEG_1037	0.2126	0.1969	0.315	0.2756
MSMEG_1051	0.1538	0.1731	0.4231	0.25
MSMEG_1052	0.3478	0.1739	0.2826	0.1957
MSMEG_1053	0.2667	0.1778	0.2	0.3556
MSMEG_1058	0.1923	0.1923	0.4231	0.1923
MSMEG_1060	0.3871	0.129	0.2581	0.2258
MSMEG_1062	0.185	0.1442	0.3417	0.3292
MSMEG_1063	0.1389	0.1667	0.2778	0.4167
MSMEG_1065	0.1522	0.1739	0.3043	0.3696
MSMEG_1074	0.2273	0.2727	0.3182	0.1818
MSMEG_1076	0.2619	0.1667	0.3333	0.2381
MSMEG_1082	0.2432	0.1081	0.4595	0.1892
MSMEG_1089	0.1456	0.1262	0.3786	0.3495
MSMEG_1112	0.1739	0.1087	0.3478	0.3696
MSMEG_1114	0.3333	0.1667	0.375	0.125
MSMEG_1116	0.25	0.3056	0.1944	0.25
MSMEG_1118	0.2941	0.1765	0.2059	0.3235
MSMEG_1134	0.2449	0.2449	0.3061	0.2041
MSMEG_1138	0.2419	0.1935	0.3226	0.2419
MSMEG_1139	0.3204	0.1748	0.301	0.2039
MSMEG_1141	0.1714	0.1857	0.4286	0.2143
MSMEG_1153	0.2292	0.125	0.3125	0.3333
MSMEG_1165	0.3208	0.0755	0.3208	0.283
MSMEG_1167	0.2195	0.1951	0.3415	0.2439
MSMEG_1168	0.2353	0.1961	0.3725	0.1961
MSMEG_1169	0.2154	0.1692	0.2769	0.3385
MSMEG_1174	0.3182	0.1818	0.2273	0.2727
MSMEG_1176	0	0.2	0.4	0.4
MSMEG_1177	0.1515	0.197	0.303	0.3485
MSMEG_1184	0.1429	0	0.8571	0
MSMEG_1185	0.2564	0.2821	0.2051	0.2564
MSMEG_1188	0.3333	0.0667	0.3333	0.2667
MSMEG_1189	0.2022	0.1798	0.3483	0.2697
MSMEG_1191	0.3438	0.0312	0.3125	0.3125
MSMEG_1193	0.1889	0.1922	0.2866	0.3322
MSMEG_1195	0.2692	0.1538	0.3846	0.1923
MSMEG_1199	0.375	0	0.4375	0.1875
MSMEG_1200	0.2955	0.1136	0.2955	0.2955
MSMEG_1201	0.3846	0	0.3846	0.2308
MSMEG_1204	0.3176	0.1294	0.3059	0.2471
MSMEG_1205	0.1786	0.2143	0.3393	0.2679
MSMEG_1206	0.2308	0.1026	0.2564	0.4103
MSMEG_1207	0.2144	0.151	0.3282	0.3063
MSMEG_1211	0.2	0.0833	0.2333	0.4833
MSMEG_1212	0.3898	0.0678	0.2542	0.2881
MSMEG_1220	0.2252	0.1656	0.2583	0.351
MSMEG_1223	0.2134	0.1825	0.2956	0.3085
MSMEG_1236	0.2667	0.1111	0.3333	0.2889
MSMEG_1238	0.2234	0.218	0.3188	0.2398
MSMEG_1240	0.2527	0.1703	0.2527	0.3242
MSMEG_1242	0.1781	0.2429	0.3117	0.2672
MSMEG_1245	0.3538	0.1077	0.2615	0.2769
MSMEG_1246	0.2397	0.1798	0.3285	0.2521
MSMEG_1247	0.2335	0.1976	0.3024	0.2665
MSMEG_1251	0.2	0.175	0.4	0.225
MSMEG_1253	0.2303	0.1893	0.3186	0.2618
MSMEG_1255	0.2267	0.2133	0.3467	0.2133
MSMEG_1257	0.2243	0.1869	0.4206	0.1682
MSMEG_1258	0.2135	0.1938	0.2893	0.3034
MSMEG_1260	0.381	0	0.4286	0.1905
MSMEG_1262	0.2591	0.1694	0.3355	0.2359
MSMEG_1263	0.1934	0.1852	0.2963	0.3251
MSMEG_1264	0.1667	0.1825	0.3452	0.3056
MSMEG_1268	0.3333	0	0.3333	0.3333
MSMEG_1270	0.169	0.1549	0.4648	0.2113
MSMEG_1272	0.1769	0.1156	0.3605	0.3469
MSMEG_1274	0.2439	0.0976	0.4146	0.2439
MSMEG_1275	0.1622	0.1622	0.4324	0.2432
MSMEG_1289	0.2162	0.1486	0.3378	0.2973
MSMEG_1292	0.2051	0.1538	0.359	0.2821
MSMEG_1295	0.2289	0.1205	0.3614	0.2892
MSMEG_1296	0.1579	0.1895	0.3158	0.3368
MSMEG_1300	0.1489	0.2553	0.3404	0.2553
MSMEG_1311	0.1667	0.1111	0.3704	0.3519
MSMEG_1313	0.201	0.1495	0.2938	0.3557
MSMEG_1314	0.2759	0.0345	0.3448	0.3448
MSMEG_1316	0.3333	0	0.3333	0.3333
MSMEG_1317	0.3333	0	0	0.6667
MSMEG_1322	0.2414	0.2069	0.2241	0.3276
MSMEG_1339	0.2969	0.0781	0.3125	0.3125
MSMEG_1344	0.2742	0.1613	0.371	0.1935
MSMEG_1346	0.4706	0.0588	0.2941	0.1765
MSMEG_1350	0.2162	0.2162	0.3784	0.1892
MSMEG_1351	0.1233	0.1918	0.3973	0.2877
MSMEG_1356	0.2516	0.1447	0.2893	0.3145
MSMEG_1361	0.1473	0.1661	0.3354	0.3511
MSMEG_1364	0.1833	0.2	0.3125	0.3042
MSMEG_1366	0.2589	0.1607	0.375	0.2054
MSMEG_1367	0.1923	0.1978	0.2802	0.3297
MSMEG_1369	0.1905	0.0952	0.5714	0.1429
MSMEG_1370	0.32	0.08	0.34	0.26
MSMEG_1375	0.1471	0.2647	0.3824	0.2059
MSMEG_1376	0.2727	0.1818	0.2727	0.2727
MSMEG_1379	0.2273	0	0.5455	0.2273
MSMEG_1381	0.1321	0.217	0.3774	0.2736
MSMEG_1392	0.2812	0.0312	0.2188	0.4688
MSMEG_1394	0.2703	0.1622	0.3514	0.2162
MSMEG_1397	0.2143	0.0893	0.3571	0.3393
MSMEG_1398	0.2613	0.1156	0.3216	0.3015
MSMEG_1401	0.3797	0.1013	0.1772	0.3418
MSMEG_1402	0.3	0.2667	0.3	0.1333
MSMEG_1403	0.2093	0.2093	0.4186	0.1628
MSMEG_1404	0.1739	0.2236	0.354	0.2484
MSMEG_1405	0.2243	0.1869	0.4206	0.1682
MSMEG_1410	0.35	0.05	0.4	0.2
MSMEG_1415	0.2368	0.2632	0.2895	0.2105
MSMEG_1419	0	0	1.0	0
MSMEG_1423	0.1661	0.1728	0.3156	0.3455
MSMEG_1426	0.2063	0.127	0.3651	0.3016
MSMEG_1429	0.2222	0.1667	0.3611	0.25
MSMEG_1430	0.1727	0.2545	0.3545	0.2182
MSMEG_1433	0.1538	0.2228	0.2891	0.3342
MSMEG_1434	0.1889	0.1667	0.3611	0.2833
MSMEG_1435	0.2022	0.1372	0.3538	0.3069
MSMEG_1440	0.1894	0.1063	0.3654	0.3389
MSMEG_1442	0.2075	0.1069	0.3522	0.3333
MSMEG_1446	0.2105	0.148	0.3355	0.3059
MSMEG_1448	0.1848	0.2609	0.2826	0.2717
MSMEG_1451	0.186	0.186	0.3953	0.2326
MSMEG_1455	0.1989	0.1667	0.3118	0.3226
MSMEG_1456	0.2768	0.1339	0.3393	0.25
MSMEG_1457	0.2941	0.0588	0.3824	0.2647
MSMEG_1465	0.2074	0.2222	0.3111	0.2593
MSMEG_1466	0.2456	0.2105	0.3158	0.2281
MSMEG_1468	0.1692	0.1538	0.3692	0.3077
MSMEG_1470	0.1823	0.1709	0.3219	0.3248
MSMEG_1471	0.3093	0.1237	0.3505	0.2165
MSMEG_1472	0.2667	0.1333	0.4	0.2
MSMEG_1473	0.1552	0.1034	0.4138	0.3276
MSMEG_1479	0.1875	0.2125	0.3125	0.2875
MSMEG_1482	0.1975	0.2222	0.3333	0.2469
MSMEG_1483	0.2063	0.1587	0.3333	0.3016
MSMEG_1487	0.2082	0.1536	0.314	0.3242
MSMEG_1494	0.1627	0.1714	0.3275	0.3384
MSMEG_1496	0.1798	0.1236	0.3708	0.3258
MSMEG_1498	0.2182	0.2182	0.2182	0.3455
MSMEG_1501	0.1618	0.1912	0.4265	0.2206
MSMEG_1502	0.2112	0.1553	0.354	0.2795
MSMEG_1513	0.1613	0.1419	0.3032	0.3935
MSMEG_1514	0.181	0.2	0.3143	0.3048
MSMEG_1516	0.1765	0.0882	0.2059	0.5294
MSMEG_1518	0.1789	0.1368	0.3368	0.3474
MSMEG_1520	0.3478	0.1087	0.2826	0.2609
MSMEG_1521	0.2	0	0.2	0.6
MSMEG_1522	0.2292	0.0972	0.3194	0.3542
MSMEG_1523	0.2125	0.13	0.325	0.3325
MSMEG_1524	0.2123	0.1473	0.3219	0.3185
MSMEG_1525	0.2257	0.144	0.2918	0.3385
MSMEG_1530	0.2791	0.2558	0.2558	0.2093
MSMEG_1531	0.2316	0.2316	0.3263	0.2105
MSMEG_1540	0.1204	0.25	0.2685	0.3611
MSMEG_1542	0.1772	0.1266	0.4177	0.2785
MSMEG_1543	0.2667	0.2	0.2	0.3333
MSMEG_1544	0.2376	0.1915	0.2695	0.3014
MSMEG_1546	0.2037	0.1667	0.3519	0.2778
MSMEG_1553	0.2615	0.1231	0.3231	0.2923
MSMEG_1556	0.2231	0.124	0.3554	0.2975
MSMEG_1557	0.2216	0.1449	0.2898	0.3438
MSMEG_1558	0.1995	0.2284	0.2957	0.2764
MSMEG_1559	0.2186	0.1302	0.3163	0.3349
MSMEG_1573	0.2	0.1	0.4667	0.2333
MSMEG_1574	0.1915	0.1489	0.3191	0.3404
MSMEG_1575	0.3077	0.2308	0.3846	0.0769
MSMEG_1577	0.1771	0.1486	0.3771	0.2971
MSMEG_1580	0.206	0.1373	0.3254	0.3313
MSMEG_1582	0.2077	0.1385	0.3308	0.3231
MSMEG_1583	0.1757	0.2027	0.3176	0.3041
MSMEG_1585	0.194	0.1692	0.3284	0.3085
MSMEG_1589	0.2025	0.1779	0.2802	0.3395
MSMEG_1596	0.2615	0.2308	0.2769	0.2308
MSMEG_1597	0.2211	0.1895	0.2842	0.3053
MSMEG_1599	0.1897	0.1897	0.3362	0.2845
MSMEG_1602	0.125	0.175	0.25	0.45
MSMEG_1603	0.2459	0.1475	0.2623	0.3443
MSMEG_1604	0.2255	0.2451	0.2549	0.2745
MSMEG_1608	0.1327	0.1493	0.3839	0.3341
MSMEG_1609	0.3929	0.1071	0.2857	0.2143
MSMEG_1618	0.2424	0.1439	0.3182	0.2955
MSMEG_1620	0.2453	0.2642	0.3208	0.1698
MSMEG_1629	0.2	0.1333	0.5333	0.1333
MSMEG_1632	0.2596	0.1346	0.3558	0.25
