 	CDS_MFE_100_50nt_CDS	CDS_MFE_100_50nt_5p	CDS_MFE_100_50nt_mid	CDS_MFE_100_50nt_3p
MSMEG_0053	-38.2074	-37.53	-38.7111	-38.4875
MSMEG_0054	-31.2143	-40.3625	-29.3857	-21.15
MSMEG_0055	-38.2903	-34.6182	-41.2909	-39.1111
MSMEG_0056	-38.9333	-45.9	-36.3	-23.3
MSMEG_0057	-38.6	-38.4333	-38.9833	-38.275
MSMEG_0058	-36.91	-40.85	-40.575	-21.7
MSMEG_0059	-38.5588	-40.1167	-39.3545	-36.0636
MSMEG_0060	-38.2857	-39.37	-38.23	-37.0
MSMEG_0061	-36.4682	-38.46	-38.5067	-32.15
MSMEG_0062	-37.0314	-38.225	-34.2833	-38.7273
MSMEG_0063	-45.9	-39.85	-54.75	-40.3
MSMEG_0064	-42.836	-42.0889	-40.1444	-47.2571
MSMEG_0065	-35.1333	-38.2	-38.3333	-19.4
MSMEG_0066	-37.58	-39.4	-39.95	-29.2
MSMEG_0067	-39.6679	-44.48	-34.5889	-39.4
MSMEG_0068	-40.52	-40.8909	-43.11	-37.1889
MSMEG_0069	-28.0429	-27.86	-30.6	-25.075
MSMEG_0070	-29.0667	-34.3333	-24.2	-23.0
MSMEG_0071	-32.4	-25.7643	-40.3846	-31.5615
MSMEG_0072	-27.8118	-32.8833	-29.9667	-19.14
MSMEG_0073	-35.9583	-42.4444	-33.0875	-30.9
MSMEG_0074	-33.03	-40.8091	-32.92	-23.6444
MSMEG_0075	-31.5286	-33.5	-37.15	-22.95
MSMEG_0076	-37.8581	-34.9182	-35.58	-43.37
MSMEG_0077	-30.4833	-35.2	-30.4	-16.5
MSMEG_0078	-31.0818	-30.55	-32.4	-30.0333
MSMEG_0079	-33.2429	-35.2	-32.72	-31.45
MSMEG_0080	-32.69	-34.15	-30.25	-34.65
MSMEG_0081	-28.55	-23.7333	-34.95	-30.2
MSMEG_0082	-39.6519	-41.02	-39.2333	-38.4125
MSMEG_0083	-38.3462	-38.8444	-36.6333	-39.7125
MSMEG_0084	-32.06	-37.35	-36.95	-11.7
MSMEG_0085	-41.4625	-41.1357	-43.3538	-39.9231
MSMEG_0086	-41.3	-40.3857	-42.0857	-41.48
MSMEG_0087	-40.0933	-45.35	-42.14	-29.65
MSMEG_0088	-45.6281	-46.7727	-45.2091	-44.83
MSMEG_0089	-38.7789	-39.2857	-39.3833	-37.5833
MSMEG_0090	-42.6905	-42.2267	-43.9857	-41.8308
MSMEG_0091	-37.3182	-32.575	-38.275	-42.3667
MSMEG_0092	-32.1583	-34.66	-31.2	-29.2667
MSMEG_0093	-39.7368	-36.0286	-41.35	-42.45
MSMEG_0094	-41.6	-47.8	-29.2	-29.2
MSMEG_0095	-39.7222	-40.0286	-41.7167	-36.9
MSMEG_0096	-33.8882	-37.9667	-29.8667	-33.82
MSMEG_0097	-46.6263	-43.2	-51.85	-45.4
MSMEG_0098	-40.7571	-37.72	-47.78	-35.775
MSMEG_0099	-42.8111	-45.85	-39.0333	-42.4
MSMEG_0100	-41.9375	-42.95	-40.76	-41.9
MSMEG_0101	-38.3182	-43.75	-38.8	-30.4333
MSMEG_0102	-37.8625	-34.3667	-39.7	-40.2571
MSMEG_0103	-44.2957	-42.3875	-43.825	-47.0143
MSMEG_0104	-41.8647	-39.8167	-42.2167	-43.9
MSMEG_0105	-39.8154	-38.96	-44.2	-36.5
MSMEG_0106	-41.2913	-40.2	-40.7	-43.2143
MSMEG_0107	-32.725	-36.5182	-33.2091	-28.02
MSMEG_0108	-39.7773	-40.15	-41.85	-36.5167
MSMEG_0109	-35.35	-36.43	-37.54	-31.2625
MSMEG_0110	-40.8833	-43.1273	-39.25	-39.9556
MSMEG_0111	-33.76	-35.5714	-36.5429	-28.4
MSMEG_0112	-21.85	-28.5	-15.2	-15.2
MSMEG_0113	-40.7059	-41.4667	-44.7167	-34.98
MSMEG_0114	-34.7316	-35.6429	-36.4	-32.0
MSMEG_0115	-34.6615	-35.52	-33.94	-34.4333
MSMEG_0116	-41.2533	-42.5333	-40.24	-40.6
MSMEG_0117	-30.6824	-28.65	-34.4833	-28.56
MSMEG_0118	-37.42	-38.025	-41.7333	-32.3
MSMEG_0119	-28.95	-34.4	-23.5	-23.5
MSMEG_0120	-34.9231	-32.68	-35.675	-36.975
MSMEG_0121	-40.7867	-48.2833	-34.14	-37.85
MSMEG_0122	-36.355	-39.9571	-37.3	-31.05
MSMEG_0123	-39.39	-48.25	-37.7	-29.2667
MSMEG_0124	-39.8385	-41.1	-38.7	-39.6333
MSMEG_0125	-39.9067	-43.6909	-37.97	-37.4333
MSMEG_0126	-39.1318	-40.8375	-41.5	-34.8143
MSMEG_0127	-43.7048	-41.575	-46.8571	-42.8667
MSMEG_0128	-40.675	-37.0	-42.0333	-44.15
MSMEG_0129	-36.8875	-36.0	-34.0333	-42.5
MSMEG_0130	-39.0385	-41.18	-35.36	-41.6
MSMEG_0131	-38.7625	-37.7818	-39.2636	-39.29
MSMEG_0132	-37.0687	-40.9	-35.12	-34.42
MSMEG_0133	-36.3706	-41.05	-36.0833	-31.1
MSMEG_0134	-36.6708	-38.9	-35.3	-35.3714
MSMEG_0135	-33.095	-35.7286	-29.5286	-34.1833
MSMEG_0136	-36.7208	-35.5556	-34.625	-40.6143
MSMEG_0137	-37.6375	-37.9	-34.0909	-41.25
MSMEG_0138	-35.2158	-35.1429	-35.5	-35.0167
MSMEG_0139	-38.2889	-38.9333	-39.64	-35.875
MSMEG_0140	-36.9167	-37.94	-41.2	-29.5
MSMEG_0141	-41.3105	-48.2286	-44.8333	-29.7167
MSMEG_0142	-33.84	-40.95	-28.25	-30.8
MSMEG_0143	-36.6059	-37.4	-39.8833	-31.72
MSMEG_0144	-30.0919	-38.7615	-26.6333	-24.1583
MSMEG_0145	-37.4846	-37.84	-33.925	-40.6
MSMEG_0146	-35.1125	-36.3667	-32.86	-35.86
MSMEG_0147	-26.0722	-27.7143	-24.1833	-26.04
MSMEG_0148	-35.6333	-42.06	-33.075	-28.3333
MSMEG_0149	-39.4571	-41.59	-42.33	-33.2
MSMEG_0150	-37.275	-37.83	-41.7	-31.05
MSMEG_0151	-34.9	-39.2667	-34.95	-21.7
MSMEG_0152	-37.0238	-37.2375	-40.6429	-32.5167
MSMEG_0153	-39.02	-38.9714	-41.2857	-36.4333
MSMEG_0154	-43.6643	-43.01	-40.54	-48.3875
MSMEG_0155	-35.9	-35.35	-40.1667	-30.6
MSMEG_0156	-39.8722	-39.4571	-39.9667	-40.34
MSMEG_0157	-36.2176	-36.325	-37.3083	-34.78
MSMEG_0158	-35.236	-36.3778	-37.975	-31.2125
MSMEG_0159	-38.1667	-34.45	-43.5667	-37.5
MSMEG_0160	-42.8581	-43.2636	-41.4182	-44.1222
MSMEG_0161	-38.6732	-40.2316	-39.8789	-35.7556
MSMEG_0162	-34.3	-37.75	-39.8	-21.9
MSMEG_0163	-31.9333	-32.8	-36.8	-19.6
MSMEG_0164	-39.7846	-41.2556	-38.4556	-39.625
MSMEG_0165	-41.25	-42.1667	-39.9333	-41.85
MSMEG_0166	-37.2	-41.06	-37.84	-31.575
MSMEG_0167	-37.2714	-36.56	-36.8556	-38.4778
MSMEG_0168	-36.072	-35.4	-37.5556	-35.0286
MSMEG_0169	-30.45	-34.6	-26.3	-26.3
MSMEG_0170	-39.8519	-38.47	-38.9444	-42.6
MSMEG_0171	-39.3722	-41.6857	-38.0	-37.78
MSMEG_0172	-39.3667	-42.425	-38.24	-37.1667
MSMEG_0173	-42.1167	-38.1	-54.35	-29.7
MSMEG_0174	-38.1143	-37.7667	-43.6	-33.15
MSMEG_0175	-37.2227	-37.625	-38.225	-35.35
MSMEG_0176	-34.5412	-37.0	-36.1667	-29.64
MSMEG_0177	-37.7105	-40.9429	-36.1833	-35.4667
MSMEG_0178	-36.2	-36.4	-33.52	-39.25
MSMEG_0179	-37.8385	-41.94	-36.375	-34.175
MSMEG_0180	-35.65	-42.125	-32.1667	-30.5
MSMEG_0181	-34.1389	-37.5286	-28.5167	-36.14
MSMEG_0182	-34.3913	-34.4625	-38.775	-29.3
MSMEG_0183	-32.5818	-34.875	-29.625	-33.4667
MSMEG_0184	-41.2857	-44.75	-39.0417	-39.9545
MSMEG_0185	-32.2842	-32.335	-33.3737	-31.0778
MSMEG_0186	-35.2444	-37.825	-32.4333	-34.3
MSMEG_0187	-36.7111	-39.95	-42.2667	-21.9
MSMEG_0188	-37.3556	-36.075	-40.2333	-35.6
MSMEG_0189	-38.2696	-39.15	-40.6125	-34.5857
MSMEG_0190	-36.9806	-35.5545	-37.32	-38.21
MSMEG_0191	-40.7222	-46.9286	-40.9833	-31.72
MSMEG_0192	-35.7	-39.25	-37.3286	-29.16
MSMEG_0193	-39.4706	-38.3833	-40.4667	-39.58
MSMEG_0194	-37.6769	-42.14	-37.54	-30.4667
MSMEG_0195	-33.4656	-36.5	-30.9	-32.95
MSMEG_0196	-38.2706	-33.3667	-39.85	-42.26
MSMEG_0197	-36.8917	-35.16	-38.95	-37.0333
MSMEG_0198	-38.8682	-39.65	-39.3125	-37.2333
MSMEG_0200	-33.2373	-37.0588	-32.5889	-29.9062
MSMEG_0201	-34.22	-37.925	-31.9333	-31.5667
MSMEG_0202	-35.8269	-40.4	-38.2444	-27.9625
MSMEG_0203	-37.0429	-41.18	-34.82	-34.65
MSMEG_0204	-36.7425	-40.4929	-36.9357	-32.1417
MSMEG_0205	-29.85	-29.5	-33.9	-22.8
MSMEG_0206	-41.3881	-42.0867	-44.5	-37.2308
MSMEG_0207	-38.2375	-35.8333	-41.9	-36.35
MSMEG_0208	-36.7286	-42.5	-38.5667	-13.9
MSMEG_0209	-36.76	-40.15	-37.2	-29.1
MSMEG_0210	-38.2238	-35.45	-36.9857	-43.3667
MSMEG_0211	-36.2277	-34.2125	-37.4188	-37.1067
MSMEG_0212	-34.5125	-38.3667	-30.4333	-34.85
MSMEG_0213	-39.1625	-36.6667	-47.3667	-30.6
MSMEG_0214	-40.72	-39.0778	-40.9	-42.6
MSMEG_0215	-36.4214	-34.0	-36.74	-39.05
MSMEG_0216	-36.5667	-38.1833	-39.38	-30.625
MSMEG_0217	-33.9909	-38.2375	-36.1429	-26.9857
MSMEG_0218	-34.7889	-35.1	-38.3333	-28.85
MSMEG_0219	-38.7579	-37.3143	-42.3429	-35.76
MSMEG_0220	-41.1688	-39.2667	-47.5167	-34.5
MSMEG_0221	-34.5105	-36.8143	-38.4167	-27.9167
MSMEG_0222	-41.4357	-37.22	-40.42	-47.975
MSMEG_0223	-40.3111	-43.325	-39.6333	-35.3
MSMEG_0224	-41.9308	-43.64	-45.975	-35.75
MSMEG_0225	-35.2877	-37.43	-32.7421	-35.5944
MSMEG_0226	-29.875	-30.3	-34.6333	-22.1
MSMEG_0227	-35.2091	-35.95	-37.15	-31.6333
MSMEG_0228	-40.8159	-41.3952	-42.6182	-38.225
MSMEG_0229	-41.0324	-40.85	-40.7091	-41.5545
MSMEG_0230	-35.55	-29.6667	-49.65	-25.0
MSMEG_0231	-39.96	-42.75	-39.8	-34.7
MSMEG_0232	-48.3417	-46.8667	-51.0875	-47.1
MSMEG_0233	-35.52	-40.4286	-32.6429	-33.15
MSMEG_0234	-37.4975	-38.7214	-38.9692	-34.7077
MSMEG_0235	-36.6833	-35.94	-38.975	-34.8667
MSMEG_0236	-43.5077	-48.42	-39.3	-42.3333
MSMEG_0237	-40.2	-44.81	-42.6667	-32.6111
MSMEG_0238	-37.2778	-33.75	-43.2	-35.45
MSMEG_0239	-38.996	-37.0667	-41.0556	-38.8286
MSMEG_0240	-38.575	-40.0	-38.55	-36.2333
MSMEG_0241	-38.6649	-37.97	-41.4	-36.55
MSMEG_0242	-40.2	-47.875	-35.825	-35.8
MSMEG_0243	-35.0571	-45.0333	-33.25	-21.9
MSMEG_0244	-41.4857	-48.56	-37.1	-38.125
MSMEG_0245	-45.0	-47.6667	-43.75	-42.25
MSMEG_0246	-43.2	-44.0889	-40.86	-45.125
MSMEG_0247	-33.625	-33.6778	-37.1375	-29.5429
MSMEG_0248	-41.1714	-40.7375	-41.8	-41.0167
MSMEG_0249	-40.8	-41.0625	-39.35	-42.3833
MSMEG_0250	-39.335	-38.0619	-38.075	-42.0684
MSMEG_0251	-39.1385	-41.5	-39.2	-35.1
MSMEG_0252	-36.26	-35.0167	-38.7	-35.075
MSMEG_0253	-46.54	-47.9429	-41.2714	-51.05
MSMEG_0254	-41.3897	-40.97	-40.25	-43.1222
MSMEG_0255	-36.1861	-34.3615	-37.3083	-37.1182
MSMEG_0256	-39.4889	-43.1167	-42.9429	-30.3
MSMEG_0257	-36.1167	-35.4818	-39.43	-33.2111
MSMEG_0258	-36.9	-40.62	-39.86	-28.55
MSMEG_0259	-42.2889	-43.2429	-42.4833	-40.72
MSMEG_0260	-40.85	-47.9333	-36.1	-37.1
MSMEG_0261	-39.7211	-41.1143	-38.0286	-40.14
MSMEG_0262	-42.4682	-44.7125	-41.2571	-41.1143
MSMEG_0263	-41.016	-44.4111	-36.675	-41.5375
MSMEG_0264	-43.9182	-45.0375	-41.8	-44.7571
MSMEG_0265	-38.475	-42.68	-34.75	-36.4333
MSMEG_0266	-38.8517	-41.68	-37.77	-36.9111
MSMEG_0267	-38.415	-37.0857	-42.0571	-35.7167
MSMEG_0268	-37.98	-38.5667	-36.9	-38.45
MSMEG_0269	-37.2267	-39.15	-35.22	-36.85
MSMEG_0270	-36.51	-35.9857	-38.5429	-34.75
MSMEG_0271	-41.3923	-44.34	-41.75	-37.35
MSMEG_0272	-37.98	-37.15	-45.65	-24.3
MSMEG_0273	-37.8	-46.05	-43.65	-9.6
MSMEG_0274	-37.63	-37.875	-37.2	-37.7333
MSMEG_0275	-37.1083	-42.26	-32.9	-34.1333
MSMEG_0276	-42.0677	-46.1909	-43.1364	-35.7222
MSMEG_0277	-37.172	-34.0444	-39.2333	-38.5429
MSMEG_0278	-33.5	-35.15	-31.85	-18.2
MSMEG_0279	-34.37	-34.4273	-35.73	-32.7889
MSMEG_0280	-42.7353	-41.0667	-43.1833	-44.2
MSMEG_0281	-37.0774	-37.3818	-38.99	-34.83
MSMEG_0282	-35.9	-35.2667	-42.2	-25.2
MSMEG_0283	-43.4333	-48.4	-38.4	-42.275
MSMEG_0284	-36.2867	-34.0667	-40.34	-34.55
MSMEG_0285	-39.2083	-45.15	-42.9	-25.1333
MSMEG_0286	-39.5154	-39.64	-40.18	-38.2
MSMEG_0287	-39.45	-38.575	-41.775	-36.55
MSMEG_0288	-39.4273	-42.4	-39.5143	-35.9429
MSMEG_0289	-37.2208	-38.6556	-41.6	-30.3714
MSMEG_0290	-35.1536	-37.45	-33.6667	-34.0889
MSMEG_0291	-37.7375	-36.9833	-39.45	-36.3
MSMEG_0292	-33.7333	-33.5333	-33.95	-33.9
MSMEG_0293	-34.388	-35.7	-33.4875	-33.8125
MSMEG_0294	-37.5786	-43.34	-35.42	-33.075
MSMEG_0295	-34.9905	-35.3125	-35.8571	-33.55
MSMEG_0296	-40.4889	-40.8	-43.7667	-34.95
MSMEG_0297	-38.148	-41.7556	-37.2125	-35.025
MSMEG_0298	-30.8	-29.2667	-29.65	-37.7
MSMEG_0299	-33.512	-33.1444	-35.5875	-31.85
MSMEG_0300	-31.18	-33.6714	-33.0143	-26.1333
MSMEG_0301	-40.9593	-40.99	-43.1	-38.5125
MSMEG_0302	-37.5958	-42.2111	-37.375	-31.9143
MSMEG_0303	-42.0526	-44.6571	-42.2143	-38.18
MSMEG_0304	-37.1438	-38.7455	-35.9455	-36.7
MSMEG_0305	-35.4938	-34.85	-42.14	-29.62
MSMEG_0306	-39.3063	-38.5167	-40.5667	-38.6
MSMEG_0307	-38.0278	-44.1143	-36.0833	-31.84
MSMEG_0308	-37.34	-34.55	-40.6	-36.4
MSMEG_0309	-40.6897	-41.79	-41.31	-38.7778
MSMEG_0311	-41.1217	-45.9	-36.5125	-40.9286
MSMEG_0312	-42.4333	-42.8	-43.05	-41.0
MSMEG_0313	-42.6222	-40.7923	-44.675	-42.5455
MSMEG_0314	-38.5966	-42.96	-36.02	-36.6111
MSMEG_0315	-49.7219	-50.1727	-51.7455	-47.0
MSMEG_0316	-40.5739	-39.925	-41.1375	-40.6714
MSMEG_0317	-35.3043	-34.2625	-34.8	-37.0714
MSMEG_0318	-39.931	-41.04	-37.21	-41.7222
MSMEG_0319	-43.1739	-42.275	-46.5	-40.4
MSMEG_0320	-34.1895	-34.6	-38.4	-27.72
MSMEG_0321	-41.6182	-43.0263	-40.0737	-41.7706
MSMEG_0323	-33.8208	-31.9889	-34.55	-35.3429
MSMEG_0324	-31.0667	-30.175	-36.4333	-24.8
MSMEG_0325	-31.39	-26.95	-39.8333	-28.8667
MSMEG_0326	-34.2379	-33.64	-37.77	-30.9778
MSMEG_0327	-39.1367	-40.0	-40.4909	-36.5222
MSMEG_0328	-39.5875	-33.4667	-39.4667	-48.95
MSMEG_0329	-41.5444	-42.45	-42.8667	-37.75
MSMEG_0330	-36.0217	-38.6	-37.9625	-30.8571
MSMEG_0331	-34.1286	-38.2429	-36.225	-26.5333
MSMEG_0332	-43.2667	-43.0571	-44.4	-42.2
MSMEG_0333	-35.5613	-37.6364	-35.3636	-33.2667
MSMEG_0334	-39.27	-41.1143	-39.5538	-37.0
MSMEG_0335	-36.0	-31.8	-44.22	-32.025
MSMEG_0336	-37.6467	-36.15	-38.32	-39.05
MSMEG_0337	-38.1543	-41.1833	-34.9667	-38.3273
MSMEG_0338	-36.8591	-35.9125	-36.8375	-38.15
MSMEG_0339	-39.015	-45.4429	-36.9429	-33.9333
MSMEG_0340	-38.6933	-39.66	-39.5	-36.275
MSMEG_0341	-34.795	-35.1857	-36.1	-32.8167
MSMEG_0342	-33.65	-34.6833	-35.7833	-28.9
MSMEG_0343	-32.3333	-34.18	-32.85	-28.5667
MSMEG_0344	-37.24	-36.7833	-40.06	-34.4
MSMEG_0345	-36.4062	-36.7667	-37.8	-34.58
MSMEG_0346	-35.0679	-34.81	-34.4889	-35.9333
MSMEG_0347	-32.485	-36.1143	-34.1286	-26.3333
MSMEG_0348	-33.0462	-30.7556	-29.0	-40.175
MSMEG_0349	-33.0192	-34.6222	-32.0333	-32.325
MSMEG_0350	-32.1227	-34.0875	-31.175	-30.7667
MSMEG_0351	-32.5207	-29.58	-34.75	-33.3111
MSMEG_0352	-32.3833	-35.35	-30.26	-31.9667
MSMEG_0353	-39.47	-45.6	-35.925	-34.3
MSMEG_0354	-33.4667	-35.0	-34.7	-26.4
MSMEG_0355	-32.3444	-35.85	-29.0333	-30.3
MSMEG_0356	-35.6833	-39.1667	-36.45	-23.7
MSMEG_0357	-40.6531	-43.7455	-43.1364	-34.52
MSMEG_0358	-36.2579	-35.0571	-39.15	-34.7667
MSMEG_0359	-44.0095	-43.5207	-44.4393	-44.0889
MSMEG_0360	-32.0	-37.75	-20.5	-20.5
MSMEG_0361	-42.9826	-40.95	-43.4	-44.8286
MSMEG_0362	-39.987	-39.4625	-41.2875	-39.1
MSMEG_0363	-36.625	-31.96	-38.875	-41.4
MSMEG_0364	-48.6	-46.85	-54.95	-39.4
MSMEG_0365	-36.8324	-42.8154	-34.3846	-32.6545
MSMEG_0366	-36.16	-31.725	-40.475	-36.4
MSMEG_0367	-43.3333	-49.1625	-40.9857	-38.3
MSMEG_0368	-39.2	-39.73	-41.09	-36.5111
MSMEG_0369	-33.2857	-40.82	-29.4	-28.725
MSMEG_0370	-38.272	-39.5941	-35.3647	-39.9562
MSMEG_0371	-38.2765	-39.4	-39.05	-36.0
MSMEG_0372	-41.7074	-44.8222	-40.85	-39.275
MSMEG_0373	-40.892	-41.3667	-41.3	-39.7571
MSMEG_0374	-40.2054	-40.7846	-37.9917	-41.7917
MSMEG_0375	-39.3323	-39.4364	-39.1	-39.4889
MSMEG_0376	-39.985	-37.2143	-42.2714	-40.55
MSMEG_0377	-35.9429	-33.4	-37.74	-36.875
MSMEG_0378	-34.3667	-34.8	-36.0	-31.4667
MSMEG_0379	-36.74	-41.25	-37.55	-26.1
MSMEG_0380	-29.375	-32.0333	-31.6333	-22.0
MSMEG_0381	-33.7351	-34.75	-30.6316	-35.8833
MSMEG_0382	-34.6576	-34.815	-33.3	-35.9211
MSMEG_0383	-32.3	-35.0	-31.8	-25.2
MSMEG_0384	-29.2765	-28.95	-29.05	-29.94
MSMEG_0385	-35.525	-33.8286	-39.6286	-32.7167
MSMEG_0386	-32.5682	-33.325	-31.9875	-32.3333
MSMEG_0387	-30.3571	-31.18	-30.28	-29.425
MSMEG_0388	-33.4214	-34.22	-32.86	-33.125
MSMEG_0389	-34.416	-32.0556	-37.0875	-34.4
MSMEG_0390	-30.9	-33.4	-32.4571	-25.75
MSMEG_0391	-33.5733	-36.1833	-32.1	-31.5
MSMEG_0392	-31.2467	-27.6545	-32.97	-33.7222
MSMEG_0393	-31.4438	-32.6667	-33.86	-27.56
MSMEG_0394	-29.66	-33.2	-32.4	-17.1
MSMEG_0395	-35.5	-39.8	-31.2	-31.2
MSMEG_0396	-35.1286	-36.8333	-39.0667	-18.2
MSMEG_0397	-35.8269	-40.4	-38.2444	-27.9625
MSMEG_0398	-37.0429	-41.18	-34.82	-34.65
MSMEG_0399	-29.55	-33.75	-25.35	-22.7
MSMEG_0400	-39.5569	-38.4735	-39.1	-41.1532
MSMEG_0401	-38.545	-40.5714	-40.565	-34.1789
MSMEG_0402	-38.6987	-39.3269	-38.0922	-38.664
MSMEG_0403	-34.875	-32.6333	-38.36	-34.08
MSMEG_0404	-36.975	-34.8667	-41.2333	-33.75
MSMEG_0405	-40.7217	-40.4	-41.975	-39.6571
MSMEG_0406	-35.6694	-35.1231	-35.425	-36.5818
MSMEG_0407	-39.3095	-38.2875	-38.5857	-41.5167
MSMEG_0408	-41.1562	-39.9932	-42.2685	-41.2236
MSMEG_0409	-30.4393	-30.74	-31.0222	-29.5222
MSMEG_0410	-36.78	-37.381	-36.16	-36.7684
MSMEG_0411	-39.9441	-39.0333	-42.1545	-38.7273
MSMEG_0412	-37.4174	-44.25	-34.6	-32.8286
MSMEG_0413	-42.8154	-39.02	-48.52	-39.6333
MSMEG_0414	-40.2947	-41.1286	-45.2333	-34.3833
MSMEG_0415	-37.7333	-36.35	-40.5667	-36.25
MSMEG_0416	-25.1	-30.7	-13.9	-13.9
MSMEG_0417	-32.7	-35.98	-31.5	-30.1
MSMEG_0418	-36.3026	-35.9	-36.8154	-36.1833
MSMEG_0419	-31.7875	-41.0667	-26.24	-26.2
MSMEG_0420	-33.84	-37.55	-30.3	-33.5
MSMEG_0421	-40.1	-40.0	-40.2	-40.2
MSMEG_0422	-41.4267	-41.3	-42.52	-40.25
MSMEG_0423	-41.8	-41.5	-42.0667	-41.9333
MSMEG_0424	-36.7125	-35.0667	-37.6667	-37.75
MSMEG_0425	-48.2812	-51.4667	-48.2667	-43.525
MSMEG_0426	-42.17	-43.4286	-38.8857	-44.5333
MSMEG_0427	-38.1863	-42.0944	-37.1176	-34.925
MSMEG_0428	-36.5714	-35.3	-44.8	-30.25
MSMEG_0429	-36.125	-30.5	-41.75	-41.1
MSMEG_0430	-37.5741	-43.17	-40.2222	-27.6
MSMEG_0431	-42.0538	-39.48	-44.34	-42.5333
MSMEG_0432	-42.6304	-45.8875	-43.8875	-37.4714
MSMEG_0433	-38.0036	-35.89	-41.1111	-37.2444
MSMEG_0434	-40.7083	-36.16	-49.325	-36.8
MSMEG_0435	-39.5353	-37.7	-38.5333	-42.94
MSMEG_0436	-41.7769	-39.86	-43.4	-42.55
MSMEG_0437	-34.8462	-39.3	-32.66	-31.0667
MSMEG_0438	-37.8632	-43.7571	-36.4167	-32.4333
MSMEG_0439	-38.1545	-37.3	-40.9	-35.6333
MSMEG_0440	-38.7	-38.7	-38.7	-38.7
MSMEG_0441	-37.35	-34.56	-39.2	-38.525
MSMEG_0442	-33.7667	-34.4	-33.84	-32.8
MSMEG_0443	-40.1632	-42.9286	-41.8571	-33.92
MSMEG_0444	-40.885	-43.1857	-44.0571	-34.5
MSMEG_0445	-42.7	-42.9273	-44.2727	-40.72
MSMEG_0446	-37.1385	-38.5222	-35.3222	-37.625
MSMEG_0447	-34.2375	-34.1667	-38.7667	-27.55
MSMEG_0448	-32.275	-29.2333	-33.9667	-34.3
MSMEG_0449	-39.735	-38.25	-41.0615	-40.0077
MSMEG_0450	-28.8	-30.4	-25.7	-28.7
MSMEG_0451	-34.85	-37.5	-32.2	-30.2
MSMEG_0452	-37.2143	-38.09	-35.41	-38.375
MSMEG_0453	-31.47	-36.85	-36.4333	-19.3333
MSMEG_0454	-39.9	-38.66	-41.22	-39.8
MSMEG_0455	-38.3071	-39.6	-38.16	-36.875
