 	CDS_MFE_50_25nt_CDS	CDS_MFE_50_25nt_5p	CDS_MFE_50_25nt_mid	CDS_MFE_50_25nt_3p
MSMEG_0063	-19.6	-16.375	-24.25	-17.7
MSMEG_0064	-17.6588	-16.25	-16.5824	-20.3875
MSMEG_0065	-16.0333	-18.25	-17.58	-10.5
MSMEG_0066	-15.2636	-15.625	-15.85	-14.0
MSMEG_0067	-16.575	-19.3842	-14.0368	-16.2889
MSMEG_0068	-16.7426	-16.7	-17.695	-15.835
MSMEG_0069	-10.9786	-9.74	-11.7556	-11.5778
MSMEG_0070	-12.5462	-15.44	-12.5	-8.975
MSMEG_0071	-13.1262	-9.9741	-16.1481	-13.2615
MSMEG_0072	-11.6882	-13.8917	-12.9455	-8.0273
MSMEG_0073	-15.4708	-18.0647	-14.4188	-13.6533
MSMEG_0074	-14.05	-17.9905	-13.895	-9.8579
MSMEG_0075	-14.3071	-15.38	-14.98	-12.125
MSMEG_0076	-15.8919	-14.3524	-15.0048	-18.44
MSMEG_0077	-12.1083	-12.48	-13.7	-9.3667
MSMEG_0078	-13.0652	-13.1625	-12.325	-13.8
MSMEG_0079	-13.5241	-14.34	-13.66	-12.4667
MSMEG_0080	-14.6429	-15.1875	-13.7143	-15.0
MSMEG_0081	-11.1	-9.9	-13.025	-10.675
MSMEG_0082	-16.4418	-17.0211	-16.9	-15.2824
MSMEG_0083	-15.9509	-15.6056	-14.5111	-17.8412
MSMEG_0084	-14.37	-14.35	-18.3	-10.4667
MSMEG_0085	-17.4175	-16.737	-18.4593	-17.0423
MSMEG_0086	-16.7513	-17.5214	-16.2692	-16.375
MSMEG_0087	-16.4	-18.9273	-17.08	-12.5556
MSMEG_0088	-18.9831	-19.3136	-18.8409	-18.7857
MSMEG_0089	-16.25	-15.9538	-16.4692	-16.3333
MSMEG_0090	-17.6706	-17.7828	-18.5034	-16.6556
MSMEG_0091	-14.487	-13.85	-13.05	-16.8571
MSMEG_0092	-13.972	-15.4333	-13.7	-12.6
MSMEG_0093	-16.6158	-14.5615	-18.0308	-17.3083
MSMEG_0094	-17.9429	-22.6	-20.65	-8.25
MSMEG_0095	-16.6486	-16.4692	-18.3583	-15.1333
MSMEG_0096	-14.2588	-15.975	-12.6182	-14.0273
MSMEG_0097	-19.9026	-17.7462	-21.0231	-21.025
MSMEG_0098	-17.2893	-15.73	-20.3556	-15.9556
MSMEG_0099	-17.4526	-18.7429	-17.65	-15.75
MSMEG_0100	-18.7781	-19.2727	-18.2636	-18.8
MSMEG_0101	-16.5091	-17.7875	-16.8571	-14.7
MSMEG_0102	-15.7816	-15.3176	-16.8938	-15.1625
MSMEG_0103	-18.1872	-16.7312	-18.2812	-19.64
MSMEG_0104	-17.72	-16.9667	-17.35	-18.9455
MSMEG_0105	-16.3192	-16.8222	-16.7889	-15.225
MSMEG_0106	-17.4848	-16.4375	-17.3	-18.8929
MSMEG_0107	-13.8125	-15.8545	-13.7143	-11.7714
MSMEG_0108	-16.5111	-16.3062	-18.2267	-14.9071
MSMEG_0109	-15.0105	-15.39	-15.9737	-13.5722
MSMEG_0110	-17.382	-18.4714	-16.8095	-16.8105
MSMEG_0111	-14.27	-15.0071	-16.4615	-11.2846
MSMEG_0112	-11.0	-12.1	-9.9	-7.8
MSMEG_0113	-17.1471	-16.725	-19.1455	-15.6091
MSMEG_0114	-14.5026	-14.5154	-15.9308	-12.9417
MSMEG_0115	-13.9852	-14.11	-12.8111	-15.15
MSMEG_0116	-16.9097	-18.2909	-15.6	-16.8222
MSMEG_0117	-12.3676	-11.675	-13.9727	-11.5182
MSMEG_0118	-15.93	-15.7857	-17.7714	-13.95
MSMEG_0119	-13.55	-10.9	-19.0	-13.4
MSMEG_0120	-13.8192	-12.9889	-12.8889	-15.8
MSMEG_0121	-17.8033	-21.7909	-14.02	-17.1333
MSMEG_0122	-15.2775	-16.5786	-15.9231	-13.2308
MSMEG_0123	-15.795	-18.9857	-15.2429	-12.7167
MSMEG_0124	-16.7111	-17.2	-17.5444	-15.1625
MSMEG_0125	-16.5262	-18.5571	-15.515	-15.405
MSMEG_0126	-16.5273	-16.6933	-17.4333	-15.3786
MSMEG_0127	-17.5419	-16.2667	-19.0133	-17.3154
MSMEG_0128	-16.2294	-12.2167	-18.5667	-18.24
MSMEG_0129	-15.1941	-15.05	-12.8	-18.24
MSMEG_0130	-16.6444	-17.71	-13.1	-19.3
MSMEG_0131	-16.1446	-16.1818	-16.6409	-15.5857
MSMEG_0132	-15.1438	-15.0909	-16.0	-14.26
MSMEG_0133	-15.7206	-17.7583	-15.5833	-13.44
MSMEG_0134	-14.951	-15.7176	-14.3875	-14.7
MSMEG_0135	-13.0195	-13.9929	-11.8143	-13.2692
MSMEG_0136	-15.9375	-15.1176	-14.725	-18.16
MSMEG_0137	-15.7262	-15.5318	-14.5545	-17.1571
MSMEG_0138	-14.4974	-15.2462	-13.6538	-14.6
MSMEG_0139	-16.3796	-16.0833	-17.0684	-15.9235
MSMEG_0140	-16.0375	-16.0444	-17.4125	-14.4571
MSMEG_0141	-17.3053	-21.1385	-17.6	-12.8333
MSMEG_0142	-14.3762	-18.8	-10.5429	-12.95
MSMEG_0143	-14.4143	-14.3917	-16.5583	-12.1
MSMEG_0144	-12.8108	-16.98	-10.6	-10.7708
MSMEG_0145	-16.0808	-15.7556	-15.0111	-17.65
MSMEG_0146	-14.1469	-14.4364	-13.2091	-14.86
MSMEG_0147	-10.3944	-12.1462	-8.6833	-10.1909
MSMEG_0148	-14.86	-16.0444	-15.1778	-12.9286
MSMEG_0149	-16.2228	-17.3684	-17.845	-13.2111
MSMEG_0150	-15.6509	-16.92	-16.7474	-13.0833
MSMEG_0151	-14.575	-14.04	-16.375	-13.0667
MSMEG_0152	-15.1744	-15.5867	-16.4357	-13.4714
MSMEG_0153	-16.195	-15.8357	-17.3846	-15.3923
MSMEG_0154	-18.4123	-18.325	-16.7737	-20.2389
MSMEG_0155	-15.8944	-16.1143	-16.2167	-15.2
MSMEG_0156	-17.0892	-15.8615	-17.15	-18.3583
MSMEG_0157	-14.7942	-15.1	-15.0348	-14.2091
MSMEG_0158	-14.644	-14.8471	-16.5	-12.4562
MSMEG_0159	-16.6421	-15.1143	-19.0167	-16.05
MSMEG_0160	-17.927	-17.3727	-18.2905	-18.155
MSMEG_0161	-16.1911	-16.6658	-16.9974	-14.8389
MSMEG_0162	-16.25	-12.7667	-20.7333	-14.75
MSMEG_0163	-13.9917	-14.54	-15.05	-11.6667
MSMEG_0164	-16.9811	-17.6611	-16.6278	-16.6353
MSMEG_0165	-16.9152	-16.7333	-16.3364	-17.77
MSMEG_0166	-15.1034	-17.51	-14.64	-12.9444
MSMEG_0167	-15.7839	-15.1789	-14.9737	-17.2778
MSMEG_0168	-15.051	-14.4833	-16.1706	-14.5
MSMEG_0169	-11.95	-10.4	-13.5	-10.0
MSMEG_0170	-16.6364	-16.4474	-15.4944	-17.9778
MSMEG_0171	-16.1405	-16.6769	-15.1167	-16.5833
MSMEG_0172	-15.8833	-17.5625	-13.8667	-16.5571
MSMEG_0173	-19.4667	-17.8	-19.175	-22.6333
MSMEG_0174	-17.1643	-17.56	-17.9	-15.75
MSMEG_0175	-14.8378	-14.0562	-16.3333	-14.1286
MSMEG_0176	-14.3618	-15.3917	-14.0636	-13.5364
MSMEG_0177	-15.3553	-15.7308	-14.2923	-16.1
MSMEG_0178	-14.6323	-13.5818	-13.57	-16.85
MSMEG_0179	-16.2615	-18.3556	-14.2778	-16.1375
MSMEG_0180	-15.47	-19.2	-12.8286	-14.2
MSMEG_0181	-14.5351	-15.0846	-14.1833	-14.2917
MSMEG_0182	-14.1457	-14.3688	-15.9533	-12.1
MSMEG_0183	-14.2455	-13.425	-13.0571	-16.3714
MSMEG_0184	-17.45	-19.1625	-16.7625	-16.3318
MSMEG_0185	-13.164	-13.5103	-13.5974	-12.3541
MSMEG_0186	-15.4158	-16.5857	-14.1	-15.62
MSMEG_0187	-13.8474	-14.3	-18.5	-8.6667
MSMEG_0188	-15.3889	-14.5571	-15.3333	-16.62
MSMEG_0189	-16.113	-16.2313	-17.125	-14.8214
MSMEG_0190	-15.1806	-14.1619	-15.2714	-16.155
MSMEG_0191	-16.7378	-19.0538	-18.0583	-12.9083
MSMEG_0192	-14.9083	-16.7167	-15.2462	-12.5364
MSMEG_0193	-16.7571	-16.3	-17.3333	-16.6273
MSMEG_0194	-15.2889	-17.31	-15.2222	-12.8375
MSMEG_0195	-13.7	-14.9864	-12.6136	-13.4905
MSMEG_0196	-15.5286	-13.3333	-16.675	-16.6727
MSMEG_0197	-14.74	-14.8778	-15.5111	-13.5714
MSMEG_0198	-16.2444	-16.375	-16.9133	-15.3786
MSMEG_0200	-13.7245	-13.9618	-13.7571	-13.4455
MSMEG_0201	-13.085	-15.0429	-11.4857	-12.6667
MSMEG_0202	-15.0231	-17.3944	-15.6222	-11.6812
MSMEG_0203	-15.8714	-16.16	-15.4222	-16.0
MSMEG_0204	-15.137	-16.7536	-15.6222	-12.8923
MSMEG_0205	-12.7167	-9.14	-15.4	-15.1
MSMEG_0206	-16.9447	-16.931	-18.7607	-15.1429
MSMEG_0207	-16.8176	-16.5667	-19.15	-14.32
MSMEG_0208	-14.8133	-17.88	-16.5833	-8.325
MSMEG_0209	-15.8636	-16.25	-16.225	-14.8667
MSMEG_0210	-15.8884	-14.7067	-15.5143	-17.5286
MSMEG_0211	-15.1957	-13.6438	-15.7161	-16.2774
MSMEG_0212	-14.0438	-14.0333	-12.7167	-16.05
MSMEG_0213	-15.9471	-16.5667	-18.8667	-11.7
MSMEG_0214	-16.9118	-15.9556	-17.3941	-17.475
MSMEG_0215	-15.9679	-14.81	-16.2	-17.125
MSMEG_0216	-15.3194	-16.2	-15.65	-14.02
MSMEG_0217	-13.9682	-15.8667	-14.4533	-11.4143
MSMEG_0218	-14.4316	-15.6857	-14.7571	-12.22
MSMEG_0219	-15.9846	-14.5286	-18.6308	-14.8167
MSMEG_0220	-17.8758	-17.6333	-20.2545	-15.55
MSMEG_0221	-13.9368	-14.3769	-15.2692	-12.0167
MSMEG_0222	-17.6103	-16.66	-16.66	-19.7222
MSMEG_0223	-16.6421	-15.8143	-20.25	-14.0
MSMEG_0224	-17.1346	-16.9667	-18.0111	-16.3375
MSMEG_0225	-14.7226	-15.7359	-13.5385	-14.9027
MSMEG_0226	-11.3588	-11.8333	-13.4833	-8.24
MSMEG_0227	-14.3818	-15.25	-15.9375	-11.15
MSMEG_0228	-17.0556	-17.4119	-16.9116	-16.8415
MSMEG_0229	-17.4588	-16.9	-17.7174	-17.7727
MSMEG_0230	-15.9	-13.04	-16.4	-20.0
MSMEG_0231	-17.2273	-19.825	-17.75	-13.0667
MSMEG_0232	-20.3102	-19.7765	-21.6688	-19.5188
MSMEG_0233	-14.7902	-16.7571	-13.6143	-13.9385
MSMEG_0234	-15.4812	-15.7889	-15.9148	-14.7115
MSMEG_0235	-14.9917	-14.6333	-14.0125	-16.5714
MSMEG_0236	-17.1852	-18.47	-14.8889	-18.1625
MSMEG_0237	-17.1661	-19.7895	-17.4053	-14.1444
MSMEG_0238	-15.0889	-13.0286	-15.9667	-16.92
MSMEG_0239	-16.0824	-15.1278	-16.5824	-16.625
MSMEG_0240	-16.3875	-16.3222	-16.975	-15.8
MSMEG_0241	-16.0746	-15.4692	-17.2974	-15.4568
MSMEG_0242	-16.7	-20.1875	-14.325	-15.4286
MSMEG_0243	-15.2	-20.94	-12.9	-10.9
MSMEG_0244	-17.1655	-20.13	-15.95	-15.2222
MSMEG_0245	-19.7571	-20.92	-18.5	-19.875
MSMEG_0246	-18.1889	-18.6222	-16.8842	-19.1882
MSMEG_0247	-14.1188	-14.2765	-15.2562	-12.7267
MSMEG_0248	-17.0837	-17.7267	-16.4	-17.1308
MSMEG_0249	-17.2622	-18.0438	-15.76	-17.9786
MSMEG_0250	-16.4438	-15.9	-15.9878	-17.4949
MSMEG_0251	-16.1926	-17.01	-16.8444	-14.4375
MSMEG_0252	-15.2419	-14.2727	-15.7182	-15.8444
MSMEG_0253	-19.8825	-19.9143	-17.9357	-22.1167
MSMEG_0254	-17.2414	-17.255	-16.415	-18.1444
MSMEG_0255	-15.2836	-14.22	-16.2417	-15.4333
MSMEG_0256	-15.9833	-17.925	-17.0769	-12.5727
MSMEG_0257	-14.0117	-13.5381	-14.835	-13.6684
MSMEG_0258	-15.075	-17.08	-16.2111	-11.7111
MSMEG_0259	-18.175	-17.3846	-17.35	-20.0091
MSMEG_0260	-17.7219	-20.0364	-16.6	-16.41
MSMEG_0261	-16.5667	-18.3714	-14.6308	-16.5583
MSMEG_0262	-17.875	-18.5	-17.32	-17.8
MSMEG_0263	-17.386	-19.5647	-15.7	-16.8625
MSMEG_0264	-17.9795	-18.5	-16.54	-18.9643
MSMEG_0265	-15.636	-18.5	-13.175	-14.875
MSMEG_0266	-16.3448	-16.875	-15.5737	-16.5579
MSMEG_0267	-15.7025	-15.1286	-16.5143	-15.425
MSMEG_0268	-16.3419	-17.2455	-14.92	-16.77
MSMEG_0269	-15.4968	-17.3091	-14.72	-14.28
MSMEG_0270	-15.315	-15.3143	-17.1923	-13.4385
MSMEG_0271	-16.8115	-17.9444	-16.3444	-16.0625
MSMEG_0272	-16.1091	-13.575	-21.7	-12.0333
MSMEG_0273	-17.19	-21.25	-22.0333	-6.9333
MSMEG_0274	-16.945	-18.2286	-14.7429	-18.0167
MSMEG_0275	-14.9417	-14.8889	-14.775	-15.2
MSMEG_0276	-17.1381	-18.35	-17.6333	-15.285
MSMEG_0277	-15.3392	-13.9056	-16.6412	-15.5688
MSMEG_0278	-13.8222	-17.1333	-15.575	-5.35
MSMEG_0279	-14.1541	-13.7238	-15.62	-13.14
MSMEG_0280	-17.3029	-14.8167	-18.4917	-18.7182
MSMEG_0281	-15.3613	-15.5476	-15.5143	-15.005
MSMEG_0282	-15.2583	-13.96	-14.925	-17.8667
MSMEG_0283	-18.7467	-20.6727	-15.41	-20.1
MSMEG_0284	-14.7774	-14.1636	-16.4273	-13.5111
MSMEG_0285	-16.7458	-18.6375	-17.8778	-13.1286
MSMEG_0286	-16.7519	-16.63	-16.9444	-16.6875
MSMEG_0287	-16.0238	-13.9143	-20.175	-12.95
MSMEG_0288	-16.5386	-17.5	-16.8467	-15.1786
MSMEG_0289	-15.9333	-16.3118	-17.25	-14.1
MSMEG_0290	-14.6857	-15.7842	-13.6526	-14.6167
MSMEG_0291	-16.0788	-16.4667	-16.1455	-15.54
MSMEG_0292	-13.3	-13.64	-11.225	-14.95
MSMEG_0293	-14.076	-15.5412	-12.5647	-14.125
MSMEG_0294	-16.2	-19.55	-15.44	-13.3222
MSMEG_0295	-14.6619	-13.8533	-15.25	-14.9615
MSMEG_0296	-17.7722	-16.5	-20.7333	-16.0
MSMEG_0297	-16.474	-18.1941	-15.9882	-15.1625
MSMEG_0298	-13.0846	-11.38	-12.42	-17.0333
MSMEG_0299	-13.936	-13.3118	-14.8588	-13.6188
MSMEG_0300	-12.6125	-13.9071	-13.2	-10.6308
MSMEG_0301	-17.0091	-16.6105	-17.8278	-16.6111
MSMEG_0302	-16.3354	-17.8235	-16.2188	-14.7733
MSMEG_0303	-17.2154	-17.6	-17.7308	-16.2083
MSMEG_0304	-15.4892	-16.2091	-14.3909	-15.8857
MSMEG_0305	-15.2781	-14.7818	-17.5727	-13.3
MSMEG_0306	-16.9121	-16.2333	-17.5273	-17.05
MSMEG_0307	-17.0417	-18.6231	-17.3	-14.8909
MSMEG_0308	-15.9714	-14.2	-18.2625	-14.9833
MSMEG_0309	-16.6068	-17.105	-16.82	-15.8579
MSMEG_0311	-17.1957	-18.4375	-15.925	-17.2267
MSMEG_0312	-17.156	-16.9778	-17.2875	-17.225
MSMEG_0313	-18.0644	-17.78	-18.6375	-17.7875
MSMEG_0314	-16.3186	-18.195	-15.61	-15.0895
MSMEG_0315	-20.7031	-20.6273	-21.7682	-19.6667
MSMEG_0316	-17.8106	-17.025	-18.65	-17.7533
MSMEG_0317	-14.334	-14.375	-14.3812	-14.24
MSMEG_0318	-16.1119	-16.46	-15.535	-16.3526
MSMEG_0319	-18.5362	-17.8562	-19.6812	-18.04
MSMEG_0320	-13.7026	-13.4385	-15.4	-12.0083
MSMEG_0321	-17.5973	-17.4395	-17.4297	-17.9361
MSMEG_0323	-14.2	-12.9647	-14.6562	-15.0562
MSMEG_0324	-12.8111	-11.5143	-15.4667	-11.44
MSMEG_0325	-14.055	-12.5143	-16.5286	-12.9667
MSMEG_0326	-14.3569	-13.95	-16.2053	-12.9368
MSMEG_0327	-16.1667	-16.825	-16.3714	-15.2474
MSMEG_0328	-16.2765	-14.75	-15.6667	-18.84
MSMEG_0329	-16.4105	-17.3286	-16.9714	-14.34
MSMEG_0330	-15.4404	-16.1312	-16.2875	-13.8
MSMEG_0331	-14.0905	-16.0286	-15.08	-10.8615
MSMEG_0332	-17.927	-17.5308	-18.8417	-17.4417
MSMEG_0333	-15.2	-16.0455	-15.4048	-14.055
MSMEG_0334	-16.2688	-17.2074	-15.7407	-15.8423
MSMEG_0335	-14.9767	-13.2818	-17.37	-14.3889
MSMEG_0336	-15.229	-13.8364	-15.3455	-16.7889
MSMEG_0337	-16.07	-16.9917	-15.4261	-15.7522
MSMEG_0338	-15.1356	-14.6188	-15.2533	-15.6
MSMEG_0339	-16.3075	-19.2571	-15.1429	-14.225
MSMEG_0340	-16.2033	-15.54	-16.3	-16.8222
MSMEG_0341	-15.11	-15.5786	-15.2	-14.4583
MSMEG_0342	-13.3485	-13.8583	-15.4364	-10.44
MSMEG_0343	-12.796	-14.6111	-13.75	-9.8
MSMEG_0344	-15.2267	-13.2182	-15.96	-16.8667
MSMEG_0345	-15.5094	-15.1364	-16.7818	-14.52
MSMEG_0346	-14.8661	-14.1105	-15.3737	-15.1278
MSMEG_0347	-13.0805	-14.9571	-13.5786	-10.5231
MSMEG_0348	-13.4283	-12.1667	-11.8333	-16.4529
MSMEG_0349	-13.6981	-14.2278	-13.5176	-13.3176
MSMEG_0350	-12.9689	-14.1188	-11.7467	-12.9643
MSMEG_0351	-13.839	-12.51	-14.815	-14.2105
MSMEG_0352	-13.7583	-14.5625	-11.5	-15.7429
MSMEG_0353	-16.1524	-17.75	-14.1	-16.4167
MSMEG_0354	-14.0	-13.24	-16.02	-11.9
MSMEG_0355	-12.9421	-14.6143	-10.8571	-13.52
MSMEG_0356	-14.875	-12.76	-17.925	-14.3333
MSMEG_0357	-17.0109	-17.8773	-18.3048	-14.8095
MSMEG_0358	-15.1789	-14.4231	-16.1	-15.0
MSMEG_0359	-18.5024	-19.2877	-17.7035	-18.5164
MSMEG_0360	-14.5167	-16.7	-12.55	-11.9
MSMEG_0361	-18.2978	-16.725	-18.0867	-20.1867
MSMEG_0362	-16.4717	-16.3312	-18.08	-15.0133
MSMEG_0363	-15.208	-13.2778	-15.3	-17.2875
MSMEG_0364	-20.5727	-19.0	-23.2	-19.1667
MSMEG_0365	-15.5573	-18.4615	-14.608	-13.4
MSMEG_0366	-15.881	-13.2143	-17.925	-16.2667
MSMEG_0367	-17.6488	-19.8333	-17.0571	-15.9
MSMEG_0368	-16.2776	-16.53	-16.865	-15.3444
MSMEG_0369	-14.075	-17.07	-11.99	-12.9375
MSMEG_0370	-16.013	-16.1971	-15.3182	-16.5182
MSMEG_0371	-15.7618	-14.8583	-16.9455	-15.5636
MSMEG_0372	-16.813	-18.4389	-15.4842	-16.5765
MSMEG_0373	-17.5118	-17.7222	-17.2059	-17.6
MSMEG_0374	-17.0135	-16.252	-17.38	-17.425
MSMEG_0375	-16.9365	-17.0636	-16.7762	-16.965
MSMEG_0376	-15.6268	-12.9571	-17.45	-16.5385
MSMEG_0377	-14.2586	-13.5	-15.48	-13.7444
MSMEG_0378	-14.3625	-11.8333	-15.35	-16.4857
MSMEG_0379	-15.2364	-18.2	-14.675	-12.0333
MSMEG_0380	-12.4125	-13.1833	-12.1333	-11.675
MSMEG_0381	-13.5774	-13.6949	-12.5395	-14.4947
MSMEG_0382	-14.1891	-13.9575	-14.0425	-14.5769
MSMEG_0383	-13.4308	-16.88	-11.25	-11.3
MSMEG_0384	-12.3471	-11.9917	-11.9333	-13.27
MSMEG_0385	-15.0024	-14.5	-16.3786	-14.0615
MSMEG_0386	-13.6911	-14.025	-14.02	-12.9571
MSMEG_0387	-11.1655	-10.51	-11.64	-11.3667
MSMEG_0388	-13.6107	-13.56	-13.46	-13.8625
MSMEG_0389	-14.2	-12.4647	-15.4471	-14.7188
MSMEG_0390	-12.7302	-13.6267	-13.5429	-10.9571
MSMEG_0391	-13.8387	-16.3	-12.89	-12.08
MSMEG_0392	-12.8483	-10.4952	-13.69	-14.5632
MSMEG_0393	-12.975	-13.3455	-13.2091	-12.31
MSMEG_0394	-15.22	-17.15	-14.1667	-13.7
MSMEG_0395	-15.08	-16.95	-13.6	-14.3
MSMEG_0396	-12.64	-12.7667	-16.26	-7.925
MSMEG_0397	-15.0231	-17.3944	-15.6222	-11.6812
MSMEG_0398	-15.8714	-16.16	-15.4222	-16.0
MSMEG_0399	-11.5556	-12.625	-9.4	-12.65
MSMEG_0400	-16.2663	-15.8701	-16.3562	-16.58
MSMEG_0401	-15.975	-17.0122	-16.3425	-14.5077
MSMEG_0402	-16.1127	-16.6961	-15.8696	-15.7667
MSMEG_0403	-14.3188	-13.5727	-15.4909	-13.85
MSMEG_0404	-16.1312	-13.5167	-17.76	-17.64
MSMEG_0405	-17.3915	-17.5062	-18.1562	-16.4533
MSMEG_0406	-14.4247	-13.368	-15.0292	-14.9208
MSMEG_0407	-16.207	-15.4533	-15.3929	-17.8286
MSMEG_0408	-17.0735	-16.4823	-17.7342	-17.0076
MSMEG_0409	-12.5446	-12.2053	-13.1579	-12.2556
MSMEG_0410	-15.2933	-15.822	-14.2925	-15.7641
MSMEG_0411	-16.9029	-16.1913	-18.2	-16.2909
MSMEG_0412	-15.3283	-17.1125	-15.5067	-13.2467
MSMEG_0413	-17.8889	-15.2333	-20.89	-17.125
MSMEG_0414	-17.0553	-16.4923	-19.0154	-15.5417
MSMEG_0415	-15.7105	-17.0286	-15.5667	-14.3167
MSMEG_0416	-10.0167	-10.0667	-9.65	-10.6
MSMEG_0417	-12.7379	-14.2	-12.02	-11.9111
MSMEG_0418	-15.0961	-14.9423	-15.06	-15.292
MSMEG_0419	-12.6031	-16.8818	-9.7273	-11.06
MSMEG_0420	-13.8273	-16.475	-10.925	-14.1667
MSMEG_0421	-16.1	-17.25	-17.35	-11.3
MSMEG_0422	-17.42	-18.0364	-16.29	-17.9222
MSMEG_0423	-18.37	-15.9286	-19.7571	-19.6
MSMEG_0424	-15.8	-15.4667	-15.55	-16.5
MSMEG_0425	-20.2242	-21.6833	-21.2455	-17.35
MSMEG_0426	-17.5366	-19.1714	-15.5571	-17.9077
MSMEG_0427	-15.734	-17.3029	-15.45	-14.4029
MSMEG_0428	-15.4214	-13.58	-17.22	-15.475
MSMEG_0429	-13.6222	-12.375	-16.3	-12.1
MSMEG_0430	-16.2815	-18.9632	-18.1556	-11.3
MSMEG_0431	-17.4778	-16.21	-18.8	-17.575
MSMEG_0432	-17.7022	-19.4625	-17.74	-15.7867
MSMEG_0433	-15.6982	-14.4211	-16.5474	-16.15
MSMEG_0434	-16.424	-13.9333	-19.3125	-16.3375
MSMEG_0435	-16.1829	-15.25	-15.9583	-17.4455
MSMEG_0436	-17.9269	-16.1556	-19.1667	-18.525
MSMEG_0437	-14.263	-17.28	-12.6667	-12.2875
MSMEG_0438	-16.2763	-19.7923	-15.3077	-13.5167
MSMEG_0439	-15.2133	-14.925	-16.5533	-14.1071
MSMEG_0440	-18.1333	-16.7	-21.0	-21.0
MSMEG_0441	-16.1483	-14.62	-17.51	-16.3333
MSMEG_0442	-14.3458	-14.6375	-13.7222	-14.8143
MSMEG_0443	-16.4564	-17.0143	-17.3231	-14.8667
MSMEG_0444	-17.045	-17.5286	-18.1214	-15.225
MSMEG_0445	-18.2391	-18.4818	-18.1286	-18.0952
