 	CDS_MFE_20_10nt_CDS	CDS_MFE_20_10nt_5p	CDS_MFE_20_10nt_mid	CDS_MFE_20_10nt_3p
MSMEG_0048	-3.336	-3.2	-3.1059	-3.725
MSMEG_0049	-3.3875	-2.7	-3.725	-3.771
MSMEG_0050	-3.0462	-2.5222	-3.5	-3.125
MSMEG_0051	-3.0172	-2.56	-4.27	-2.1333
MSMEG_0052	-3.8156	-3.5577	-3.0654	-4.864
MSMEG_0053	-3.3775	-3.2915	-3.4239	-3.42
MSMEG_0054	-2.2852	-2.9703	-2.225	-1.6229
MSMEG_0055	-3.1299	-2.3528	-3.7321	-3.3118
MSMEG_0056	-3.471	-3.9364	-3.9182	-2.3556
MSMEG_0057	-3.2333	-3.3103	-3.575	-2.7963
MSMEG_0058	-2.9019	-3.1833	-3.6722	-1.7188
MSMEG_0059	-3.4407	-3.5741	-3.2947	-3.4509
MSMEG_0060	-3.1168	-3.2729	-3.1417	-2.9319
MSMEG_0061	-3.1631	-3.1693	-3.4486	-2.8671
MSMEG_0062	-3.364	-3.1433	-3.2322	-3.7203
MSMEG_0063	-4.2345	-2.91	-5.39	-4.4222
MSMEG_0064	-3.8186	-3.7977	-3.4791	-4.1881
MSMEG_0065	-2.6667	-2.32	-3.6636	-1.8333
MSMEG_0066	-3.7	-4.31	-4.36	-2.1125
MSMEG_0067	-3.3127	-4.3292	-2.8064	-2.7809
MSMEG_0068	-3.3895	-3.2353	-3.7692	-3.152
MSMEG_0069	-2.0386	-1.5125	-2.6217	-2.0043
MSMEG_0070	-2.4818	-3.1167	-2.3273	-1.89
MSMEG_0071	-2.7124	-1.8529	-3.4567	-2.8424
MSMEG_0072	-2.1047	-2.5655	-2.5	-1.2179
MSMEG_0073	-3.1752	-3.722	-3.17	-2.62
MSMEG_0074	-2.7669	-3.9098	-2.728	-1.64
MSMEG_0075	-3.0429	-3.8	-2.75	-2.5364
MSMEG_0076	-3.2506	-2.7923	-3.1679	-3.8039
MSMEG_0077	-2.5839	-2.3	-3.3182	-2.0333
MSMEG_0078	-2.6526	-2.575	-2.1368	-3.2833
MSMEG_0079	-2.5365	-2.952	-2.424	-2.2208
MSMEG_0080	-3.1698	-2.7389	-3.4278	-3.3529
MSMEG_0081	-2.3333	-1.9545	-2.3417	-2.74
MSMEG_0082	-3.4403	-3.5149	-3.4174	-3.387
MSMEG_0083	-3.1724	-3.2756	-2.9356	-3.3091
MSMEG_0084	-3.48	-3.7444	-4.4556	-1.8857
MSMEG_0085	-3.4995	-3.6162	-3.6731	-3.203
MSMEG_0086	-3.5776	-2.9636	-3.6424	-4.1438
MSMEG_0087	-3.4724	-4.1423	-3.4308	-2.7917
MSMEG_0088	-4.2914	-4.2091	-4.3741	-4.2926
MSMEG_0089	-3.0691	-3.0909	-2.7406	-3.375
MSMEG_0090	-3.6131	-3.5028	-4.1125	-3.2129
MSMEG_0091	-2.9517	-2.935	-2.6842	-3.2368
MSMEG_0092	-2.3905	-2.2455	-2.5952	-2.335
MSMEG_0093	-3.3917	-2.8062	-3.1788	-4.2226
MSMEG_0094	-3.8471	-3.85	-4.9	-2.58
MSMEG_0095	-2.9978	-3.3875	-2.8419	-2.7433
MSMEG_0096	-3.0506	-3.3621	-2.5679	-3.2107
MSMEG_0097	-4.2521	-3.8212	-4.6969	-4.2516
MSMEG_0098	-3.3648	-2.5792	-4.6792	-2.813
MSMEG_0099	-3.7062	-3.8706	-4.0375	-3.1667
MSMEG_0100	-3.6888	-4.1481	-3.5519	-3.3538
MSMEG_0101	-3.5982	-3.6737	-3.8056	-3.3111
MSMEG_0102	-2.9154	-2.581	-3.0439	-3.135
MSMEG_0103	-4.1176	-3.6425	-4.1725	-4.5487
MSMEG_0104	-3.5227	-3.2767	-3.3	-4.0
MSMEG_0105	-3.7415	-3.7409	-3.8091	-3.6714
MSMEG_0106	-3.6078	-3.5282	-3.5077	-3.7921
MSMEG_0107	-2.9038	-3.3333	-2.6887	-2.6811
MSMEG_0108	-3.4903	-3.3105	-4.2342	-2.9108
MSMEG_0109	-3.0146	-2.9542	-2.8633	-3.234
MSMEG_0110	-3.6052	-3.9654	-3.5843	-3.2588
MSMEG_0111	-2.893	-3.4735	-2.8697	-2.3182
MSMEG_0112	-2.2091	-2.725	-2.15	-1.6
MSMEG_0113	-3.2907	-3.0586	-3.8759	-2.925
MSMEG_0114	-2.9615	-2.6909	-3.5	-2.6935
MSMEG_0115	-2.6235	-2.313	-2.287	-3.3
MSMEG_0116	-3.6114	-3.8704	-3.2667	-3.704
MSMEG_0117	-2.5628	-2.4655	-2.5345	-2.6929
MSMEG_0118	-3.152	-2.9471	-3.5353	-2.9625
MSMEG_0119	-2.6545	-2.15	-3.35	-2.4
MSMEG_0120	-2.7554	-2.1864	-2.5318	-3.5857
MSMEG_0121	-3.9169	-5.0192	-2.8077	-3.924
MSMEG_0122	-3.11	-3.3559	-3.5765	-2.3531
MSMEG_0123	-3.9	-4.6176	-4.1588	-2.8625
MSMEG_0124	-3.2926	-3.6435	-3.1957	-3.0273
MSMEG_0125	-3.4145	-3.4961	-3.6451	-3.096
MSMEG_0126	-3.3649	-2.9053	-3.6757	-3.5306
MSMEG_0127	-3.8486	-3.6784	-4.2167	-3.6556
MSMEG_0128	-3.7545	-2.4333	-4.5533	-4.3143
MSMEG_0129	-3.0841	-4.0467	-1.98	-3.2357
MSMEG_0130	-3.4493	-4.0913	-2.9	-3.3773
MSMEG_0131	-2.9822	-3.0055	-3.1685	-2.7722
MSMEG_0132	-2.715	-2.3704	-2.6963	-3.0923
MSMEG_0133	-3.193	-3.9966	-2.9483	-2.6143
MSMEG_0134	-2.7779	-2.6732	-2.5317	-3.1375
MSMEG_0135	-2.8223	-2.8486	-2.5353	-3.0824
MSMEG_0136	-3.275	-3.1195	-2.545	-4.1872
MSMEG_0137	-3.1043	-2.8164	-2.7291	-3.7796
MSMEG_0138	-2.8147	-2.9656	-2.7094	-2.7677
MSMEG_0139	-3.2844	-3.0	-3.7283	-3.1114
MSMEG_0140	-3.0817	-2.8667	-3.63	-2.7421
MSMEG_0141	-3.4771	-4.797	-3.4469	-2.1032
MSMEG_0142	-3.0685	-4.6842	-1.3722	-3.0588
MSMEG_0143	-2.7584	-3.6167	-2.9167	-1.7069
MSMEG_0144	-2.514	-3.4302	-1.8871	-2.2049
MSMEG_0145	-3.0727	-3.5783	-2.2318	-3.4
MSMEG_0146	-2.7235	-3.0821	-2.3556	-2.7192
MSMEG_0147	-1.778	-2.0323	-1.61	-1.6833
MSMEG_0148	-2.8891	-3.2182	-2.8636	-2.555
MSMEG_0149	-3.4768	-3.7333	-3.9312	-2.7348
MSMEG_0150	-2.8972	-2.9646	-3.3896	-2.3255
MSMEG_0151	-3.2438	-3.0909	-3.7909	-2.81
MSMEG_0152	-3.0278	-3.2083	-3.0541	-2.8143
MSMEG_0153	-3.3089	-3.3118	-3.6647	-2.9394
MSMEG_0154	-3.6476	-3.5604	-3.0125	-4.3851
MSMEG_0155	-3.3234	-3.5062	-2.9062	-3.5733
MSMEG_0156	-3.575	-3.6097	-3.4613	-3.6567
MSMEG_0157	-3.0988	-2.9845	-3.1552	-3.1579
MSMEG_0158	-3.2389	-3.1095	-3.993	-2.5805
MSMEG_0159	-3.3104	-1.6294	-3.85	-4.64
MSMEG_0160	-3.8761	-3.9463	-3.5113	-4.175
MSMEG_0161	-3.3149	-3.3266	-3.417	-3.2
MSMEG_0162	-3.5364	-2.125	-5.3714	-3.3143
MSMEG_0163	-3.0065	-3.5364	-2.87	-2.56
MSMEG_0164	-3.5381	-3.5244	-3.5756	-3.5136
MSMEG_0165	-3.6429	-3.7464	-3.4448	-3.7481
MSMEG_0166	-2.6556	-2.8	-2.325	-2.8435
MSMEG_0167	-3.2221	-3.0362	-2.9681	-3.6717
MSMEG_0168	-3.1516	-2.5535	-3.3907	-3.519
MSMEG_0169	-2.6091	-1.375	-3.7	-2.8
MSMEG_0170	-3.3848	-3.0935	-3.3277	-3.7422
MSMEG_0171	-3.2554	-2.871	-3.2161	-3.6933
MSMEG_0172	-3.6183	-3.73	-3.4429	-3.6947
MSMEG_0173	-3.8031	-3.8273	-2.8	-4.88
MSMEG_0174	-3.1108	-3.1462	-3.1833	-3.0
MSMEG_0175	-3.1681	-2.5395	-3.7632	-3.2027
MSMEG_0176	-2.9553	-3.0931	-2.6679	-3.1
MSMEG_0177	-3.1526	-2.9576	-3.3688	-3.1375
MSMEG_0178	-3.0167	-3.0577	-2.4593	-3.576
MSMEG_0179	-2.9791	-3.5565	-2.8818	-2.4727
MSMEG_0180	-2.844	-3.8941	-1.9412	-2.6875
MSMEG_0181	-2.7882	-2.7219	-2.6065	-3.0467
MSMEG_0182	-3.1165	-2.6487	-3.6615	-3.0351
MSMEG_0183	-2.8982	-3.0579	-1.6889	-3.9389
MSMEG_0184	-3.7712	-4.1169	-3.5783	-3.619
MSMEG_0185	-2.436	-2.4073	-2.4947	-2.4063
MSMEG_0186	-2.7612	-2.8882	-2.6688	-2.7188
MSMEG_0187	-2.9638	-2.7938	-3.7125	-2.3467
MSMEG_0188	-3.2391	-2.5188	-3.42	-3.8267
MSMEG_0189	-3.2974	-3.4769	-3.159	-3.2553
MSMEG_0190	-3.0019	-2.925	-2.8519	-3.2333
MSMEG_0191	-3.8391	-4.0226	-3.9065	-3.58
MSMEG_0192	-3.2489	-4.6267	-2.6	-2.5172
MSMEG_0193	-3.4382	-3.2133	-3.23	-3.8862
MSMEG_0194	-3.2609	-4.3542	-3.2304	-2.1
MSMEG_0195	-2.7427	-3.3091	-2.5182	-2.3944
MSMEG_0196	-2.7674	-2.7333	-2.9933	-2.569
MSMEG_0197	-3.2391	-2.7364	-3.7286	-3.2762
MSMEG_0198	-3.2407	-3.0789	-3.2789	-3.3676
MSMEG_0200	-2.6471	-2.5729	-2.6477	-2.7214
MSMEG_0201	-2.68	-3.2176	-2.4529	-2.35
MSMEG_0202	-3.3545	-3.8841	-3.7511	-2.3977
MSMEG_0203	-3.4214	-3.3542	-3.0652	-3.8478
MSMEG_0204	-3.0069	-3.4232	-3.3838	-2.1955
MSMEG_0205	-1.9625	-1.8	-2.1455	-1.94
MSMEG_0206	-3.5554	-3.3819	-4.3831	-2.8943
MSMEG_0207	-2.9364	-2.8867	-3.2333	-2.6714
MSMEG_0208	-3.2757	-3.7769	-3.4692	-2.4545
MSMEG_0209	-2.2444	-2.93	-2.2667	-1.3625
MSMEG_0210	-3.2537	-3.0054	-2.9139	-3.8657
MSMEG_0211	-2.9966	-2.4772	-3.319	-3.1962
MSMEG_0212	-3.4756	-3.7857	-2.9643	-3.6923
MSMEG_0213	-3.3818	-3.14	-4.1	-2.8714
MSMEG_0214	-3.4953	-3.3116	-3.8791	-3.2905
MSMEG_0215	-3.2465	-2.875	-3.3375	-3.5391
MSMEG_0216	-3.2662	-3.8462	-2.7154	-3.236
MSMEG_0217	-2.7598	-3.3342	-3.0459	-1.8838
MSMEG_0218	-2.7367	-3.1294	-3.0188	-2.0375
MSMEG_0219	-3.2424	-2.9455	-3.5235	-3.25
MSMEG_0220	-4.0133	-3.9679	-4.3857	-3.6741
MSMEG_0221	-3.1105	-3.4031	-3.9156	-1.9774
MSMEG_0222	-3.9892	-3.676	-3.288	-5.0458
MSMEG_0223	-3.2313	-2.725	-3.8765	-3.04
MSMEG_0224	-3.9169	-4.3409	-3.5727	-3.8333
MSMEG_0225	-2.8896	-3.168	-2.6237	-2.8768
MSMEG_0226	-2.2714	-2.0067	-2.5857	-2.2385
MSMEG_0227	-2.975	-3.3316	-3.7	-1.8333
MSMEG_0228	-3.5629	-3.7	-3.6038	-3.3827
MSMEG_0229	-3.4404	-3.481	-3.6789	-3.1554
MSMEG_0230	-2.72	-1.6636	-1.75	-5.0889
MSMEG_0231	-3.2966	-3.88	-2.67	-3.3444
MSMEG_0232	-4.2057	-3.9854	-4.2024	-4.435
MSMEG_0233	-2.9625	-3.9171	-2.5171	-2.4382
MSMEG_0234	-3.1585	-3.4209	-3.2821	-2.7667
MSMEG_0235	-3.3935	-3.5143	-2.7667	-3.925
MSMEG_0236	-3.8279	-3.5435	-3.4652	-4.5045
MSMEG_0237	-3.9443	-4.7553	-3.8851	-3.1761
MSMEG_0238	-3.4596	-2.9938	-3.0125	-4.4333
MSMEG_0239	-3.2016	-3.4977	-3.1791	-2.9143
MSMEG_0240	-3.2417	-3.9048	-3.35	-2.3947
MSMEG_0241	-3.5269	-3.2698	-4.0063	-3.3074
MSMEG_0242	-3.9069	-4.85	-2.9368	-3.8842
MSMEG_0243	-3.72	-5.3583	-3.3417	-2.3455
MSMEG_0244	-3.4514	-4.724	-3.176	-2.4125
MSMEG_0245	-4.2111	-4.4308	-3.8667	-4.3273
MSMEG_0246	-3.8126	-3.5956	-3.3891	-4.4773
MSMEG_0247	-3.1215	-3.2732	-3.4425	-2.645
MSMEG_0248	-3.4661	-3.7432	-3.1611	-3.4861
MSMEG_0249	-3.3814	-3.5711	-3.2368	-3.3351
MSMEG_0250	-3.1286	-2.9578	-2.7832	-3.6465
MSMEG_0251	-3.4014	-3.6625	-3.4	-3.1182
MSMEG_0252	-3.4873	-3.1037	-3.6462	-3.7269
MSMEG_0253	-4.4147	-4.9088	-4.06	-4.2818
MSMEG_0254	-3.3514	-3.4122	-3.0041	-3.6437
MSMEG_0255	-2.8857	-2.5115	-2.9475	-3.2033
MSMEG_0256	-3.1478	-4.01	-3.1645	-2.2379
MSMEG_0257	-2.8338	-2.7431	-2.742	-3.018
MSMEG_0258	-3.1887	-3.6292	-3.8083	-2.0826
MSMEG_0259	-3.4356	-2.8839	-3.1467	-4.3241
MSMEG_0260	-3.5481	-4.0143	-3.2593	-3.3462
MSMEG_0261	-3.2677	-3.5485	-2.8647	-3.4062
MSMEG_0262	-3.7518	-3.7108	-3.2568	-4.3028
MSMEG_0263	-3.5402	-3.7116	-2.8976	-4.0071
MSMEG_0264	-3.7495	-3.7184	-3.6838	-3.85
MSMEG_0265	-3.5403	-4.4429	-2.7524	-3.42
MSMEG_0266	-3.2517	-3.2796	-3.0163	-3.4681
MSMEG_0267	-3.3436	-2.9176	-3.6735	-3.4424
MSMEG_0268	-3.3792	-3.9808	-2.4385	-3.732
MSMEG_0269	-3.6026	-3.4654	-3.7	-3.644
MSMEG_0270	-3.248	-3.0912	-4.0091	-2.6485
MSMEG_0271	-3.7523	-4.1727	-2.6045	-4.5143
MSMEG_0272	-3.1786	-2.72	-4.8222	-2.0444
MSMEG_0273	-2.7923	-3.3778	-3.7	-1.1125
MSMEG_0274	-3.4615	-4.0	-2.2118	-4.1412
MSMEG_0275	-2.8933	-3.1667	-2.18	-3.3421
MSMEG_0276	-3.7418	-4.5472	-3.9283	-2.7308
MSMEG_0277	-3.1195	-2.6233	-3.4326	-3.3071
MSMEG_0278	-3.3636	-5.775	-2.0375	-1.9167
MSMEG_0279	-3.0052	-2.9019	-3.3588	-2.752
MSMEG_0280	-3.7191	-3.3733	-3.4633	-4.3414
MSMEG_0281	-3.2408	-3.0019	-3.5712	-3.1538
MSMEG_0282	-2.9031	-2.4727	-3.2636	-2.98
MSMEG_0283	-3.6221	-3.6577	-2.8692	-4.368
MSMEG_0284	-3.1	-2.7667	-3.4769	-3.0692
MSMEG_0285	-2.9333	-3.495	-3.0095	-2.2579
MSMEG_0286	-3.5544	-3.9609	-3.4217	-3.2682
MSMEG_0287	-3.6269	-2.7944	-4.7556	-3.2938
MSMEG_0288	-3.8318	-3.7514	-4.1541	-3.5833
MSMEG_0289	-3.557	-3.9049	-3.8275	-2.93
MSMEG_0290	-3.1752	-3.125	-3.2383	-3.163
MSMEG_0291	-3.5595	-3.4379	-3.6786	-3.5667
MSMEG_0292	-3.3781	-4.0091	-1.9182	-4.29
MSMEG_0293	-3.0246	-3.3442	-2.6714	-3.0512
MSMEG_0294	-3.2486	-4.272	-2.796	-2.6542
MSMEG_0295	-2.9358	-2.7528	-2.9417	-3.1235
MSMEG_0296	-3.1444	-2.9688	-2.9267	-3.5786
MSMEG_0297	-3.5576	-3.7786	-3.681	-3.2049
MSMEG_0298	-2.4912	-2.7083	-2.0364	-2.7091
MSMEG_0299	-2.727	-2.5581	-3.0262	-2.5976
MSMEG_0300	-2.306	-2.7706	-2.5382	-1.5656
MSMEG_0301	-3.5326	-3.9915	-3.6652	-2.9178
MSMEG_0302	-3.343	-4.1439	-3.0075	-2.8575
MSMEG_0303	-3.1646	-3.8364	-3.0941	-2.5469
MSMEG_0304	-3.1209	-3.3491	-2.8556	-3.1537
MSMEG_0305	-3.0613	-3.1074	-3.0259	-3.05
MSMEG_0306	-3.7651	-3.55	-4.1179	-3.6222
MSMEG_0307	-3.4089	-4.0548	-2.8833	-3.2621
MSMEG_0308	-3.4058	-3.4111	-3.6	-3.1812
MSMEG_0309	-3.494	-3.932	-2.98	-3.5714
MSMEG_0311	-4.0256	-4.4925	-3.3846	-4.1921
MSMEG_0312	-4.1081	-3.381	-4.8524	-4.09
MSMEG_0313	-3.9709	-3.8705	-3.9902	-4.0533
MSMEG_0314	-3.3047	-3.708	-3.286	-2.9042
MSMEG_0315	-4.8712	-4.2109	-5.4273	-4.9792
MSMEG_0316	-3.7237	-3.4975	-3.7375	-3.9474
MSMEG_0317	-2.8034	-2.7875	-3.2625	-2.3487
MSMEG_0318	-3.5527	-3.148	-3.336	-4.2
MSMEG_0319	-3.8613	-3.5175	-4.4	-3.6615
MSMEG_0320	-3.066	-2.6303	-4.0303	-2.5032
MSMEG_0321	-3.7849	-3.672	-3.8745	-3.8076
MSMEG_0323	-2.9894	-2.7762	-3.1146	-3.085
MSMEG_0324	-2.7133	-2.2875	-3.7067	-2.1357
MSMEG_0325	-2.7843	-2.5706	-3.6	-2.0938
MSMEG_0326	-2.6669	-2.5939	-3.2396	-2.1688
MSMEG_0327	-3.216	-3.63	-3.1706	-2.8408
MSMEG_0328	-3.1136	-1.7333	-3.6333	-4.0357
MSMEG_0329	-3.3653	-2.8588	-3.4938	-3.775
MSMEG_0330	-3.0102	-2.995	-3.4575	-2.5553
MSMEG_0331	-2.9562	-3.5914	-2.7556	-2.5147
MSMEG_0332	-3.8333	-4.0094	-3.4419	-4.05
MSMEG_0333	-2.8748	-3.1259	-3.1849	-2.2981
MSMEG_0334	-3.507	-4.0716	-3.0015	-3.447
MSMEG_0335	-3.0453	-2.2769	-3.624	-3.275
MSMEG_0336	-3.1418	-2.1889	-3.7615	-3.5115
MSMEG_0337	-3.3069	-3.5576	-2.85	-3.5086
MSMEG_0338	-3.1044	-2.8447	-3.0763	-3.4
MSMEG_0339	-3.2089	-3.7794	-2.9118	-2.9273
MSMEG_0340	-3.364	-3.2	-3.6808	-3.1917
MSMEG_0341	-2.9683	-2.9441	-2.5206	-3.4545
MSMEG_0342	-2.906	-3.3103	-3.1857	-2.1815
MSMEG_0343	-2.2984	-2.8524	-2.0773	-1.96
MSMEG_0344	-2.8273	-2.6077	-2.7615	-3.124
MSMEG_0345	-3.4185	-3.0714	-3.7815	-3.4154
MSMEG_0346	-2.8831	-2.8229	-2.6872	-3.1404
MSMEG_0347	-2.5284	-2.4743	-2.4794	-2.6364
MSMEG_0348	-2.8485	-2.5867	-2.3614	-3.6209
MSMEG_0349	-2.6031	-2.6227	-2.7488	-2.4372
MSMEG_0350	-2.6442	-2.9789	-2.6053	-2.3405
MSMEG_0351	-2.7365	-2.468	-3.122	-2.6146
MSMEG_0352	-2.62	-3.175	-1.9619	-2.7632
MSMEG_0353	-2.9481	-3.8158	-2.5556	-2.3941
MSMEG_0354	-2.05	-2.1417	-3.0182	-0.9818
MSMEG_0355	-2.4653	-2.6824	-2.5312	-2.1688
MSMEG_0356	-2.4484	-2.4727	-3.4	-1.47
MSMEG_0357	-3.6537	-4.0611	-3.7075	-3.1849
MSMEG_0358	-3.0469	-2.5906	-3.3152	-3.2323
MSMEG_0359	-3.9226	-4.1	-3.5021	-4.1645
MSMEG_0360	-2.5059	-3.35	-2.2833	-1.76
MSMEG_0361	-4.2655	-3.7692	-4.1128	-4.9316
MSMEG_0362	-3.4474	-3.1462	-3.5744	-3.6263
MSMEG_0363	-2.546	-2.0955	-2.2	-3.405
MSMEG_0364	-4.5586	-3.93	-5.46	-4.2556
MSMEG_0365	-3.2638	-3.9238	-3.0714	-2.7887
MSMEG_0366	-2.9404	-2.0	-3.1667	-3.7438
MSMEG_0367	-4.113	-4.4865	-4.325	-3.5
MSMEG_0368	-3.7712	-4.0633	-4.3918	-2.8396
MSMEG_0369	-2.6028	-3.8	-1.948	-2.0652
MSMEG_0370	-3.1418	-3.3321	-2.7583	-3.3373
MSMEG_0371	-3.1435	-3.5414	-3.0345	-2.8333
MSMEG_0372	-3.8341	-4.1711	-3.813	-3.5114
MSMEG_0373	-3.6829	-4.025	-3.6535	-3.3548
MSMEG_0374	-3.5333	-3.7222	-3.2355	-3.641
MSMEG_0375	-3.4711	-3.1434	-3.7907	-3.4731
MSMEG_0376	-3.3058	-2.4229	-3.9486	-3.5529
MSMEG_0377	-2.8	-2.608	-3.008	-2.7833
MSMEG_0378	-2.8387	-2.0714	-3.4714	-2.98
MSMEG_0379	-2.8821	-3.17	-2.8	-2.6444
MSMEG_0380	-2.2098	-2.7571	-2.2286	-1.6
MSMEG_0381	-2.6733	-2.7177	-2.468	-2.8379
MSMEG_0382	-2.7779	-2.639	-2.8364	-2.8596
MSMEG_0383	-2.9424	-3.7417	-1.8091	-3.23
MSMEG_0384	-2.2709	-2.2724	-2.3379	-2.2
MSMEG_0385	-3.0118	-3.0343	-3.3118	-2.6788
MSMEG_0386	-2.677	-2.4105	-2.8289	-2.7946
MSMEG_0387	-2.0315	-2.364	-1.6042	-2.1125
MSMEG_0388	-2.7889	-2.9083	-2.504	-2.9739
MSMEG_0389	-2.6246	-2.3163	-2.7048	-2.8659
MSMEG_0390	-2.3972	-2.3528	-2.773	-2.0457
MSMEG_0391	-2.4987	-3.2222	-2.1615	-2.068
MSMEG_0392	-2.5735	-2.1588	-2.576	-2.994
MSMEG_0393	-2.1756	-2.3036	-1.9407	-2.2778
MSMEG_0394	-2.396	-3.1889	-2.0625	-1.8375
MSMEG_0395	-4.0	-3.4	-3.7	-5.05
MSMEG_0396	-2.5718	-3.1286	-3.3462	-1.0833
MSMEG_0397	-3.3545	-3.8841	-3.7511	-2.3977
MSMEG_0398	-3.4214	-3.3542	-3.0652	-3.8478
MSMEG_0399	-1.9826	-1.8875	-1.8875	-2.2
MSMEG_0400	-3.3893	-3.422	-3.2527	-3.4941
MSMEG_0401	-3.2113	-3.3455	-3.242	-3.0434
MSMEG_0402	-3.2099	-3.518	-2.9605	-3.151
MSMEG_0403	-2.8173	-2.5714	-3.4741	-2.4
MSMEG_0404	-3.1098	-1.5643	-3.8286	-4.0
MSMEG_0405	-3.7282	-4.1625	-3.5128	-3.4921
MSMEG_0406	-2.9568	-2.679	-3.123	-3.075
MSMEG_0407	-3.2352	-3.1919	-2.8083	-3.72
MSMEG_0408	-3.4489	-3.3298	-3.686	-3.3308
MSMEG_0409	-2.1923	-2.2792	-2.1553	-2.1404
MSMEG_0410	-3.2363	-2.8505	-3.406	-3.4586
MSMEG_0411	-3.3129	-2.9474	-3.6737	-3.3179
MSMEG_0412	-3.4574	-3.7282	-3.5868	-3.05
MSMEG_0413	-3.6657	-2.0304	-5.4174	-3.5381
MSMEG_0414	-3.5845	-3.197	-3.9438	-3.625
MSMEG_0415	-3.3146	-3.1529	-3.45	-3.3533
MSMEG_0416	-1.775	-0.6333	-1.9	-3.02
MSMEG_0417	-2.3568	-3.28	-1.604	-2.1792
MSMEG_0418	-2.9626	-3.1594	-2.9922	-2.729
MSMEG_0419	-2.5524	-3.4429	-2.2444	-1.937
MSMEG_0420	-2.969	-3.73	-1.74	-3.4889
MSMEG_0421	-3.6	-2.6	-5.32	-2.7
MSMEG_0422	-3.9829	-4.2077	-3.7692	-3.9708
MSMEG_0423	-3.702	-3.0389	-4.0529	-4.075
MSMEG_0424	-3.2163	-3.7067	-2.86	-3.0615
MSMEG_0425	-4.6024	-4.7214	-4.8357	-4.237
MSMEG_0426	-3.8317	-4.4857	-3.26	-3.7471
MSMEG_0427	-3.3852	-3.4884	-3.586	-3.0776
MSMEG_0428	-3.5278	-3.6769	-3.6333	-3.2364
MSMEG_0429	-3.8833	-2.1	-5.3333	-4.0571
MSMEG_0430	-3.289	-3.3261	-4.5152	-1.9682
MSMEG_0431	-4.071	-3.275	-4.5609	-4.4273
MSMEG_0432	-3.5913	-4.0744	-3.4897	-3.1892
MSMEG_0433	-3.1636	-3.183	-3.2106	-3.0957
MSMEG_0434	-3.2333	-2.1667	-3.95	-3.565
MSMEG_0435	-3.4977	-3.5267	-3.2276	-3.7379
MSMEG_0436	-3.6621	-3.5636	-3.887	-3.519
MSMEG_0437	-2.4471	-2.613	-2.3826	-2.3409
MSMEG_0438	-3.2242	-4.5406	-2.2406	-2.8806
