 	fprUTRlast30nt_plusStartCodon_all_StartCodon_UnpairedProb
MSMEG_0248	NA
MSMEG_0249	NA
MSMEG_0250	0.7727
MSMEG_0251	NA
MSMEG_0252	NA
MSMEG_0253	0.9580
MSMEG_0254	NA
MSMEG_0255	0.9661
MSMEG_0256	NA
MSMEG_0257	NA
MSMEG_0258	NA
MSMEG_0259	NA
MSMEG_0260	NA
MSMEG_0261	NA
MSMEG_0262	NA
MSMEG_0263	NA
MSMEG_0264	0.8318
MSMEG_0265	NA
MSMEG_0266	NA
MSMEG_0267	NA
MSMEG_0268	NA
MSMEG_0269	NA
MSMEG_0270	0.9641
MSMEG_0271	NA
MSMEG_0272	NA
MSMEG_0273	NA
MSMEG_0274	NA
MSMEG_0275	NA
MSMEG_0276	NA
MSMEG_0277	NA
MSMEG_0278	NA
MSMEG_0279	NA
MSMEG_0280	NA
MSMEG_0281	NA
MSMEG_0282	0.9840
MSMEG_0283	NA
MSMEG_0284	NA
MSMEG_0285	0.8432
MSMEG_0286	NA
MSMEG_0287	NA
MSMEG_0288	NA
MSMEG_0289	NA
MSMEG_0290	0.9209
MSMEG_0291	NA
MSMEG_0292	NA
MSMEG_0293	NA
MSMEG_0294	NA
MSMEG_0295	NA
MSMEG_0296	NA
MSMEG_0297	NA
MSMEG_0298	NA
MSMEG_0299	0.6525
MSMEG_0300	0.9742
MSMEG_0301	NA
MSMEG_0302	NA
MSMEG_0303	NA
MSMEG_0304	NA
MSMEG_0305	0.3607
MSMEG_0306	NA
MSMEG_0307	NA
MSMEG_0308	NA
MSMEG_0309	0.9249
MSMEG_0311	NA
MSMEG_0312	NA
MSMEG_0313	NA
MSMEG_0314	0.9758
MSMEG_0315	NA
MSMEG_0316	NA
MSMEG_0317	0.1014
MSMEG_0318	NA
MSMEG_0319	NA
MSMEG_0320	NA
MSMEG_0321	0.2412
MSMEG_0323	NA
MSMEG_0324	NA
MSMEG_0325	NA
MSMEG_0326	NA
MSMEG_0327	NA
MSMEG_0328	NA
MSMEG_0329	NA
MSMEG_0330	NA
MSMEG_0331	NA
MSMEG_0332	NA
MSMEG_0333	NA
MSMEG_0334	NA
MSMEG_0335	NA
MSMEG_0336	NA
MSMEG_0337	NA
MSMEG_0338	NA
MSMEG_0339	NA
MSMEG_0340	NA
MSMEG_0341	0.0098
MSMEG_0342	NA
MSMEG_0343	NA
MSMEG_0344	NA
MSMEG_0345	NA
MSMEG_0346	NA
MSMEG_0347	NA
MSMEG_0348	0.9991
MSMEG_0349	NA
MSMEG_0350	NA
MSMEG_0351	NA
MSMEG_0352	NA
MSMEG_0353	NA
MSMEG_0354	NA
MSMEG_0355	NA
MSMEG_0356	NA
MSMEG_0357	NA
MSMEG_0358	NA
MSMEG_0359	0.8123
MSMEG_0360	NA
MSMEG_0361	NA
MSMEG_0362	NA
MSMEG_0363	NA
MSMEG_0364	NA
MSMEG_0365	NA
MSMEG_0366	0.8946
MSMEG_0367	NA
MSMEG_0368	0.9498
MSMEG_0369	NA
MSMEG_0370	NA
MSMEG_0371	NA
MSMEG_0372	0.8137
MSMEG_0373	NA
MSMEG_0374	NA
MSMEG_0375	NA
MSMEG_0376	0.9159
MSMEG_0377	NA
MSMEG_0378	NA
MSMEG_0379	NA
MSMEG_0380	0.5878
MSMEG_0381	0.9962
MSMEG_0382	0.9770
MSMEG_0383	0.9224
MSMEG_0384	0.9784
MSMEG_0385	NA
MSMEG_0386	NA
MSMEG_0387	0.9803
MSMEG_0388	0.0504
MSMEG_0389	NA
MSMEG_0390	NA
MSMEG_0391	NA
MSMEG_0392	0.9758
MSMEG_0393	NA
MSMEG_0394	NA
MSMEG_0395	NA
MSMEG_0396	NA
MSMEG_0397	NA
MSMEG_0398	0.9541
MSMEG_0399	0.0495
MSMEG_0400	NA
MSMEG_0401	NA
MSMEG_0402	0.2036
MSMEG_0403	NA
MSMEG_0404	NA
MSMEG_0405	NA
MSMEG_0406	0.8049
MSMEG_0407	NA
MSMEG_0408	0.9724
MSMEG_0409	0.0486
MSMEG_0410	0.5276
MSMEG_0411	0.0401
MSMEG_0412	NA
MSMEG_0413	NA
MSMEG_0414	NA
MSMEG_0415	NA
MSMEG_0416	0.9964
MSMEG_0417	NA
MSMEG_0418	NA
MSMEG_0419	0.8605
MSMEG_0420	NA
MSMEG_0421	NA
MSMEG_0422	0.2081
MSMEG_0423	NA
MSMEG_0424	NA
MSMEG_0425	NA
MSMEG_0426	NA
MSMEG_0427	NA
MSMEG_0428	0.7173
MSMEG_0429	0.1436
MSMEG_0430	NA
MSMEG_0431	NA
MSMEG_0432	NA
MSMEG_0433	0.9997
MSMEG_0434	NA
MSMEG_0435	NA
MSMEG_0436	NA
MSMEG_0437	NA
MSMEG_0438	NA
MSMEG_0439	NA
MSMEG_0440	NA
MSMEG_0441	NA
MSMEG_0442	NA
MSMEG_0443	NA
MSMEG_0444	NA
MSMEG_0445	NA
MSMEG_0446	NA
MSMEG_0447	0.9239
MSMEG_0448	NA
MSMEG_0449	0.9322
MSMEG_0450	0.9899
MSMEG_0451	0.9581
MSMEG_0452	NA
MSMEG_0453	NA
MSMEG_0454	NA
MSMEG_0455	0.9712
MSMEG_0456	NA
MSMEG_0457	0.0168
MSMEG_0458	NA
MSMEG_0459	NA
MSMEG_0460	NA
MSMEG_0461	NA
MSMEG_0462	0.7775
MSMEG_0463	NA
MSMEG_0464	NA
MSMEG_0465	NA
MSMEG_0466	0.6203
MSMEG_0467	NA
MSMEG_0468	NA
MSMEG_0469	NA
MSMEG_0470	NA
MSMEG_0471	NA
MSMEG_0472	NA
MSMEG_0473	0.6319
MSMEG_0474	NA
MSMEG_0475	NA
MSMEG_0476	NA
MSMEG_0477	NA
MSMEG_0478	NA
MSMEG_0479	NA
MSMEG_0480	NA
MSMEG_0481	NA
MSMEG_0482	NA
MSMEG_0483	NA
MSMEG_0484	0.9886
MSMEG_0485	NA
MSMEG_0486	NA
MSMEG_0487	NA
MSMEG_0488	NA
MSMEG_0489	NA
MSMEG_0490	NA
MSMEG_0491	NA
MSMEG_0492	NA
MSMEG_0493	0.9916
MSMEG_0494	0.9737
MSMEG_0496	NA
MSMEG_0497	NA
MSMEG_0498	NA
MSMEG_0499	0.9981
MSMEG_0500	0.9911
MSMEG_0501	NA
MSMEG_0502	NA
MSMEG_0503	NA
MSMEG_0504	0.2958
MSMEG_0505	NA
MSMEG_0506	NA
MSMEG_0507	NA
MSMEG_0508	NA
MSMEG_0509	NA
MSMEG_0510	NA
MSMEG_0511	NA
MSMEG_0512	NA
MSMEG_0513	NA
MSMEG_0514	NA
MSMEG_0515	NA
MSMEG_0516	NA
MSMEG_0517	NA
MSMEG_0518	NA
MSMEG_0519	NA
MSMEG_0520	0.9928
MSMEG_0522	NA
MSMEG_0523	NA
MSMEG_0524	NA
MSMEG_0525	NA
MSMEG_0526	NA
MSMEG_0527	NA
MSMEG_0528	NA
MSMEG_0529	NA
MSMEG_0530	0.6872
MSMEG_0531	0.5301
MSMEG_0532	NA
MSMEG_0533	NA
MSMEG_0534	NA
MSMEG_0535	NA
MSMEG_0536	NA
MSMEG_0537	0.9591
MSMEG_0538	NA
MSMEG_0539	0.9866
MSMEG_0540	NA
MSMEG_0541	NA
MSMEG_0542	NA
MSMEG_0543	NA
MSMEG_0544	NA
MSMEG_0545	0.5024
MSMEG_0546	NA
MSMEG_0547	NA
MSMEG_0548	NA
MSMEG_0549	0.0002
MSMEG_0550	NA
MSMEG_0551	NA
MSMEG_0552	NA
MSMEG_0553	NA
MSMEG_0554	NA
MSMEG_0555	NA
MSMEG_0556	NA
MSMEG_0557	0.9744
MSMEG_0558	NA
MSMEG_0559	0.9713
MSMEG_0560	0.9625
MSMEG_0561	NA
MSMEG_0562	NA
MSMEG_0563	NA
MSMEG_0564	NA
MSMEG_0565	NA
MSMEG_0566	0.9941
MSMEG_0567	NA
MSMEG_0568	NA
MSMEG_0569	NA
MSMEG_0570	NA
MSMEG_0571	NA
MSMEG_0572	0.9178
MSMEG_0573	NA
MSMEG_0574	0.7731
MSMEG_0575	0.5193
MSMEG_0576	NA
MSMEG_0577	NA
MSMEG_0578	NA
MSMEG_0579	NA
MSMEG_0580	NA
MSMEG_0581	NA
MSMEG_0582	NA
MSMEG_0583	0.8686
MSMEG_0584	NA
MSMEG_0585	NA
MSMEG_0586	0.1887
MSMEG_0587	NA
MSMEG_0588	NA
MSMEG_0589	NA
MSMEG_0590	NA
MSMEG_0591	NA
MSMEG_0592	NA
MSMEG_0593	NA
MSMEG_0594	NA
MSMEG_0595	NA
MSMEG_0596	0.9167
MSMEG_0597	NA
MSMEG_0598	NA
MSMEG_0599	NA
MSMEG_0600	0.3033
MSMEG_0601	NA
MSMEG_0602	0.0001
MSMEG_0603	0.2267
MSMEG_0604	NA
MSMEG_0605	0.9565
MSMEG_0606	0.9086
MSMEG_0607	NA
MSMEG_0608	0.8537
MSMEG_0609	NA
MSMEG_0610	NA
MSMEG_0611	NA
MSMEG_0612	NA
MSMEG_0613	NA
MSMEG_0614	NA
MSMEG_0615	0.5195
MSMEG_0616	NA
MSMEG_0617	NA
MSMEG_0618	NA
MSMEG_0619	NA
MSMEG_0620	NA
MSMEG_0621	NA
MSMEG_0622	NA
MSMEG_0623	0.9636
MSMEG_0624	NA
MSMEG_0625	NA
MSMEG_0626	NA
MSMEG_0627	NA
MSMEG_0628	NA
MSMEG_0629	NA
MSMEG_0630	NA
MSMEG_0632	NA
MSMEG_0633	NA
MSMEG_0634	NA
MSMEG_0635	NA
MSMEG_0636	NA
MSMEG_0637	NA
MSMEG_0638	NA
MSMEG_0639	NA
MSMEG_0640	NA
MSMEG_0641	0.9615
MSMEG_0642	NA
MSMEG_0643	0.9821
MSMEG_0644	NA
MSMEG_0645	NA
MSMEG_0646	NA
MSMEG_0647	NA
MSMEG_0648	NA
MSMEG_0649	NA
MSMEG_0650	NA
MSMEG_0651	NA
MSMEG_0652	NA
MSMEG_0654	NA
MSMEG_0655	NA
MSMEG_0656	NA
MSMEG_0657	NA
MSMEG_0658	NA
MSMEG_0659	NA
MSMEG_0660	0.8643
MSMEG_0661	0.4233
MSMEG_0662	0.5259
MSMEG_0663	0.8855
MSMEG_0664	NA
MSMEG_0665	NA
MSMEG_0666	NA
MSMEG_0667	0.8826
MSMEG_0668	NA
MSMEG_0669	NA
MSMEG_0670	NA
MSMEG_0671	0.8413
MSMEG_0672	NA
MSMEG_0673	0.9201
MSMEG_0674	0.8438
MSMEG_0675	NA
MSMEG_0676	NA
MSMEG_0678	NA
MSMEG_0679	0.1678
MSMEG_0680	NA
MSMEG_0681	NA
MSMEG_0682	NA
MSMEG_0683	NA
MSMEG_0684	NA
MSMEG_0685	NA
MSMEG_0686	NA
MSMEG_0687	NA
MSMEG_0688	NA
MSMEG_0689	0.7005
MSMEG_0690	0.9843
MSMEG_0691	NA
MSMEG_0692	NA
MSMEG_0693	NA
MSMEG_0695	NA
MSMEG_0696	NA
MSMEG_0697	NA
MSMEG_0698	0.1026
MSMEG_0699	NA
MSMEG_0700	0.6200
MSMEG_0701	NA
MSMEG_0702	NA
MSMEG_0703	0.0461
MSMEG_0704	NA
MSMEG_0705	NA
MSMEG_0706	NA
MSMEG_0707	NA
MSMEG_0708	NA
MSMEG_0709	0.9908
MSMEG_0710	NA
MSMEG_0711	NA
MSMEG_0712	NA
MSMEG_0713	NA
MSMEG_0714	NA
MSMEG_0715	NA
MSMEG_0716	0.0996
MSMEG_0717	NA
MSMEG_0718	NA
MSMEG_0719	NA
MSMEG_0720	NA
MSMEG_0722	0.4941
MSMEG_0723	NA
MSMEG_0724	NA
MSMEG_0725	NA
MSMEG_0726	NA
MSMEG_0727	NA
MSMEG_0728	0.7143
MSMEG_0729	NA
MSMEG_0730	NA
MSMEG_0731	NA
MSMEG_0732	0.9452
MSMEG_0733	NA
MSMEG_0734	NA
MSMEG_0735	NA
MSMEG_0736	NA
MSMEG_0737	NA
MSMEG_0738	NA
MSMEG_0739	0.1694
MSMEG_0740	0.0759
MSMEG_0741	NA
MSMEG_0742	NA
MSMEG_0743	NA
MSMEG_0744	NA
MSMEG_0745	NA
MSMEG_0746	NA
MSMEG_0747	NA
MSMEG_0748	NA
MSMEG_0749	NA
MSMEG_0750	NA
MSMEG_0751	NA
MSMEG_0752	0.9448
MSMEG_0753	NA
MSMEG_0754	NA
MSMEG_0755	NA
MSMEG_0756	NA
MSMEG_0757	NA
MSMEG_0758	0.0720
MSMEG_0759	0.8761
MSMEG_0760	NA
MSMEG_0761	NA
MSMEG_0762	NA
MSMEG_0763	NA
MSMEG_0764	0.6270
MSMEG_0765	NA
MSMEG_0766	NA
MSMEG_0767	NA
MSMEG_0768	NA
MSMEG_0769	NA
MSMEG_0770	NA
MSMEG_0771	NA
MSMEG_0772	NA
MSMEG_0773	NA
MSMEG_0775	NA
MSMEG_0776	NA
MSMEG_0777	NA
MSMEG_0778	NA
MSMEG_0779	NA
MSMEG_0780	NA
MSMEG_0781	0.8618
MSMEG_0782	NA
MSMEG_0783	NA
MSMEG_0784	NA
MSMEG_0785	NA
MSMEG_0786	NA
MSMEG_0787	0.9826
MSMEG_0788	0.0185
MSMEG_0789	NA
MSMEG_0790	NA
MSMEG_0791	0.9954
MSMEG_0792	NA
MSMEG_0793	NA
MSMEG_0794	NA
MSMEG_0795	NA
MSMEG_0796	0.9409
MSMEG_0798	0.9934
MSMEG_0799	0.6273
MSMEG_0800	NA
MSMEG_0801	0.9541
MSMEG_0802	NA
MSMEG_0803	NA
MSMEG_0804	NA
MSMEG_0805	NA
MSMEG_0806	0.9237
MSMEG_0807	0.8777
MSMEG_0808	NA
MSMEG_0809	NA
MSMEG_0810	NA
MSMEG_0811	NA
MSMEG_0812	NA
MSMEG_0813	NA
MSMEG_0814	0.5760
MSMEG_0815	NA
MSMEG_0816	NA
MSMEG_0817	NA
MSMEG_0818	0.9284
MSMEG_0819	NA
MSMEG_0820	NA
MSMEG_0821	NA
MSMEG_0822	NA
MSMEG_0823	NA
MSMEG_0824	NA
MSMEG_0825	NA
MSMEG_0826	0.0074
MSMEG_0827	NA
MSMEG_0828	0.7230
MSMEG_0829	NA
MSMEG_0830	NA
MSMEG_0831	NA
MSMEG_0832	NA
MSMEG_0833	0.9878
MSMEG_0834	NA
MSMEG_0835	NA
MSMEG_0836	NA
MSMEG_0837	NA
MSMEG_0838	NA
MSMEG_0839	0.6277
MSMEG_0840	0.9377
MSMEG_0842	NA
MSMEG_0843	NA
MSMEG_0844	0.3448
MSMEG_0845	NA
MSMEG_0846	NA
MSMEG_0847	NA
MSMEG_0848	NA
MSMEG_0849	0.8164
MSMEG_0850	NA
MSMEG_0851	NA
MSMEG_0852	NA
MSMEG_0853	NA
MSMEG_0854	NA
MSMEG_0855	NA
MSMEG_0856	NA
MSMEG_0857	NA
MSMEG_0858	NA
MSMEG_0859	0.4789
MSMEG_0860	NA
MSMEG_0861	NA
MSMEG_0862	0.9705
MSMEG_0863	NA
MSMEG_0864	NA
MSMEG_0865	NA
MSMEG_0866	NA
MSMEG_0867	NA
MSMEG_0868	NA
MSMEG_0869	NA
MSMEG_0870	NA
MSMEG_0871	NA
MSMEG_0872	NA
MSMEG_0873	NA
MSMEG_0874	NA
MSMEG_0875	NA
MSMEG_0876	0.9779
MSMEG_0877	NA
MSMEG_0878	NA
MSMEG_0879	NA
MSMEG_0880	0.9997
MSMEG_0881	NA
MSMEG_0882	NA
MSMEG_0883	NA
MSMEG_0884	NA
MSMEG_0885	NA
MSMEG_0886	NA
MSMEG_0887	NA
MSMEG_0888	NA
MSMEG_0889	NA
MSMEG_0890	NA
MSMEG_0891	NA
MSMEG_0892	0.0042
MSMEG_0893	NA
MSMEG_0894	0.8370
MSMEG_0895	0.0045
MSMEG_0896	0.9259
MSMEG_0897	NA
MSMEG_0898	NA
MSMEG_0899	NA
MSMEG_0900	0.6908
MSMEG_0901	0.9493
MSMEG_0902	NA
MSMEG_0903	NA
MSMEG_0904	NA
MSMEG_0905	NA
MSMEG_0906	NA
MSMEG_0907	NA
MSMEG_0908	NA
MSMEG_0909	0.6594
MSMEG_0910	NA
MSMEG_0911	0.9748
MSMEG_0912	0.3227
MSMEG_0913	0.9980
MSMEG_0914	NA
MSMEG_0915	NA
MSMEG_0916	NA
MSMEG_0917	NA
MSMEG_0918	0.9963
MSMEG_0919	0.9598
MSMEG_0920	NA
MSMEG_0921	NA
MSMEG_0922	NA
MSMEG_0923	NA
MSMEG_0924	NA
MSMEG_0925	NA
MSMEG_0926	NA
MSMEG_0927	NA
MSMEG_0928	NA
MSMEG_0929	NA
MSMEG_0930	NA
MSMEG_0931	NA
MSMEG_0932	0.6124
MSMEG_0933	NA
MSMEG_0934	NA
MSMEG_0935	NA
MSMEG_0936	NA
MSMEG_0937	NA
MSMEG_0938	NA
MSMEG_0939	NA
MSMEG_0940	0.9840
MSMEG_0941	0.4855
MSMEG_0942	0.6252
MSMEG_0943	NA
MSMEG_0944	0.9779
MSMEG_0945	0.9724
MSMEG_0946	NA
MSMEG_0947	0.9639
MSMEG_0948	0.9880
MSMEG_0949	NA
MSMEG_0950	NA
MSMEG_0951	0.5906
MSMEG_0952	NA
MSMEG_0953	NA
MSMEG_0954	NA
MSMEG_0955	NA
MSMEG_0956	NA
MSMEG_0957	NA
MSMEG_0958	NA
MSMEG_0959	NA
MSMEG_0960	NA
MSMEG_0962	0.2489
MSMEG_0963	NA
MSMEG_0964	NA
MSMEG_0965	0.9828
MSMEG_0966	NA
MSMEG_0967	NA
MSMEG_0968	NA
MSMEG_0969	NA
MSMEG_0970	NA
MSMEG_0971	NA
MSMEG_0972	0.1816
MSMEG_0973	NA
MSMEG_0974	0.6929
MSMEG_0975	NA
MSMEG_0976	NA
MSMEG_0977	NA
MSMEG_0978	NA
MSMEG_0979	NA
MSMEG_0980	NA
MSMEG_0981	NA
MSMEG_0982	NA
MSMEG_0983	NA
MSMEG_0984	NA
MSMEG_0985	0.9571
MSMEG_0986	0.9794
MSMEG_0987	0.8763
MSMEG_0988	NA
MSMEG_0989	NA
MSMEG_0990	0.7596
MSMEG_0991	0.9970
MSMEG_0992	NA
MSMEG_0993	NA
MSMEG_0994	NA
MSMEG_0995	NA
MSMEG_0996	NA
MSMEG_0997	NA
MSMEG_0998	NA
MSMEG_0999	0.9993
MSMEG_1000	NA
MSMEG_1001	NA
MSMEG_1002	0.9541
MSMEG_1003	0.2654
MSMEG_1004	NA
MSMEG_1005	NA
MSMEG_1006	NA
MSMEG_1007	NA
MSMEG_1008	0.9779
MSMEG_1009	NA
MSMEG_1010	NA
MSMEG_1011	NA
MSMEG_1012	0.0143
MSMEG_1013	NA
MSMEG_1014	NA
MSMEG_1015	NA
MSMEG_1016	NA
MSMEG_1017	0.8977
MSMEG_1019	0.6268
MSMEG_1021	NA
MSMEG_1022	NA
MSMEG_1023	0.6997
MSMEG_1024	NA
MSMEG_1025	0.1717
MSMEG_1026	NA
MSMEG_1027	0.3746
MSMEG_1028	NA
MSMEG_1029	NA
MSMEG_1030	0.9595
MSMEG_1031	NA
MSMEG_1032	NA
MSMEG_1033	0.1665
MSMEG_1034	NA
MSMEG_1035	NA
MSMEG_1037	0.2126
MSMEG_1038	NA
MSMEG_1039	NA
MSMEG_1041	NA
MSMEG_1042	NA
MSMEG_1043	NA
MSMEG_1044	NA
MSMEG_1045	NA
MSMEG_1046	NA
MSMEG_1047	NA
MSMEG_1048	NA
MSMEG_1049	NA
MSMEG_1050	NA
MSMEG_1051	0.4642
MSMEG_1052	0.1103
MSMEG_1053	0.8797
MSMEG_1054	NA
MSMEG_1055	NA
MSMEG_1057	NA
MSMEG_1058	0.2936
MSMEG_1059	NA
MSMEG_1060	0.5273
MSMEG_1061	NA
MSMEG_1062	0.0012
MSMEG_1063	0.7278
MSMEG_1064	NA
MSMEG_1065	0.9906
MSMEG_1066	NA
MSMEG_1067	NA
MSMEG_1068	NA
MSMEG_1069	NA
MSMEG_1070	NA
MSMEG_1071	NA
MSMEG_1072	NA
MSMEG_1073	NA
MSMEG_1074	NA
MSMEG_1075	NA
MSMEG_1076	0.7788
MSMEG_1077	NA
MSMEG_1078	NA
MSMEG_1079	NA
MSMEG_1080	NA
MSMEG_1081	NA
MSMEG_1082	0.9729
MSMEG_1083	NA
MSMEG_1084	NA
MSMEG_1085	NA
MSMEG_1086	NA
MSMEG_1088	NA
MSMEG_1089	0.9812
MSMEG_1090	NA
MSMEG_1091	NA
MSMEG_1092	NA
MSMEG_1093	NA
MSMEG_1094	NA
MSMEG_1095	NA
MSMEG_1096	NA
MSMEG_1097	NA
MSMEG_1098	NA
MSMEG_1099	NA
MSMEG_1100	NA
MSMEG_1101	NA
MSMEG_1102	NA
MSMEG_1103	NA
MSMEG_1104	NA
MSMEG_1106	NA
MSMEG_1107	NA
MSMEG_1108	NA
MSMEG_1109	NA
MSMEG_1110	NA
MSMEG_1111	NA
MSMEG_1112	0.9976
MSMEG_1113	NA
MSMEG_1114	NA
MSMEG_1115	NA
MSMEG_1116	0.9884
MSMEG_1117	NA
MSMEG_1118	0.8917
MSMEG_1119	NA
MSMEG_1120	NA
MSMEG_1121	NA
MSMEG_1122	NA
MSMEG_1123	NA
MSMEG_1124	NA
MSMEG_1125	NA
MSMEG_1126	NA
MSMEG_1127	NA
MSMEG_1128	NA
MSMEG_1129	NA
MSMEG_1130	NA
MSMEG_1131	NA
MSMEG_1132	NA
MSMEG_1133	NA
MSMEG_1134	0.2709
MSMEG_1135	NA
MSMEG_1136	NA
MSMEG_1137	NA
MSMEG_1138	0.2475
MSMEG_1139	0.0145
MSMEG_1140	NA
MSMEG_1141	0.8926
MSMEG_1142	NA
MSMEG_1143	NA
