feature1	rs_abs	region_feature1	type_feature1	kruskal_pval_fc_hypoxiaToLogPhase_fdr_feature1	ks_pval_fdr_fc_hypoxiaToLogPhase_feature1	avg_fdrPval_fc_hypoxiaToLogPhase_feature1	kendall_fc_hypoxiaToLogPhase_abs_feature1	feature2	region_feature2	type_feature2	kruskal_pval_fc_hypoxiaToLogPhase_fdr_feature2	ks_pval_fdr_fc_hypoxiaToLogPhase_feature2	avg_fdrPval_fc_hypoxiaToLogPhase_feature2	kendall_fc_hypoxiaToLogPhase_abs_feature2
adja_CG_CDS	0.600300092916274	CDS	nucleotide	0.940435065789474	1	0.970217532894737	0.0244660572650241	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.99813	1	0.999065	0.015543558966677
adja_GC_CDS	0.624604035286499	CDS	nucleotide	0.827841121495327	0.816134266666667	0.821987694080997	0.0276412382551919	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.99813	1	0.999065	0.015543558966677
Nucl_A_CDS	0.736910846742855	CDS	nucleotide	0.99813	1	0.999065	0.000219113792087018	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.99813	1	0.999065	0.015543558966677
Nucl_G_CDS	0.720626751552307	CDS	nucleotide	0.99813	1	0.999065	0.00200678527871853	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.99813	1	0.999065	0.015543558966677
GC_CDS	0.796278705201739	CDS	nucleotide	0.981869900990099	1	0.99093495049505	0.0110877371044766	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.99813	1	0.999065	0.015543558966677
CDS_MFE_20_10nt_5p	0.709159279442906	CDS	secondaryStructure	0.99813	1	0.999065	0.0254870631191547	CDS_MFE_100_50nt_5p	CDS	secondaryStructure	0.792177415730337	0.966617944444444	0.879397680087391	0.0215794242071614
CDS_MFE_50_25nt_CDS	0.663332171029223	CDS	secondaryStructure	0.99813	1	0.999065	0.015758713984627	CDS_MFE_100_50nt_5p	CDS	secondaryStructure	0.792177415730337	0.966617944444444	0.879397680087391	0.0215794242071614
CDS_MFE_50_25nt_5p	0.870880777291934	CDS	secondaryStructure	0.827841121495327	1	0.913920560747664	0.00753473464502092	CDS_MFE_100_50nt_5p	CDS	secondaryStructure	0.792177415730337	0.966617944444444	0.879397680087391	0.0215794242071614
CDS_MFE_20_10nt_CDS	0.618311513656385	CDS	secondaryStructure	0.981869900990099	1	0.99093495049505	0.027267715635338	CDS_MFE_100_50nt_mid	CDS	secondaryStructure	0.971573352601156	0.966617944444444	0.9690956485228	0.0300486785610783
CDS_MFE_20_10nt_mid	0.693367477905375	CDS	secondaryStructure	0.792177415730337	1	0.896088707865168	0.00938226829391801	CDS_MFE_100_50nt_mid	CDS	secondaryStructure	0.971573352601156	0.966617944444444	0.9690956485228	0.0300486785610783
CDS_MFE_50_25nt_CDS	0.71443947919569	CDS	secondaryStructure	0.99813	1	0.999065	0.015758713984627	CDS_MFE_100_50nt_mid	CDS	secondaryStructure	0.971573352601156	0.966617944444444	0.9690956485228	0.0300486785610783
CDS_MFE_50_25nt_mid	0.858421354658491	CDS	secondaryStructure	0.99813	1	0.999065	0.0163842985819555	CDS_MFE_100_50nt_mid	CDS	secondaryStructure	0.971573352601156	0.966617944444444	0.9690956485228	0.0300486785610783
GC_CDS	0.605966727236575	CDS	nucleotide	0.981869900990099	1	0.99093495049505	0.0110877371044766	CDS_MFE_100_50nt_mid	CDS	secondaryStructure	0.971573352601156	0.966617944444444	0.9690956485228	0.0300486785610783
CDS_MFE_20_10nt_3p	0.661069302217918	CDS	secondaryStructure	0.979385530726257	1	0.989692765363128	0.0220801521884219	CDS_MFE_100_50nt_3p	CDS	secondaryStructure	0.981869900990099	1	0.99093495049505	0.0222347737858811
CDS_MFE_50_25nt_CDS	0.622822158949636	CDS	secondaryStructure	0.99813	1	0.999065	0.015758713984627	CDS_MFE_100_50nt_3p	CDS	secondaryStructure	0.981869900990099	1	0.99093495049505	0.0222347737858811
CDS_MFE_50_25nt_3p	0.844701297494291	CDS	secondaryStructure	0.968308658536585	1	0.984154329268293	0.00155011838185075	CDS_MFE_100_50nt_3p	CDS	secondaryStructure	0.981869900990099	1	0.99093495049505	0.0222347737858811
CDS_MFE_20_10nt_5p	0.640421905850335	CDS	secondaryStructure	0.99813	1	0.999065	0.0254870631191547	CDS_MFE_20_10nt_CDS	CDS	secondaryStructure	0.981869900990099	1	0.99093495049505	0.027267715635338
CDS_MFE_20_10nt_mid	0.705344441676735	CDS	secondaryStructure	0.792177415730337	1	0.896088707865168	0.00938226829391801	CDS_MFE_20_10nt_CDS	CDS	secondaryStructure	0.981869900990099	1	0.99093495049505	0.027267715635338
CDS_MFE_20_10nt_3p	0.679778955169562	CDS	secondaryStructure	0.979385530726257	1	0.989692765363128	0.0220801521884219	CDS_MFE_20_10nt_CDS	CDS	secondaryStructure	0.981869900990099	1	0.99093495049505	0.027267715635338
CDS_MFE_50_25nt_CDS	0.819713764357017	CDS	secondaryStructure	0.99813	1	0.999065	0.015758713984627	CDS_MFE_20_10nt_CDS	CDS	secondaryStructure	0.981869900990099	1	0.99093495049505	0.027267715635338
Nucl_A_CDS	0.668454120903736	CDS	nucleotide	0.99813	1	0.999065	0.000219113792087018	CDS_MFE_20_10nt_CDS	CDS	secondaryStructure	0.981869900990099	1	0.99093495049505	0.027267715635338
Nucl_G_CDS	0.642414092337516	CDS	nucleotide	0.99813	1	0.999065	0.00200678527871853	CDS_MFE_20_10nt_CDS	CDS	secondaryStructure	0.981869900990099	1	0.99093495049505	0.027267715635338
GC_CDS	0.769790583286803	CDS	nucleotide	0.981869900990099	1	0.99093495049505	0.0110877371044766	CDS_MFE_20_10nt_CDS	CDS	secondaryStructure	0.981869900990099	1	0.99093495049505	0.027267715635338
CDS_MFE_50_25nt_5p	0.750223463797815	CDS	secondaryStructure	0.827841121495327	1	0.913920560747664	0.00753473464502092	CDS_MFE_20_10nt_5p	CDS	secondaryStructure	0.99813	1	0.999065	0.0254870631191547
CDS_MFE_50_25nt_mid	0.754882347003031	CDS	secondaryStructure	0.99813	1	0.999065	0.0163842985819555	CDS_MFE_20_10nt_mid	CDS	secondaryStructure	0.792177415730337	1	0.896088707865168	0.00938226829391801
CDS_MFE_50_25nt_3p	0.766651656609293	CDS	secondaryStructure	0.968308658536585	1	0.984154329268293	0.00155011838185075	CDS_MFE_20_10nt_3p	CDS	secondaryStructure	0.979385530726257	1	0.989692765363128	0.0220801521884219
CDS_MFE_50_25nt_5p	0.679219605973878	CDS	secondaryStructure	0.827841121495327	1	0.913920560747664	0.00753473464502092	CDS_MFE_50_25nt_CDS	CDS	secondaryStructure	0.99813	1	0.999065	0.015758713984627
CDS_MFE_50_25nt_mid	0.699721245699129	CDS	secondaryStructure	0.99813	1	0.999065	0.0163842985819555	CDS_MFE_50_25nt_CDS	CDS	secondaryStructure	0.99813	1	0.999065	0.015758713984627
CDS_MFE_50_25nt_3p	0.679347033531292	CDS	secondaryStructure	0.968308658536585	1	0.984154329268293	0.00155011838185075	CDS_MFE_50_25nt_CDS	CDS	secondaryStructure	0.99813	1	0.999065	0.015758713984627
adja_CG_CDS	0.613742886809105	CDS	nucleotide	0.940435065789474	1	0.970217532894737	0.0244660572650241	CDS_MFE_50_25nt_CDS	CDS	secondaryStructure	0.99813	1	0.999065	0.015758713984627
adja_GC_CDS	0.617369770780293	CDS	nucleotide	0.827841121495327	0.816134266666667	0.821987694080997	0.0276412382551919	CDS_MFE_50_25nt_CDS	CDS	secondaryStructure	0.99813	1	0.999065	0.015758713984627
Nucl_A_CDS	0.71801428987351	CDS	nucleotide	0.99813	1	0.999065	0.000219113792087018	CDS_MFE_50_25nt_CDS	CDS	secondaryStructure	0.99813	1	0.999065	0.015758713984627
Nucl_G_CDS	0.719242390285	CDS	nucleotide	0.99813	1	0.999065	0.00200678527871853	CDS_MFE_50_25nt_CDS	CDS	secondaryStructure	0.99813	1	0.999065	0.015758713984627
GC_CDS	0.803789826164014	CDS	nucleotide	0.981869900990099	1	0.99093495049505	0.0110877371044766	CDS_MFE_50_25nt_CDS	CDS	secondaryStructure	0.99813	1	0.999065	0.015758713984627
start_codon_GUG	0.99787431671405	CDS	codon	0.217411380952381	1	0.60870569047619	0.0454414638991011	start_codon_AUG	CDS	codon	0.200766157894737	1	0.600383078947368	0.0464459999959894
AUG_CDS_5p18nt	0.929379258983217	CDS	codon	0.421974769230769	1	0.710987384615385	0.0421491171074704	start_codon_AUG	CDS	codon	0.200766157894737	1	0.600383078947368	0.0464459999959894
GUG_CDS_5p18nt	0.861315348634468	CDS	codon	0.10761075	1	0.553805375	0.0314979353895283	start_codon_AUG	CDS	codon	0.200766157894737	1	0.600383078947368	0.0464459999959894
AUG_CDS_5p18nt	0.92716933795345	CDS	codon	0.421974769230769	1	0.710987384615385	0.0421491171074704	start_codon_GUG	CDS	codon	0.217411380952381	1	0.60870569047619	0.0454414638991011
GUG_CDS_5p18nt	0.863615221239698	CDS	codon	0.10761075	1	0.553805375	0.0314979353895283	start_codon_GUG	CDS	codon	0.217411380952381	1	0.60870569047619	0.0454414638991011
stop_codon_UGA	0.859792886130385	CDS	codon	0.99813	1	0.999065	0.0146141909426583	stop_codon_UAG	CDS	codon	0.99813	1	0.999065	0.00707824312494723
adja_UA_CDS_3p18nt	0.68918890390858	CDS	nucleotide	0.99813	1	0.999065	0.0136137127869549	stop_codon_UAG	CDS	codon	0.99813	1	0.999065	0.00707824312494723
adja_UA_CDS_3p18nt	0.814611501368335	CDS	nucleotide	0.99813	1	0.999065	0.0136137127869549	stop_codon_UGA	CDS	codon	0.99813	1	0.999065	0.0146141909426583
GUG_CDS_5p18nt	0.799464191410566	CDS	codon	0.10761075	1	0.553805375	0.0314979353895283	AUG_CDS_5p18nt	CDS	codon	0.421974769230769	1	0.710987384615385	0.0421491171074704
adja_AU_CDS_5p18nt	0.655991574407013	CDS	nucleotide	0.78832038961039	1	0.894160194805195	0.0184399253699206	AUG_CDS_5p18nt	CDS	codon	0.421974769230769	1	0.710987384615385	0.0421491171074704
adja_GU_CDS_5p18nt	0.628565820482544	CDS	nucleotide	0.176670611111111	1	0.588335305555556	0.0477919777224389	GUG_CDS_5p18nt	CDS	codon	0.10761075	1	0.553805375	0.0314979353895283
adja_UA_CDS	0.696215978521944	CDS	nucleotide	0.99813	1	0.999065	0.00937285317207525	UAC_CDSnstop	CDS	codon	0.78832038961039	0.246587333333333	0.517453861471861	0.055172528716898
adja_AA_CDS	0.614873660853066	CDS	nucleotide	0.968308658536585	1	0.984154329268293	0.0255466338740002	AAG_CDSnstop	CDS	codon	0.9006192	1	0.9503096	0.00925574712000723
adja_AG_CDS	0.649279130142461	CDS	nucleotide	0.921681283783784	1	0.960840641891892	0.0232051652610979	GAG_CDSnstop	CDS	codon	0.710659069767442	1	0.855329534883721	0.0326735183688413
Nucl_A_CDS_3p18nt	0.683184459388192	CDS	nucleotide	0.981869900990099	1	0.99093495049505	0.00578145510799795	adja_AA_CDS_3p18nt	CDS	nucleotide	0.99813	1	0.999065	0.019064840249031
Nucl_C_CDS_3p18nt	0.74265653344632	CDS	nucleotide	0.99813	1	0.999065	0.0166656745248711	adja_CC_CDS_3p18nt	CDS	nucleotide	0.800342258064516	1	0.900171129032258	0.049161671432485
GC_CDS_3p18nt	0.623941193449584	CDS	nucleotide	0.99813	1	0.999065	0.0167760410815022	adja_GC_CDS_3p18nt	CDS	nucleotide	0.99813	1	0.999065	0.0191787743322451
Nucl_G_CDS_3p18nt	0.724674952618519	CDS	nucleotide	0.99813	1	0.999065	0.00461092740218862	adja_GG_CDS_3p18nt	CDS	nucleotide	0.873710731707317	1	0.936855365853659	0.0494068513368524
Nucl_T_CDS_3p18nt	0.626201312754457	CDS	nucleotide	0.710659069767442	1	0.855329534883721	0.0023840890760178	adja_UU_CDS_3p18nt	CDS	nucleotide	0.979761722222222	1	0.989880861111111	0.000755980574954859
Nucl_A_CDS_5p18nt	0.622477578951815	CDS	nucleotide	0.0328388483333333	0.07426486	0.0535518541666667	0.0512296795968568	adja_AA_CDS_5p18nt	CDS	nucleotide	0.0328388483333333	0.149037233333333	0.0909380408333333	0.092358760119068
Nucl_C_CDS_5p18nt	0.762317747078747	CDS	nucleotide	0.827841121495327	1	0.913920560747664	0.0414069944690522	adja_CC_CDS_5p18nt	CDS	nucleotide	0.792177415730337	1	0.896088707865168	0.0322026846786175
Nucl_G_CDS_5p18nt	0.638798331693141	CDS	nucleotide	0.217411380952381	0.404725375	0.31106837797619	0.0563391041772945	adja_GG_CDS_5p18nt	CDS	nucleotide	0.90769843537415	1	0.953849217687075	0.0363585264093384
Nucl_T_CDS_5p18nt	0.637059256838667	CDS	nucleotide	0.78832038961039	1	0.894160194805195	0.0343820392268334	adja_UU_CDS_5p18nt	CDS	nucleotide	0.90769843537415	1	0.953849217687075	0.0345194186103195
Nucl_A_CDS	0.771570533414532	CDS	nucleotide	0.99813	1	0.999065	0.000219113792087018	adja_AA_CDS	CDS	nucleotide	0.968308658536585	1	0.984154329268293	0.0255466338740002
Nucl_A_CDS	0.662408941308919	CDS	nucleotide	0.99813	1	0.999065	0.000219113792087018	adja_AG_CDS	CDS	nucleotide	0.921681283783784	1	0.960840641891892	0.0232051652610979
Nucl_G_CDS	0.603177160461644	CDS	nucleotide	0.99813	1	0.999065	0.00200678527871853	adja_CA_CDS	CDS	nucleotide	0.979385530726257	1	0.989692765363128	0.0221024096591811
Nucl_C_CDS	0.757587261444549	CDS	nucleotide	0.719903829787234	0.849667071428571	0.784785450607903	0.00240738984221602	adja_CC_CDS	CDS	nucleotide	0.873710731707317	1	0.936855365853659	0.0165726134015285
adja_GC_CDS	0.602199595183811	CDS	nucleotide	0.827841121495327	0.816134266666667	0.821987694080997	0.0276412382551919	adja_CG_CDS	CDS	nucleotide	0.940435065789474	1	0.970217532894737	0.0244660572650241
GC_CDS	0.738916615031396	CDS	nucleotide	0.981869900990099	1	0.99093495049505	0.0110877371044766	adja_CG_CDS	CDS	nucleotide	0.940435065789474	1	0.970217532894737	0.0244660572650241
Nucl_A_CDS	0.658301900311679	CDS	nucleotide	0.99813	1	0.999065	0.000219113792087018	adja_GA_CDS	CDS	nucleotide	0.971573352601156	1	0.985786676300578	0.0305147174264521
GC_CDS	0.737921753446844	CDS	nucleotide	0.981869900990099	1	0.99093495049505	0.0110877371044766	adja_GC_CDS	CDS	nucleotide	0.827841121495327	0.816134266666667	0.821987694080997	0.0276412382551919
Nucl_G_CDS	0.753345284118109	CDS	nucleotide	0.99813	1	0.999065	0.00200678527871853	adja_GG_CDS	CDS	nucleotide	0.792177415730337	1	0.896088707865168	0.0422905711585854
Nucl_T_CDS	0.706599264909057	CDS	nucleotide	0.99813	1	0.999065	0.00929744245963118	adja_UU_CDS	CDS	nucleotide	0.99813	1	0.999065	0.00507069413984871
GC_CDS_3p18nt	0.645700586092198	CDS	nucleotide	0.99813	1	0.999065	0.0167760410815022	Nucl_A_CDS_3p18nt	CDS	nucleotide	0.981869900990099	1	0.99093495049505	0.00578145510799795
GC_CDS	0.723733779123635	CDS	nucleotide	0.981869900990099	1	0.99093495049505	0.0110877371044766	Nucl_A_CDS	CDS	nucleotide	0.99813	1	0.999065	0.000219113792087018
ribo_CDSplus20up	0.993971495668303	CDS	ribosome	0.0328388483333333	0.0273934566666667	0.0301161525	0.08288807264906	ribo_CDS	CDS	ribosome	0.0328388483333333	0.0273934566666667	0.0301161525	0.0801775993596572
ribo_5p_excl	0.992073110479681	CDS	ribosome	0.0328388483333333	0.0273934566666667	0.0301161525	0.082344579540196	ribo_CDS	CDS	ribosome	0.0328388483333333	0.0273934566666667	0.0301161525	0.0801775993596572
ribo_5p_excl	0.99297554319317	CDS	ribosome	0.0328388483333333	0.0273934566666667	0.0301161525	0.082344579540196	ribo_CDSplus20up	CDS	ribosome	0.0328388483333333	0.0273934566666667	0.0301161525	0.08288807264906
transcript_5p20nt_all_First3nt_UnpairedProb	0.750094775070713	fpr_transcript	secondaryStructure	0.90769843537415	1	0.953849217687075	0.00745564903864728	transcript_5p20nt_5pUnpairedNt	fpr_transcript	secondaryStructure	0.719903829787234	1	0.859951914893617	0.00478335153805098
transcript_5p20nt_Avg_First3nt_UnpairedProb	0.786807100356168	fpr_transcript	secondaryStructure	0.753199259259259	1	0.87659962962963	0.0090568739570653	transcript_5p20nt_5pUnpairedNt	fpr_transcript	secondaryStructure	0.719903829787234	1	0.859951914893617	0.00478335153805098
transcript_5p20nt_all_First5nt_UnpairedProb	0.70857320954065	fpr_transcript	secondaryStructure	0.982504563106796	1	0.991252281553398	0.00567740941813882	transcript_5p20nt_5pUnpairedNt	fpr_transcript	secondaryStructure	0.719903829787234	1	0.859951914893617	0.00478335153805098
transcript_5p20nt_Avg_First5nt_UnpairedProb	0.815166445704787	fpr_transcript	secondaryStructure	0.855101376146789	1	0.927550688073395	0.00743145674823659	transcript_5p20nt_5pUnpairedNt	fpr_transcript	secondaryStructure	0.719903829787234	1	0.859951914893617	0.00478335153805098
transcript_5p20nt_Avg_First3nt_UnpairedProb	0.936226137757403	fpr_transcript	secondaryStructure	0.753199259259259	1	0.87659962962963	0.0090568739570653	transcript_5p20nt_all_First3nt_UnpairedProb	fpr_transcript	secondaryStructure	0.90769843537415	1	0.953849217687075	0.00745564903864728
transcript_5p20nt_all_First5nt_UnpairedProb	0.775205760304003	fpr_transcript	secondaryStructure	0.982504563106796	1	0.991252281553398	0.00567740941813882	transcript_5p20nt_all_First3nt_UnpairedProb	fpr_transcript	secondaryStructure	0.90769843537415	1	0.953849217687075	0.00745564903864728
transcript_5p20nt_Avg_First5nt_UnpairedProb	0.923939138531403	fpr_transcript	secondaryStructure	0.855101376146789	1	0.927550688073395	0.00743145674823659	transcript_5p20nt_all_First3nt_UnpairedProb	fpr_transcript	secondaryStructure	0.90769843537415	1	0.953849217687075	0.00745564903864728
transcript_5p20nt_all_First5nt_UnpairedProb	0.679157327606757	fpr_transcript	secondaryStructure	0.982504563106796	1	0.991252281553398	0.00567740941813882	transcript_5p20nt_Avg_First3nt_UnpairedProb	fpr_transcript	secondaryStructure	0.753199259259259	1	0.87659962962963	0.0090568739570653
transcript_5p20nt_Avg_First5nt_UnpairedProb	0.890323010779826	fpr_transcript	secondaryStructure	0.855101376146789	1	0.927550688073395	0.00743145674823659	transcript_5p20nt_Avg_First3nt_UnpairedProb	fpr_transcript	secondaryStructure	0.753199259259259	1	0.87659962962963	0.0090568739570653
transcript_5p20nt_Avg_First5nt_UnpairedProb	0.88993259913169	fpr_transcript	secondaryStructure	0.855101376146789	1	0.927550688073395	0.00743145674823659	transcript_5p20nt_all_First5nt_UnpairedProb	fpr_transcript	secondaryStructure	0.982504563106796	1	0.991252281553398	0.00567740941813882
transcript_5p20nt_MFE	0.63325856753309	fpr_transcript	secondaryStructure	0.792177415730337	1	0.896088707865168	0.0348779971105028	transcript_5p20nt_all_First5nt_UnpairedProb	fpr_transcript	secondaryStructure	0.982504563106796	1	0.991252281553398	0.00567740941813882
