feature1	rs_abs	region_feature1	type_feature1	kruskal_pval_hl_logPhase_fdr_feature1	ks_pval_fdr_hl_logPhase_feature1	avg_fdrPval_hl_logPhase_feature1	kendall_hl_logPhase_abs_feature1	feature2	region_feature2	type_feature2	kruskal_pval_hl_logPhase_fdr_feature2	ks_pval_fdr_hl_logPhase_feature2	avg_fdrPval_hl_logPhase_feature2	kendall_hl_logPhase_abs_feature2
CDS_MFE_50_25nt_3p	0.644200510293952	CDS	secondaryStructure	0.0039937452173913	0.005631983	0.00481286410869565	0.0772116037690888	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.000000003451468	0.000000003064041	0.0000000032577545	0.151041195146131
adja_CG_CDS	0.600300092916274	CDS	nucleotide	0.00239781857142857	0.00267285176470588	0.00253533516806723	0.0868157693177742	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.000000003451468	0.000000003064041	0.0000000032577545	0.151041195146131
adja_GC_CDS	0.624604035286499	CDS	nucleotide	0.134408352941176	0.202785222222222	0.168596787581699	0.0399301951071481	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.000000003451468	0.000000003064041	0.0000000032577545	0.151041195146131
Nucl_A_CDS	0.736910846742855	CDS	nucleotide	0.000394219	0.0000731680777777778	0.000233693538888889	0.0959319169533557	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.000000003451468	0.000000003064041	0.0000000032577545	0.151041195146131
Nucl_G_CDS	0.720626751552307	CDS	nucleotide	0.000342876842105263	0.002660730625	0.00150180373355263	0.104619832805988	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.000000003451468	0.000000003064041	0.0000000032577545	0.151041195146131
GC_CDS	0.796278705201739	CDS	nucleotide	0.00000107320675	0.0000088685125	0.000004970859625	0.117947262930252	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.000000003451468	0.000000003064041	0.0000000032577545	0.151041195146131
CDS_MFE_20_10nt_5p	0.709159279442906	CDS	secondaryStructure	0.078957	0.342272777777778	0.210614888888889	0.0336295858567065	CDS_MFE_100_50nt_5p	CDS	secondaryStructure	0.000311378611111111	0.000389974	0.000350676305555556	0.0752569306702217
CDS_MFE_50_25nt_CDS	0.663332171029223	CDS	secondaryStructure	0.000000129680033333333	0.000000937852566666667	0.0000005337663	0.127990273075269	CDS_MFE_100_50nt_5p	CDS	secondaryStructure	0.000311378611111111	0.000389974	0.000350676305555556	0.0752569306702217
CDS_MFE_50_25nt_5p	0.870880777291934	CDS	secondaryStructure	0.00428874708333333	0.000232489216666667	0.00226061815	0.0475442570702467	CDS_MFE_100_50nt_5p	CDS	secondaryStructure	0.000311378611111111	0.000389974	0.000350676305555556	0.0752569306702217
CDS_MFE_20_10nt_CDS	0.618311513656385	CDS	secondaryStructure	0.0000002016375	0.0000455468285714286	0.0000228742330357143	0.121649324800054	CDS_MFE_100_50nt_mid	CDS	secondaryStructure	0.000000277505083333333	0.00000049311335	0.000000385309216666667	0.151821586015254
CDS_MFE_20_10nt_mid	0.693367477905375	CDS	secondaryStructure	0.000000135634825	0.00002386256	0.0000119990974125	0.146221193209737	CDS_MFE_100_50nt_mid	CDS	secondaryStructure	0.000000277505083333333	0.00000049311335	0.000000385309216666667	0.151821586015254
CDS_MFE_50_25nt_CDS	0.71443947919569	CDS	secondaryStructure	0.000000129680033333333	0.000000937852566666667	0.0000005337663	0.127990273075269	CDS_MFE_100_50nt_mid	CDS	secondaryStructure	0.000000277505083333333	0.00000049311335	0.000000385309216666667	0.151821586015254
CDS_MFE_50_25nt_mid	0.858421354658491	CDS	secondaryStructure	0.000000992198	0.00002636428	0.000013678239	0.144145253101996	CDS_MFE_100_50nt_mid	CDS	secondaryStructure	0.000000277505083333333	0.00000049311335	0.000000385309216666667	0.151821586015254
GC_CDS	0.605966727236575	CDS	nucleotide	0.00000107320675	0.0000088685125	0.000004970859625	0.117947262930252	CDS_MFE_100_50nt_mid	CDS	secondaryStructure	0.000000277505083333333	0.00000049311335	0.000000385309216666667	0.151821586015254
CDS_MFE_20_10nt_3p	0.661069302217918	CDS	secondaryStructure	0.0044325724	0.001914530375	0.0031735513875	0.074849708672052	CDS_MFE_100_50nt_3p	CDS	secondaryStructure	0.0000637213090909091	0.00100454892857143	0.000534135118831169	0.104661618424723
CDS_MFE_50_25nt_CDS	0.622822158949636	CDS	secondaryStructure	0.000000129680033333333	0.000000937852566666667	0.0000005337663	0.127990273075269	CDS_MFE_100_50nt_3p	CDS	secondaryStructure	0.0000637213090909091	0.00100454892857143	0.000534135118831169	0.104661618424723
CDS_MFE_50_25nt_3p	0.844701297494291	CDS	secondaryStructure	0.0039937452173913	0.005631983	0.00481286410869565	0.0772116037690888	CDS_MFE_100_50nt_3p	CDS	secondaryStructure	0.0000637213090909091	0.00100454892857143	0.000534135118831169	0.104661618424723
CDS_MFE_20_10nt_5p	0.640421905850335	CDS	secondaryStructure	0.078957	0.342272777777778	0.210614888888889	0.0336295858567065	CDS_MFE_20_10nt_CDS	CDS	secondaryStructure	0.0000002016375	0.0000455468285714286	0.0000228742330357143	0.121649324800054
CDS_MFE_20_10nt_mid	0.705344441676735	CDS	secondaryStructure	0.000000135634825	0.00002386256	0.0000119990974125	0.146221193209737	CDS_MFE_20_10nt_CDS	CDS	secondaryStructure	0.0000002016375	0.0000455468285714286	0.0000228742330357143	0.121649324800054
CDS_MFE_20_10nt_3p	0.679778955169562	CDS	secondaryStructure	0.0044325724	0.001914530375	0.0031735513875	0.074849708672052	CDS_MFE_20_10nt_CDS	CDS	secondaryStructure	0.0000002016375	0.0000455468285714286	0.0000228742330357143	0.121649324800054
CDS_MFE_50_25nt_CDS	0.819713764357017	CDS	secondaryStructure	0.000000129680033333333	0.000000937852566666667	0.0000005337663	0.127990273075269	CDS_MFE_20_10nt_CDS	CDS	secondaryStructure	0.0000002016375	0.0000455468285714286	0.0000228742330357143	0.121649324800054
Nucl_A_CDS	0.668454120903736	CDS	nucleotide	0.000394219	0.0000731680777777778	0.000233693538888889	0.0959319169533557	CDS_MFE_20_10nt_CDS	CDS	secondaryStructure	0.0000002016375	0.0000455468285714286	0.0000228742330357143	0.121649324800054
Nucl_G_CDS	0.642414092337516	CDS	nucleotide	0.000342876842105263	0.002660730625	0.00150180373355263	0.104619832805988	CDS_MFE_20_10nt_CDS	CDS	secondaryStructure	0.0000002016375	0.0000455468285714286	0.0000228742330357143	0.121649324800054
GC_CDS	0.769790583286803	CDS	nucleotide	0.00000107320675	0.0000088685125	0.000004970859625	0.117947262930252	CDS_MFE_20_10nt_CDS	CDS	secondaryStructure	0.0000002016375	0.0000455468285714286	0.0000228742330357143	0.121649324800054
CDS_MFE_50_25nt_5p	0.750223463797815	CDS	secondaryStructure	0.00428874708333333	0.000232489216666667	0.00226061815	0.0475442570702467	CDS_MFE_20_10nt_5p	CDS	secondaryStructure	0.078957	0.342272777777778	0.210614888888889	0.0336295858567065
CDS_MFE_50_25nt_mid	0.754882347003031	CDS	secondaryStructure	0.000000992198	0.00002636428	0.000013678239	0.144145253101996	CDS_MFE_20_10nt_mid	CDS	secondaryStructure	0.000000135634825	0.00002386256	0.0000119990974125	0.146221193209737
CDS_MFE_50_25nt_3p	0.766651656609293	CDS	secondaryStructure	0.0039937452173913	0.005631983	0.00481286410869565	0.0772116037690888	CDS_MFE_20_10nt_3p	CDS	secondaryStructure	0.0044325724	0.001914530375	0.0031735513875	0.074849708672052
CDS_MFE_50_25nt_5p	0.679219605973878	CDS	secondaryStructure	0.00428874708333333	0.000232489216666667	0.00226061815	0.0475442570702467	CDS_MFE_50_25nt_CDS	CDS	secondaryStructure	0.000000129680033333333	0.000000937852566666667	0.0000005337663	0.127990273075269
CDS_MFE_50_25nt_mid	0.699721245699129	CDS	secondaryStructure	0.000000992198	0.00002636428	0.000013678239	0.144145253101996	CDS_MFE_50_25nt_CDS	CDS	secondaryStructure	0.000000129680033333333	0.000000937852566666667	0.0000005337663	0.127990273075269
CDS_MFE_50_25nt_3p	0.679347033531292	CDS	secondaryStructure	0.0039937452173913	0.005631983	0.00481286410869565	0.0772116037690888	CDS_MFE_50_25nt_CDS	CDS	secondaryStructure	0.000000129680033333333	0.000000937852566666667	0.0000005337663	0.127990273075269
adja_CG_CDS	0.613742886809105	CDS	nucleotide	0.00239781857142857	0.00267285176470588	0.00253533516806723	0.0868157693177742	CDS_MFE_50_25nt_CDS	CDS	secondaryStructure	0.000000129680033333333	0.000000937852566666667	0.0000005337663	0.127990273075269
adja_GC_CDS	0.617369770780293	CDS	nucleotide	0.134408352941176	0.202785222222222	0.168596787581699	0.0399301951071481	CDS_MFE_50_25nt_CDS	CDS	secondaryStructure	0.000000129680033333333	0.000000937852566666667	0.0000005337663	0.127990273075269
Nucl_A_CDS	0.71801428987351	CDS	nucleotide	0.000394219	0.0000731680777777778	0.000233693538888889	0.0959319169533557	CDS_MFE_50_25nt_CDS	CDS	secondaryStructure	0.000000129680033333333	0.000000937852566666667	0.0000005337663	0.127990273075269
Nucl_G_CDS	0.719242390285	CDS	nucleotide	0.000342876842105263	0.002660730625	0.00150180373355263	0.104619832805988	CDS_MFE_50_25nt_CDS	CDS	secondaryStructure	0.000000129680033333333	0.000000937852566666667	0.0000005337663	0.127990273075269
GC_CDS	0.803789826164014	CDS	nucleotide	0.00000107320675	0.0000088685125	0.000004970859625	0.117947262930252	CDS_MFE_50_25nt_CDS	CDS	secondaryStructure	0.000000129680033333333	0.000000937852566666667	0.0000005337663	0.127990273075269
start_codon_GUG	0.99787431671405	CDS	codon	0.289312786666667	0.750951384615385	0.520132085641026	0.0442289431507792	start_codon_AUG	CDS	codon	0.284205657534247	0.691401475409836	0.487803566472041	0.0468227122270043
AUG_CDS_5p18nt	0.929379258983217	CDS	codon	0.189452777777778	0.434349972222222	0.311901375	0.0580361225602762	start_codon_AUG	CDS	codon	0.284205657534247	0.691401475409836	0.487803566472041	0.0468227122270043
GUG_CDS_5p18nt	0.861315348634468	CDS	codon	0.308305465116279	0.86884985915493	0.588577662135604	0.0355413762874699	start_codon_AUG	CDS	codon	0.284205657534247	0.691401475409836	0.487803566472041	0.0468227122270043
AUG_CDS_5p18nt	0.92716933795345	CDS	codon	0.189452777777778	0.434349972222222	0.311901375	0.0580361225602762	start_codon_GUG	CDS	codon	0.289312786666667	0.750951384615385	0.520132085641026	0.0442289431507792
GUG_CDS_5p18nt	0.863615221239698	CDS	codon	0.308305465116279	0.86884985915493	0.588577662135604	0.0355413762874699	start_codon_GUG	CDS	codon	0.289312786666667	0.750951384615385	0.520132085641026	0.0442289431507792
stop_codon_UGA	0.859792886130385	CDS	codon	0.930607959183674	1	0.965303979591837	0.0308471807573085	stop_codon_UAG	CDS	codon	0.901686441441441	1	0.950843220720721	0.0265867703953534
adja_UA_CDS_3p18nt	0.68918890390858	CDS	nucleotide	0.548256644736842	1	0.774128322368421	0.0414146052916435	stop_codon_UAG	CDS	codon	0.901686441441441	1	0.950843220720721	0.0265867703953534
adja_UA_CDS_3p18nt	0.814611501368335	CDS	nucleotide	0.548256644736842	1	0.774128322368421	0.0414146052916435	stop_codon_UGA	CDS	codon	0.930607959183674	1	0.965303979591837	0.0308471807573085
GUG_CDS_5p18nt	0.799464191410566	CDS	codon	0.308305465116279	0.86884985915493	0.588577662135604	0.0355413762874699	AUG_CDS_5p18nt	CDS	codon	0.189452777777778	0.434349972222222	0.311901375	0.0580361225602762
adja_AU_CDS_5p18nt	0.655991574407013	CDS	nucleotide	0.543094093959732	1	0.771547046979866	0.0508596183705674	AUG_CDS_5p18nt	CDS	codon	0.189452777777778	0.434349972222222	0.311901375	0.0580361225602762
adja_GU_CDS_5p18nt	0.628565820482544	CDS	nucleotide	0.604145688622754	1	0.802072844311377	0.0204236896623978	GUG_CDS_5p18nt	CDS	codon	0.308305465116279	0.86884985915493	0.588577662135604	0.0355413762874699
adja_UA_CDS	0.696215978521944	CDS	nucleotide	0.000268100882352941	0.000202895563636364	0.000235498222994652	0.108652571088786	UAC_CDSnstop	CDS	codon	0.350429081632653	0.0012094854	0.175819283516327	0.0557593333032402
adja_AA_CDS	0.614873660853066	CDS	nucleotide	0.289312786666667	0.302660176470588	0.295986481568628	0.0507144408453121	AAG_CDSnstop	CDS	codon	0.997414432624113	1	0.998707216312057	0.00106313714803991
adja_AG_CDS	0.649279130142461	CDS	nucleotide	0.0467967452380952	0.0239984	0.0353975726190476	0.0741016516447706	GAG_CDSnstop	CDS	codon	0.58301472392638	0.685583953488372	0.634299338707376	0.034027930416076
Nucl_A_CDS_3p18nt	0.683184459388192	CDS	nucleotide	0.636843812154696	1	0.818421906077348	0.0404759941488674	adja_AA_CDS_3p18nt	CDS	nucleotide	0.925917041666667	1	0.962958520833333	0.0173347132833859
Nucl_C_CDS_3p18nt	0.74265653344632	CDS	nucleotide	0.0346782081081081	0.407934392857143	0.221306300482626	0.0713783453329349	adja_CC_CDS_3p18nt	CDS	nucleotide	0.05354926	0.0808268214285714	0.0671880407142857	0.0816708112102841
GC_CDS_3p18nt	0.623941193449584	CDS	nucleotide	0.58301472392638	1	0.79150736196319	0.0173997569756584	adja_GC_CDS_3p18nt	CDS	nucleotide	0.471807795275591	1	0.735903897637795	0.0121454254580573
Nucl_G_CDS_3p18nt	0.724674952618519	CDS	nucleotide	0.438203157894737	1	0.719101578947368	0.0461679713108336	adja_GG_CDS_3p18nt	CDS	nucleotide	0.324527865168539	0.743672545454545	0.534100205311542	0.0409248588015547
Nucl_T_CDS_3p18nt	0.626201312754457	CDS	nucleotide	0.308244273809524	0.869480263157895	0.588862268483709	0.0564370049971379	adja_UU_CDS_3p18nt	CDS	nucleotide	0.284205657534247	0.893626923076923	0.588916290305585	0.0713705928631918
Nucl_A_CDS_5p18nt	0.622477578951815	CDS	nucleotide	0.000268100882352941	0.0042313594	0.00224973014117647	0.132266727473842	adja_AA_CDS_5p18nt	CDS	nucleotide	0.00330145227272727	0.0525979083333333	0.0279496803030303	0.110960576215916
Nucl_C_CDS_5p18nt	0.762317747078747	CDS	nucleotide	0.267513369230769	0.869480263157895	0.568496816194332	0.043478090921287	adja_CC_CDS_5p18nt	CDS	nucleotide	0.308244273809524	0.835011714285714	0.571627994047619	0.0420031597489266
Nucl_G_CDS_5p18nt	0.638798331693141	CDS	nucleotide	0.0296909878787879	0.19743495	0.113562968939394	0.0973919705812353	adja_GG_CDS_5p18nt	CDS	nucleotide	0.46414264	1	0.73207132	0.0530291146148841
Nucl_T_CDS_5p18nt	0.637059256838667	CDS	nucleotide	0.997110218978102	1	0.998555109489051	0.00823246524559661	adja_UU_CDS_5p18nt	CDS	nucleotide	0.794145870646766	1	0.897072935323383	0.0123694517152729
Nucl_A_CDS	0.771570533414532	CDS	nucleotide	0.000394219	0.0000731680777777778	0.000233693538888889	0.0959319169533557	adja_AA_CDS	CDS	nucleotide	0.289312786666667	0.302660176470588	0.295986481568628	0.0507144408453121
Nucl_A_CDS	0.662408941308919	CDS	nucleotide	0.000394219	0.0000731680777777778	0.000233693538888889	0.0959319169533557	adja_AG_CDS	CDS	nucleotide	0.0467967452380952	0.0239984	0.0353975726190476	0.0741016516447706
Nucl_G_CDS	0.603177160461644	CDS	nucleotide	0.000342876842105263	0.002660730625	0.00150180373355263	0.104619832805988	adja_CA_CDS	CDS	nucleotide	0.391714716981132	0.382772553191489	0.387243635086311	0.0380890676682684
Nucl_C_CDS	0.757587261444549	CDS	nucleotide	0.439641709401709	0.65872671875	0.549184214075855	0.0202370313690047	adja_CC_CDS	CDS	nucleotide	0.626282215909091	0.28816475	0.457223482954546	0.0130321144957102
adja_GC_CDS	0.602199595183811	CDS	nucleotide	0.134408352941176	0.202785222222222	0.168596787581699	0.0399301951071481	adja_CG_CDS	CDS	nucleotide	0.00239781857142857	0.00267285176470588	0.00253533516806723	0.0868157693177742
GC_CDS	0.738916615031396	CDS	nucleotide	0.00000107320675	0.0000088685125	0.000004970859625	0.117947262930252	adja_CG_CDS	CDS	nucleotide	0.00239781857142857	0.00267285176470588	0.00253533516806723	0.0868157693177742
Nucl_A_CDS	0.658301900311679	CDS	nucleotide	0.000394219	0.0000731680777777778	0.000233693538888889	0.0959319169533557	adja_GA_CDS	CDS	nucleotide	0.0296909878787879	0.0120376408333333	0.0208643143560606	0.077868401547078
GC_CDS	0.737921753446844	CDS	nucleotide	0.00000107320675	0.0000088685125	0.000004970859625	0.117947262930252	adja_GC_CDS	CDS	nucleotide	0.134408352941176	0.202785222222222	0.168596787581699	0.0399301951071481
Nucl_G_CDS	0.753345284118109	CDS	nucleotide	0.000342876842105263	0.002660730625	0.00150180373355263	0.104619832805988	adja_GG_CDS	CDS	nucleotide	0.00000454592333333333	0.000012674438	0.00000861018066666667	0.139165042385694
Nucl_T_CDS	0.706599264909057	CDS	nucleotide	0.46414264	0.214074862068966	0.339108751034483	0.0405338510351066	adja_UU_CDS	CDS	nucleotide	0.467421666666667	0.598329152542373	0.53287540960452	0.0433009665642534
GC_CDS_3p18nt	0.645700586092198	CDS	nucleotide	0.58301472392638	1	0.79150736196319	0.0173997569756584	Nucl_A_CDS_3p18nt	CDS	nucleotide	0.636843812154696	1	0.818421906077348	0.0404759941488674
GC_CDS	0.723733779123635	CDS	nucleotide	0.00000107320675	0.0000088685125	0.000004970859625	0.117947262930252	Nucl_A_CDS	CDS	nucleotide	0.000394219	0.0000731680777777778	0.000233693538888889	0.0959319169533557
ribo_CDSplus20up	0.993971495668303	CDS	ribosome	0.000245339230769231	0.00002919428	0.000137266755384615	0.0936433308909569	ribo_CDS	CDS	ribosome	0.000268100882352941	0.00002919428	0.000148647581176471	0.0915102851288468
ribo_5p_excl	0.992073110479681	CDS	ribosome	0.000268100882352941	0.0000319507	0.000150025791176471	0.0986124417307117	ribo_CDS	CDS	ribosome	0.000268100882352941	0.00002919428	0.000148647581176471	0.0915102851288468
ribo_5p_excl	0.99297554319317	CDS	ribosome	0.000268100882352941	0.0000319507	0.000150025791176471	0.0986124417307117	ribo_CDSplus20up	CDS	ribosome	0.000245339230769231	0.00002919428	0.000137266755384615	0.0936433308909569
transcript_5p20nt_all_First3nt_UnpairedProb	0.750094775070713	fpr_transcript	secondaryStructure	0.509854452554744	0.726921568627451	0.618388010591098	0.0467837317031142	transcript_5p20nt_5pUnpairedNt	fpr_transcript	secondaryStructure	0.47274265625	0.403732153846154	0.438237405048077	0.049445248090072
transcript_5p20nt_Avg_First3nt_UnpairedProb	0.786807100356168	fpr_transcript	secondaryStructure	0.68866328042328	1	0.84433164021164	0.0306358950851888	transcript_5p20nt_5pUnpairedNt	fpr_transcript	secondaryStructure	0.47274265625	0.403732153846154	0.438237405048077	0.049445248090072
transcript_5p20nt_all_First5nt_UnpairedProb	0.70857320954065	fpr_transcript	secondaryStructure	0.0479875860465116	0.1724885	0.110238043023256	0.0705311595252291	transcript_5p20nt_5pUnpairedNt	fpr_transcript	secondaryStructure	0.47274265625	0.403732153846154	0.438237405048077	0.049445248090072
transcript_5p20nt_Avg_First5nt_UnpairedProb	0.815166445704787	fpr_transcript	secondaryStructure	0.336298333333333	0.602202641509434	0.469250487421384	0.053172188489449	transcript_5p20nt_5pUnpairedNt	fpr_transcript	secondaryStructure	0.47274265625	0.403732153846154	0.438237405048077	0.049445248090072
transcript_5p20nt_Avg_First3nt_UnpairedProb	0.936226137757403	fpr_transcript	secondaryStructure	0.68866328042328	1	0.84433164021164	0.0306358950851888	transcript_5p20nt_all_First3nt_UnpairedProb	fpr_transcript	secondaryStructure	0.509854452554744	0.726921568627451	0.618388010591098	0.0467837317031142
transcript_5p20nt_all_First5nt_UnpairedProb	0.775205760304003	fpr_transcript	secondaryStructure	0.0479875860465116	0.1724885	0.110238043023256	0.0705311595252291	transcript_5p20nt_all_First3nt_UnpairedProb	fpr_transcript	secondaryStructure	0.509854452554744	0.726921568627451	0.618388010591098	0.0467837317031142
transcript_5p20nt_Avg_First5nt_UnpairedProb	0.923939138531403	fpr_transcript	secondaryStructure	0.336298333333333	0.602202641509434	0.469250487421384	0.053172188489449	transcript_5p20nt_all_First3nt_UnpairedProb	fpr_transcript	secondaryStructure	0.509854452554744	0.726921568627451	0.618388010591098	0.0467837317031142
transcript_5p20nt_all_First5nt_UnpairedProb	0.679157327606757	fpr_transcript	secondaryStructure	0.0479875860465116	0.1724885	0.110238043023256	0.0705311595252291	transcript_5p20nt_Avg_First3nt_UnpairedProb	fpr_transcript	secondaryStructure	0.68866328042328	1	0.84433164021164	0.0306358950851888
transcript_5p20nt_Avg_First5nt_UnpairedProb	0.890323010779826	fpr_transcript	secondaryStructure	0.336298333333333	0.602202641509434	0.469250487421384	0.053172188489449	transcript_5p20nt_Avg_First3nt_UnpairedProb	fpr_transcript	secondaryStructure	0.68866328042328	1	0.84433164021164	0.0306358950851888
transcript_5p20nt_Avg_First5nt_UnpairedProb	0.88993259913169	fpr_transcript	secondaryStructure	0.336298333333333	0.602202641509434	0.469250487421384	0.053172188489449	transcript_5p20nt_all_First5nt_UnpairedProb	fpr_transcript	secondaryStructure	0.0479875860465116	0.1724885	0.110238043023256	0.0705311595252291
transcript_5p20nt_MFE	0.63325856753309	fpr_transcript	secondaryStructure	0.0358561	0.259523863636364	0.147689981818182	0.0899071362640648	transcript_5p20nt_all_First5nt_UnpairedProb	fpr_transcript	secondaryStructure	0.0479875860465116	0.1724885	0.110238043023256	0.0705311595252291
