 	fprUTR_MFE_20_10nt_5pUTR	fprUTR_MFE_20_10nt_5p	fprUTR_MFE_20_10nt_mid	fprUTR_MFE_20_10nt_3p
MSMEG_0056	-3.44	-5.0	-3.6	0.0
MSMEG_0057	NA	NA	NA	NA
MSMEG_0058	NA	NA	NA	NA
MSMEG_0059	NA	NA	NA	NA
MSMEG_0060	-2.3778	-3.1667	-2.475	-1.0
MSMEG_0061	NA	NA	NA	NA
MSMEG_0062	NA	NA	NA	NA
MSMEG_0063	NA	NA	NA	NA
MSMEG_0064	NA	NA	NA	NA
MSMEG_0065	NA	NA	NA	NA
MSMEG_0066	NA	NA	NA	NA
MSMEG_0067	NA	NA	NA	NA
MSMEG_0068	NA	NA	NA	NA
MSMEG_0069	-1.52	-2.85	-0.85	-0.2
MSMEG_0070	-1.5591	-2.3	-1.02	-1.3429
MSMEG_0071	NA	NA	NA	NA
MSMEG_0072	NA	NA	NA	NA
MSMEG_0073	NA	NA	NA	NA
MSMEG_0074	NA	NA	NA	NA
MSMEG_0075	NA	NA	NA	NA
MSMEG_0076	-2.27	-1.65	-1.8667	-3.5
MSMEG_0077	NA	NA	NA	NA
MSMEG_0078	-1.925	-1.2667	-2.2667	-2.4
MSMEG_0079	-3.087	-2.975	-2.5625	-3.8143
MSMEG_0080	NA	NA	NA	NA
MSMEG_0081	NA	NA	NA	NA
MSMEG_0082	NA	NA	NA	NA
MSMEG_0083	-3.0333	-4.1667	-2.85	0.0
MSMEG_0084	NA	NA	NA	NA
MSMEG_0085	NA	NA	NA	NA
MSMEG_0086	NA	NA	NA	NA
MSMEG_0087	-1.9	0.0	-3.8	-3.8
MSMEG_0088	NA	NA	NA	NA
MSMEG_0089	NA	NA	NA	NA
MSMEG_0090	NA	NA	NA	NA
MSMEG_0091	NA	NA	NA	NA
MSMEG_0092	NA	NA	NA	NA
MSMEG_0093	NA	NA	NA	NA
MSMEG_0094	NA	NA	NA	NA
MSMEG_0095	-3.2	-6.4	0.0	0.0
MSMEG_0096	-1.35	0.0	-2.7	-2.7
MSMEG_0097	NA	NA	NA	NA
MSMEG_0098	NA	NA	NA	NA
MSMEG_0099	NA	NA	NA	NA
MSMEG_0100	NA	NA	NA	NA
MSMEG_0101	NA	NA	NA	NA
MSMEG_0102	NA	NA	NA	NA
MSMEG_0103	NA	NA	NA	NA
MSMEG_0104	NA	NA	NA	NA
MSMEG_0105	NA	NA	NA	NA
MSMEG_0106	NA	NA	NA	NA
MSMEG_0107	NA	NA	NA	NA
MSMEG_0108	NA	NA	NA	NA
MSMEG_0109	-2.1571	-1.7429	-2.4	-2.3167
MSMEG_0110	NA	NA	NA	NA
MSMEG_0111	NA	NA	NA	NA
MSMEG_0112	NA	NA	NA	NA
MSMEG_0113	NA	NA	NA	NA
MSMEG_0114	NA	NA	NA	NA
MSMEG_0115	NA	NA	NA	NA
MSMEG_0116	NA	NA	NA	NA
MSMEG_0117	NA	NA	NA	NA
MSMEG_0118	NA	NA	NA	NA
MSMEG_0119	NA	NA	NA	NA
MSMEG_0120	NA	NA	NA	NA
MSMEG_0121	NA	NA	NA	NA
MSMEG_0122	NA	NA	NA	NA
MSMEG_0123	NA	NA	NA	NA
MSMEG_0124	NA	NA	NA	NA
MSMEG_0125	NA	NA	NA	NA
MSMEG_0126	NA	NA	NA	NA
MSMEG_0127	NA	NA	NA	NA
MSMEG_0128	NA	NA	NA	NA
MSMEG_0129	NA	NA	NA	NA
MSMEG_0130	-2.48	-2.65	-3.55	0.0
MSMEG_0131	-0.6667	-0.5	-1.5	0.0
MSMEG_0132	-2.7182	-4.65	-1.425	-1.8667
MSMEG_0133	-1.85	-1.5	-2.2	0.0
MSMEG_0134	NA	NA	NA	NA
MSMEG_0135	NA	NA	NA	NA
MSMEG_0136	NA	NA	NA	NA
MSMEG_0137	NA	NA	NA	NA
MSMEG_0138	NA	NA	NA	NA
MSMEG_0139	NA	NA	NA	NA
MSMEG_0140	-2.4875	-3.9333	-2.7	0.0
MSMEG_0141	NA	NA	NA	NA
MSMEG_0142	-2.3111	-3.675	-1.7667	-0.4
MSMEG_0143	-2.3462	-1.4111	-2.3333	-3.4125
MSMEG_0144	NA	NA	NA	NA
MSMEG_0145	-2.4833	-1.775	-3.4889	-2.0
MSMEG_0146	NA	NA	NA	NA
MSMEG_0147	NA	NA	NA	NA
MSMEG_0148	NA	NA	NA	NA
MSMEG_0149	NA	NA	NA	NA
MSMEG_0150	NA	NA	NA	NA
MSMEG_0151	NA	NA	NA	NA
MSMEG_0152	-2.1333	-3.5667	-0.1	-1.9
MSMEG_0153	-1.1	-0.9	-1.95	0.0
MSMEG_0154	NA	NA	NA	NA
MSMEG_0155	-1.5	-3.0	0.0	0.0
MSMEG_0156	NA	NA	NA	NA
MSMEG_0157	NA	NA	NA	NA
MSMEG_0158	NA	NA	NA	NA
MSMEG_0159	NA	NA	NA	NA
MSMEG_0160	NA	NA	NA	NA
MSMEG_0161	NA	NA	NA	NA
MSMEG_0162	NA	NA	NA	NA
MSMEG_0163	NA	NA	NA	NA
MSMEG_0164	NA	NA	NA	NA
MSMEG_0165	NA	NA	NA	NA
MSMEG_0166	NA	NA	NA	NA
MSMEG_0167	-1.56	-1.025	-0.1667	-3.6667
MSMEG_0168	-3.7	-2.5	-5.4	-2.2
MSMEG_0169	NA	NA	NA	NA
MSMEG_0170	NA	NA	NA	NA
MSMEG_0171	NA	NA	NA	NA
MSMEG_0172	NA	NA	NA	NA
MSMEG_0173	-2.45	-1.8667	-2.9455	-2.5909
MSMEG_0174	-2.2029	-2.875	-2.8333	-0.7818
MSMEG_0175	NA	NA	NA	NA
MSMEG_0176	NA	NA	NA	NA
MSMEG_0177	NA	NA	NA	NA
MSMEG_0178	NA	NA	NA	NA
MSMEG_0179	NA	NA	NA	NA
MSMEG_0180	NA	NA	NA	NA
MSMEG_0181	NA	NA	NA	NA
MSMEG_0182	NA	NA	NA	NA
MSMEG_0183	NA	NA	NA	NA
MSMEG_0184	NA	NA	NA	NA
MSMEG_0185	NA	NA	NA	NA
MSMEG_0186	0.0	0.0	0.0	0.0
MSMEG_0187	NA	NA	NA	NA
MSMEG_0188	NA	NA	NA	NA
MSMEG_0189	NA	NA	NA	NA
MSMEG_0190	NA	NA	NA	NA
MSMEG_0191	-2.5625	-3.5333	-2.5	-1.2
MSMEG_0192	NA	NA	NA	NA
MSMEG_0193	NA	NA	NA	NA
MSMEG_0194	-0.95	-1.9	0.0	0.0
MSMEG_0195	-2.875	-3.38	-2.36	-2.8857
MSMEG_0196	NA	NA	NA	NA
MSMEG_0197	NA	NA	NA	NA
MSMEG_0198	NA	NA	NA	NA
MSMEG_0200	NA	NA	NA	NA
MSMEG_0201	NA	NA	NA	NA
MSMEG_0202	NA	NA	NA	NA
MSMEG_0203	-2.7333	-3.1667	-2.95	-1.65
MSMEG_0204	NA	NA	NA	NA
MSMEG_0205	NA	NA	NA	NA
MSMEG_0206	NA	NA	NA	NA
MSMEG_0207	NA	NA	NA	NA
MSMEG_0208	-1.35	-2.2	-0.5	-0.5
MSMEG_0209	NA	NA	NA	NA
MSMEG_0210	-2.7294	-3.0	-3.0182	-2.1455
MSMEG_0211	NA	NA	NA	NA
MSMEG_0212	NA	NA	NA	NA
MSMEG_0213	NA	NA	NA	NA
MSMEG_0214	NA	NA	NA	NA
MSMEG_0215	NA	NA	NA	NA
MSMEG_0216	NA	NA	NA	NA
MSMEG_0217	NA	NA	NA	NA
MSMEG_0218	NA	NA	NA	NA
MSMEG_0219	NA	NA	NA	NA
MSMEG_0220	NA	NA	NA	NA
MSMEG_0221	NA	NA	NA	NA
MSMEG_0222	0.0	0.0	0.0	0.0
MSMEG_0223	NA	NA	NA	NA
MSMEG_0224	NA	NA	NA	NA
MSMEG_0225	NA	NA	NA	NA
MSMEG_0226	-3.0083	-3.56	-2.8	-2.3667
MSMEG_0227	-3.15	-2.2	-4.7	-2.9
MSMEG_0228	NA	NA	NA	NA
MSMEG_0229	NA	NA	NA	NA
MSMEG_0230	NA	NA	NA	NA
MSMEG_0231	NA	NA	NA	NA
MSMEG_0232	NA	NA	NA	NA
MSMEG_0233	NA	NA	NA	NA
MSMEG_0234	NA	NA	NA	NA
MSMEG_0235	NA	NA	NA	NA
MSMEG_0236	NA	NA	NA	NA
MSMEG_0237	NA	NA	NA	NA
MSMEG_0238	NA	NA	NA	NA
MSMEG_0239	NA	NA	NA	NA
MSMEG_0240	-3.3933	-3.8167	-2.46	-3.925
MSMEG_0241	-1.2	-0.4	-2.6	0.0
MSMEG_0242	-2.7474	-2.7143	-3.1857	-2.18
MSMEG_0243	-2.85	-4.0	-2.35	-0.4
MSMEG_0244	NA	NA	NA	NA
MSMEG_0245	-2.875	-3.18	-3.2	-1.9333
MSMEG_0246	NA	NA	NA	NA
MSMEG_0247	NA	NA	NA	NA
MSMEG_0248	NA	NA	NA	NA
MSMEG_0249	NA	NA	NA	NA
MSMEG_0250	-2.5705	-2.6067	-3.2467	-1.8071
MSMEG_0251	NA	NA	NA	NA
MSMEG_0252	NA	NA	NA	NA
MSMEG_0253	-2.625	-1.5667	-3.8667	-2.35
MSMEG_0254	NA	NA	NA	NA
MSMEG_0255	-2.05	-2.6	-1.5	-3.0
MSMEG_0256	NA	NA	NA	NA
MSMEG_0257	NA	NA	NA	NA
MSMEG_0258	NA	NA	NA	NA
MSMEG_0259	NA	NA	NA	NA
MSMEG_0260	NA	NA	NA	NA
MSMEG_0261	NA	NA	NA	NA
MSMEG_0262	NA	NA	NA	NA
MSMEG_0263	NA	NA	NA	NA
MSMEG_0264	-3.2706	-3.45	-4.8	-1.22
MSMEG_0265	NA	NA	NA	NA
MSMEG_0266	NA	NA	NA	NA
MSMEG_0267	NA	NA	NA	NA
MSMEG_0268	NA	NA	NA	NA
MSMEG_0269	NA	NA	NA	NA
MSMEG_0270	-4.29	-6.05	-3.9	-2.3333
MSMEG_0271	NA	NA	NA	NA
MSMEG_0272	NA	NA	NA	NA
MSMEG_0273	NA	NA	NA	NA
MSMEG_0274	NA	NA	NA	NA
MSMEG_0275	NA	NA	NA	NA
MSMEG_0276	NA	NA	NA	NA
MSMEG_0277	NA	NA	NA	NA
MSMEG_0278	NA	NA	NA	NA
MSMEG_0279	NA	NA	NA	NA
MSMEG_0280	NA	NA	NA	NA
MSMEG_0281	NA	NA	NA	NA
MSMEG_0282	-2.76	-6.9	0.0	0.0
MSMEG_0283	NA	NA	NA	NA
MSMEG_0284	NA	NA	NA	NA
MSMEG_0285	-1.8333	-2.5	-0.5	-0.5
MSMEG_0286	NA	NA	NA	NA
MSMEG_0287	NA	NA	NA	NA
MSMEG_0288	NA	NA	NA	NA
MSMEG_0289	NA	NA	NA	NA
MSMEG_0290	-3.1846	-5.84	-1.84	-1.0
MSMEG_0291	NA	NA	NA	NA
MSMEG_0292	NA	NA	NA	NA
MSMEG_0293	NA	NA	NA	NA
MSMEG_0294	NA	NA	NA	NA
MSMEG_0295	NA	NA	NA	NA
MSMEG_0296	NA	NA	NA	NA
MSMEG_0297	NA	NA	NA	NA
MSMEG_0298	NA	NA	NA	NA
MSMEG_0299	-3.3	-4.65	-1.95	-0.2
MSMEG_0300	-2.8455	-0.775	-5.275	-2.3667
MSMEG_0301	NA	NA	NA	NA
MSMEG_0302	NA	NA	NA	NA
MSMEG_0303	NA	NA	NA	NA
MSMEG_0304	NA	NA	NA	NA
MSMEG_0305	NA	NA	NA	NA
MSMEG_0306	NA	NA	NA	NA
MSMEG_0307	NA	NA	NA	NA
MSMEG_0308	NA	NA	NA	NA
MSMEG_0309	-3.6	-3.6	-3.6	-3.6
MSMEG_0311	NA	NA	NA	NA
MSMEG_0312	NA	NA	NA	NA
MSMEG_0313	NA	NA	NA	NA
MSMEG_0314	-0.6167	-0.2333	-0.45	-2.1
MSMEG_0315	NA	NA	NA	NA
MSMEG_0316	NA	NA	NA	NA
MSMEG_0317	-0.625	-0.6	-1.3	0.0
MSMEG_0318	NA	NA	NA	NA
MSMEG_0319	NA	NA	NA	NA
MSMEG_0320	NA	NA	NA	NA
MSMEG_0321	-7.35	-3.0	-11.7	-11.7
MSMEG_0323	NA	NA	NA	NA
MSMEG_0324	NA	NA	NA	NA
MSMEG_0325	NA	NA	NA	NA
MSMEG_0326	NA	NA	NA	NA
MSMEG_0327	NA	NA	NA	NA
MSMEG_0328	NA	NA	NA	NA
MSMEG_0329	NA	NA	NA	NA
MSMEG_0330	NA	NA	NA	NA
MSMEG_0331	NA	NA	NA	NA
MSMEG_0332	NA	NA	NA	NA
MSMEG_0333	NA	NA	NA	NA
MSMEG_0334	NA	NA	NA	NA
MSMEG_0335	NA	NA	NA	NA
MSMEG_0336	NA	NA	NA	NA
MSMEG_0337	NA	NA	NA	NA
MSMEG_0338	NA	NA	NA	NA
MSMEG_0339	NA	NA	NA	NA
MSMEG_0340	NA	NA	NA	NA
MSMEG_0341	-2.11	-3.225	-2.05	0.0
MSMEG_0342	NA	NA	NA	NA
MSMEG_0343	NA	NA	NA	NA
MSMEG_0344	NA	NA	NA	NA
MSMEG_0345	NA	NA	NA	NA
MSMEG_0346	NA	NA	NA	NA
MSMEG_0347	NA	NA	NA	NA
MSMEG_0348	-1.2615	-1.6	-0.725	-1.375
MSMEG_0349	NA	NA	NA	NA
MSMEG_0350	NA	NA	NA	NA
MSMEG_0351	NA	NA	NA	NA
MSMEG_0352	NA	NA	NA	NA
MSMEG_0353	NA	NA	NA	NA
MSMEG_0354	NA	NA	NA	NA
MSMEG_0355	NA	NA	NA	NA
MSMEG_0356	NA	NA	NA	NA
MSMEG_0357	NA	NA	NA	NA
MSMEG_0358	NA	NA	NA	NA
MSMEG_0359	-2.4875	-3.5	-1.72	-2.04
MSMEG_0360	NA	NA	NA	NA
MSMEG_0361	NA	NA	NA	NA
MSMEG_0362	NA	NA	NA	NA
MSMEG_0363	NA	NA	NA	NA
MSMEG_0364	NA	NA	NA	NA
MSMEG_0365	NA	NA	NA	NA
MSMEG_0366	-0.85	-1.5	-0.2	-0.2
MSMEG_0367	NA	NA	NA	NA
MSMEG_0368	NA	NA	NA	NA
MSMEG_0369	NA	NA	NA	NA
MSMEG_0370	NA	NA	NA	NA
MSMEG_0371	NA	NA	NA	NA
MSMEG_0372	NA	NA	NA	NA
MSMEG_0373	NA	NA	NA	NA
MSMEG_0374	NA	NA	NA	NA
MSMEG_0375	NA	NA	NA	NA
MSMEG_0376	-5.2	-10.4	0.0	0.0
MSMEG_0377	NA	NA	NA	NA
MSMEG_0378	NA	NA	NA	NA
MSMEG_0379	NA	NA	NA	NA
MSMEG_0380	-3.375	-3.1	-5.9	0.0
MSMEG_0381	-2.58	-3.25	-3.2	0.0
MSMEG_0382	-2.8	-2.3	-3.4214	-2.6692
MSMEG_0383	-1.7	-2.075	-2.175	0.0
MSMEG_0384	-0.9333	-0.9667	-1.35	0.0
MSMEG_0385	NA	NA	NA	NA
MSMEG_0386	NA	NA	NA	NA
MSMEG_0387	-1.325	-1.54	-1.25	-1.0667
MSMEG_0388	-1.47	-2.2	-1.7333	-0.2333
MSMEG_0389	NA	NA	NA	NA
MSMEG_0390	NA	NA	NA	NA
MSMEG_0391	NA	NA	NA	NA
MSMEG_0392	-2.3154	-3.0	-1.2	-2.575
MSMEG_0393	NA	NA	NA	NA
MSMEG_0394	NA	NA	NA	NA
MSMEG_0395	NA	NA	NA	NA
MSMEG_0396	NA	NA	NA	NA
MSMEG_0397	NA	NA	NA	NA
MSMEG_0398	-1.7	-1.075	-3.025	-0.7667
MSMEG_0399	-3.0667	-3.8667	-2.0	-2.8
MSMEG_0400	NA	NA	NA	NA
MSMEG_0401	NA	NA	NA	NA
MSMEG_0402	-1.8586	-1.42	-1.7	-2.5222
MSMEG_0403	NA	NA	NA	NA
MSMEG_0404	NA	NA	NA	NA
MSMEG_0405	NA	NA	NA	NA
MSMEG_0406	-2.8333	-3.6667	-2.45	-1.1
MSMEG_0407	NA	NA	NA	NA
MSMEG_0408	-1.8667	-2.2667	-2.2	0.0
MSMEG_0409	-6.25	-10.4	-4.2	0.0
MSMEG_0410	-2.7447	-3.1062	-2.025	-3.1267
MSMEG_0411	-1.625	-1.6	-3.3	0.0
MSMEG_0412	NA	NA	NA	NA
MSMEG_0413	NA	NA	NA	NA
MSMEG_0414	NA	NA	NA	NA
MSMEG_0415	NA	NA	NA	NA
MSMEG_0416	NA	NA	NA	NA
MSMEG_0417	NA	NA	NA	NA
MSMEG_0418	NA	NA	NA	NA
MSMEG_0419	-3.2103	-3.3	-2.27	-4.1556
MSMEG_0420	NA	NA	NA	NA
MSMEG_0421	NA	NA	NA	NA
MSMEG_0422	-0.75	-0.8	-0.7	-0.7
MSMEG_0423	NA	NA	NA	NA
MSMEG_0424	NA	NA	NA	NA
MSMEG_0425	NA	NA	NA	NA
MSMEG_0426	NA	NA	NA	NA
MSMEG_0427	NA	NA	NA	NA
MSMEG_0428	-2.4762	-3.5	-1.1857	-2.6167
MSMEG_0429	-1.7286	-0.0333	-1.5	-4.5
MSMEG_0430	NA	NA	NA	NA
MSMEG_0431	NA	NA	NA	NA
MSMEG_0432	NA	NA	NA	NA
MSMEG_0433	-3.0038	-2.4	-4.2778	-2.25
MSMEG_0434	NA	NA	NA	NA
MSMEG_0435	NA	NA	NA	NA
MSMEG_0436	NA	NA	NA	NA
MSMEG_0437	NA	NA	NA	NA
MSMEG_0438	NA	NA	NA	NA
MSMEG_0439	NA	NA	NA	NA
MSMEG_0440	NA	NA	NA	NA
MSMEG_0441	NA	NA	NA	NA
MSMEG_0442	NA	NA	NA	NA
MSMEG_0443	NA	NA	NA	NA
MSMEG_0444	NA	NA	NA	NA
MSMEG_0445	NA	NA	NA	NA
MSMEG_0446	NA	NA	NA	NA
MSMEG_0447	-4.25	-7.0	-1.5	-1.5
MSMEG_0448	NA	NA	NA	NA
MSMEG_0449	0.0	0.0	0.0	0.0
MSMEG_0450	-3.18	-2.95	-3.6091	-2.9111
MSMEG_0451	NA	NA	NA	NA
MSMEG_0452	NA	NA	NA	NA
MSMEG_0453	NA	NA	NA	NA
MSMEG_0454	NA	NA	NA	NA
MSMEG_0455	-2.9	-4.575	-3.4	0.0
MSMEG_0456	NA	NA	NA	NA
MSMEG_0457	NA	NA	NA	NA
MSMEG_0458	NA	NA	NA	NA
MSMEG_0459	NA	NA	NA	NA
MSMEG_0460	NA	NA	NA	NA
MSMEG_0461	NA	NA	NA	NA
MSMEG_0462	-4.4333	-4.25	-4.8	-4.8
MSMEG_0463	NA	NA	NA	NA
MSMEG_0464	NA	NA	NA	NA
MSMEG_0465	NA	NA	NA	NA
MSMEG_0466	NA	NA	NA	NA
MSMEG_0467	NA	NA	NA	NA
MSMEG_0468	NA	NA	NA	NA
MSMEG_0469	NA	NA	NA	NA
MSMEG_0470	NA	NA	NA	NA
MSMEG_0471	NA	NA	NA	NA
MSMEG_0472	NA	NA	NA	NA
MSMEG_0473	-2.68	-2.88	-3.38	-1.78
MSMEG_0474	NA	NA	NA	NA
MSMEG_0475	NA	NA	NA	NA
MSMEG_0476	NA	NA	NA	NA
MSMEG_0477	NA	NA	NA	NA
MSMEG_0478	NA	NA	NA	NA
MSMEG_0479	NA	NA	NA	NA
MSMEG_0480	NA	NA	NA	NA
MSMEG_0481	NA	NA	NA	NA
MSMEG_0482	NA	NA	NA	NA
MSMEG_0483	NA	NA	NA	NA
MSMEG_0484	-3.363	-2.36	-4.1667	-3.7125
MSMEG_0485	NA	NA	NA	NA
MSMEG_0486	NA	NA	NA	NA
MSMEG_0487	NA	NA	NA	NA
MSMEG_0488	NA	NA	NA	NA
MSMEG_0489	NA	NA	NA	NA
MSMEG_0490	NA	NA	NA	NA
MSMEG_0491	NA	NA	NA	NA
MSMEG_0492	NA	NA	NA	NA
MSMEG_0493	-1.85	-3.7	0.0	0.0
MSMEG_0494	-1.0	-2.0	0.0	0.0
MSMEG_0496	NA	NA	NA	NA
MSMEG_0497	NA	NA	NA	NA
MSMEG_0498	NA	NA	NA	NA
MSMEG_0499	-6.3333	-7.95	-3.1	-3.1
MSMEG_0500	-3.5167	-4.0333	-4.5	0.0
MSMEG_0501	NA	NA	NA	NA
MSMEG_0502	NA	NA	NA	NA
MSMEG_0503	NA	NA	NA	NA
MSMEG_0504	-1.05	-1.4	-0.7	0.0
MSMEG_0505	NA	NA	NA	NA
MSMEG_0506	NA	NA	NA	NA
MSMEG_0507	NA	NA	NA	NA
MSMEG_0508	NA	NA	NA	NA
MSMEG_0509	NA	NA	NA	NA
MSMEG_0510	NA	NA	NA	NA
MSMEG_0511	NA	NA	NA	NA
MSMEG_0512	NA	NA	NA	NA
MSMEG_0513	NA	NA	NA	NA
MSMEG_0514	NA	NA	NA	NA
MSMEG_0515	NA	NA	NA	NA
MSMEG_0516	NA	NA	NA	NA
MSMEG_0517	NA	NA	NA	NA
MSMEG_0518	NA	NA	NA	NA
MSMEG_0519	NA	NA	NA	NA
MSMEG_0520	-2.55	-1.8	-6.6	0.0
MSMEG_0522	NA	NA	NA	NA
MSMEG_0523	NA	NA	NA	NA
MSMEG_0524	NA	NA	NA	NA
MSMEG_0525	NA	NA	NA	NA
MSMEG_0526	NA	NA	NA	NA
MSMEG_0527	NA	NA	NA	NA
MSMEG_0528	NA	NA	NA	NA
MSMEG_0529	NA	NA	NA	NA
MSMEG_0530	-2.75	-0.85	-4.9333	0.0
MSMEG_0531	-2.3211	-2.5857	-3.3286	-0.54
MSMEG_0532	NA	NA	NA	NA
MSMEG_0533	NA	NA	NA	NA
MSMEG_0534	NA	NA	NA	NA
MSMEG_0535	NA	NA	NA	NA
MSMEG_0536	NA	NA	NA	NA
MSMEG_0537	-3.5941	-2.7333	-2.9167	-5.44
MSMEG_0538	NA	NA	NA	NA
MSMEG_0539	-0.85	-0.3	-1.4	-1.4
MSMEG_0540	NA	NA	NA	NA
MSMEG_0541	NA	NA	NA	NA
MSMEG_0542	NA	NA	NA	NA
MSMEG_0543	NA	NA	NA	NA
MSMEG_0544	NA	NA	NA	NA
MSMEG_0545	-0.6667	-1.0	0.0	0.0
MSMEG_0546	NA	NA	NA	NA
MSMEG_0547	NA	NA	NA	NA
MSMEG_0548	NA	NA	NA	NA
MSMEG_0549	-4.24	-5.0286	-3.2429	-4.4833
MSMEG_0550	NA	NA	NA	NA
MSMEG_0551	NA	NA	NA	NA
MSMEG_0552	NA	NA	NA	NA
MSMEG_0553	NA	NA	NA	NA
MSMEG_0554	NA	NA	NA	NA
MSMEG_0555	NA	NA	NA	NA
MSMEG_0556	NA	NA	NA	NA
MSMEG_0557	-2.4417	-1.75	-1.62	-4.7333
MSMEG_0558	NA	NA	NA	NA
MSMEG_0559	-1.85	-2.7	-1.0	-1.0
MSMEG_0560	-2.575	-3.45	-3.4	0.0
MSMEG_0561	NA	NA	NA	NA
MSMEG_0562	NA	NA	NA	NA
MSMEG_0563	NA	NA	NA	NA
MSMEG_0564	NA	NA	NA	NA
MSMEG_0565	NA	NA	NA	NA
MSMEG_0566	-4.225	-6.15	-2.3	-0.6
MSMEG_0567	NA	NA	NA	NA
MSMEG_0568	NA	NA	NA	NA
MSMEG_0569	NA	NA	NA	NA
MSMEG_0570	NA	NA	NA	NA
MSMEG_0571	NA	NA	NA	NA
MSMEG_0572	-2.8	-5.45	-0.15	0.0
MSMEG_0573	NA	NA	NA	NA
MSMEG_0574	-3.2514	-3.4231	-2.45	-3.8667
MSMEG_0575	-2.05	-0.1	-3.4667	-2.85
MSMEG_0576	NA	NA	NA	NA
MSMEG_0577	NA	NA	NA	NA
MSMEG_0578	NA	NA	NA	NA
MSMEG_0579	NA	NA	NA	NA
MSMEG_0580	NA	NA	NA	NA
MSMEG_0581	NA	NA	NA	NA
MSMEG_0582	NA	NA	NA	NA
MSMEG_0583	-4.2	-4.75	-4.2333	-3.05
MSMEG_0584	NA	NA	NA	NA
MSMEG_0585	NA	NA	NA	NA
MSMEG_0586	-1.2889	-1.1	-0.9	-2.25
MSMEG_0587	NA	NA	NA	NA
MSMEG_0588	NA	NA	NA	NA
MSMEG_0589	NA	NA	NA	NA
MSMEG_0590	NA	NA	NA	NA
MSMEG_0591	NA	NA	NA	NA
MSMEG_0592	NA	NA	NA	NA
MSMEG_0593	NA	NA	NA	NA
MSMEG_0594	NA	NA	NA	NA
MSMEG_0595	NA	NA	NA	NA
MSMEG_0596	-0.92	-0.2	-2.1	0.0
MSMEG_0597	NA	NA	NA	NA
MSMEG_0598	NA	NA	NA	NA
MSMEG_0599	NA	NA	NA	NA
MSMEG_0600	-1.8	-2.2667	-1.5333	-1.5
MSMEG_0601	NA	NA	NA	NA
MSMEG_0602	-2.5714	-2.26	-3.44	-1.875
MSMEG_0603	-2.2	-4.4	-2.2	0.0
MSMEG_0604	NA	NA	NA	NA
MSMEG_0605	-2.2727	-2.225	-2.625	-1.8667
MSMEG_0606	-0.5	-1.0	0.0	0.0
MSMEG_0607	NA	NA	NA	NA
MSMEG_0608	-2.3333	-4.2	-1.4	-1.8
MSMEG_0609	NA	NA	NA	NA
MSMEG_0610	NA	NA	NA	NA
MSMEG_0611	NA	NA	NA	NA
