gene	ratio_5pTo3p	coverageRatio_5pTo3p_log2	HalfLife_5p300nt_logPhase	HalfLife_entireGene_logPhase	CDS_length	halfLifeRatio_5pVScds	halfLifeRatio_5pVScds_log2	HalfLife_entireGene_logPhase_log2	coverageRatio_5pTo3p_log2_subset
MSMEG_0044	1.03374061749422	0.0478742351706835	0.627529729	0.76	2079	0.825697011842105	-0.276315610704115	-0.395928676331139	logPhase_G3
MSMEG_0047	0.708896485998635	-0.496353116279058	0.497842682	0.88	936	0.565730320454545	-0.821813600240877	-0.184424571137427	logPhase_G3
MSMEG_0053	1.04068189734272	0.0575291510021092	0.50796661	0.74	1389	0.686441364864865	-0.542791602820138	-0.434402824145775	logPhase_G3
MSMEG_0056	1.06586617554962	0.0920263124022632	0.619195046	0.62	318	0.998701687096774	-0.00187428655566418	-0.689659879387849	logPhase_G3
MSMEG_0058	0.877640926020129	-0.188297292038689	0.845701721	0.95	528	0.890212337894737	-0.167778598931821	-0.0740005814437769	logPhase_G3
MSMEG_0062	1.23979789116995	0.310104955150867	2.194930755	1.7	1782	1.29113573823529	0.368640680416386	0.765534746362977	logPhase_G3
MSMEG_0065	0.993695559046567	-0.00912417743446015	4.866042779	4.87	303	0.999187428952772	-0.00117276876373208	2.28392177230762	logPhase_G3
MSMEG_0069	0.943710969747179	-0.0835830216990667	1.373532038	1.34	702	1.02502390895522	0.0356575613686218	0.422233000683048	logPhase_G3
MSMEG_0070	1.02740996485705	0.0390119715755201	1.007206321	1.01	336	0.997233981188119	-0.00399605074997897	0.0143552929770701	logPhase_G3
MSMEG_0071	1.36073197374869	0.444382924135296	1.224662963	1.52	2016	0.805699317763158	-0.311686560980721	0.604071323668861	logPhase_G3
MSMEG_0077	1.02048183562239	0.0292505029088738	1.378355228	1.36	318	1.01349649117647	0.0193410940627614	0.443606651475615	logPhase_G3
MSMEG_0085	1.23105672128987	0.299897235939648	0.871861299	0.88	2016	0.990751476136364	-0.0134048831982415	-0.184424571137427	logPhase_G3
MSMEG_0091	1.04889851332872	0.0688750960273453	0.476330351	0.52	585	0.916019905769231	-0.12654914542702	-0.943416471633633	logPhase_G3
MSMEG_0092	1.3729143015548	0.45724157407891	0.35623742	0.37	636	0.962803837837838	-0.0546862023286071	-1.43440282414577	logPhase_G3
MSMEG_0095	1.12289079699593	0.167217630059964	0.713533349	0.7	936	1.01933335571429	0.0276259376540384	-0.514573172829758	logPhase_G3
MSMEG_0096	1.24247398475837	0.31321564458192	3.248398037	2.73	855	1.18988939084249	0.250827470424272	1.44890095114513	logPhase_G3
MSMEG_0100	0.857518958650134	-0.221759527102584	0.862099047	0.99	807	0.870807118181818	-0.199574894385086	-0.0144995696951151	logPhase_G3
MSMEG_0111	0.752029780021831	-0.411138301815387	0.403532252	0.48	1005	0.840692191666667	-0.250350421448507	-1.05889368905357	logPhase_G3
MSMEG_0128	0.753958897031581	-0.407442219490311	0.640779187	0.66	450	0.970877556060606	-0.0426387358061279	-0.599462070416271	logPhase_G3
MSMEG_0133	0.993406949215366	-0.0095432559403975	0.744463056	0.66	870	1.12797432727273	0.173734232330845	-0.599462070416271	logPhase_G3
MSMEG_0139	1.13033599611807	0.176751682269564	4.190707561	1.97	1353	2.1272627213198	1.0889982201058	0.978195629681652	logPhase_G3
MSMEG_0142	0.79979889095498	-0.322290814258024	2.096551173	1.91	549	1.09767077120419	0.134445405914373	0.933572638261024	logPhase_G3
MSMEG_0143	1.10982639263557	0.150334017050773	1.450676983	1.57	891	0.923998078343949	-0.114038243642716	0.650764559116902	logPhase_G3
MSMEG_0146	0.984262549401208	-0.0228848929452918	0.652627915	0.65	819	1.00404294615385	0.00582097932661721	-0.62148837674627	logPhase_G3
MSMEG_0172	0.816337917041998	-0.292761626114658	0.439229007	0.46	603	0.954845667391304	-0.0666605270606552	-1.12029423371771	logPhase_G3
MSMEG_0173	1.01945464961997	0.0277975985780498	0.828763623	0.82	321	1.01068734512195	0.0153367703337303	-0.286304185156641	logPhase_G3
MSMEG_0174	0.80018333924448	-0.321597504493771	0.478003856	0.51	372	0.937262462745098	-0.0934749907826293	-0.971430847803229	logPhase_G3
MSMEG_0187	0.987860513677233	-0.0176207478474292	0.467978567	0.47	477	0.995699078723404	-0.00621829961168933	-1.08926733809709	logPhase_G3
MSMEG_0188	0.815661906254089	-0.293956819218435	0.808200541	0.8	465	1.01025067625	0.0147133172449011	-0.321928094887362	logPhase_G3
MSMEG_0212	1.0508128705811	0.0715057761302525	0.793409412	0.83	420	0.955914954216868	-0.0650458245760856	-0.2688167584278	logPhase_G3
MSMEG_0213	1.09871171592656	0.135812896239981	0.567864545	0.62	447	0.915910556451613	-0.126721376547897	-0.689659879387849	logPhase_G3
MSMEG_0214	1.23151714438827	0.300436712247565	0.854092527	0.87	1284	0.981715548275862	-0.0266230301634341	-0.200912693925996	logPhase_G3
MSMEG_0227	1.07294238146161	0.101572603390291	0.701385236	0.6	570	1.16897539333333	0.225244561786077	-0.736965594166206	logPhase_G3
MSMEG_0230	0.999458848684082	-0.000780927638917583	0.4844883	0.49	306	0.988751632653061	-0.0163199230834447	-1.02914634565952	logPhase_G3
MSMEG_0234	1.19192827886862	0.253297428053782	1.361903033	1.83	2001	0.744209307650273	-0.426219660864257	0.871843648509318	logPhase_G3
MSMEG_0240	1.32101306661126	0.401644736866376	1.103164243	1.25	609	0.8825313944	-0.180280494419031	0.321928094887362	logPhase_G3
MSMEG_0241	0.975768354932608	-0.0353893987950672	0.665166347	0.92	2865	0.723006898913043	-0.467918681486696	-0.120294233717712	logPhase_G3
MSMEG_0243	0.970488638990024	-0.0432167707363556	4.189359028	3.98	351	1.05260277085427	0.0739610976750885	1.99276843076892	logPhase_G3
MSMEG_0245	1.18218457374998	0.241455300190019	0.919836269	0.93	369	0.989071256989247	-0.015853632141832	-0.104697378666693	logPhase_G3
MSMEG_0249	0.806949326580007	-0.309450014429019	0.626363646	0.92	1140	0.68083005	-0.554633379794711	-0.120294233717712	logPhase_G3
MSMEG_0251	0.832706771271504	-0.264119539402342	0.774123628	0.66	699	1.17291458787879	0.230097959546989	-0.599462070416271	logPhase_G3
MSMEG_0255	0.810946667457979	-0.302321057293064	0.956586898	1.42	1827	0.673652745070422	-0.569922993192613	0.505890929729957	logPhase_G3
MSMEG_0282	0.94855895423214	-0.0761906530005185	1.128838049	1.13	321	0.998971724778761	-0.00148425080235967	0.176322772640463	logPhase_G3
MSMEG_0314	0.987725842949339	-0.0178174375957003	0.739818251	1.12	1488	0.660552009821428	-0.598255935599377	0.16349873228288	logPhase_G3
MSMEG_0361	0.975518268399394	-0.0357592046441125	0.706846991	0.93	1164	0.760050527956989	-0.39583276316028	-0.104697378666693	logPhase_G3
MSMEG_0363	0.986588293743823	-0.0194799255946168	0.518282412	0.54	639	0.959782244444444	-0.059220970819386	-0.888968687611256	logPhase_G3
MSMEG_0365	1.06287708649008	0.0879747699978523	1.150703847	0.9	1881	1.27855983	0.354519672839775	-0.15200309344505	logPhase_G3
MSMEG_0371	0.729155006568078	-0.455702554086012	1.846312101	1.91	858	0.96665555026178	-0.048926191178619	0.933572638261024	logPhase_G3
MSMEG_0372	1.07483961409119	0.104121399146743	2.491990032	3.15	1353	0.791107946666667	-0.338053531042345	1.65535182861255	logPhase_G3
MSMEG_0373	0.907380413811442	-0.140220576042951	1.624563399	1.48	1299	1.0976779722973	0.134454870452841	0.565597175854225	logPhase_G3
MSMEG_0380	1.05148862489543	0.0724332429411001	0.496935564	0.48	420	1.035282425	0.0500243885606087	-1.05889368905357	logPhase_G3
MSMEG_0381	0.982895799823372	-0.02488961529633	0.778543345	0.59	2883	1.31956499152542	0.400062408369656	-0.761213140412883	logPhase_G3
MSMEG_0383	0.95736079293862	-0.0628653707089829	1.472896082	1.46	339	1.00883293287671	0.0126872776487168	0.545968369105292	logPhase_G3
MSMEG_0386	0.813129088042514	-0.298443689825463	0.393744709	0.47	1134	0.8377547	-0.255400219577972	-1.08926733809709	logPhase_G3
MSMEG_0387	0.900692390065348	-0.150893622701042	0.596936013	0.59	735	1.01175595423729	0.0168613393689194	-0.761213140412883	logPhase_G3
MSMEG_0388	1.21989625431878	0.286758459473331	0.758906308	0.76	723	0.998560931578947	-0.00207763216077772	-0.395928676331139	logPhase_G3
MSMEG_0402	1.1596948050109	0.213745183603578	1.934249339	5.41	7680	0.357532225323475	-1.48385481322259	2.43562859405209	logPhase_G3
MSMEG_0406	1.2707190314871	0.345645071499004	1.545515429	2.22	1836	0.696178121171171	-0.522471619771237	1.15055967657538	logPhase_G3
MSMEG_0409	1.118604817243	0.161700448378762	0.461389397	0.54	1422	0.854424809259259	-0.226974556855738	-0.888968687611256	logPhase_G3
MSMEG_0412	0.989310147118706	-0.0155052204492764	1.68018146	1.5	1152	1.12012097333333	0.16365455210719	0.584962500721156	logPhase_G3
MSMEG_0415	1.027424511823	0.0390323983649984	0.838738537	0.91	486	0.9216907	-0.117645401108811	-0.136061549576028	logPhase_G3
MSMEG_0424	0.83914509217973	-0.25300781381632	1.552921341	1.56	438	0.995462398076923	-0.00656127329869519	0.641546029087524	logPhase_G3
MSMEG_0434	0.798401823810206	-0.324813078622342	0.86478473	1.01	633	0.856222504950495	-0.2239423390608	0.0143552929770701	logPhase_G3
MSMEG_0530	1.18283551473985	0.242249466266055	0.762805599	0.72	702	1.05945222083333	0.0833185265292391	-0.473931188332412	logPhase_G3
MSMEG_0531	1.0093393617256	0.0134113212857679	1.858563331	2.4	1212	0.774401387916667	-0.368846556610214	1.26303440583379	logPhase_G3
MSMEG_0536	1.21888739994981	0.285564856854608	0.822940445	0.92	567	0.894500483695652	-0.16084583248147	-0.120294233717712	logPhase_G3
MSMEG_0537	1.13459113354578	0.182172494981228	0.415617727	0.42	429	0.989566016666667	-0.0151321382556862	-1.25153876699596	logPhase_G3
MSMEG_0541	0.971010942869559	-0.042440540607788	0.463667767	0.46	351	1.00797340652174	0.0114575765508121	-1.12029423371771	logPhase_G3
MSMEG_0542	0.755086965081246	-0.405285282414977	0.339587401	0.48	705	0.707473752083333	-0.499251471242014	-1.05889368905357	logPhase_G3
MSMEG_0558	0.874927869112944	-0.192764011842411	0.823406708	0.95	528	0.866743903157895	-0.206322311615938	-0.0740005814437769	logPhase_G3
MSMEG_0561	0.879749817843626	-0.184834784629244	0.731109947	0.64	681	1.1423592921875	0.192016475161018	-0.643856189774725	logPhase_G3
MSMEG_0562	0.721440071318349	-0.471048537180885	2.183088342	1.54	987	1.41758983246753	0.503440161445415	0.622930350920177	logPhase_G3
MSMEG_0563	1.19269004215024	0.25421916226712	0.748689793	0.91	756	0.822736036263736	-0.281498459206551	-0.136061549576028	logPhase_G3
MSMEG_0586	0.939693706615101	-0.0897375082634366	1.497561115	2.13	390	0.703080335680751	-0.508238550302963	1.09085343045111	logPhase_G3
MSMEG_0593	1.21314291289755	0.278749515490336	1.017128936	0.82	648	1.24040114146341	0.310806758685593	-0.286304185156641	logPhase_G3
MSMEG_0594	0.758074589706112	-0.399588287513612	0.757017007	0.92	1470	0.822844572826087	-0.281308149282357	-0.120294233717712	logPhase_G3
MSMEG_0595	1.18799973637005	0.248534515989132	0.992064429	0.76	738	1.30534793289474	0.384434400020029	-0.395928676331139	logPhase_G3
MSMEG_0598	1.15374307776729	0.206321992009067	0.641718093	0.66	435	0.972300140909091	-0.0405263644300949	-0.599462070416271	logPhase_G3
MSMEG_0599	0.901697732521713	-0.149284201179658	0.869842558	1.04	1677	0.836387075	-0.257757327289713	0.0565835283663675	logPhase_G3
MSMEG_0601	0.997110736648147	-0.00417435922922011	0.784344484	0.78	309	1.00556985128205	0.00801330103464136	-0.358453970912476	logPhase_G3
MSMEG_0608	0.998412853341987	-0.00229158763693971	0.495441934	0.48	600	1.03217069583333	0.0456815770288645	-1.05889368905357	logPhase_G3
MSMEG_0612	1.11785734705262	0.16073609352023	0.882314016	1.01	612	0.873578233663366	-0.194991184803051	0.0143552929770701	logPhase_G3
MSMEG_0618	1.00842463807728	0.0121032720176232	4.608927053	4.55	312	1.01295100065934	0.018564388536372	2.18586654531133	logPhase_G3
MSMEG_0632	1.12632698848556	0.171625722784815	0.463775285	0.49	495	0.946480173469388	-0.0793558097053229	-1.02914634565952	logPhase_G3
MSMEG_0636	0.733096164935813	-0.447925636533574	1.144448471	1.07	486	1.06957801028037	0.0970417101235888	0.0976107966264223	logPhase_G3
MSMEG_0642	0.854968024687647	-0.226057629844594	0.889020596	0.79	876	1.12534252658228	0.170364189165608	-0.340075441597622	logPhase_G3
MSMEG_0644	0.962304897821623	-0.0554340232593195	0.48374223	0.5	450	0.96748446	-0.0476896064065298	-1	logPhase_G3
MSMEG_0673	1.12142316841369	0.165330781061193	2.409099513	2.84	543	0.848274476408451	-0.23739694132319	1.50589092972996	logPhase_G3
MSMEG_0674	1.412418871994	0.498168002867089	0.362544336	0.4	1011	0.90636084	-0.141842565103888	-1.32192809488736	logPhase_G3
MSMEG_0683	0.981063667055624	-0.0275813303440343	1.175433441	1.19	369	0.987759194117647	-0.0177687249360468	0.250961573533219	logPhase_G3
MSMEG_0695	1.07439039175781	0.10351830795567	4.309639477	1.09	1809	3.9537976853211	1.98323905066968	0.124328135002202	logPhase_G3
MSMEG_0702	0.863651347976561	-0.211479074235466	2.25631769	2.49	933	0.906151682730924	-0.142175528493015	1.31614574229336	logPhase_G3
MSMEG_0703	1.08869643778307	0.122601742157698	0.884303611	0.83	624	1.0654260373494	0.0914304436575119	-0.2688167584278	logPhase_G3
MSMEG_0709	0.864926863582929	-0.209349948273368	4.478614615	3.06	1869	1.46359954738562	0.549520874639992	1.61353165291793	logPhase_G3
MSMEG_0710	0.832501627904824	-0.264475001600856	2.053157218	3	651	0.684385739333333	-0.547118396438511	1.58496250072116	logPhase_G3
MSMEG_0713	0.965496987855737	-0.0506563366046206	1.551862697	1.51	360	1.02772364039735	0.0394523693664969	0.594548549550354	logPhase_G3
MSMEG_0728	0.990200588137104	-0.0142072886874393	0.733774413	0.73	309	1.00517042876712	0.00744013413208012	-0.454031630894707	logPhase_G3
MSMEG_0741	1.29188980108589	0.369483012595776	2.964150532	2.43	909	1.21981503374486	0.286662401780084	1.28095631383106	logPhase_G3
MSMEG_0754	0.896767392889142	-0.15719427322525	0.587797327	0.62	417	0.94806020483871	-0.0769494171305678	-0.689659879387849	logPhase_G3
MSMEG_0755	0.900578490915561	-0.151076073592257	0.716580478	0.84	894	0.853071997619048	-0.229260587547087	-0.251538766995964	logPhase_G3
MSMEG_0758	1.28647620803361	0.363424776256072	0.515123157	0.62	540	0.830843801612903	-0.267350818637449	-0.689659879387849	logPhase_G3
MSMEG_0763	1.27818281339502	0.354094193965955	1.057500321	2.31	1995	0.457792346753247	-1.12723475037172	1.20789285164133	logPhase_G3
MSMEG_0765	0.993236476810363	-0.0097908491327015	0.339731612	0.34	303	0.999210623529412	-0.00113927923880632	-1.55639334852439	logPhase_G3
MSMEG_0767	0.856946368423494	-0.222723178099899	0.698327506	0.68	486	1.02695221470588	0.0383690529212038	-0.556393348524385	logPhase_G3
MSMEG_0768	1.04839518184371	0.0681826285365497	0.719218723	0.72	411	0.998914893055556	-0.00156632837825821	-0.473931188332412	logPhase_G3
MSMEG_0769	0.863426152386414	-0.211855303516327	0.726878765	0.96	1218	0.757165380208333	-0.401319646528747	-0.0588936890535686	logPhase_G3
MSMEG_0770	0.822033908464249	-0.282730189345064	1.164070144	1.24	408	0.93876624516129	-0.0911621264965688	0.31034012061215	logPhase_G3
MSMEG_0775	0.95994268743126	-0.0589798213733176	1.023035346	0.7	747	1.46147906571429	0.547429164069392	-0.514573172829758	logPhase_G3
MSMEG_0776	1.03357018009167	0.0476363520267638	0.452748181	0.45	312	1.00610706888889	0.00878384344919691	-1.15200309344505	logPhase_G3
MSMEG_0781	0.930431039317389	-0.104028868753011	3.075964281	2.62	1578	1.17403216832061	0.23147193863605	1.38956681176273	logPhase_G3
MSMEG_0784	1.22581715553061	0.293743800821676	0.833121747	0.67	1131	1.24346529402985	0.314366241507563	-0.577766999316952	logPhase_G3
MSMEG_0790	1.38622487782768	0.471161315058342	0.947193938	0.89	504	1.06426285168539	0.089854511731869	-0.168122758808327	logPhase_G3
MSMEG_0793	1.11902330488511	0.16224008233045	0.843094156	0.84	759	1.00368351904762	0.00530443116306838	-0.251538766995964	logPhase_G3
MSMEG_0794	1.12208225482617	0.166178437337234	0.735429307	0.93	750	0.790784201075269	-0.338644046857733	-0.104697378666693	logPhase_G3
MSMEG_0806	0.715695392727596	-0.482582402518509	0.916926462	0.88	1512	1.04196188863636	0.0593025097845088	-0.184424571137427	logPhase_G3
MSMEG_0825	0.939964109758175	-0.0893224228443275	0.588691241	0.85	849	0.692577930588235	-0.529951678963821	-0.234465253637023	logPhase_G3
MSMEG_0826	0.83671030533911	-0.257199890742888	0.603834348	0.85	1575	0.710393350588235	-0.493310017025743	-0.234465253637023	logPhase_G3
MSMEG_0833	1.00847501888125	0.012175347131335	0.341712893	0.34	312	1.00503792058824	0.00724993604351187	-1.55639334852439	logPhase_G3
MSMEG_0835	0.837728554673724	-0.255445245074298	0.870776733	1.08	711	0.806274752777778	-0.310656547790831	0.111031312388744	logPhase_G3
MSMEG_0840	1.29767260824399	0.375926449562177	1.536373646	1.24	654	1.23901100483871	0.309189001486363	0.31034012061215	logPhase_G3
MSMEG_0843	1.00525968505936	0.00756823568545389	1.635807037	1.58	354	1.03532090949367	0.0500780167831189	0.659924558402378	logPhase_G3
MSMEG_0848	1.01322310898089	0.0189518866556791	0.272373188	1.04	2982	0.261897296153846	-1.93292692960731	0.0565835283663675	logPhase_G3
MSMEG_0849	1.05308948734184	0.0746280360396219	0.663049364	0.66	318	1.00462024848485	0.0066502584563253	-0.599462070416271	logPhase_G3
MSMEG_0857	0.826523958687999	-0.274871454947046	2.4	2.36	387	1.01694915254237	0.0242475462466772	1.23878685958712	logPhase_G3
MSMEG_0863	0.770081652859822	-0.376916669949358	0.647864208	0.62	924	1.04494227096774	0.0634232411682536	-0.689659879387849	logPhase_G3
MSMEG_0867	0.713061584617525	-0.487901412348	0.718012541	1.29	816	0.556598868992248	-0.845290117768206	0.367371065648529	logPhase_G3
MSMEG_0874	1.16577453945991	0.221288798611544	0.701229489	0.64	705	1.0956710765625	0.131814762318953	-0.643856189774725	logPhase_G3
MSMEG_0876	0.885689028286502	-0.175127847686736	1.846153846	1.67	918	1.10548134491018	0.144674679760512	0.739848102699327	logPhase_G3
MSMEG_0880	0.808616314126784	-0.306472784089554	4.503635077	4.91	1626	0.917237286558045	-0.124633091866827	2.29572302453997	logPhase_G3
MSMEG_0882	0.87327993611553	-0.195483900702489	0.600793047	0.62	384	0.969021043548387	-0.0454000989134133	-0.689659879387849	logPhase_G3
MSMEG_0884	1.01810295220235	0.0258834564251971	0.485385841	0.49	381	0.990583348979592	-0.0136497244162133	-1.02914634565952	logPhase_G3
MSMEG_0889	1.32721195199786	0.408398783427512	1.065970909	0.98	1530	1.08772541734694	0.121314412261188	-0.0291463456595165	logPhase_G3
MSMEG_0901	1.0021623507425	0.00311624469877773	1.517949756	1.66	477	0.914427563855422	-0.129059203104245	0.7311832415722	logPhase_G3
MSMEG_0909	1.20666544859301	0.271025740253306	0.484058345	0.44	849	1.10013260227273	0.137677426578617	-1.18442457113743	logPhase_G3
MSMEG_0913	0.825280604496944	-0.277043359909977	0.981306118	1.09	873	0.900280842201835	-0.151552975168336	0.124328135002202	logPhase_G3
MSMEG_0918	1.32106829190948	0.401705047850831	1.023793447	1.39	429	0.736542048201439	-0.441160205742892	0.475084882948783	logPhase_G3
MSMEG_0921	1.25976583192901	0.333155587287581	0.750995068	0.74	405	1.0148582	0.0212781624369666	-0.434402824145775	logPhase_G3
MSMEG_0922	1.25293718107422	0.325314083594648	0.88672322	0.97	684	0.914147649484536	-0.129500892431496	-0.0439433475875971	logPhase_G3
MSMEG_0923	1.36646468416036	0.450448174354282	0.631087364	0.55	936	1.14743157090909	0.19840811855953	-0.862496476250065	logPhase_G3
MSMEG_0924	0.790028689102696	-0.340023050617032	0.83690179	0.66	798	1.26803301515152	0.342592308707044	-0.599462070416271	logPhase_G3
MSMEG_0927	0.807730955285608	-0.308053264919988	0.837883506	0.71	507	1.18011761408451	0.238930650096187	-0.494109070270043	logPhase_G3
MSMEG_0929	1.27687547773008	0.352617838728405	0.545603346	0.5	1359	1.091206692	0.125924397060509	-1	logPhase_G3
MSMEG_0932	0.754330092788202	-0.40673211381202	0.447754511	0.67	1200	0.668290314925373	-0.58145312854165	-0.577766999316952	logPhase_G3
MSMEG_0935	0.820588498652669	-0.285269161291865	0.767946639	0.82	744	0.936520291463415	-0.094617841394486	-0.286304185156641	logPhase_G3
MSMEG_0937	1.03813473693673	0.0539936996645578	1.662326148	1.39	678	1.19591809208633	0.258118583359254	0.475084882948783	logPhase_G3
MSMEG_0940	0.766713983519297	-0.383239602574741	0.503448623	0.77	1071	0.653829380519481	-0.613013887287562	-0.377069649079823	logPhase_G3
MSMEG_0943	1.05857348271228	0.0821214199973438	2.602246606	2.06	861	1.26322650776699	0.337113350394649	1.04264433740849	logPhase_G3
MSMEG_0948	0.936247005346154	-0.0950388958731556	0.606612072	0.55	534	1.10293104	0.14134259024011	-0.862496476250065	logPhase_G3
MSMEG_0958	1.01716551058115	0.0245544499590717	2.076057863	2.03	396	1.02268860246305	0.0323669270270567	1.02147972741045	logPhase_G3
MSMEG_0959	0.740575965618622	-0.433280365314994	1.28	1.11	495	1.15315315315315	0.205584133649894	0.150559676575381	logPhase_G3
MSMEG_0962	1.28061335096992	0.356834955898808	0.470610382	0.47	594	1.00129868510638	0.00187239100249211	-1.08926733809709	logPhase_G3
MSMEG_0964	1.39242270188508	0.477597240884973	1.239413344	1.19	483	1.04152381848739	0.0586958325813668	0.250961573533219	logPhase_G3
MSMEG_0969	0.775597370093448	-0.366620183345149	0.738989063	0.93	1350	0.794611895698925	-0.331677703503403	-0.104697378666693	logPhase_G3
MSMEG_0970	0.800393415185006	-0.321218796607994	1.27295872	0.94	609	1.35421140425532	0.437452973819544	-0.0892673380970874	logPhase_G3
MSMEG_0971	1.21315672536783	0.2787659414767	0.592075492	0.61	654	0.970615560655738	-0.0430281056889045	-0.713118852211838	logPhase_G3
MSMEG_0972	0.708279688835516	-0.497608923821488	0.797954197	1.16	786	0.687891549137931	-0.53974696288711	0.214124805352847	logPhase_G3
MSMEG_0987	0.801153731969029	-0.319848989495953	1.589867246	1.61	372	0.987495183850932	-0.0181543829141285	0.687060688339892	logPhase_G3
MSMEG_1002	0.739401026630286	-0.435571048233461	0.810953276	0.73	702	1.11089489863014	0.151722330320471	-0.454031630894707	logPhase_G3
MSMEG_1010	0.816119477728873	-0.293147720498097	0.429814821	0.43	660	0.999569351162791	-0.000621428760199009	-1.21759143507263	logPhase_G3
MSMEG_1028	0.98333270493468	-0.0242484682004842	0.950209046	1.21	1188	0.785296732231405	-0.348690201101306	0.27500704749987	logPhase_G3
MSMEG_1029	1.17012246203216	0.226659526493276	0.457163756	0.53	738	0.862573124528302	-0.213281328633831	-0.915935735211525	logPhase_G3
MSMEG_1030	1.32400071393934	0.404903900088087	0.684673582	0.77	1500	0.88918647012987	-0.16944209841747	-0.377069649079823	logPhase_G3
MSMEG_1031	1.27538015421192	0.350927337162638	1.030614148	1.09	516	0.945517566972477	-0.0808238323245512	0.124328135002202	logPhase_G3
MSMEG_1033	1.18702147283036	0.247346033097489	0.782727806	0.69	975	1.13438812463768	0.181914334890347	-0.535331732996556	logPhase_G3
MSMEG_1035	1.02921982285701	0.0415511488750809	0.809877419	1.48	1581	0.547214472297297	-0.869821708897028	0.565597175854225	logPhase_G3
MSMEG_1039	1.37336446005023	0.457714535122684	1.050990559	1.01	1074	1.04058471188119	0.057394416717829	0.0143552929770701	logPhase_G3
MSMEG_1048	1.21170571567746	0.277039357156693	0.795784615	0.94	708	0.846579377659574	-0.240282749286346	-0.0892673380970874	logPhase_G3
MSMEG_1049	0.793878051341964	-0.333010684794045	0.796299105	0.87	981	0.915286327586207	-0.12770496485698	-0.200912693925996	logPhase_G3
MSMEG_1050	1.30251360795984	0.381298445082377	2.334993773	0.96	1164	2.43228518020833	1.28231239159065	-0.0588936890535686	logPhase_G3
MSMEG_1052	1.34637149084384	0.42907653331521	0.753395662	0.8	1545	0.9417445775	-0.0865922736288239	-0.321928094887362	logPhase_G3
MSMEG_1058	0.767625051910414	-0.381526299355698	0.861747049	0.79	627	1.09081904936709	0.12541179989044	-0.340075441597622	logPhase_G3
MSMEG_1060	0.802515526705784	-0.317398789774242	1.796084536	1.93	405	0.930613749222798	-0.103745592738458	0.948600847493356	logPhase_G3
MSMEG_1061	0.748581639092845	-0.417768432054984	0.644470291	0.56	615	1.15083980535714	0.202687027126746	-0.83650126771712	logPhase_G3
MSMEG_1063	0.920555333172229	-0.119423652514867	0.448826319	0.46	324	0.975709389130435	-0.0354765836688497	-1.12029423371771	logPhase_G3
MSMEG_1064	0.908136191848073	-0.139019422294154	0.645515283	0.59	1257	1.0940937	0.129736298218791	-0.761213140412883	logPhase_G3
MSMEG_1067	0.985951068285946	-0.0204120459443383	0.51786639	0.55	372	0.941575254545454	-0.0868516893513508	-0.862496476250065	logPhase_G3
MSMEG_1075	0.832806874391	-0.263946117497784	1.371951817	1.99	930	0.68942302361809	-0.536538615873211	0.992768430768924	logPhase_G3
