 	CDS_length
MSMEG_0164	1344
MSMEG_0165	843
MSMEG_0166	729
MSMEG_0167	1404
MSMEG_0168	1287
MSMEG_0169	117
MSMEG_0170	1383
MSMEG_0171	930
MSMEG_0172	603
MSMEG_0173	321
MSMEG_0174	372
MSMEG_0175	1137
MSMEG_0176	855
MSMEG_0177	972
MSMEG_0178	783
MSMEG_0179	672
MSMEG_0180	510
MSMEG_0181	939
MSMEG_0182	1158
MSMEG_0183	552
MSMEG_0184	1773
MSMEG_0185	2862
MSMEG_0186	495
MSMEG_0187	477
MSMEG_0188	465
MSMEG_0189	1167
MSMEG_0190	1560
MSMEG_0191	930
MSMEG_0192	903
MSMEG_0193	897
MSMEG_0194	699
MSMEG_0195	1641
MSMEG_0196	897
MSMEG_0197	645
MSMEG_0198	1134
MSMEG_0200	2553
MSMEG_0201	507
MSMEG_0202	1323
MSMEG_0203	702
MSMEG_0204	2046
MSMEG_0205	324
MSMEG_0206	2136
MSMEG_0207	441
MSMEG_0208	378
MSMEG_0209	279
MSMEG_0210	1089
MSMEG_0211	2364
MSMEG_0212	420
MSMEG_0213	447
MSMEG_0214	1284
MSMEG_0215	717
MSMEG_0216	777
MSMEG_0217	1125
MSMEG_0218	495
MSMEG_0219	993
MSMEG_0220	840
MSMEG_0221	960
MSMEG_0222	744
MSMEG_0223	483
MSMEG_0224	657
MSMEG_0225	2898
MSMEG_0226	429
MSMEG_0227	570
MSMEG_0228	3153
MSMEG_0229	1716
MSMEG_0230	306
MSMEG_0231	300
MSMEG_0232	1230
MSMEG_0233	1041
MSMEG_0234	2001
MSMEG_0235	621
MSMEG_0236	690
MSMEG_0237	1407
MSMEG_0238	471
MSMEG_0239	1296
MSMEG_0240	609
MSMEG_0241	2865
MSMEG_0242	582
MSMEG_0243	351
MSMEG_0244	741
MSMEG_0245	369
MSMEG_0246	1353
MSMEG_0247	1215
MSMEG_0248	1092
MSMEG_0249	1140
MSMEG_0250	3042
MSMEG_0251	699
MSMEG_0252	792
MSMEG_0253	1023
MSMEG_0254	1467
MSMEG_0255	1827
MSMEG_0256	903
MSMEG_0257	1515
MSMEG_0258	711
MSMEG_0259	906
MSMEG_0260	816
MSMEG_0261	993
MSMEG_0262	1107
MSMEG_0263	1272
MSMEG_0264	1119
MSMEG_0265	630
MSMEG_0266	1458
MSMEG_0267	1017
MSMEG_0268	780
MSMEG_0269	780
MSMEG_0270	1005
MSMEG_0271	657
MSMEG_0272	282
MSMEG_0273	264
MSMEG_0274	522
MSMEG_0275	609
MSMEG_0276	1584
MSMEG_0277	1281
MSMEG_0278	228
MSMEG_0279	1536
MSMEG_0280	900
MSMEG_0281	1572
MSMEG_0282	321
MSMEG_0283	771
MSMEG_0284	795
MSMEG_0285	603
MSMEG_0286	687
MSMEG_0287	528
MSMEG_0288	1110
MSMEG_0289	1215
MSMEG_0290	1419
MSMEG_0291	846
MSMEG_0292	330
MSMEG_0293	1266
MSMEG_0294	744
MSMEG_0295	1068
MSMEG_0296	456
MSMEG_0297	1260
MSMEG_0298	342
MSMEG_0299	1266
MSMEG_0300	1008
MSMEG_0301	1389
MSMEG_0302	1212
MSMEG_0303	993
MSMEG_0304	1632
MSMEG_0305	810
MSMEG_0306	837
MSMEG_0307	909
MSMEG_0308	528
MSMEG_0309	1494
MSMEG_0311	1176
MSMEG_0312	630
MSMEG_0313	1830
MSMEG_0314	1488
MSMEG_0315	1638
MSMEG_0316	1188
MSMEG_0317	1197
MSMEG_0318	1488
MSMEG_0319	1194
MSMEG_0320	978
MSMEG_0321	2793
MSMEG_0323	1236
MSMEG_0324	456
MSMEG_0325	513
MSMEG_0326	1455
MSMEG_0327	1503
MSMEG_0328	450
MSMEG_0329	495
MSMEG_0330	1188
MSMEG_0331	1053
MSMEG_0332	936
MSMEG_0333	1599
MSMEG_0334	2010
MSMEG_0335	759
MSMEG_0336	795
MSMEG_0337	1755
MSMEG_0338	1137
MSMEG_0339	1017
MSMEG_0340	753
MSMEG_0341	1017
MSMEG_0342	846
MSMEG_0343	633
MSMEG_0344	771
MSMEG_0345	819
MSMEG_0346	1425
MSMEG_0347	1029
MSMEG_0348	1329
MSMEG_0349	1302
MSMEG_0350	1140
MSMEG_0351	1488
MSMEG_0352	603
MSMEG_0353	546
MSMEG_0354	342
MSMEG_0355	495
MSMEG_0356	315
MSMEG_0357	1602
MSMEG_0358	963
MSMEG_0359	4245
MSMEG_0360	174
MSMEG_0361	1164
MSMEG_0362	1164
MSMEG_0363	639
MSMEG_0364	300
MSMEG_0365	1881
MSMEG_0366	528
MSMEG_0367	1089
MSMEG_0368	1467
MSMEG_0369	723
MSMEG_0370	2514
MSMEG_0371	858
MSMEG_0372	1353
MSMEG_0373	1299
MSMEG_0374	1869
MSMEG_0375	1593
MSMEG_0376	1047
MSMEG_0377	741
MSMEG_0378	621
MSMEG_0379	282
MSMEG_0380	420
MSMEG_0381	2883
MSMEG_0382	2985
MSMEG_0383	339
MSMEG_0384	867
MSMEG_0385	1026
MSMEG_0386	1134
MSMEG_0387	735
MSMEG_0388	723
MSMEG_0389	1269
MSMEG_0390	1083
MSMEG_0391	789
MSMEG_0392	1515
MSMEG_0393	825
MSMEG_0394	255
MSMEG_0395	135
MSMEG_0396	399
MSMEG_0397	1323
MSMEG_0398	702
MSMEG_0399	231
MSMEG_0400	7218
MSMEG_0401	3006
MSMEG_0402	7680
MSMEG_0403	819
MSMEG_0404	411
MSMEG_0405	1176
MSMEG_0406	1836
MSMEG_0407	1089
MSMEG_0408	10959
MSMEG_0409	1422
MSMEG_0410	3009
MSMEG_0411	1710
MSMEG_0412	1152
MSMEG_0413	678
MSMEG_0414	975
MSMEG_0415	486
MSMEG_0416	162
MSMEG_0417	750
MSMEG_0418	1908
MSMEG_0419	822
MSMEG_0420	297
MSMEG_0421	147
MSMEG_0422	768
MSMEG_0423	516
MSMEG_0424	438
MSMEG_0425	837
MSMEG_0426	1047
MSMEG_0427	2580
MSMEG_0428	369
MSMEG_0429	243
MSMEG_0430	1368
MSMEG_0431	696
MSMEG_0432	1158
MSMEG_0433	1410
MSMEG_0434	633
MSMEG_0435	885
MSMEG_0436	663
MSMEG_0437	681
MSMEG_0438	954
MSMEG_0439	1137
MSMEG_0440	99
MSMEG_0441	729
MSMEG_0442	603
MSMEG_0443	993
MSMEG_0444	1023
MSMEG_0445	1614
MSMEG_0446	1344
MSMEG_0447	420
MSMEG_0448	444
MSMEG_0449	2001
MSMEG_0450	216
MSMEG_0451	249
MSMEG_0452	1446
MSMEG_0453	513
MSMEG_0454	735
MSMEG_0455	1428
MSMEG_0456	2142
MSMEG_0457	2034
MSMEG_0458	1296
MSMEG_0459	645
MSMEG_0460	927
MSMEG_0461	615
MSMEG_0462	444
MSMEG_0463	2886
MSMEG_0464	807
MSMEG_0465	615
MSMEG_0466	849
MSMEG_0467	600
MSMEG_0468	861
MSMEG_0469	873
MSMEG_0470	1605
MSMEG_0471	858
MSMEG_0472	786
MSMEG_0473	819
MSMEG_0474	1788
MSMEG_0475	1239
MSMEG_0476	1296
MSMEG_0477	732
MSMEG_0478	1503
MSMEG_0479	708
MSMEG_0480	660
MSMEG_0481	1347
MSMEG_0482	1695
MSMEG_0483	1374
MSMEG_0484	1110
MSMEG_0485	1530
MSMEG_0486	1032
MSMEG_0487	834
MSMEG_0488	768
MSMEG_0489	1173
MSMEG_0490	783
MSMEG_0491	1029
MSMEG_0492	636
MSMEG_0493	168
MSMEG_0494	168
MSMEG_0496	360
MSMEG_0497	2265
MSMEG_0498	117
MSMEG_0499	1428
MSMEG_0500	1068
MSMEG_0501	747
MSMEG_0502	1377
MSMEG_0503	777
MSMEG_0504	987
MSMEG_0505	1371
MSMEG_0506	855
MSMEG_0507	825
MSMEG_0508	1071
MSMEG_0509	786
MSMEG_0510	1323
MSMEG_0511	1143
MSMEG_0512	981
MSMEG_0513	966
MSMEG_0514	1314
MSMEG_0515	1278
MSMEG_0516	912
MSMEG_0517	927
MSMEG_0518	1029
MSMEG_0519	117
MSMEG_0520	648
MSMEG_0522	153
MSMEG_0523	894
MSMEG_0524	828
MSMEG_0525	183
MSMEG_0526	1599
MSMEG_0527	744
MSMEG_0528	927
MSMEG_0529	3447
MSMEG_0530	702
MSMEG_0531	1212
MSMEG_0532	618
MSMEG_0533	540
MSMEG_0534	1254
MSMEG_0535	639
MSMEG_0536	567
MSMEG_0537	429
MSMEG_0538	492
MSMEG_0539	675
MSMEG_0540	624
MSMEG_0541	351
MSMEG_0542	705
MSMEG_0543	1041
MSMEG_0544	954
MSMEG_0545	528
MSMEG_0546	828
MSMEG_0547	1062
MSMEG_0548	879
MSMEG_0549	729
MSMEG_0550	969
MSMEG_0551	783
MSMEG_0552	495
MSMEG_0553	1353
MSMEG_0554	870
MSMEG_0555	792
MSMEG_0556	1056
MSMEG_0557	138
MSMEG_0558	528
MSMEG_0559	204
MSMEG_0560	1065
MSMEG_0561	681
MSMEG_0562	987
MSMEG_0563	756
MSMEG_0564	1413
MSMEG_0565	1098
MSMEG_0566	849
MSMEG_0567	1422
MSMEG_0568	1050
MSMEG_0569	1272
MSMEG_0570	297
MSMEG_0571	903
MSMEG_0572	522
MSMEG_0573	597
MSMEG_0574	654
MSMEG_0575	417
MSMEG_0576	2892
MSMEG_0577	1224
MSMEG_0578	1137
MSMEG_0579	1488
MSMEG_0580	795
MSMEG_0581	1347
MSMEG_0582	1455
MSMEG_0583	261
MSMEG_0584	1473
MSMEG_0585	1227
MSMEG_0586	390
MSMEG_0587	321
MSMEG_0588	1332
MSMEG_0589	1164
MSMEG_0590	2055
MSMEG_0591	1458
MSMEG_0592	1002
MSMEG_0593	648
MSMEG_0594	1470
MSMEG_0595	738
MSMEG_0596	687
MSMEG_0597	1239
MSMEG_0598	435
MSMEG_0599	1677
MSMEG_0600	783
MSMEG_0601	309
MSMEG_0602	156
MSMEG_0603	2205
MSMEG_0604	969
MSMEG_0605	1107
MSMEG_0606	630
MSMEG_0607	843
MSMEG_0608	600
MSMEG_0609	876
MSMEG_0610	909
MSMEG_0611	1461
MSMEG_0612	612
MSMEG_0613	906
MSMEG_0614	894
MSMEG_0615	1770
MSMEG_0616	1557
MSMEG_0617	3978
MSMEG_0618	312
MSMEG_0619	1572
MSMEG_0620	294
MSMEG_0621	288
MSMEG_0622	882
MSMEG_0623	1428
MSMEG_0624	1380
MSMEG_0625	1200
MSMEG_0626	930
MSMEG_0627	1749
MSMEG_0628	822
MSMEG_0629	765
MSMEG_0630	804
MSMEG_0632	495
MSMEG_0633	1464
MSMEG_0634	672
MSMEG_0635	654
MSMEG_0636	486
MSMEG_0637	1569
MSMEG_0638	1932
MSMEG_0639	1011
MSMEG_0640	987
MSMEG_0641	963
MSMEG_0642	876
MSMEG_0643	1656
MSMEG_0644	450
MSMEG_0645	867
MSMEG_0646	1599
MSMEG_0647	792
MSMEG_0648	126
MSMEG_0649	966
MSMEG_0650	735
MSMEG_0651	681
MSMEG_0652	864
MSMEG_0654	936
MSMEG_0655	780
MSMEG_0656	603
MSMEG_0657	1185
MSMEG_0658	906
MSMEG_0659	942
MSMEG_0660	1275
MSMEG_0661	1389
MSMEG_0662	1158
MSMEG_0663	708
MSMEG_0664	1662
MSMEG_0665	1212
MSMEG_0666	2028
MSMEG_0667	1179
MSMEG_0668	210
MSMEG_0669	507
MSMEG_0670	942
MSMEG_0671	1149
MSMEG_0672	654
MSMEG_0673	543
MSMEG_0674	1011
MSMEG_0675	1218
MSMEG_0676	537
MSMEG_0678	570
MSMEG_0679	1689
MSMEG_0680	1335
MSMEG_0681	1269
MSMEG_0682	753
MSMEG_0683	369
MSMEG_0684	2115
MSMEG_0685	996
MSMEG_0686	522
MSMEG_0687	1236
MSMEG_0688	1266
MSMEG_0689	237
MSMEG_0690	3129
MSMEG_0691	2511
MSMEG_0692	1788
MSMEG_0693	552
MSMEG_0695	1809
MSMEG_0696	342
MSMEG_0697	414
MSMEG_0698	1494
MSMEG_0699	1851
MSMEG_0700	513
MSMEG_0701	294
MSMEG_0702	933
MSMEG_0703	624
MSMEG_0704	540
MSMEG_0705	1326
MSMEG_0706	612
MSMEG_0707	660
MSMEG_0708	744
MSMEG_0709	1869
MSMEG_0710	651
MSMEG_0711	1173
MSMEG_0712	591
MSMEG_0713	360
MSMEG_0714	1185
MSMEG_0715	744
MSMEG_0716	1299
MSMEG_0717	903
MSMEG_0718	1650
MSMEG_0719	1170
MSMEG_0720	999
MSMEG_0722	504
MSMEG_0723	543
MSMEG_0724	327
MSMEG_0725	954
MSMEG_0726	123
MSMEG_0727	258
MSMEG_0728	309
MSMEG_0729	669
MSMEG_0730	1203
MSMEG_0731	624
MSMEG_0732	2547
MSMEG_0733	1080
MSMEG_0734	1080
MSMEG_0735	663
MSMEG_0736	837
MSMEG_0737	777
MSMEG_0738	903
MSMEG_0739	645
MSMEG_0740	1182
MSMEG_0741	909
MSMEG_0742	954
MSMEG_0743	1149
MSMEG_0744	891
MSMEG_0745	477
MSMEG_0746	2400
MSMEG_0747	738
MSMEG_0748	903
MSMEG_0749	696
MSMEG_0750	723
MSMEG_0751	1194
MSMEG_0752	1038
MSMEG_0753	801
MSMEG_0754	417
MSMEG_0755	894
MSMEG_0756	780
MSMEG_0757	495
MSMEG_0758	540
MSMEG_0759	1296
MSMEG_0760	651
MSMEG_0761	195
MSMEG_0762	1206
MSMEG_0763	1995
MSMEG_0764	1584
MSMEG_0765	303
MSMEG_0766	1401
MSMEG_0767	486
MSMEG_0768	411
MSMEG_0769	1218
MSMEG_0770	408
MSMEG_0771	861
MSMEG_0772	1149
MSMEG_0773	531
MSMEG_0775	747
MSMEG_0776	312
MSMEG_0777	1011
MSMEG_0778	765
MSMEG_0779	777
MSMEG_0780	1107
MSMEG_0781	1578
MSMEG_0782	1323
MSMEG_0783	2079
MSMEG_0784	1131
MSMEG_0785	870
MSMEG_0786	2283
MSMEG_0787	969
MSMEG_0788	1314
MSMEG_0789	684
MSMEG_0790	504
MSMEG_0791	1005
MSMEG_0792	201
MSMEG_0793	759
MSMEG_0794	750
MSMEG_0795	912
MSMEG_0796	759
MSMEG_0798	669
MSMEG_0799	177
MSMEG_0800	180
MSMEG_0801	702
MSMEG_0802	1323
MSMEG_0803	486
MSMEG_0804	438
MSMEG_0805	1032
MSMEG_0806	1512
MSMEG_0807	1452
MSMEG_0808	1089
MSMEG_0809	504
MSMEG_0810	1296
MSMEG_0811	1029
MSMEG_0812	1221
MSMEG_0813	327
MSMEG_0814	273
MSMEG_0815	1266
MSMEG_0816	1485
MSMEG_0817	924
MSMEG_0818	1353
MSMEG_0819	1260
MSMEG_0820	270
MSMEG_0821	1464
MSMEG_0822	1368
MSMEG_0823	555
MSMEG_0824	648
MSMEG_0825	849
MSMEG_0826	1575
MSMEG_0827	1737
MSMEG_0828	1071
MSMEG_0829	783
MSMEG_0830	927
MSMEG_0831	717
MSMEG_0832	594
MSMEG_0833	312
MSMEG_0834	477
MSMEG_0835	711
MSMEG_0836	1131
MSMEG_0837	456
MSMEG_0838	1050
MSMEG_0839	627
MSMEG_0840	654
MSMEG_0842	285
MSMEG_0843	354
MSMEG_0844	291
MSMEG_0845	540
MSMEG_0846	1596
MSMEG_0847	468
MSMEG_0848	2982
MSMEG_0849	318
MSMEG_0850	843
MSMEG_0851	1287
MSMEG_0852	459
MSMEG_0853	249
MSMEG_0854	969
MSMEG_0855	453
MSMEG_0856	648
MSMEG_0857	387
MSMEG_0858	2238
MSMEG_0859	1014
MSMEG_0860	861
MSMEG_0861	699
MSMEG_0862	1197
MSMEG_0863	924
MSMEG_0864	540
MSMEG_0865	1500
MSMEG_0866	1707
MSMEG_0867	816
MSMEG_0868	3825
MSMEG_0869	399
MSMEG_0870	2166
MSMEG_0871	975
MSMEG_0872	618
MSMEG_0873	171
MSMEG_0874	705
MSMEG_0875	1404
MSMEG_0876	918
MSMEG_0877	1239
MSMEG_0878	570
MSMEG_0879	147
MSMEG_0880	1626
MSMEG_0881	834
MSMEG_0882	384
MSMEG_0883	1743
MSMEG_0884	381
MSMEG_0885	504
MSMEG_0886	1491
MSMEG_0887	558
MSMEG_0888	564
MSMEG_0889	1530
MSMEG_0890	600
MSMEG_0891	852
MSMEG_0892	846
MSMEG_0893	324
MSMEG_0894	1365
MSMEG_0895	744
MSMEG_0896	1371
MSMEG_0897	1278
MSMEG_0898	813
MSMEG_0899	2010
MSMEG_0900	1524
MSMEG_0901	477
MSMEG_0902	870
MSMEG_0903	1395
MSMEG_0904	270
MSMEG_0905	561
MSMEG_0906	1437
MSMEG_0907	345
MSMEG_0908	399
MSMEG_0909	849
MSMEG_0910	135
MSMEG_0911	1287
MSMEG_0912	861
MSMEG_0913	873
MSMEG_0914	873
MSMEG_0915	888
MSMEG_0916	705
MSMEG_0917	1329
MSMEG_0918	429
MSMEG_0919	699
MSMEG_0920	285
MSMEG_0921	405
MSMEG_0922	684
MSMEG_0923	936
MSMEG_0924	798
MSMEG_0925	777
MSMEG_0926	492
MSMEG_0927	507
MSMEG_0928	1092
MSMEG_0929	1359
MSMEG_0930	750
MSMEG_0931	288
MSMEG_0932	1200
MSMEG_0933	1305
MSMEG_0934	498
MSMEG_0935	744
MSMEG_0936	1191
MSMEG_0937	678
MSMEG_0938	801
MSMEG_0939	972
MSMEG_0940	1071
MSMEG_0941	846
MSMEG_0942	816
MSMEG_0943	861
MSMEG_0944	219
MSMEG_0945	102
MSMEG_0946	1029
MSMEG_0947	1065
MSMEG_0948	534
MSMEG_0949	930
MSMEG_0950	324
MSMEG_0951	243
MSMEG_0952	1356
MSMEG_0953	957
MSMEG_0954	1833
MSMEG_0955	498
MSMEG_0956	981
MSMEG_0957	432
MSMEG_0958	396
MSMEG_0959	495
MSMEG_0960	231
MSMEG_0962	594
MSMEG_0963	243
MSMEG_0964	483
MSMEG_0965	636
MSMEG_0966	384
MSMEG_0967	381
MSMEG_0968	1455
MSMEG_0969	1350
MSMEG_0970	609
MSMEG_0971	654
MSMEG_0972	786
MSMEG_0973	1650
MSMEG_0974	996
MSMEG_0975	1329
MSMEG_0976	165
MSMEG_0977	300
MSMEG_0978	1041
MSMEG_0979	249
MSMEG_0980	1632
MSMEG_0981	360
MSMEG_0982	1050
MSMEG_0983	654
MSMEG_0984	2079
MSMEG_0985	1350
MSMEG_0986	729
MSMEG_0987	372
MSMEG_0988	870
MSMEG_0989	246
MSMEG_0990	780
MSMEG_0991	1041
MSMEG_0992	1128
MSMEG_0993	1014
MSMEG_0994	678
MSMEG_0995	660
MSMEG_0996	654
MSMEG_0997	630
MSMEG_0998	1110
MSMEG_0999	1365
MSMEG_1000	567
MSMEG_1001	834
MSMEG_1002	702
MSMEG_1003	1323
MSMEG_1004	423
MSMEG_1005	816
MSMEG_1006	960
MSMEG_1007	762
MSMEG_1008	492
MSMEG_1009	1485
MSMEG_1010	660
MSMEG_1011	864
MSMEG_1012	1536
MSMEG_1013	1185
MSMEG_1014	1071
MSMEG_1015	615
MSMEG_1016	564
MSMEG_1017	240
MSMEG_1019	2121
MSMEG_1021	420
MSMEG_1022	228
MSMEG_1023	1410
MSMEG_1024	144
MSMEG_1025	576
MSMEG_1026	852
MSMEG_1027	879
MSMEG_1028	1188
MSMEG_1029	738
MSMEG_1030	1500
MSMEG_1031	516
MSMEG_1032	150
MSMEG_1033	975
MSMEG_1034	1383
MSMEG_1035	1581
MSMEG_1037	1050
MSMEG_1038	276
MSMEG_1039	1074
MSMEG_1041	1242
MSMEG_1042	294
MSMEG_1043	1440
MSMEG_1044	147
MSMEG_1045	696
MSMEG_1046	849
MSMEG_1047	822
MSMEG_1048	708
MSMEG_1049	981
MSMEG_1050	1164
MSMEG_1051	702
MSMEG_1052	1545
MSMEG_1053	1284
MSMEG_1054	123
MSMEG_1055	744
MSMEG_1057	1026
MSMEG_1058	627
MSMEG_1059	1323
MSMEG_1060	405
MSMEG_1061	615
MSMEG_1062	1041
MSMEG_1063	324
MSMEG_1064	1257
MSMEG_1065	279
MSMEG_1066	312
MSMEG_1067	372
MSMEG_1068	1416
MSMEG_1069	1467
MSMEG_1070	696
MSMEG_1071	762
MSMEG_1072	972
MSMEG_1073	915
MSMEG_1074	864
MSMEG_1075	930
MSMEG_1076	276
MSMEG_1077	462
MSMEG_1078	681
MSMEG_1079	405
MSMEG_1080	2445
MSMEG_1081	759
MSMEG_1082	732
MSMEG_1083	132
MSMEG_1084	1605
MSMEG_1085	960
MSMEG_1086	936
MSMEG_1088	1401
MSMEG_1089	192
MSMEG_1090	1407
MSMEG_1091	459
MSMEG_1092	663
MSMEG_1093	657
MSMEG_1094	1707
MSMEG_1095	618
MSMEG_1096	816
MSMEG_1097	684
MSMEG_1098	1620
MSMEG_1099	303
MSMEG_1100	453
MSMEG_1101	1167
MSMEG_1102	1611
MSMEG_1103	966
MSMEG_1104	192
MSMEG_1106	1008
MSMEG_1107	732
MSMEG_1108	819
MSMEG_1109	1641
MSMEG_1110	492
MSMEG_1111	699
MSMEG_1112	1965
MSMEG_1113	1128
MSMEG_1114	825
MSMEG_1115	690
MSMEG_1116	1353
MSMEG_1117	756
MSMEG_1118	1536
MSMEG_1119	717
MSMEG_1120	978
MSMEG_1121	378
MSMEG_1122	129
MSMEG_1123	999
MSMEG_1124	345
MSMEG_1125	654
MSMEG_1126	285
MSMEG_1127	597
MSMEG_1128	120
MSMEG_1129	1272
MSMEG_1130	1128
MSMEG_1131	486
MSMEG_1132	1230
MSMEG_1133	1008
MSMEG_1134	888
MSMEG_1135	300
MSMEG_1136	525
MSMEG_1137	1440
MSMEG_1138	1137
MSMEG_1139	570
MSMEG_1140	1026
MSMEG_1141	870
MSMEG_1142	858
MSMEG_1143	1605
MSMEG_1144	1056
MSMEG_1145	1041
MSMEG_1146	1122
MSMEG_1147	1281
MSMEG_1148	1257
MSMEG_1149	687
MSMEG_1150	582
MSMEG_1151	606
MSMEG_1152	1287
MSMEG_1153	1401
MSMEG_1154	1182
MSMEG_1155	807
MSMEG_1156	888
MSMEG_1157	774
MSMEG_1158	1428
MSMEG_1159	1071
MSMEG_1160	804
MSMEG_1161	807
MSMEG_1162	1347
MSMEG_1163	123
MSMEG_1165	492
MSMEG_1167	1440
MSMEG_1168	651
MSMEG_1169	1245
MSMEG_1170	216
MSMEG_1171	411
MSMEG_1172	1077
MSMEG_1173	372
MSMEG_1174	465
MSMEG_1175	360
MSMEG_1176	1524
MSMEG_1177	1437
MSMEG_1178	909
MSMEG_1179	1659
MSMEG_1180	1215
MSMEG_1181	1332
MSMEG_1182	1191
MSMEG_1183	1545
MSMEG_1184	879
MSMEG_1185	1023
MSMEG_1186	1320
MSMEG_1187	1596
MSMEG_1188	1908
MSMEG_1189	1683
MSMEG_1190	1875
MSMEG_1191	222
MSMEG_1192	1203
MSMEG_1193	1695
MSMEG_1194	441
MSMEG_1195	1212
MSMEG_1196	1992
MSMEG_1197	258
MSMEG_1198	762
MSMEG_1199	2376
MSMEG_1200	1827
MSMEG_1201	681
MSMEG_1202	279
MSMEG_1203	744
MSMEG_1204	1251
MSMEG_1205	924
MSMEG_1206	135
MSMEG_1207	1179
MSMEG_1208	1038
MSMEG_1209	1455
MSMEG_1210	870
MSMEG_1211	1092
MSMEG_1212	210
MSMEG_1213	1362
MSMEG_1214	1020
MSMEG_1215	639
MSMEG_1216	1296
MSMEG_1217	714
MSMEG_1218	717
MSMEG_1219	1008
MSMEG_1220	876
MSMEG_1221	429
MSMEG_1222	1638
MSMEG_1223	312
MSMEG_1224	117
MSMEG_1225	1293
MSMEG_1226	876
MSMEG_1227	726
MSMEG_1228	1353
MSMEG_1229	1920
MSMEG_1230	324
MSMEG_1231	369
MSMEG_1232	1458
MSMEG_1234	750
MSMEG_1235	1497
MSMEG_1236	648
MSMEG_1237	318
MSMEG_1238	1701
MSMEG_1239	1368
MSMEG_1240	1587
MSMEG_1241	939
MSMEG_1242	1161
MSMEG_1243	891
MSMEG_1244	2631
MSMEG_1245	849
MSMEG_1246	1437
MSMEG_1247	825
MSMEG_1248	669
MSMEG_1249	867
MSMEG_1250	297
MSMEG_1251	366
MSMEG_1252	6177
MSMEG_1253	3399
MSMEG_1254	3828
MSMEG_1255	2214
