 	fpr_UTR_length
MSMEG_0458	NA
MSMEG_0459	NA
MSMEG_0460	NA
MSMEG_0461	NA
MSMEG_0462	50
MSMEG_0463	NA
MSMEG_0464	0
MSMEG_0465	25
MSMEG_0466	32
MSMEG_0467	NA
MSMEG_0468	NA
MSMEG_0469	0
MSMEG_0470	NA
MSMEG_0471	0
MSMEG_0472	NA
MSMEG_0473	166
MSMEG_0474	NA
MSMEG_0475	NA
MSMEG_0476	NA
MSMEG_0477	NA
MSMEG_0478	NA
MSMEG_0479	NA
MSMEG_0480	15
MSMEG_0481	NA
MSMEG_0482	NA
MSMEG_0483	NA
MSMEG_0484	294
MSMEG_0485	NA
MSMEG_0486	NA
MSMEG_0487	NA
MSMEG_0488	NA
MSMEG_0489	NA
MSMEG_0490	NA
MSMEG_0491	0
MSMEG_0492	0
MSMEG_0493	38
MSMEG_0494	37
MSMEG_0496	NA
MSMEG_0497	NA
MSMEG_0498	NA
MSMEG_0499	52
MSMEG_0500	81
MSMEG_0501	NA
MSMEG_0502	NA
MSMEG_0503	NA
MSMEG_0504	62
MSMEG_0505	NA
MSMEG_0506	NA
MSMEG_0507	NA
MSMEG_0508	NA
MSMEG_0509	NA
MSMEG_0510	NA
MSMEG_0511	NA
MSMEG_0512	NA
MSMEG_0513	NA
MSMEG_0514	NA
MSMEG_0515	NA
MSMEG_0516	NA
MSMEG_0517	NA
MSMEG_0518	NA
MSMEG_0519	15
MSMEG_0520	56
MSMEG_0522	NA
MSMEG_0523	NA
MSMEG_0524	NA
MSMEG_0525	NA
MSMEG_0526	NA
MSMEG_0527	NA
MSMEG_0528	NA
MSMEG_0529	NA
MSMEG_0530	77
MSMEG_0531	212
MSMEG_0532	NA
MSMEG_0533	NA
MSMEG_0534	NA
MSMEG_0535	NA
MSMEG_0536	NA
MSMEG_0537	194
MSMEG_0538	0
MSMEG_0539	36
MSMEG_0540	19
MSMEG_0541	0
MSMEG_0542	NA
MSMEG_0543	NA
MSMEG_0544	0
MSMEG_0545	51
MSMEG_0546	0
MSMEG_0547	8
MSMEG_0548	0
MSMEG_0549	223
MSMEG_0550	NA
MSMEG_0551	0
MSMEG_0552	NA
MSMEG_0553	NA
MSMEG_0554	NA
MSMEG_0555	NA
MSMEG_0556	NA
MSMEG_0557	137
MSMEG_0558	NA
MSMEG_0559	44
MSMEG_0560	56
MSMEG_0561	0
MSMEG_0562	NA
MSMEG_0563	0
MSMEG_0564	0
MSMEG_0565	NA
MSMEG_0566	65
MSMEG_0567	NA
MSMEG_0568	NA
MSMEG_0569	NA
MSMEG_0570	NA
MSMEG_0571	NA
MSMEG_0572	64
MSMEG_0573	NA
MSMEG_0574	390
MSMEG_0575	104
MSMEG_0576	NA
MSMEG_0577	NA
MSMEG_0578	0
MSMEG_0579	NA
MSMEG_0580	0
MSMEG_0581	25
MSMEG_0582	NA
MSMEG_0583	111
MSMEG_0584	NA
MSMEG_0585	NA
MSMEG_0586	115
MSMEG_0587	NA
MSMEG_0588	NA
MSMEG_0589	NA
MSMEG_0590	NA
MSMEG_0591	NA
MSMEG_0592	0
MSMEG_0593	NA
MSMEG_0594	NA
MSMEG_0595	19
MSMEG_0596	68
MSMEG_0597	NA
MSMEG_0598	0
MSMEG_0599	0
MSMEG_0600	96
MSMEG_0601	NA
MSMEG_0602	164
MSMEG_0603	46
MSMEG_0604	NA
MSMEG_0605	242
MSMEG_0606	43
MSMEG_0607	0
MSMEG_0608	47
MSMEG_0609	0
MSMEG_0610	NA
MSMEG_0611	NA
MSMEG_0612	0
MSMEG_0613	NA
MSMEG_0614	0
MSMEG_0615	114
MSMEG_0616	NA
MSMEG_0617	NA
MSMEG_0618	NA
MSMEG_0619	NA
MSMEG_0620	NA
MSMEG_0621	NA
MSMEG_0622	NA
MSMEG_0623	205
MSMEG_0624	NA
MSMEG_0625	0
MSMEG_0626	NA
MSMEG_0627	NA
MSMEG_0628	NA
MSMEG_0629	0
MSMEG_0630	NA
MSMEG_0632	0
MSMEG_0633	0
MSMEG_0634	0
MSMEG_0635	0
MSMEG_0636	0
MSMEG_0637	NA
MSMEG_0638	3
MSMEG_0639	NA
MSMEG_0640	NA
MSMEG_0641	150
MSMEG_0642	NA
MSMEG_0643	33
MSMEG_0644	NA
MSMEG_0645	0
MSMEG_0646	NA
MSMEG_0647	NA
MSMEG_0648	NA
MSMEG_0649	NA
MSMEG_0650	NA
MSMEG_0651	NA
MSMEG_0652	NA
MSMEG_0654	NA
MSMEG_0655	NA
MSMEG_0656	6
MSMEG_0657	NA
MSMEG_0658	NA
MSMEG_0659	NA
MSMEG_0660	31
MSMEG_0661	75
MSMEG_0662	193
MSMEG_0663	40
MSMEG_0664	NA
MSMEG_0665	NA
MSMEG_0666	NA
MSMEG_0667	80
MSMEG_0668	0
MSMEG_0669	NA
MSMEG_0670	NA
MSMEG_0671	39
MSMEG_0672	NA
MSMEG_0673	93
MSMEG_0674	42
MSMEG_0675	NA
MSMEG_0676	23
MSMEG_0678	0
MSMEG_0679	176
MSMEG_0680	NA
MSMEG_0681	NA
MSMEG_0682	0
MSMEG_0683	0
MSMEG_0684	NA
MSMEG_0685	NA
MSMEG_0686	NA
MSMEG_0687	NA
MSMEG_0688	NA
MSMEG_0689	72
MSMEG_0690	75
MSMEG_0691	NA
MSMEG_0692	28
MSMEG_0693	NA
MSMEG_0695	NA
MSMEG_0696	NA
MSMEG_0697	NA
MSMEG_0698	38
MSMEG_0699	NA
MSMEG_0700	490
MSMEG_0701	NA
MSMEG_0702	0
MSMEG_0703	248
MSMEG_0704	1
MSMEG_0705	NA
MSMEG_0706	NA
MSMEG_0707	NA
MSMEG_0708	NA
MSMEG_0709	111
MSMEG_0710	NA
MSMEG_0711	18
MSMEG_0712	28
MSMEG_0713	NA
MSMEG_0714	NA
MSMEG_0715	NA
MSMEG_0716	447
MSMEG_0717	0
MSMEG_0718	NA
MSMEG_0719	0
MSMEG_0720	NA
MSMEG_0722	160
MSMEG_0723	NA
MSMEG_0724	0
MSMEG_0725	NA
MSMEG_0726	20
MSMEG_0727	NA
MSMEG_0728	171
MSMEG_0729	NA
MSMEG_0730	NA
MSMEG_0731	0
MSMEG_0732	35
MSMEG_0733	NA
MSMEG_0734	5
MSMEG_0735	1
MSMEG_0736	1
MSMEG_0737	NA
MSMEG_0738	NA
MSMEG_0739	369
MSMEG_0740	207
MSMEG_0741	NA
MSMEG_0742	0
MSMEG_0743	NA
MSMEG_0744	NA
MSMEG_0745	NA
MSMEG_0746	NA
MSMEG_0747	NA
MSMEG_0748	NA
MSMEG_0749	NA
MSMEG_0750	0
MSMEG_0751	NA
MSMEG_0752	96
MSMEG_0753	28
MSMEG_0754	0
MSMEG_0755	NA
MSMEG_0756	0
MSMEG_0757	NA
MSMEG_0758	133
MSMEG_0759	44
MSMEG_0760	NA
MSMEG_0761	3
MSMEG_0762	0
MSMEG_0763	NA
MSMEG_0764	165
MSMEG_0765	0
MSMEG_0766	3
MSMEG_0767	NA
MSMEG_0768	0
MSMEG_0769	NA
MSMEG_0770	NA
MSMEG_0771	NA
MSMEG_0772	NA
MSMEG_0773	NA
MSMEG_0775	0
MSMEG_0776	17
MSMEG_0777	NA
MSMEG_0778	NA
MSMEG_0779	NA
MSMEG_0780	NA
MSMEG_0781	90
MSMEG_0782	NA
MSMEG_0783	NA
MSMEG_0784	NA
MSMEG_0785	NA
MSMEG_0786	NA
MSMEG_0787	479
MSMEG_0788	52
MSMEG_0789	0
MSMEG_0790	0
MSMEG_0791	98
MSMEG_0792	NA
MSMEG_0793	NA
MSMEG_0794	NA
MSMEG_0795	NA
MSMEG_0796	423
MSMEG_0798	41
MSMEG_0799	147
MSMEG_0800	NA
MSMEG_0801	107
MSMEG_0802	NA
MSMEG_0803	4
MSMEG_0804	NA
MSMEG_0805	NA
MSMEG_0806	402
MSMEG_0807	131
MSMEG_0808	NA
MSMEG_0809	NA
MSMEG_0810	0
MSMEG_0811	NA
MSMEG_0812	0
MSMEG_0813	NA
MSMEG_0814	110
MSMEG_0815	NA
MSMEG_0816	0
MSMEG_0817	NA
MSMEG_0818	30
MSMEG_0819	NA
MSMEG_0820	NA
MSMEG_0821	NA
MSMEG_0822	NA
MSMEG_0823	NA
MSMEG_0824	NA
MSMEG_0825	0
MSMEG_0826	165
MSMEG_0827	NA
MSMEG_0828	76
MSMEG_0829	NA
MSMEG_0830	NA
MSMEG_0831	NA
MSMEG_0832	0
MSMEG_0833	50
MSMEG_0834	NA
MSMEG_0835	0
MSMEG_0836	NA
MSMEG_0837	NA
MSMEG_0838	0
MSMEG_0839	71
MSMEG_0840	179
MSMEG_0842	24
MSMEG_0843	NA
MSMEG_0844	312
MSMEG_0845	NA
MSMEG_0846	NA
MSMEG_0847	NA
MSMEG_0848	NA
MSMEG_0849	46
MSMEG_0850	NA
MSMEG_0851	NA
MSMEG_0852	NA
MSMEG_0853	NA
MSMEG_0854	0
MSMEG_0855	28
MSMEG_0856	NA
MSMEG_0857	0
MSMEG_0858	NA
MSMEG_0859	39
MSMEG_0860	NA
MSMEG_0861	1
MSMEG_0862	90
MSMEG_0863	NA
MSMEG_0864	NA
MSMEG_0865	NA
MSMEG_0866	19
MSMEG_0867	NA
MSMEG_0868	NA
MSMEG_0869	NA
MSMEG_0870	NA
MSMEG_0871	NA
MSMEG_0872	NA
MSMEG_0873	NA
MSMEG_0874	NA
MSMEG_0875	NA
MSMEG_0876	43
MSMEG_0877	0
MSMEG_0878	NA
MSMEG_0879	NA
MSMEG_0880	139
MSMEG_0881	NA
MSMEG_0882	NA
MSMEG_0883	NA
MSMEG_0884	0
MSMEG_0885	NA
MSMEG_0886	0
MSMEG_0887	0
MSMEG_0888	NA
MSMEG_0889	0
MSMEG_0890	0
MSMEG_0891	NA
MSMEG_0892	121
MSMEG_0893	NA
MSMEG_0894	57
MSMEG_0895	53
MSMEG_0896	393
MSMEG_0897	NA
MSMEG_0898	NA
MSMEG_0899	NA
MSMEG_0900	34
MSMEG_0901	215
MSMEG_0902	NA
MSMEG_0903	0
MSMEG_0904	NA
MSMEG_0905	NA
MSMEG_0906	0
MSMEG_0907	NA
MSMEG_0908	NA
MSMEG_0909	49
MSMEG_0910	NA
MSMEG_0911	66
MSMEG_0912	65
MSMEG_0913	96
MSMEG_0914	NA
MSMEG_0915	0
MSMEG_0916	28
MSMEG_0917	0
MSMEG_0918	35
MSMEG_0919	106
MSMEG_0920	0
MSMEG_0921	NA
MSMEG_0922	NA
MSMEG_0923	0
MSMEG_0924	NA
MSMEG_0925	NA
MSMEG_0926	NA
MSMEG_0927	NA
MSMEG_0928	0
MSMEG_0929	0
MSMEG_0930	0
MSMEG_0931	NA
MSMEG_0932	287
MSMEG_0933	0
MSMEG_0934	NA
MSMEG_0935	0
MSMEG_0936	0
MSMEG_0937	NA
MSMEG_0938	0
MSMEG_0939	0
MSMEG_0940	246
MSMEG_0941	389
MSMEG_0942	52
MSMEG_0943	0
MSMEG_0944	78
MSMEG_0945	39
MSMEG_0946	NA
MSMEG_0947	161
MSMEG_0948	43
MSMEG_0949	0
MSMEG_0950	NA
MSMEG_0951	329
MSMEG_0952	14
MSMEG_0953	NA
MSMEG_0954	NA
MSMEG_0955	NA
MSMEG_0956	NA
MSMEG_0957	NA
MSMEG_0958	NA
MSMEG_0959	NA
MSMEG_0960	NA
MSMEG_0962	37
MSMEG_0963	NA
MSMEG_0964	0
MSMEG_0965	135
MSMEG_0966	NA
MSMEG_0967	NA
MSMEG_0968	NA
MSMEG_0969	NA
MSMEG_0970	NA
MSMEG_0971	NA
MSMEG_0972	482
MSMEG_0973	NA
MSMEG_0974	119
MSMEG_0975	27
MSMEG_0976	12
MSMEG_0977	0
MSMEG_0978	NA
MSMEG_0979	NA
MSMEG_0980	NA
MSMEG_0981	NA
MSMEG_0982	0
MSMEG_0983	NA
MSMEG_0984	NA
MSMEG_0985	33
MSMEG_0986	33
MSMEG_0987	35
MSMEG_0988	0
MSMEG_0989	NA
MSMEG_0990	147
MSMEG_0991	327
MSMEG_0992	NA
MSMEG_0993	NA
MSMEG_0994	NA
MSMEG_0995	NA
MSMEG_0996	NA
MSMEG_0997	NA
MSMEG_0998	NA
MSMEG_0999	55
MSMEG_1000	NA
MSMEG_1001	NA
MSMEG_1002	107
MSMEG_1003	259
MSMEG_1004	NA
MSMEG_1005	24
MSMEG_1006	NA
MSMEG_1007	11
MSMEG_1008	116
MSMEG_1009	NA
MSMEG_1010	0
MSMEG_1011	NA
MSMEG_1012	40
MSMEG_1013	NA
MSMEG_1014	NA
MSMEG_1015	NA
MSMEG_1016	NA
MSMEG_1017	206
MSMEG_1019	58
MSMEG_1021	NA
MSMEG_1022	NA
MSMEG_1023	88
MSMEG_1024	NA
MSMEG_1025	65
MSMEG_1026	NA
MSMEG_1027	68
MSMEG_1028	26
MSMEG_1029	0
MSMEG_1030	63
MSMEG_1031	NA
MSMEG_1032	NA
MSMEG_1033	55
MSMEG_1034	1
MSMEG_1035	NA
MSMEG_1037	127
MSMEG_1038	0
MSMEG_1039	0
MSMEG_1041	NA
MSMEG_1042	0
MSMEG_1043	NA
MSMEG_1044	NA
MSMEG_1045	NA
MSMEG_1046	0
MSMEG_1047	NA
MSMEG_1048	NA
MSMEG_1049	0
MSMEG_1050	NA
MSMEG_1051	52
MSMEG_1052	46
MSMEG_1053	45
MSMEG_1054	NA
MSMEG_1055	NA
MSMEG_1057	NA
MSMEG_1058	182
MSMEG_1059	NA
MSMEG_1060	31
MSMEG_1061	0
MSMEG_1062	319
MSMEG_1063	36
MSMEG_1064	NA
MSMEG_1065	46
MSMEG_1066	NA
MSMEG_1067	0
MSMEG_1068	0
MSMEG_1069	NA
MSMEG_1070	NA
MSMEG_1071	NA
MSMEG_1072	NA
MSMEG_1073	0
MSMEG_1074	22
MSMEG_1075	0
MSMEG_1076	42
MSMEG_1077	0
MSMEG_1078	NA
MSMEG_1079	NA
MSMEG_1080	NA
MSMEG_1081	NA
MSMEG_1082	37
MSMEG_1083	NA
MSMEG_1084	NA
MSMEG_1085	NA
MSMEG_1086	NA
MSMEG_1088	NA
MSMEG_1089	103
MSMEG_1090	NA
MSMEG_1091	NA
MSMEG_1092	NA
MSMEG_1093	NA
MSMEG_1094	NA
MSMEG_1095	NA
MSMEG_1096	NA
MSMEG_1097	NA
MSMEG_1098	0
MSMEG_1099	NA
MSMEG_1100	NA
MSMEG_1101	NA
MSMEG_1102	NA
MSMEG_1103	0
MSMEG_1104	NA
MSMEG_1106	NA
MSMEG_1107	NA
MSMEG_1108	NA
MSMEG_1109	NA
MSMEG_1110	NA
MSMEG_1111	NA
MSMEG_1112	46
MSMEG_1113	NA
MSMEG_1114	24
MSMEG_1115	0
MSMEG_1116	36
MSMEG_1117	0
MSMEG_1118	34
MSMEG_1119	NA
MSMEG_1120	NA
MSMEG_1121	NA
MSMEG_1122	NA
MSMEG_1123	0
MSMEG_1124	0
MSMEG_1125	NA
MSMEG_1126	NA
MSMEG_1127	NA
MSMEG_1128	NA
MSMEG_1129	NA
MSMEG_1130	NA
MSMEG_1131	0
MSMEG_1132	0
MSMEG_1133	0
MSMEG_1134	49
MSMEG_1135	NA
MSMEG_1136	0
MSMEG_1137	NA
MSMEG_1138	62
MSMEG_1139	103
MSMEG_1140	0
MSMEG_1141	70
MSMEG_1142	NA
MSMEG_1143	NA
MSMEG_1144	NA
MSMEG_1145	NA
MSMEG_1146	NA
MSMEG_1147	NA
MSMEG_1148	NA
MSMEG_1149	NA
MSMEG_1150	NA
MSMEG_1151	NA
MSMEG_1152	NA
MSMEG_1153	48
MSMEG_1154	NA
MSMEG_1155	NA
MSMEG_1156	NA
MSMEG_1157	NA
MSMEG_1158	NA
MSMEG_1159	NA
MSMEG_1160	NA
MSMEG_1161	NA
MSMEG_1162	NA
MSMEG_1163	NA
MSMEG_1165	53
MSMEG_1167	82
MSMEG_1168	51
MSMEG_1169	65
MSMEG_1170	NA
MSMEG_1171	NA
MSMEG_1172	NA
MSMEG_1173	0
MSMEG_1174	44
MSMEG_1175	0
MSMEG_1176	5
MSMEG_1177	66
MSMEG_1178	NA
MSMEG_1179	NA
MSMEG_1180	NA
MSMEG_1181	NA
MSMEG_1182	NA
MSMEG_1183	NA
MSMEG_1184	7
MSMEG_1185	39
MSMEG_1186	NA
MSMEG_1187	NA
MSMEG_1188	45
MSMEG_1189	89
MSMEG_1190	NA
MSMEG_1191	32
MSMEG_1192	NA
MSMEG_1193	307
MSMEG_1194	0
MSMEG_1195	26
MSMEG_1196	NA
MSMEG_1197	NA
MSMEG_1198	NA
MSMEG_1199	16
MSMEG_1200	44
MSMEG_1201	13
MSMEG_1202	NA
MSMEG_1203	NA
MSMEG_1204	85
MSMEG_1205	56
MSMEG_1206	39
MSMEG_1207	457
MSMEG_1208	NA
MSMEG_1209	NA
MSMEG_1210	0
MSMEG_1211	60
MSMEG_1212	59
MSMEG_1213	0
MSMEG_1214	NA
MSMEG_1215	NA
MSMEG_1216	NA
MSMEG_1217	NA
MSMEG_1218	NA
MSMEG_1219	NA
MSMEG_1220	151
MSMEG_1221	NA
MSMEG_1222	0
MSMEG_1223	389
MSMEG_1224	NA
MSMEG_1225	0
MSMEG_1226	0
MSMEG_1227	NA
MSMEG_1228	NA
MSMEG_1229	NA
MSMEG_1230	NA
MSMEG_1231	NA
MSMEG_1232	NA
MSMEG_1234	NA
MSMEG_1235	NA
MSMEG_1236	45
MSMEG_1237	NA
MSMEG_1238	367
