 	CDS_5pUnpairedNt
MSMEG_0121	2
MSMEG_0122	0
MSMEG_0123	0
MSMEG_0124	0
MSMEG_0125	1
MSMEG_0126	9
MSMEG_0127	5
MSMEG_0128	9
MSMEG_0129	5
MSMEG_0130	0
MSMEG_0131	4
MSMEG_0132	4
MSMEG_0133	5
MSMEG_0134	2
MSMEG_0135	1
MSMEG_0136	0
MSMEG_0137	8
MSMEG_0138	0
MSMEG_0139	5
MSMEG_0140	2
MSMEG_0141	1
MSMEG_0142	10
MSMEG_0143	0
MSMEG_0144	2
MSMEG_0145	2
MSMEG_0146	2
MSMEG_0147	0
MSMEG_0148	14
MSMEG_0149	2
MSMEG_0150	13
MSMEG_0151	9
MSMEG_0152	11
MSMEG_0153	9
MSMEG_0154	2
MSMEG_0155	2
MSMEG_0156	2
MSMEG_0157	1
MSMEG_0158	3
MSMEG_0159	17
MSMEG_0160	4
MSMEG_0161	1
MSMEG_0162	22
MSMEG_0163	1
MSMEG_0164	2
MSMEG_0165	2
MSMEG_0166	0
MSMEG_0167	2
MSMEG_0168	6
MSMEG_0169	0
MSMEG_0170	9
MSMEG_0171	8
MSMEG_0172	12
MSMEG_0173	6
MSMEG_0174	0
MSMEG_0175	3
MSMEG_0176	10
MSMEG_0177	1
MSMEG_0178	2
MSMEG_0179	0
MSMEG_0180	7
MSMEG_0181	4
MSMEG_0182	2
MSMEG_0183	11
MSMEG_0184	0
MSMEG_0185	0
MSMEG_0186	1
MSMEG_0187	2
MSMEG_0188	5
MSMEG_0189	5
MSMEG_0190	0
MSMEG_0191	0
MSMEG_0192	1
MSMEG_0193	7
MSMEG_0194	0
MSMEG_0195	1
MSMEG_0196	2
MSMEG_0197	4
MSMEG_0198	2
MSMEG_0200	0
MSMEG_0201	2
MSMEG_0202	0
MSMEG_0203	0
MSMEG_0204	4
MSMEG_0205	5
MSMEG_0206	0
MSMEG_0207	6
MSMEG_0208	5
MSMEG_0209	0
MSMEG_0210	7
MSMEG_0211	1
MSMEG_0212	1
MSMEG_0213	5
MSMEG_0214	2
MSMEG_0215	4
MSMEG_0216	11
MSMEG_0217	6
MSMEG_0218	1
MSMEG_0219	2
MSMEG_0220	0
MSMEG_0221	0
MSMEG_0222	2
MSMEG_0223	5
MSMEG_0224	1
MSMEG_0225	0
MSMEG_0226	4
MSMEG_0227	0
MSMEG_0228	3
MSMEG_0229	1
MSMEG_0230	2
MSMEG_0231	1
MSMEG_0232	3
MSMEG_0233	1
MSMEG_0234	4
MSMEG_0235	6
MSMEG_0236	1
MSMEG_0237	5
MSMEG_0238	6
MSMEG_0239	0
MSMEG_0240	0
MSMEG_0241	4
MSMEG_0242	5
MSMEG_0243	2
MSMEG_0244	2
MSMEG_0245	2
MSMEG_0246	0
MSMEG_0247	2
MSMEG_0248	0
MSMEG_0249	2
MSMEG_0250	0
MSMEG_0251	4
MSMEG_0252	7
MSMEG_0253	4
MSMEG_0254	0
MSMEG_0255	4
MSMEG_0256	2
MSMEG_0257	4
MSMEG_0258	14
MSMEG_0259	2
MSMEG_0260	5
MSMEG_0261	0
MSMEG_0262	4
MSMEG_0263	1
MSMEG_0264	1
MSMEG_0265	2
MSMEG_0266	2
MSMEG_0267	2
MSMEG_0268	4
MSMEG_0269	7
MSMEG_0270	2
MSMEG_0271	2
MSMEG_0272	2
MSMEG_0273	0
MSMEG_0274	2
MSMEG_0275	0
MSMEG_0276	1
MSMEG_0277	11
MSMEG_0278	2
MSMEG_0279	4
MSMEG_0280	0
MSMEG_0281	5
MSMEG_0282	4
MSMEG_0283	1
MSMEG_0284	1
MSMEG_0285	1
MSMEG_0286	7
MSMEG_0287	3
MSMEG_0288	8
MSMEG_0289	0
MSMEG_0290	1
MSMEG_0291	4
MSMEG_0292	2
MSMEG_0293	1
MSMEG_0294	0
MSMEG_0295	5
MSMEG_0296	11
MSMEG_0297	0
MSMEG_0298	3
MSMEG_0299	3
MSMEG_0300	2
MSMEG_0301	0
MSMEG_0302	1
MSMEG_0303	2
MSMEG_0304	6
MSMEG_0305	1
MSMEG_0306	6
MSMEG_0307	7
MSMEG_0308	0
MSMEG_0309	1
MSMEG_0311	2
MSMEG_0312	2
MSMEG_0313	0
MSMEG_0314	5
MSMEG_0315	0
MSMEG_0316	2
MSMEG_0317	6
MSMEG_0318	6
MSMEG_0319	17
MSMEG_0320	7
MSMEG_0321	0
MSMEG_0323	1
MSMEG_0324	4
MSMEG_0325	4
MSMEG_0326	12
MSMEG_0327	2
MSMEG_0328	2
MSMEG_0329	0
MSMEG_0330	0
MSMEG_0331	0
MSMEG_0332	13
MSMEG_0333	2
MSMEG_0334	1
MSMEG_0335	1
MSMEG_0336	0
MSMEG_0337	4
MSMEG_0338	0
MSMEG_0339	2
MSMEG_0340	4
MSMEG_0341	0
MSMEG_0342	2
MSMEG_0343	8
MSMEG_0344	0
MSMEG_0345	4
MSMEG_0346	16
MSMEG_0347	2
MSMEG_0348	0
MSMEG_0349	2
MSMEG_0350	8
MSMEG_0351	2
MSMEG_0352	2
MSMEG_0353	0
MSMEG_0354	1
MSMEG_0355	2
MSMEG_0356	5
MSMEG_0357	4
MSMEG_0358	5
MSMEG_0359	3
MSMEG_0360	2
MSMEG_0361	2
MSMEG_0362	0
MSMEG_0363	2
MSMEG_0364	3
MSMEG_0365	3
MSMEG_0366	2
MSMEG_0367	8
MSMEG_0368	8
MSMEG_0369	2
MSMEG_0370	2
MSMEG_0371	0
MSMEG_0372	0
MSMEG_0373	2
MSMEG_0374	1
MSMEG_0375	0
MSMEG_0376	1
MSMEG_0377	4
MSMEG_0378	0
MSMEG_0379	9
MSMEG_0380	5
MSMEG_0381	3
MSMEG_0382	2
MSMEG_0383	2
MSMEG_0384	2
MSMEG_0385	5
MSMEG_0386	0
MSMEG_0387	2
MSMEG_0388	1
MSMEG_0389	8
MSMEG_0390	2
MSMEG_0391	0
MSMEG_0392	12
MSMEG_0393	2
MSMEG_0394	4
MSMEG_0395	5
MSMEG_0396	2
MSMEG_0397	0
MSMEG_0398	0
MSMEG_0399	3
MSMEG_0400	0
MSMEG_0401	3
MSMEG_0402	0
MSMEG_0403	1
MSMEG_0404	2
MSMEG_0405	2
MSMEG_0406	4
MSMEG_0407	3
MSMEG_0408	2
MSMEG_0409	0
MSMEG_0410	2
MSMEG_0411	8
MSMEG_0412	2
MSMEG_0413	0
MSMEG_0414	6
MSMEG_0415	4
MSMEG_0416	2
MSMEG_0417	2
MSMEG_0418	4
MSMEG_0419	0
MSMEG_0420	0
MSMEG_0421	6
MSMEG_0422	1
MSMEG_0423	0
MSMEG_0424	2
MSMEG_0425	0
MSMEG_0426	0
MSMEG_0427	16
MSMEG_0428	5
MSMEG_0429	0
MSMEG_0430	4
MSMEG_0431	0
MSMEG_0432	0
MSMEG_0433	17
MSMEG_0434	8
MSMEG_0435	1
MSMEG_0436	8
MSMEG_0437	0
MSMEG_0438	0
MSMEG_0439	4
MSMEG_0440	0
MSMEG_0441	2
MSMEG_0442	0
MSMEG_0443	1
MSMEG_0444	0
MSMEG_0445	13
MSMEG_0446	0
MSMEG_0447	4
MSMEG_0448	2
MSMEG_0449	0
MSMEG_0450	0
MSMEG_0451	0
MSMEG_0452	2
MSMEG_0453	7
MSMEG_0454	5
MSMEG_0455	1
MSMEG_0456	0
MSMEG_0457	0
MSMEG_0458	0
MSMEG_0459	5
MSMEG_0460	0
MSMEG_0461	1
MSMEG_0462	5
MSMEG_0463	10
MSMEG_0464	0
MSMEG_0465	4
MSMEG_0466	0
MSMEG_0467	10
MSMEG_0468	0
MSMEG_0469	12
MSMEG_0470	0
MSMEG_0471	5
MSMEG_0472	7
MSMEG_0473	0
MSMEG_0474	2
MSMEG_0475	0
MSMEG_0476	0
MSMEG_0477	0
MSMEG_0478	2
MSMEG_0479	2
MSMEG_0480	7
MSMEG_0481	3
MSMEG_0482	0
MSMEG_0483	1
MSMEG_0484	2
MSMEG_0485	1
MSMEG_0486	4
MSMEG_0487	7
MSMEG_0488	3
MSMEG_0489	1
MSMEG_0490	2
MSMEG_0491	0
MSMEG_0492	9
MSMEG_0493	5
MSMEG_0494	2
MSMEG_0496	7
MSMEG_0497	1
MSMEG_0498	0
MSMEG_0499	6
MSMEG_0500	2
MSMEG_0501	4
MSMEG_0502	7
MSMEG_0503	0
MSMEG_0504	0
MSMEG_0505	1
MSMEG_0506	2
MSMEG_0507	0
MSMEG_0508	2
MSMEG_0509	5
MSMEG_0510	4
MSMEG_0511	5
MSMEG_0512	0
MSMEG_0513	2
MSMEG_0514	0
MSMEG_0515	5
MSMEG_0516	2
MSMEG_0517	0
MSMEG_0518	2
MSMEG_0519	0
MSMEG_0520	5
MSMEG_0522	10
MSMEG_0523	4
MSMEG_0524	4
MSMEG_0525	13
MSMEG_0526	19
MSMEG_0527	0
MSMEG_0528	2
MSMEG_0529	2
MSMEG_0530	6
MSMEG_0531	4
MSMEG_0532	2
MSMEG_0533	0
MSMEG_0534	4
MSMEG_0535	0
MSMEG_0536	15
MSMEG_0537	2
MSMEG_0538	0
MSMEG_0539	6
MSMEG_0540	17
MSMEG_0541	3
MSMEG_0542	7
MSMEG_0543	0
MSMEG_0544	0
MSMEG_0545	0
MSMEG_0546	0
MSMEG_0547	16
MSMEG_0548	1
MSMEG_0549	3
MSMEG_0550	1
MSMEG_0551	0
MSMEG_0552	4
MSMEG_0553	0
MSMEG_0554	2
MSMEG_0555	10
MSMEG_0556	4
MSMEG_0557	1
MSMEG_0558	6
MSMEG_0559	0
MSMEG_0560	0
MSMEG_0561	0
MSMEG_0562	2
MSMEG_0563	2
MSMEG_0564	0
MSMEG_0565	0
MSMEG_0566	1
MSMEG_0567	1
MSMEG_0568	0
MSMEG_0569	2
MSMEG_0570	1
MSMEG_0571	12
MSMEG_0572	2
MSMEG_0573	2
MSMEG_0574	1
MSMEG_0575	0
MSMEG_0576	9
MSMEG_0577	2
MSMEG_0578	9
MSMEG_0579	2
MSMEG_0580	5
MSMEG_0581	0
MSMEG_0582	11
MSMEG_0583	0
MSMEG_0584	2
MSMEG_0585	2
MSMEG_0586	0
MSMEG_0587	0
MSMEG_0588	5
MSMEG_0589	1
MSMEG_0590	8
MSMEG_0591	4
MSMEG_0592	2
MSMEG_0593	3
MSMEG_0594	4
MSMEG_0595	2
MSMEG_0596	2
MSMEG_0597	1
MSMEG_0598	2
MSMEG_0599	2
MSMEG_0600	7
MSMEG_0601	5
MSMEG_0602	5
MSMEG_0603	1
MSMEG_0604	0
MSMEG_0605	7
MSMEG_0606	0
MSMEG_0607	1
MSMEG_0608	7
MSMEG_0609	2
MSMEG_0610	5
MSMEG_0611	10
MSMEG_0612	4
MSMEG_0613	2
MSMEG_0614	0
MSMEG_0615	0
MSMEG_0616	6
MSMEG_0617	6
MSMEG_0618	2
MSMEG_0619	4
MSMEG_0620	4
MSMEG_0621	2
MSMEG_0622	1
MSMEG_0623	0
MSMEG_0624	0
MSMEG_0625	0
MSMEG_0626	5
MSMEG_0627	5
MSMEG_0628	0
MSMEG_0629	1
MSMEG_0630	3
MSMEG_0632	0
MSMEG_0633	4
MSMEG_0634	0
MSMEG_0635	1
MSMEG_0636	0
MSMEG_0637	0
MSMEG_0638	4
MSMEG_0639	0
MSMEG_0640	1
MSMEG_0641	2
MSMEG_0642	0
MSMEG_0643	8
MSMEG_0644	2
MSMEG_0645	0
MSMEG_0646	6
MSMEG_0647	0
MSMEG_0648	0
MSMEG_0649	5
MSMEG_0650	3
MSMEG_0651	0
MSMEG_0652	0
MSMEG_0654	4
MSMEG_0655	2
MSMEG_0656	2
MSMEG_0657	0
MSMEG_0658	8
MSMEG_0659	2
MSMEG_0660	6
MSMEG_0661	0
MSMEG_0662	0
MSMEG_0663	4
MSMEG_0664	2
MSMEG_0665	7
MSMEG_0666	0
MSMEG_0667	5
MSMEG_0668	6
MSMEG_0669	0
MSMEG_0670	1
MSMEG_0671	4
MSMEG_0672	2
MSMEG_0673	4
MSMEG_0674	1
MSMEG_0675	4
MSMEG_0676	2
MSMEG_0678	2
MSMEG_0679	0
MSMEG_0680	0
MSMEG_0681	2
MSMEG_0682	1
MSMEG_0683	10
MSMEG_0684	4
MSMEG_0685	6
MSMEG_0686	0
MSMEG_0687	0
MSMEG_0688	0
MSMEG_0689	4
MSMEG_0690	0
MSMEG_0691	2
MSMEG_0692	13
MSMEG_0693	4
MSMEG_0695	0
MSMEG_0696	2
MSMEG_0697	2
MSMEG_0698	4
MSMEG_0699	4
MSMEG_0700	0
MSMEG_0701	0
MSMEG_0702	0
MSMEG_0703	6
MSMEG_0704	1
MSMEG_0705	2
MSMEG_0706	2
MSMEG_0707	7
MSMEG_0708	0
MSMEG_0709	1
MSMEG_0710	4
MSMEG_0711	3
MSMEG_0712	0
MSMEG_0713	3
MSMEG_0714	6
MSMEG_0715	4
MSMEG_0716	0
MSMEG_0717	2
MSMEG_0718	0
MSMEG_0719	3
MSMEG_0720	2
MSMEG_0722	6
MSMEG_0723	10
MSMEG_0724	3
MSMEG_0725	3
MSMEG_0726	4
MSMEG_0727	8
MSMEG_0728	15
MSMEG_0729	4
MSMEG_0730	2
MSMEG_0731	0
MSMEG_0732	0
MSMEG_0733	2
MSMEG_0734	0
MSMEG_0735	1
MSMEG_0736	8
MSMEG_0737	12
MSMEG_0738	0
MSMEG_0739	0
MSMEG_0740	5
MSMEG_0741	1
MSMEG_0742	0
MSMEG_0743	1
MSMEG_0744	5
MSMEG_0745	0
MSMEG_0746	1
MSMEG_0747	1
MSMEG_0748	2
MSMEG_0749	5
MSMEG_0750	0
MSMEG_0751	6
MSMEG_0752	1
MSMEG_0753	3
MSMEG_0754	2
MSMEG_0755	0
MSMEG_0756	2
MSMEG_0757	17
MSMEG_0758	0
MSMEG_0759	2
MSMEG_0760	2
MSMEG_0761	9
MSMEG_0762	8
MSMEG_0763	2
MSMEG_0764	0
MSMEG_0765	4
MSMEG_0766	8
MSMEG_0767	1
MSMEG_0768	3
MSMEG_0769	7
MSMEG_0770	0
MSMEG_0771	1
MSMEG_0772	2
MSMEG_0773	0
MSMEG_0775	2
MSMEG_0776	0
MSMEG_0777	0
MSMEG_0778	12
MSMEG_0779	0
MSMEG_0780	2
MSMEG_0781	3
MSMEG_0782	1
MSMEG_0783	2
MSMEG_0784	0
MSMEG_0785	2
MSMEG_0786	13
MSMEG_0787	0
MSMEG_0788	0
MSMEG_0789	1
MSMEG_0790	3
MSMEG_0791	4
MSMEG_0792	4
MSMEG_0793	0
MSMEG_0794	0
MSMEG_0795	1
MSMEG_0796	4
MSMEG_0798	0
MSMEG_0799	0
MSMEG_0800	0
MSMEG_0801	0
MSMEG_0802	0
MSMEG_0803	0
MSMEG_0804	7
MSMEG_0805	2
MSMEG_0806	0
MSMEG_0807	5
MSMEG_0808	2
MSMEG_0809	0
MSMEG_0810	0
MSMEG_0811	9
MSMEG_0812	0
MSMEG_0813	2
MSMEG_0814	1
MSMEG_0815	2
MSMEG_0816	2
MSMEG_0817	2
MSMEG_0818	2
MSMEG_0819	2
MSMEG_0820	5
MSMEG_0821	4
MSMEG_0822	7
MSMEG_0823	3
MSMEG_0824	2
MSMEG_0825	4
MSMEG_0826	0
MSMEG_0827	2
MSMEG_0828	2
MSMEG_0829	2
MSMEG_0830	2
MSMEG_0831	4
MSMEG_0832	3
MSMEG_0833	5
MSMEG_0834	2
MSMEG_0835	8
MSMEG_0836	1
MSMEG_0837	2
MSMEG_0838	2
MSMEG_0839	4
MSMEG_0840	2
MSMEG_0842	5
MSMEG_0843	0
MSMEG_0844	0
MSMEG_0845	0
MSMEG_0846	0
MSMEG_0847	5
MSMEG_0848	1
MSMEG_0849	0
MSMEG_0850	1
MSMEG_0851	0
MSMEG_0852	6
MSMEG_0853	1
MSMEG_0854	4
MSMEG_0855	0
MSMEG_0856	0
MSMEG_0857	0
MSMEG_0858	1
MSMEG_0859	1
MSMEG_0860	8
MSMEG_0861	2
MSMEG_0862	3
MSMEG_0863	4
MSMEG_0864	4
MSMEG_0865	2
MSMEG_0866	1
MSMEG_0867	2
MSMEG_0868	2
MSMEG_0869	14
MSMEG_0870	2
MSMEG_0871	1
MSMEG_0872	0
MSMEG_0873	2
MSMEG_0874	4
MSMEG_0875	3
MSMEG_0876	10
MSMEG_0877	2
MSMEG_0878	2
MSMEG_0879	0
MSMEG_0880	3
MSMEG_0881	12
MSMEG_0882	2
MSMEG_0883	15
MSMEG_0884	0
MSMEG_0885	1
MSMEG_0886	4
MSMEG_0887	1
MSMEG_0888	0
MSMEG_0889	2
MSMEG_0890	10
MSMEG_0891	1
MSMEG_0892	0
MSMEG_0893	6
MSMEG_0894	12
MSMEG_0895	0
MSMEG_0896	2
MSMEG_0897	5
MSMEG_0898	5
MSMEG_0899	0
MSMEG_0900	20
MSMEG_0901	5
MSMEG_0902	0
MSMEG_0903	0
MSMEG_0904	7
MSMEG_0905	7
MSMEG_0906	4
MSMEG_0907	9
MSMEG_0908	2
MSMEG_0909	2
MSMEG_0910	0
MSMEG_0911	2
MSMEG_0912	20
MSMEG_0913	9
MSMEG_0914	1
MSMEG_0915	1
MSMEG_0916	2
MSMEG_0917	0
MSMEG_0918	1
MSMEG_0919	1
MSMEG_0920	19
MSMEG_0921	6
MSMEG_0922	1
MSMEG_0923	5
MSMEG_0924	2
MSMEG_0925	2
MSMEG_0926	1
MSMEG_0927	2
MSMEG_0928	0
MSMEG_0929	1
MSMEG_0930	22
MSMEG_0931	0
MSMEG_0932	0
MSMEG_0933	0
MSMEG_0934	6
MSMEG_0935	1
MSMEG_0936	1
MSMEG_0937	0
MSMEG_0938	0
MSMEG_0939	0
MSMEG_0940	4
MSMEG_0941	2
MSMEG_0942	2
MSMEG_0943	3
MSMEG_0944	5
MSMEG_0945	2
MSMEG_0946	0
MSMEG_0947	0
MSMEG_0948	0
MSMEG_0949	4
MSMEG_0950	3
MSMEG_0951	0
MSMEG_0952	1
MSMEG_0953	7
MSMEG_0954	2
MSMEG_0955	5
MSMEG_0956	2
MSMEG_0957	5
MSMEG_0958	2
MSMEG_0959	2
MSMEG_0960	0
MSMEG_0962	6
MSMEG_0963	1
MSMEG_0964	2
MSMEG_0965	4
MSMEG_0966	3
MSMEG_0967	6
MSMEG_0968	1
MSMEG_0969	6
MSMEG_0970	0
MSMEG_0971	2
MSMEG_0972	5
MSMEG_0973	3
MSMEG_0974	0
MSMEG_0975	0
MSMEG_0976	5
MSMEG_0977	0
MSMEG_0978	5
MSMEG_0979	4
MSMEG_0980	11
MSMEG_0981	2
MSMEG_0982	2
MSMEG_0983	3
MSMEG_0984	2
MSMEG_0985	7
MSMEG_0986	2
MSMEG_0987	2
MSMEG_0988	2
MSMEG_0989	5
MSMEG_0990	0
MSMEG_0991	5
MSMEG_0992	0
MSMEG_0993	1
MSMEG_0994	2
MSMEG_0995	0
MSMEG_0996	1
MSMEG_0997	0
MSMEG_0998	1
MSMEG_0999	2
MSMEG_1000	11
MSMEG_1001	0
MSMEG_1002	0
MSMEG_1003	0
MSMEG_1004	2
MSMEG_1005	4
MSMEG_1006	0
MSMEG_1007	3
MSMEG_1008	6
MSMEG_1009	1
MSMEG_1010	6
MSMEG_1011	1
MSMEG_1012	0
MSMEG_1013	1
MSMEG_1014	4
MSMEG_1015	0
MSMEG_1016	3
MSMEG_1017	1
MSMEG_1019	0
MSMEG_1021	3
MSMEG_1022	2
MSMEG_1023	2
MSMEG_1024	5
MSMEG_1025	2
MSMEG_1026	3
MSMEG_1027	1
MSMEG_1028	0
MSMEG_1029	0
MSMEG_1030	5
MSMEG_1031	2
MSMEG_1032	6
MSMEG_1033	0
MSMEG_1034	2
MSMEG_1035	0
MSMEG_1037	1
MSMEG_1038	0
MSMEG_1039	0
MSMEG_1041	0
MSMEG_1042	8
MSMEG_1043	0
MSMEG_1044	2
MSMEG_1045	0
MSMEG_1046	11
MSMEG_1047	9
MSMEG_1048	4
MSMEG_1049	0
MSMEG_1050	0
MSMEG_1051	2
MSMEG_1052	0
MSMEG_1053	2
MSMEG_1054	27
MSMEG_1055	1
MSMEG_1057	3
MSMEG_1058	1
MSMEG_1059	0
MSMEG_1060	0
MSMEG_1061	1
MSMEG_1062	0
MSMEG_1063	0
MSMEG_1064	1
MSMEG_1065	2
MSMEG_1066	2
MSMEG_1067	5
MSMEG_1068	0
MSMEG_1069	0
MSMEG_1070	1
MSMEG_1071	5
MSMEG_1072	2
MSMEG_1073	9
MSMEG_1074	3
MSMEG_1075	3
MSMEG_1076	9
MSMEG_1077	1
MSMEG_1078	2
MSMEG_1079	6
MSMEG_1080	2
MSMEG_1081	2
MSMEG_1082	8
MSMEG_1083	3
MSMEG_1084	2
MSMEG_1085	1
MSMEG_1086	3
MSMEG_1088	2
MSMEG_1089	2
MSMEG_1090	10
MSMEG_1091	5
MSMEG_1092	5
MSMEG_1093	0
MSMEG_1094	8
MSMEG_1095	8
MSMEG_1096	0
MSMEG_1097	2
MSMEG_1098	8
MSMEG_1099	1
MSMEG_1100	1
MSMEG_1101	2
MSMEG_1102	0
MSMEG_1103	9
MSMEG_1104	2
MSMEG_1106	1
MSMEG_1107	1
MSMEG_1108	0
MSMEG_1109	16
MSMEG_1110	2
MSMEG_1111	0
MSMEG_1112	3
MSMEG_1113	1
MSMEG_1114	4
MSMEG_1115	0
MSMEG_1116	2
MSMEG_1117	0
MSMEG_1118	0
MSMEG_1119	0
MSMEG_1120	1
MSMEG_1121	3
MSMEG_1122	5
MSMEG_1123	0
MSMEG_1124	4
MSMEG_1125	2
MSMEG_1126	5
MSMEG_1127	2
MSMEG_1128	14
MSMEG_1129	2
MSMEG_1130	0
MSMEG_1131	1
MSMEG_1132	1
MSMEG_1133	0
MSMEG_1134	5
MSMEG_1135	13
MSMEG_1136	0
MSMEG_1137	14
MSMEG_1138	0
MSMEG_1139	3
MSMEG_1140	1
MSMEG_1141	5
MSMEG_1142	2
MSMEG_1143	2
MSMEG_1144	2
MSMEG_1145	0
MSMEG_1146	5
MSMEG_1147	0
MSMEG_1148	2
MSMEG_1149	13
MSMEG_1150	0
MSMEG_1151	2
MSMEG_1152	3
MSMEG_1153	7
MSMEG_1154	13
MSMEG_1155	4
MSMEG_1156	3
MSMEG_1157	0
MSMEG_1158	22
MSMEG_1159	2
MSMEG_1160	17
MSMEG_1161	0
MSMEG_1162	6
MSMEG_1163	2
MSMEG_1165	2
MSMEG_1167	6
MSMEG_1168	0
MSMEG_1169	1
MSMEG_1170	0
MSMEG_1171	2
MSMEG_1172	2
MSMEG_1173	0
MSMEG_1174	17
MSMEG_1175	2
MSMEG_1176	0
MSMEG_1177	2
MSMEG_1178	2
MSMEG_1179	9
MSMEG_1180	0
MSMEG_1181	0
MSMEG_1182	0
MSMEG_1183	1
MSMEG_1184	4
MSMEG_1185	3
MSMEG_1186	0
MSMEG_1187	5
MSMEG_1188	0
MSMEG_1189	3
MSMEG_1190	1
MSMEG_1191	0
MSMEG_1192	2
MSMEG_1193	0
MSMEG_1194	4
MSMEG_1195	2
MSMEG_1196	7
MSMEG_1197	5
MSMEG_1198	2
MSMEG_1199	4
MSMEG_1200	1
MSMEG_1201	0
MSMEG_1202	10
MSMEG_1203	2
MSMEG_1204	1
MSMEG_1205	11
MSMEG_1206	1
MSMEG_1207	0
MSMEG_1208	0
MSMEG_1209	0
MSMEG_1210	0
MSMEG_1211	0
MSMEG_1212	7
MSMEG_1213	0
MSMEG_1214	0
MSMEG_1215	4
MSMEG_1216	4
MSMEG_1217	1
MSMEG_1218	2
MSMEG_1219	7
MSMEG_1220	10
MSMEG_1221	1
MSMEG_1222	0
MSMEG_1223	0
MSMEG_1224	0
MSMEG_1225	4
MSMEG_1226	2
MSMEG_1227	1
MSMEG_1228	1
MSMEG_1229	1
MSMEG_1230	3
MSMEG_1231	0
MSMEG_1232	1
MSMEG_1234	0
MSMEG_1235	8
MSMEG_1236	14
MSMEG_1237	9
MSMEG_1238	4
MSMEG_1239	4
MSMEG_1240	5
MSMEG_1241	2
MSMEG_1242	1
MSMEG_1243	0
MSMEG_1244	5
MSMEG_1245	3
MSMEG_1246	1
MSMEG_1247	2
MSMEG_1248	2
MSMEG_1249	2
MSMEG_1250	0
MSMEG_1251	0
MSMEG_1252	6
MSMEG_1253	1
MSMEG_1254	10
MSMEG_1255	0
MSMEG_1256	4
MSMEG_1257	0
MSMEG_1258	0
MSMEG_1259	4
MSMEG_1260	2
MSMEG_1261	10
MSMEG_1262	0
MSMEG_1263	0
MSMEG_1264	2
MSMEG_1265	0
MSMEG_1266	12
MSMEG_1268	3
MSMEG_1269	19
MSMEG_1270	1
MSMEG_1271	7
MSMEG_1272	2
MSMEG_1273	13
MSMEG_1274	6
MSMEG_1275	4
MSMEG_1276	0
MSMEG_1277	4
MSMEG_1278	2
MSMEG_1279	8
MSMEG_1280	4
MSMEG_1281	2
MSMEG_1282	0
MSMEG_1283	1
MSMEG_1284	2
MSMEG_1285	4
MSMEG_1286	6
MSMEG_1287	12
MSMEG_1288	0
MSMEG_1289	9
MSMEG_1290	2
MSMEG_1291	3
MSMEG_1292	0
MSMEG_1293	1
MSMEG_1294	5
MSMEG_1295	10
MSMEG_1296	1
MSMEG_1297	0
MSMEG_1298	1
MSMEG_1299	13
