 	MFE_unfold
MSMEG_0119	2.6000
MSMEG_0120	NA
MSMEG_0121	NA
MSMEG_0122	NA
MSMEG_0123	NA
MSMEG_0124	17.2000
MSMEG_0125	NA
MSMEG_0126	NA
MSMEG_0127	5.1000
MSMEG_0128	2.5000
MSMEG_0129	7.2000
MSMEG_0130	8.3000
MSMEG_0131	5.5000
MSMEG_0132	13.8000
MSMEG_0133	12.2000
MSMEG_0134	NA
MSMEG_0135	NA
MSMEG_0136	NA
MSMEG_0137	NA
MSMEG_0138	NA
MSMEG_0139	NA
MSMEG_0140	5.3000
MSMEG_0141	NA
MSMEG_0142	14.0000
MSMEG_0143	10.9000
MSMEG_0144	NA
MSMEG_0145	15.9000
MSMEG_0146	8.4000
MSMEG_0147	NA
MSMEG_0148	2.6000
MSMEG_0149	NA
MSMEG_0150	NA
MSMEG_0151	NA
MSMEG_0152	13.9000
MSMEG_0153	11.3000
MSMEG_0154	NA
MSMEG_0155	4.8000
MSMEG_0156	NA
MSMEG_0157	NA
MSMEG_0158	NA
MSMEG_0159	NA
MSMEG_0160	NA
MSMEG_0161	NA
MSMEG_0162	NA
MSMEG_0163	NA
MSMEG_0164	NA
MSMEG_0165	NA
MSMEG_0166	10.1000
MSMEG_0167	14.5000
MSMEG_0168	10.1000
MSMEG_0169	NA
MSMEG_0170	NA
MSMEG_0171	NA
MSMEG_0172	NA
MSMEG_0173	14.0000
MSMEG_0174	10.7000
MSMEG_0175	NA
MSMEG_0176	NA
MSMEG_0177	NA
MSMEG_0178	NA
MSMEG_0179	10.3000
MSMEG_0180	0.0000
MSMEG_0181	10.6000
MSMEG_0182	NA
MSMEG_0183	NA
MSMEG_0184	NA
MSMEG_0185	NA
MSMEG_0186	7.2000
MSMEG_0187	NA
MSMEG_0188	8.8000
MSMEG_0189	NA
MSMEG_0190	NA
MSMEG_0191	17.3000
MSMEG_0192	NA
MSMEG_0193	NA
MSMEG_0194	4.0000
MSMEG_0195	4.4000
MSMEG_0196	NA
MSMEG_0197	NA
MSMEG_0198	NA
MSMEG_0200	NA
MSMEG_0201	NA
MSMEG_0202	NA
MSMEG_0203	7.7000
MSMEG_0204	NA
MSMEG_0205	NA
MSMEG_0206	NA
MSMEG_0207	NA
MSMEG_0208	26.0000
MSMEG_0209	NA
MSMEG_0210	13.4000
MSMEG_0211	NA
MSMEG_0212	1.4000
MSMEG_0213	10.2000
MSMEG_0214	NA
MSMEG_0215	5.3000
MSMEG_0216	NA
MSMEG_0217	NA
MSMEG_0218	6.9000
MSMEG_0219	NA
MSMEG_0220	NA
MSMEG_0221	NA
MSMEG_0222	6.4300
MSMEG_0223	NA
MSMEG_0224	10.7000
MSMEG_0225	NA
MSMEG_0226	8.4000
MSMEG_0227	18.2000
MSMEG_0228	NA
MSMEG_0229	5.6000
MSMEG_0230	9.2000
MSMEG_0231	4.4000
MSMEG_0232	NA
MSMEG_0233	12.2000
MSMEG_0234	7.9000
MSMEG_0235	6.4000
MSMEG_0236	NA
MSMEG_0237	NA
MSMEG_0238	NA
MSMEG_0239	6.8000
MSMEG_0240	12.7000
MSMEG_0241	6.4000
MSMEG_0242	13.2000
MSMEG_0243	12.6000
MSMEG_0244	NA
MSMEG_0245	9.9000
MSMEG_0246	NA
MSMEG_0247	NA
MSMEG_0248	6.1000
MSMEG_0249	NA
MSMEG_0250	6.8000
MSMEG_0251	NA
MSMEG_0252	13.2000
MSMEG_0253	12.2000
MSMEG_0254	NA
MSMEG_0255	6.5000
MSMEG_0256	NA
MSMEG_0257	3.6000
MSMEG_0258	NA
MSMEG_0259	NA
MSMEG_0260	NA
MSMEG_0261	1.7000
MSMEG_0262	NA
MSMEG_0263	NA
MSMEG_0264	16.9000
MSMEG_0265	NA
MSMEG_0266	NA
MSMEG_0267	NA
MSMEG_0268	8.8000
MSMEG_0269	NA
MSMEG_0270	3.7000
MSMEG_0271	NA
MSMEG_0272	NA
MSMEG_0273	NA
MSMEG_0274	NA
MSMEG_0275	NA
MSMEG_0276	NA
MSMEG_0277	NA
MSMEG_0278	NA
MSMEG_0279	NA
MSMEG_0280	NA
MSMEG_0281	NA
MSMEG_0282	9.4000
MSMEG_0283	NA
MSMEG_0284	NA
MSMEG_0285	9.9000
MSMEG_0286	NA
MSMEG_0287	3.0000
MSMEG_0288	NA
MSMEG_0289	3.1000
MSMEG_0290	16.5000
MSMEG_0291	NA
MSMEG_0292	NA
MSMEG_0293	NA
MSMEG_0294	NA
MSMEG_0295	NA
MSMEG_0296	9.8000
MSMEG_0297	NA
MSMEG_0298	NA
MSMEG_0299	14.4000
MSMEG_0300	7.9000
MSMEG_0301	0.0000
MSMEG_0302	NA
MSMEG_0303	5.2000
MSMEG_0304	NA
MSMEG_0305	11.1000
MSMEG_0306	NA
MSMEG_0307	NA
MSMEG_0308	NA
MSMEG_0309	9.8000
MSMEG_0311	NA
MSMEG_0312	NA
MSMEG_0313	NA
MSMEG_0314	9.1000
MSMEG_0315	NA
MSMEG_0316	NA
MSMEG_0317	12.0300
MSMEG_0318	NA
MSMEG_0319	12.4000
MSMEG_0320	NA
MSMEG_0321	14.9000
MSMEG_0323	NA
MSMEG_0324	NA
MSMEG_0325	NA
MSMEG_0326	NA
MSMEG_0327	NA
MSMEG_0328	NA
MSMEG_0329	NA
MSMEG_0330	NA
MSMEG_0331	9.4000
MSMEG_0332	NA
MSMEG_0333	NA
MSMEG_0334	NA
MSMEG_0335	NA
MSMEG_0336	NA
MSMEG_0337	NA
MSMEG_0338	NA
MSMEG_0339	NA
MSMEG_0340	NA
MSMEG_0341	14.8000
MSMEG_0342	NA
MSMEG_0343	NA
MSMEG_0344	NA
MSMEG_0345	NA
MSMEG_0346	NA
MSMEG_0347	NA
MSMEG_0348	9.5000
MSMEG_0349	NA
MSMEG_0350	NA
MSMEG_0351	NA
MSMEG_0352	NA
MSMEG_0353	NA
MSMEG_0354	NA
MSMEG_0355	NA
MSMEG_0356	4.6000
MSMEG_0357	NA
MSMEG_0358	8.3000
MSMEG_0359	15.9000
MSMEG_0360	3.7000
MSMEG_0361	1.0000
MSMEG_0362	NA
MSMEG_0363	NA
MSMEG_0364	8.8000
MSMEG_0365	NA
MSMEG_0366	13.3000
MSMEG_0367	1.4000
MSMEG_0368	13.2000
MSMEG_0369	NA
MSMEG_0370	NA
MSMEG_0371	NA
MSMEG_0372	9.6000
MSMEG_0373	0.0000
MSMEG_0374	NA
MSMEG_0375	NA
MSMEG_0376	13.3000
MSMEG_0377	NA
MSMEG_0378	NA
MSMEG_0379	NA
MSMEG_0380	9.3000
MSMEG_0381	7.6000
MSMEG_0382	6.7000
MSMEG_0383	6.1000
MSMEG_0384	12.4300
MSMEG_0385	NA
MSMEG_0386	NA
MSMEG_0387	9.1000
MSMEG_0388	20.8000
MSMEG_0389	NA
MSMEG_0390	NA
MSMEG_0391	5.6000
MSMEG_0392	10.7900
MSMEG_0393	7.6000
MSMEG_0394	4.0000
MSMEG_0395	NA
MSMEG_0396	NA
MSMEG_0397	NA
MSMEG_0398	7.7000
MSMEG_0399	7.8000
MSMEG_0400	NA
MSMEG_0401	NA
MSMEG_0402	6.1000
MSMEG_0403	NA
MSMEG_0404	7.6000
MSMEG_0405	NA
MSMEG_0406	10.6000
MSMEG_0407	9.4000
MSMEG_0408	11.2000
MSMEG_0409	10.3000
MSMEG_0410	10.5000
MSMEG_0411	10.0000
MSMEG_0412	13.7000
MSMEG_0413	NA
MSMEG_0414	NA
MSMEG_0415	NA
MSMEG_0416	4.9000
MSMEG_0417	NA
MSMEG_0418	NA
MSMEG_0419	8.3000
MSMEG_0420	9.9000
MSMEG_0421	NA
MSMEG_0422	10.2000
MSMEG_0423	12.5000
MSMEG_0424	NA
MSMEG_0425	NA
MSMEG_0426	NA
MSMEG_0427	NA
MSMEG_0428	7.0600
MSMEG_0429	14.4000
MSMEG_0430	NA
MSMEG_0431	NA
MSMEG_0432	NA
MSMEG_0433	6.6000
MSMEG_0434	3.6000
MSMEG_0435	NA
MSMEG_0436	5.2000
MSMEG_0437	4.3000
MSMEG_0438	0.2000
MSMEG_0439	NA
MSMEG_0440	NA
MSMEG_0441	10.5000
MSMEG_0442	NA
MSMEG_0443	4.1000
MSMEG_0444	NA
MSMEG_0445	NA
MSMEG_0446	NA
MSMEG_0447	3.0000
MSMEG_0448	2.5000
MSMEG_0449	12.9000
MSMEG_0450	11.9000
MSMEG_0451	9.2000
MSMEG_0452	NA
MSMEG_0453	7.3000
MSMEG_0454	NA
MSMEG_0455	12.0000
MSMEG_0456	NA
MSMEG_0457	5.6000
MSMEG_0458	NA
MSMEG_0459	NA
MSMEG_0460	NA
MSMEG_0461	NA
MSMEG_0462	9.8000
MSMEG_0463	NA
MSMEG_0464	3.1000
MSMEG_0465	5.5000
MSMEG_0466	10.3600
MSMEG_0467	NA
MSMEG_0468	NA
MSMEG_0469	5.6000
MSMEG_0470	NA
MSMEG_0471	6.3000
MSMEG_0472	NA
MSMEG_0473	16.9000
MSMEG_0474	NA
MSMEG_0475	NA
MSMEG_0476	NA
MSMEG_0477	NA
MSMEG_0478	NA
MSMEG_0479	NA
MSMEG_0480	3.9000
MSMEG_0481	NA
MSMEG_0482	NA
MSMEG_0483	NA
MSMEG_0484	5.6000
MSMEG_0485	NA
MSMEG_0486	NA
MSMEG_0487	NA
MSMEG_0488	NA
MSMEG_0489	NA
MSMEG_0490	NA
MSMEG_0491	13.2000
MSMEG_0492	11.2000
MSMEG_0493	10.7000
MSMEG_0494	6.9000
MSMEG_0496	NA
MSMEG_0497	NA
MSMEG_0498	NA
MSMEG_0499	11.6300
MSMEG_0500	9.7000
MSMEG_0501	NA
MSMEG_0502	NA
MSMEG_0503	NA
MSMEG_0504	12.5000
MSMEG_0505	NA
MSMEG_0506	NA
MSMEG_0507	NA
MSMEG_0508	NA
MSMEG_0509	NA
MSMEG_0510	NA
MSMEG_0511	NA
MSMEG_0512	NA
MSMEG_0513	NA
MSMEG_0514	NA
MSMEG_0515	NA
MSMEG_0516	NA
MSMEG_0517	NA
MSMEG_0518	NA
MSMEG_0519	10.8000
MSMEG_0520	14.7000
MSMEG_0522	NA
MSMEG_0523	NA
MSMEG_0524	NA
MSMEG_0525	NA
MSMEG_0526	NA
MSMEG_0527	NA
MSMEG_0528	NA
MSMEG_0529	NA
MSMEG_0530	4.3000
MSMEG_0531	7.5000
MSMEG_0532	NA
MSMEG_0533	NA
MSMEG_0534	NA
MSMEG_0535	NA
MSMEG_0536	NA
MSMEG_0537	4.4000
MSMEG_0538	1.8000
MSMEG_0539	9.1000
MSMEG_0540	6.9000
MSMEG_0541	1.8000
MSMEG_0542	NA
MSMEG_0543	NA
MSMEG_0544	6.8000
MSMEG_0545	8.5000
MSMEG_0546	4.5000
MSMEG_0547	NA
MSMEG_0548	4.8000
MSMEG_0549	12.6000
MSMEG_0550	NA
MSMEG_0551	3.9000
MSMEG_0552	NA
MSMEG_0553	NA
MSMEG_0554	NA
MSMEG_0555	NA
MSMEG_0556	NA
MSMEG_0557	6.5000
MSMEG_0558	NA
MSMEG_0559	8.1000
MSMEG_0560	12.1000
MSMEG_0561	16.0000
MSMEG_0562	NA
MSMEG_0563	3.9000
MSMEG_0564	9.4000
MSMEG_0565	NA
MSMEG_0566	15.0000
MSMEG_0567	NA
MSMEG_0568	NA
MSMEG_0569	NA
MSMEG_0570	NA
MSMEG_0571	NA
MSMEG_0572	3.9000
MSMEG_0573	NA
MSMEG_0574	10.8000
MSMEG_0575	13.1000
MSMEG_0576	NA
MSMEG_0577	NA
MSMEG_0578	3.3000
MSMEG_0579	NA
MSMEG_0580	1.6000
MSMEG_0581	7.9000
MSMEG_0582	NA
MSMEG_0583	17.9000
MSMEG_0584	NA
MSMEG_0585	NA
MSMEG_0586	10.3000
MSMEG_0587	NA
MSMEG_0588	NA
MSMEG_0589	NA
MSMEG_0590	NA
MSMEG_0591	NA
MSMEG_0592	12.6000
MSMEG_0593	NA
MSMEG_0594	NA
MSMEG_0595	15.6000
MSMEG_0596	9.2000
MSMEG_0597	NA
MSMEG_0598	11.3000
MSMEG_0599	8.9000
MSMEG_0600	9.7000
MSMEG_0601	NA
MSMEG_0602	18.5200
MSMEG_0603	7.0000
MSMEG_0604	NA
MSMEG_0605	15.8000
MSMEG_0606	7.5000
MSMEG_0607	8.0000
MSMEG_0608	5.6000
MSMEG_0609	3.4000
MSMEG_0610	NA
MSMEG_0611	NA
MSMEG_0612	8.2000
MSMEG_0613	NA
MSMEG_0614	5.9000
MSMEG_0615	17.0600
MSMEG_0616	NA
MSMEG_0617	NA
MSMEG_0618	NA
MSMEG_0619	NA
MSMEG_0620	NA
MSMEG_0621	NA
MSMEG_0622	NA
MSMEG_0623	3.6000
MSMEG_0624	NA
MSMEG_0625	3.6000
MSMEG_0626	NA
MSMEG_0627	NA
MSMEG_0628	NA
MSMEG_0629	7.3000
MSMEG_0630	NA
MSMEG_0632	1.4000
MSMEG_0633	7.0000
MSMEG_0634	8.0000
MSMEG_0635	12.1000
MSMEG_0636	3.5000
MSMEG_0637	NA
MSMEG_0638	NA
MSMEG_0639	NA
MSMEG_0640	NA
MSMEG_0641	10.4000
MSMEG_0642	NA
MSMEG_0643	6.8000
MSMEG_0644	NA
MSMEG_0645	9.2000
MSMEG_0646	NA
MSMEG_0647	NA
MSMEG_0648	NA
MSMEG_0649	NA
MSMEG_0650	NA
MSMEG_0651	NA
MSMEG_0652	NA
MSMEG_0654	NA
MSMEG_0655	NA
MSMEG_0656	NA
MSMEG_0657	NA
MSMEG_0658	NA
MSMEG_0659	NA
MSMEG_0660	10.1000
MSMEG_0661	8.9000
MSMEG_0662	26.7000
MSMEG_0663	9.4000
MSMEG_0664	NA
MSMEG_0665	NA
MSMEG_0666	NA
MSMEG_0667	12.4000
MSMEG_0668	4.5000
MSMEG_0669	NA
MSMEG_0670	NA
MSMEG_0671	8.7000
MSMEG_0672	NA
MSMEG_0673	8.7000
MSMEG_0674	8.3600
MSMEG_0675	NA
MSMEG_0676	12.7000
MSMEG_0678	8.1000
MSMEG_0679	9.9000
MSMEG_0680	NA
MSMEG_0681	NA
MSMEG_0682	10.1000
MSMEG_0683	2.7000
MSMEG_0684	NA
MSMEG_0685	NA
MSMEG_0686	NA
MSMEG_0687	NA
MSMEG_0688	NA
MSMEG_0689	5.2000
MSMEG_0690	11.6000
MSMEG_0691	NA
MSMEG_0692	9.9000
MSMEG_0693	NA
MSMEG_0695	NA
MSMEG_0696	NA
MSMEG_0697	NA
MSMEG_0698	13.5000
MSMEG_0699	NA
MSMEG_0700	7.8600
MSMEG_0701	NA
MSMEG_0702	3.2000
MSMEG_0703	15.1000
MSMEG_0704	NA
MSMEG_0705	NA
MSMEG_0706	NA
MSMEG_0707	NA
MSMEG_0708	NA
MSMEG_0709	13.5000
MSMEG_0710	NA
MSMEG_0711	9.9000
MSMEG_0712	10.8000
MSMEG_0713	NA
MSMEG_0714	NA
MSMEG_0715	NA
MSMEG_0716	9.8000
MSMEG_0717	4.1000
MSMEG_0718	NA
MSMEG_0719	0.5000
MSMEG_0720	NA
MSMEG_0722	8.9000
MSMEG_0723	NA
MSMEG_0724	2.1000
MSMEG_0725	NA
MSMEG_0726	7.4100
MSMEG_0727	NA
MSMEG_0728	7.5000
MSMEG_0729	NA
MSMEG_0730	NA
MSMEG_0731	6.1000
MSMEG_0732	11.5000
MSMEG_0733	NA
MSMEG_0734	NA
MSMEG_0735	NA
MSMEG_0736	NA
MSMEG_0737	NA
MSMEG_0738	NA
MSMEG_0739	16.8000
MSMEG_0740	6.4000
MSMEG_0741	NA
MSMEG_0742	7.8000
MSMEG_0743	NA
MSMEG_0744	NA
MSMEG_0745	NA
MSMEG_0746	NA
MSMEG_0747	NA
MSMEG_0748	NA
MSMEG_0749	NA
MSMEG_0750	0.7000
MSMEG_0751	NA
MSMEG_0752	6.3300
MSMEG_0753	7.1300
MSMEG_0754	8.4000
MSMEG_0755	NA
MSMEG_0756	3.2000
MSMEG_0757	NA
MSMEG_0758	19.7000
MSMEG_0759	11.6000
MSMEG_0760	NA
MSMEG_0761	NA
MSMEG_0762	0.0000
MSMEG_0763	NA
MSMEG_0764	12.8000
MSMEG_0765	8.8000
MSMEG_0766	NA
MSMEG_0767	NA
MSMEG_0768	6.8000
MSMEG_0769	NA
MSMEG_0770	NA
MSMEG_0771	NA
MSMEG_0772	NA
MSMEG_0773	NA
MSMEG_0775	3.4000
MSMEG_0776	11.0000
MSMEG_0777	NA
MSMEG_0778	NA
MSMEG_0779	NA
MSMEG_0780	NA
MSMEG_0781	6.5000
MSMEG_0782	NA
MSMEG_0783	NA
MSMEG_0784	NA
MSMEG_0785	NA
MSMEG_0786	NA
MSMEG_0787	7.0000
MSMEG_0788	9.5000
MSMEG_0789	5.9000
MSMEG_0790	2.2000
MSMEG_0791	2.3000
MSMEG_0792	NA
MSMEG_0793	NA
MSMEG_0794	NA
MSMEG_0795	NA
MSMEG_0796	18.9000
MSMEG_0798	15.5000
MSMEG_0799	11.4000
MSMEG_0800	NA
MSMEG_0801	7.7000
MSMEG_0802	NA
MSMEG_0803	NA
MSMEG_0804	NA
MSMEG_0805	NA
MSMEG_0806	17.8000
MSMEG_0807	8.0000
MSMEG_0808	NA
MSMEG_0809	NA
MSMEG_0810	2.7000
MSMEG_0811	NA
MSMEG_0812	6.0000
MSMEG_0813	NA
MSMEG_0814	9.6000
MSMEG_0815	NA
MSMEG_0816	9.1000
MSMEG_0817	NA
MSMEG_0818	6.4200
MSMEG_0819	NA
MSMEG_0820	NA
MSMEG_0821	NA
MSMEG_0822	NA
MSMEG_0823	NA
MSMEG_0824	NA
MSMEG_0825	0.0000
MSMEG_0826	17.1000
MSMEG_0827	NA
MSMEG_0828	6.0000
MSMEG_0829	NA
MSMEG_0830	NA
MSMEG_0831	NA
MSMEG_0832	8.1000
MSMEG_0833	11.0300
MSMEG_0834	NA
MSMEG_0835	4.3000
MSMEG_0836	NA
MSMEG_0837	NA
MSMEG_0838	0.1000
MSMEG_0839	23.4000
MSMEG_0840	7.5000
MSMEG_0842	9.1000
MSMEG_0843	NA
MSMEG_0844	11.6000
MSMEG_0845	NA
MSMEG_0846	NA
MSMEG_0847	NA
MSMEG_0848	NA
MSMEG_0849	10.9000
MSMEG_0850	NA
MSMEG_0851	NA
MSMEG_0852	NA
MSMEG_0853	NA
MSMEG_0854	4.6000
MSMEG_0855	11.5000
MSMEG_0856	NA
MSMEG_0857	4.0000
MSMEG_0858	NA
MSMEG_0859	4.4000
MSMEG_0860	NA
MSMEG_0861	NA
MSMEG_0862	14.9000
MSMEG_0863	NA
MSMEG_0864	NA
MSMEG_0865	NA
MSMEG_0866	21.7000
MSMEG_0867	NA
MSMEG_0868	NA
MSMEG_0869	NA
MSMEG_0870	NA
MSMEG_0871	NA
MSMEG_0872	NA
MSMEG_0873	NA
MSMEG_0874	NA
MSMEG_0875	NA
MSMEG_0876	8.1000
MSMEG_0877	5.3000
MSMEG_0878	NA
MSMEG_0879	NA
MSMEG_0880	8.0000
MSMEG_0881	NA
MSMEG_0882	NA
MSMEG_0883	NA
MSMEG_0884	2.4000
MSMEG_0885	NA
MSMEG_0886	4.9000
MSMEG_0887	9.3000
MSMEG_0888	NA
MSMEG_0889	3.7000
MSMEG_0890	9.5000
MSMEG_0891	NA
MSMEG_0892	16.8000
MSMEG_0893	NA
MSMEG_0894	2.6000
MSMEG_0895	8.4000
MSMEG_0896	8.1000
MSMEG_0897	NA
MSMEG_0898	NA
MSMEG_0899	NA
MSMEG_0900	5.1000
MSMEG_0901	7.5900
MSMEG_0902	NA
MSMEG_0903	11.3000
MSMEG_0904	NA
MSMEG_0905	NA
MSMEG_0906	5.5000
MSMEG_0907	NA
MSMEG_0908	NA
MSMEG_0909	4.2000
MSMEG_0910	NA
MSMEG_0911	6.8000
MSMEG_0912	4.4000
MSMEG_0913	5.9000
MSMEG_0914	NA
MSMEG_0915	6.9000
MSMEG_0916	7.1600
MSMEG_0917	8.0000
MSMEG_0918	12.0000
MSMEG_0919	4.7000
MSMEG_0920	0.0000
MSMEG_0921	NA
MSMEG_0922	NA
MSMEG_0923	8.9000
MSMEG_0924	NA
MSMEG_0925	NA
MSMEG_0926	NA
MSMEG_0927	NA
MSMEG_0928	4.8000
MSMEG_0929	4.7000
MSMEG_0930	10.5000
MSMEG_0931	NA
MSMEG_0932	15.9000
MSMEG_0933	2.9000
MSMEG_0934	NA
MSMEG_0935	3.6000
MSMEG_0936	12.5000
MSMEG_0937	NA
MSMEG_0938	2.1000
MSMEG_0939	8.8000
MSMEG_0940	4.0900
MSMEG_0941	16.4000
MSMEG_0942	12.9000
MSMEG_0943	2.7000
MSMEG_0944	10.4000
MSMEG_0945	7.4000
MSMEG_0946	NA
MSMEG_0947	9.2000
MSMEG_0948	7.1000
MSMEG_0949	6.3000
MSMEG_0950	NA
MSMEG_0951	8.8000
MSMEG_0952	23.7000
MSMEG_0953	NA
MSMEG_0954	NA
MSMEG_0955	NA
MSMEG_0956	NA
MSMEG_0957	NA
MSMEG_0958	NA
MSMEG_0959	NA
MSMEG_0960	NA
MSMEG_0962	20.4000
MSMEG_0963	NA
MSMEG_0964	8.9000
MSMEG_0965	1.9300
MSMEG_0966	NA
MSMEG_0967	NA
MSMEG_0968	NA
MSMEG_0969	NA
MSMEG_0970	NA
MSMEG_0971	NA
MSMEG_0972	6.5000
MSMEG_0973	NA
MSMEG_0974	8.0000
MSMEG_0975	11.6000
MSMEG_0976	6.0000
MSMEG_0977	11.5000
MSMEG_0978	NA
MSMEG_0979	NA
MSMEG_0980	NA
MSMEG_0981	NA
MSMEG_0982	1.8000
MSMEG_0983	NA
MSMEG_0984	NA
MSMEG_0985	12.9000
MSMEG_0986	11.9000
MSMEG_0987	9.8300
MSMEG_0988	1.9000
MSMEG_0989	NA
MSMEG_0990	14.4000
MSMEG_0991	13.9900
MSMEG_0992	NA
MSMEG_0993	NA
MSMEG_0994	NA
MSMEG_0995	NA
MSMEG_0996	NA
MSMEG_0997	NA
MSMEG_0998	NA
MSMEG_0999	13.2000
MSMEG_1000	NA
MSMEG_1001	NA
MSMEG_1002	7.7000
MSMEG_1003	12.9000
MSMEG_1004	NA
MSMEG_1005	6.6000
MSMEG_1006	NA
MSMEG_1007	NA
MSMEG_1008	1.8000
MSMEG_1009	NA
MSMEG_1010	6.2000
MSMEG_1011	NA
MSMEG_1012	6.9000
MSMEG_1013	NA
MSMEG_1014	NA
MSMEG_1015	NA
MSMEG_1016	NA
MSMEG_1017	6.6000
MSMEG_1019	15.5000
MSMEG_1021	NA
MSMEG_1022	NA
MSMEG_1023	5.4200
MSMEG_1024	NA
MSMEG_1025	7.9000
MSMEG_1026	NA
MSMEG_1027	14.2000
MSMEG_1028	8.6000
MSMEG_1029	4.5000
MSMEG_1030	9.0000
MSMEG_1031	NA
MSMEG_1032	NA
MSMEG_1033	7.2000
MSMEG_1034	NA
MSMEG_1035	NA
MSMEG_1037	6.1000
MSMEG_1038	1.8000
MSMEG_1039	9.8000
MSMEG_1041	NA
MSMEG_1042	8.2000
MSMEG_1043	NA
MSMEG_1044	NA
MSMEG_1045	NA
MSMEG_1046	0.9000
MSMEG_1047	NA
MSMEG_1048	NA
MSMEG_1049	2.0000
MSMEG_1050	NA
MSMEG_1051	13.1000
MSMEG_1052	8.3000
MSMEG_1053	10.8000
MSMEG_1054	NA
MSMEG_1055	NA
MSMEG_1057	NA
MSMEG_1058	13.4000
MSMEG_1059	NA
MSMEG_1060	8.2000
MSMEG_1061	6.2000
MSMEG_1062	12.8000
MSMEG_1063	5.3600
MSMEG_1064	NA
MSMEG_1065	5.1200
MSMEG_1066	NA
MSMEG_1067	5.2000
MSMEG_1068	14.5000
MSMEG_1069	NA
MSMEG_1070	NA
MSMEG_1071	NA
MSMEG_1072	NA
MSMEG_1073	2.5000
MSMEG_1074	16.0000
MSMEG_1075	3.9000
MSMEG_1076	11.9000
MSMEG_1077	10.0000
MSMEG_1078	NA
MSMEG_1079	NA
MSMEG_1080	NA
MSMEG_1081	NA
MSMEG_1082	6.8000
MSMEG_1083	NA
MSMEG_1084	NA
MSMEG_1085	NA
MSMEG_1086	NA
MSMEG_1088	NA
MSMEG_1089	8.7000
MSMEG_1090	NA
MSMEG_1091	NA
MSMEG_1092	NA
MSMEG_1093	NA
MSMEG_1094	NA
MSMEG_1095	NA
MSMEG_1096	NA
MSMEG_1097	NA
MSMEG_1098	7.8000
MSMEG_1099	NA
MSMEG_1100	NA
MSMEG_1101	NA
MSMEG_1102	NA
MSMEG_1103	12.6000
MSMEG_1104	NA
MSMEG_1106	NA
MSMEG_1107	NA
MSMEG_1108	NA
MSMEG_1109	NA
MSMEG_1110	NA
MSMEG_1111	NA
MSMEG_1112	11.6500
MSMEG_1113	NA
MSMEG_1114	7.1000
MSMEG_1115	8.2000
